,Lapatinib,,Panobinostat,,Paclitaxel,,Irinotecan,,PD-0325901,,AZD6244,,Nilotinib,,AEW541,,17-AAG,,PHA-665752,,Nutlin-3,,AZD0530,,PF2341066,,L-685458,,ZD-6474,,Sorafenib,,LBW242,,PD-0332991,,PLX4720,,RAF265,,TAE684,,TKI258,,Erlotinib,,
pred_DNA_ET,0.01016214,0.002018078,0.007289737,0.002151544,0.009044248,0.00263663,0.009793509,0.003908205,0.011914978,0.004051908,0.008864501,0.003207089,0.010226793,0.002279728,0.010692539,0.003446092,0.014474404,0.005030671,0.017164154,0.003022721,0.017144395,0.00650769,0.012245576,0.003427496,0.010082572,0.002730509,0.010554562,0.003136988,0.014370707,0.004383156,0.011324389,0.002292709,0.012131467,0.002690043,0.011169427,0.003741216,0.011865029,0.003745016,0.010730425,0.002678311,0.011437646,0.002618429,0.016217649,0.004537741,0.011142191,0.002420481,
pred_DNA_KNN,0.002756331,0.001130227,0.00238757,0.000695496,0.003212421,0.001238568,0.003740758,0.0022639,0.001761319,0.000955674,0.00185447,0.000875439,0.003305875,0.001408438,0.003584829,0.001240808,0.005322715,0.001845366,0.006561209,0.001856658,0.004225018,0.001404543,0.004507693,0.001143703,0.003365992,0.001320288,0.004612023,0.001420781,0.003783473,0.001653324,0.003156563,0.001526577,0.003504768,0.001414466,0.004119255,0.001190224,0.003544272,0.001170798,0.002652433,0.000816191,0.004491112,0.000768638,0.004068917,0.001507707,0.003162109,0.000999258,
pred_DNA_XGB,0.012398984,0.003333462,0.009606547,0.002405466,0.011682434,0.004144469,0.016132495,0.003755153,0.015178322,0.004828523,0.011637538,0.004074034,0.01113384,0.003164926,0.016310325,0.005670687,0.015084295,0.003377681,0.021889824,0.005453963,0.014294849,0.003576659,0.014479038,0.003551739,0.012643147,0.004898351,0.014310044,0.00340935,0.01488116,0.003125338,0.016962271,0.006105987,0.014201691,0.004828149,0.015323071,0.004331054,0.024741104,0.006896675,0.015319325,0.004110911,0.011559503,0.002700435,0.015731513,0.005903741,0.013356844,0.003725042,
pred_DNA_Ada,0.011588694,0.003597547,0.010773839,0.002745628,0.015838237,0.006542707,0.011016741,0.003992807,0.010525829,0.003814993,0.007528666,0.002116828,0.013365967,0.00359637,0.013692728,0.002797246,0.016794534,0.005130311,0.015822173,0.004381549,0.014408939,0.003087815,0.015534413,0.002986703,0.014330627,0.004532873,0.017438032,0.006033479,0.014024789,0.002855906,0.015409628,0.003349721,0.014819704,0.002729993,0.015414577,0.004402557,0.027560292,0.011625829,0.013485621,0.002317867,0.012867766,0.003436493,0.014923775,0.003198551,0.009471164,0.002521675,
pred_PATHWAYS_SVC,0.013902725,0.004870287,0.012188456,0.005291307,0.008698961,0.002567031,0.009639119,0.004233418,0.007179504,0.001881405,0.010106485,0.002676388,0.012249527,0.003464787,0.018368691,0.013246584,0.016669744,0.005452838,0.013910328,0.002631604,0.030947251,0.012763022,0.013846969,0.002747848,0.015955444,0.004247101,0.012463994,0.003118929,0.017732443,0.004657121,0.018010955,0.00520368,0.019602179,0.007514676,0.015900633,0.005267094,0.015132561,0.002924053,0.017361343,0.00929981,0.023131507,0.011455471,0.012001912,0.002739657,0.013802788,0.002282925,
pred_PATHWAYS_RFC,0.011853342,0.002922772,0.016300826,0.006807704,0.007580361,0.001839564,0.013149391,0.004130769,0.00569862,0.001159176,0.005881327,0.001972381,0.017164435,0.006082023,0.012950254,0.003104504,0.009968981,0.002628384,0.013515915,0.002587958,0.011963302,0.002061318,0.015801023,0.006084777,0.011875471,0.002744499,0.010568278,0.002587413,0.011678508,0.002410965,0.013463993,0.003520033,0.012501299,0.00332459,0.013454714,0.004512922,0.022746929,0.005730236,0.009297061,0.002739659,0.024786689,0.007968004,0.012635991,0.003215982,0.007851887,0.002622408,
pred_PATHWAYS_SVM,0.011615825,0.002797647,0.021129139,0.004751904,0.008948621,0.002995895,0.008377741,0.003097178,0.006714194,0.001941083,0.006863427,0.001889865,0.019560007,0.004548832,0.021276887,0.009275026,0.012951278,0.003709858,0.015437243,0.004222104,0.028874623,0.01439615,0.014242474,0.002745194,0.012285223,0.003291399,0.018713804,0.005013064,0.013594994,0.003019489,0.014269379,0.003267538,0.018766759,0.005725943,0.015052056,0.003586507,0.015674543,0.003643378,0.01714657,0.007846816,0.012404776,0.003437288,0.01507936,0.003709784,0.006867134,0.001404006,
pred_PATHWAYS_Logistic,0.009498503,0.002645226,0.016791311,0.005103119,0.007879534,0.001913471,0.009652955,0.002808654,0.007398792,0.002238066,0.007140237,0.002419684,0.01830729,0.006236612,0.012174509,0.002550942,0.0131054,0.002652059,0.014702482,0.003781376,0.013313044,0.002495691,0.01624833,0.003321588,0.013389293,0.003032046,0.018833908,0.004742917,0.013339709,0.003137381,0.016755342,0.003705455,0.014379738,0.002604526,0.019710361,0.005817918,0.014294094,0.00286268,0.009977784,0.002801861,0.009686702,0.001516381,0.017863369,0.003905217,0.006976008,0.002181596,
pred_PATHWAYS_Ridge,0.000737596,0.000498541,0.001649988,0.001814759,0.000947506,0.000428293,0.001343178,0.000966803,0.000630219,0.000471683,0.000628425,0.000419906,0.004436425,0.002322818,0.001179143,0.00059792,0.001020376,0.000523117,0.002475207,0.001411838,0.001289009,0.000640626,0.001151577,0.000475857,0.001316283,0.000854507,0.000842923,0.000494382,0.001435616,0.000783883,0.001614127,0.00081346,0.001843642,0.001081486,0.001971576,0.001278248,0.001972366,0.001106662,0.001021674,0.000467241,0.001255496,0.000726187,0.000861023,0.00066897,0.000806849,0.000358397,
pred_PATHWAYS_EN,0.008800037,0.001386006,0.016793321,0.006262341,0.007848458,0.001930814,0.008685624,0.004087542,0.007407151,0.00214433,0.007237574,0.00226805,0.01612682,0.00499929,0.010393428,0.002033137,0.013362322,0.001881629,0.013732252,0.003007984,0.013462305,0.002737301,0.014190235,0.003026951,0.01037445,0.002839792,0.01270834,0.003216506,0.009567699,0.002271299,0.012716072,0.002584615,0.013301133,0.003174638,0.013425345,0.003223407,0.013448028,0.003196241,0.009213799,0.002698341,0.008601624,0.001576601,0.016034815,0.002731961,0.006565268,0.002121401,
pred_PATHWAYS_ET,0.012602212,0.003407699,0.018850579,0.00747247,0.007541826,0.002441867,0.012475811,0.004201425,0.007825392,0.002386074,0.00686117,0.001542385,0.0153951,0.005281262,0.016377786,0.00507791,0.014067255,0.004428695,0.012866565,0.003265634,0.01269769,0.003491718,0.017187965,0.004588158,0.018881887,0.008556343,0.013817322,0.003690345,0.016852996,0.006112355,0.012911031,0.003791033,0.012438605,0.002406303,0.01240474,0.004783853,0.018219365,0.004223896,0.008432593,0.001109165,0.020574728,0.006921004,0.013770211,0.00321961,0.010500516,0.002745563,
pred_PATHWAYS_KNN,0.004403299,0.001226332,0.005186383,0.001756789,0.003205027,0.001011183,0.004882925,0.002124491,0.004215409,0.00123107,0.004990933,0.001552658,0.005363124,0.002733647,0.006621679,0.001630925,0.005873248,0.001302637,0.004787078,0.001740364,0.004276325,0.001391724,0.004760505,0.001252935,0.00550003,0.001817284,0.004853984,0.001143212,0.022773057,0.005537098,0.006481411,0.001610703,0.00517451,0.001769298,0.005166121,0.001534197,0.00667714,0.002021597,0.004534392,0.001846949,0.005218102,0.002266834,0.005266513,0.001435706,0.003519338,0.001127365,
pred_PATHWAYS_XGB,0.012156793,0.002953809,0.019364001,0.006103797,0.01067403,0.002293279,0.014356609,0.004804303,0.006208289,0.001699323,0.006461968,0.001757171,0.020363621,0.009079251,0.012507135,0.002952819,0.013524201,0.00302138,0.016625777,0.00323039,0.013270022,0.002750487,0.014525687,0.002818316,0.022808916,0.008475416,0.01257082,0.002861769,0.015011798,0.002891764,0.014085907,0.003699737,0.015744043,0.00478246,0.01347734,0.004577078,0.03088547,0.010060558,0.0135946,0.004566339,0.025651367,0.007957557,0.019061141,0.006252689,0.009898092,0.002142594,
pred_PATHWAYS_Ada,0.008532914,0.002425681,0.011679339,0.003102349,0.009408845,0.001609893,0.011282857,0.008081599,0.00675617,0.002288828,0.005307063,0.001947726,0.009245098,0.003310832,0.013105882,0.002770552,0.019342894,0.004536054,0.014571548,0.00305863,0.015896541,0.005855122,0.014021865,0.002933027,0.012938065,0.003321296,0.014510994,0.00372737,0.014307038,0.00316028,0.012352199,0.00324777,0.013009633,0.002378526,0.012214253,0.003137564,0.015859109,0.003905823,0.011077032,0.003147949,0.018243447,0.004839503,0.014160736,0.00410252,0.009038093,0.002686947,
pred_TYPE_SVC,0.011664444,0.003179121,0.014507333,0.004930148,0.011034306,0.003174151,0.013443364,0.005301062,0.007845373,0.002684162,0.017050887,0.006233677,0.029382041,0.011717791,0.022791302,0.007512334,0.018339975,0.006005278,0.022092202,0.00571571,0.014437951,0.003622952,0.020046993,0.004622538,0.025932591,0.008047964,0.016760019,0.004266226,0.015779918,0.003623222,0.017271356,0.004571451,0.025149532,0.011790342,0.021514806,0.008686596,0.015919769,0.003735157,0.014856396,0.003883339,0.020248055,0.007794884,0.015565236,0.005123943,0.010682267,0.002937356,
pred_TYPE_RFC,0.008859693,0.002275642,0.017251369,0.003730668,0.009125501,0.001849102,0.015161833,0.005163986,0.009789077,0.002271153,0.013685554,0.004075788,0.034144156,0.005934752,0.026240467,0.00811505,0.013245859,0.00324665,0.020722662,0.004177773,0.0141968,0.004074986,0.018314287,0.0043577,0.022756421,0.005649621,0.0183106,0.003499873,0.013882836,0.003114924,0.024448903,0.005720788,0.017303088,0.003957958,0.023789742,0.004962066,0.015304827,0.003520204,0.017049518,0.00477398,0.023240218,0.004874648,0.020632037,0.006785193,0.012658927,0.003483142,
pred_TYPE_SVM,0.010288348,0.002737983,0.011746811,0.004053936,0.009473724,0.002330123,0.009406516,0.003300436,0.006975306,0.002439723,0.012441806,0.003515434,0.022247516,0.00832829,0.016291568,0.004371869,0.014048183,0.005028496,0.018353153,0.005314306,0.012473309,0.002683114,0.015583243,0.004394724,0.01957792,0.007202953,0.013414743,0.004140026,0.014738041,0.004362736,0.01398156,0.003962688,0.019582596,0.008732145,0.015967789,0.005179998,0.013588964,0.003074517,0.012196995,0.004117721,0.016367572,0.006616551,0.013476956,0.003916966,0.009211581,0.002619164,
pred_TYPE_Logistic,0.012194422,0.003261149,0.020124152,0.006070028,0.016646291,0.004023365,0.014921351,0.005751424,0.009861881,0.00290666,0.02096995,0.005831549,0.05190813,0.010936351,0.02863279,0.00713679,0.016398952,0.003262979,0.027247624,0.006257823,0.018440249,0.005971595,0.018067045,0.003348146,0.038975967,0.006835653,0.020371326,0.004756053,0.016100041,0.004337375,0.028259536,0.007873545,0.018592622,0.004226131,0.038264106,0.008004516,0.017679038,0.004744273,0.025164444,0.006516004,0.031477619,0.010239102,0.022613351,0.008969302,0.014288841,0.002659784,
pred_TYPE_Ridge,0.001438903,0.000930953,0.000713452,0.000497668,0.0004931,0.000289017,0.000812471,0.00073327,0.000558175,0.000268583,0.002409989,0.002081674,0.004904584,0.00363232,0.00123713,0.00070718,0.001117916,0.000825805,0.002085793,0.001908672,0.001577286,0.00105773,0.001189402,0.000806743,0.003698572,0.002199792,0.001051457,0.000856604,0.001656884,0.001136462,0.001279981,0.000916348,0.0009881,0.00065098,0.001171651,0.001398621,0.001023389,0.000650931,0.000824886,0.000473258,0.003522288,0.00294784,0.000949422,0.000566302,0.001047201,0.000735902,
pred_TYPE_EN,0.009855619,0.002437195,0.024024026,0.00656398,0.015441428,0.005757607,0.011623346,0.004666993,0.007560943,0.002737637,0.01395529,0.004012765,0.026930792,0.007025853,0.023246827,0.006677503,0.013700309,0.004063486,0.018495622,0.005225058,0.016505734,0.004412326,0.016725024,0.005110716,0.027601287,0.005404598,0.016469673,0.003830675,0.013100707,0.003232245,0.022035193,0.005133397,0.016379918,0.004939923,0.028836359,0.007378801,0.019258276,0.003854554,0.024084434,0.008561391,0.022805806,0.005921729,0.018864215,0.006205112,0.012384191,0.004054379,
pred_TYPE_ET,0.008094935,0.001855862,0.01310012,0.003123359,0.007910482,0.002472016,0.008544603,0.003355021,0.007056448,0.002326483,0.011507266,0.003324884,0.02691999,0.00748816,0.025201789,0.005973027,0.010212777,0.001719318,0.018054932,0.002959752,0.014069672,0.003616242,0.015600811,0.003763731,0.022692261,0.006920045,0.016875954,0.004092664,0.01155656,0.002668262,0.022550966,0.005985799,0.015581398,0.003482819,0.017040264,0.003767436,0.013768421,0.004430249,0.014012732,0.004581072,0.023500968,0.003989017,0.018486578,0.005965603,0.010961428,0.002565467,
pred_TYPE_KNN,0.004008873,0.001849603,0.007680789,0.004834806,0.003312927,0.001067403,0.005577833,0.004051107,0.003183314,0.001832858,0.00449986,0.001801704,0.006104006,0.003379409,0.004413733,0.001788149,0.004664711,0.00123453,0.005200958,0.002920621,0.005017681,0.001844413,0.005816452,0.002248673,0.005095818,0.002733073,0.00567633,0.002993239,0.004551096,0.001655951,0.004475705,0.001561434,0.004869025,0.001735021,0.006116861,0.00239429,0.005782983,0.001897625,0.004894883,0.002528466,0.007296866,0.003272094,0.004278858,0.00149397,0.004164371,0.002281659,
pred_TYPE_XGB,0.010431457,0.002716078,0.016828089,0.004810828,0.011698199,0.003201772,0.011462468,0.004355109,0.010376812,0.003094777,0.012790511,0.004637197,0.022606812,0.006398352,0.021858661,0.005984495,0.014741101,0.003319715,0.019005378,0.003551642,0.015976387,0.005095145,0.019433445,0.003832496,0.023404331,0.005961071,0.020013634,0.004739818,0.018864842,0.00371883,0.021226486,0.00441012,0.024098351,0.008309719,0.015325446,0.004869655,0.017930559,0.006207763,0.020745771,0.006849116,0.015987649,0.003237342,0.019275521,0.008208451,0.012391635,0.003051311,
pred_TYPE_Ada,0.013058621,0.00264738,0.019066839,0.005269468,0.008623313,0.002918576,0.019460054,0.007459876,0.012772234,0.003642975,0.023857971,0.005847262,0.040263302,0.006987615,0.026489301,0.007005426,0.01310782,0.002763024,0.020806365,0.00358787,0.016031063,0.004837559,0.022089317,0.004033808,0.029597112,0.005812467,0.020986816,0.005875713,0.01463185,0.003542254,0.025098422,0.006811791,0.016320416,0.004398554,0.022654836,0.009000338,0.016190028,0.004836994,0.016766686,0.005112039,0.036387591,0.00710325,0.021019866,0.005135819,0.019793889,0.005620384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lapatinib,,Panobinostat,,Paclitaxel,,Irinotecan,,PD-0325901,,AZD6244,,Nilotinib,,AEW541,,17-AAG,,PHA-665752,,Nutlin-3,,AZD0530,,PF2341066,,L-685458,,ZD-6474,,Sorafenib,,LBW242,,PD-0332991,,PLX4720,,RAF265,,TAE684,,TKI258,,Erlotinib,,
RNA sum,0.308225831,,0.334065615,,0.339769227,,0.33788673,,0.410733406,,0.35081517,,0.128377445,,0.173256641,,0.243448749,,0.142648836,,0.134104603,,0.141155377,,0.197963314,,0.136570569,,0.147400908,,0.184738605,,0.162218552,,0.13607451,,0.133274464,,0.244825193,,0.146859125,,0.184723695,,0.316593812,,5.035730377
RPPA sum,0.248288336,,0.122752891,,0.148808387,,0.127130869,,0.207233863,,0.249791523,,0.119231391,,0.161582502,,0.164906778,,0.131513105,,0.200124476,,0.178455657,,0.134079378,,0.178918334,,0.198928883,,0.146473505,,0.140738433,,0.139561233,,0.127281589,,0.149947072,,0.196661769,,0.143187508,,0.218629337,,3.834226819
TYPE sum,0.089895315,,0.145042979,,0.093759272,,0.11041384,,0.075979562,,0.133169084,,0.26541133,,0.196403567,,0.119577602,,0.172064689,,0.128726132,,0.15286602,,0.219332281,,0.149930551,,0.124862776,,0.180628107,,0.158865047,,0.19068186,,0.136446253,,0.150596747,,0.200834632,,0.155162039,,0.107584333,,3.45823402
MIRNA sum,0.091374489,,0.092728264,,0.132489683,,0.113258285,,0.101192713,,0.079556559,,0.12535768,,0.121276193,,0.11054681,,0.161639798,,0.135435592,,0.142834549,,0.113650968,,0.142344563,,0.143967975,,0.126890114,,0.136181956,,0.109957839,,0.150384986,,0.109143319,,0.096601451,,0.116420242,,0.10260585,,2.755839879
META sum,0.076823192,,0.090935308,,0.105471329,,0.099833865,,0.060407069,,0.061105389,,0.125086387,,0.110975577,,0.125803488,,0.116794074,,0.126714648,,0.128190362,,0.100029723,,0.130607007,,0.126635236,,0.130437617,,0.13075606,,0.174116144,,0.150498917,,0.144176786,,0.10800892,,0.139912208,,0.077874222,,2.641193528
DNA sum,0.09128959,,0.0745416,,0.106968934,,0.1176302,,0.084419646,,0.064083665,,0.09832432,,0.111550123,,0.115830874,,0.152715102,,0.128904437,,0.130521406,,0.109619276,,0.141744607,,0.121910364,,0.108171636,,0.144478412,,0.126831276,,0.147204186,,0.099654036,,0.101479663,,0.133859235,,0.100886474,,2.612619061
PATHWAYS sum,0.094103247,,0.139933343,,0.072733168,,0.093846211,,0.06003374,,0.061478609,,0.138211447,,0.124955395,,0.119885699,,0.122624396,,0.145990113,,0.125976629,,0.125325061,,0.119884368,,0.136293859,,0.122660415,,0.126761541,,0.122777138,,0.154909605,,0.101656848,,0.14955444,,0.126735073,,0.075825972,,2.662156316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lapatinib,,Panobinostat,,Paclitaxel,,Irinotecan,,PD-0325901,,AZD6244,,Nilotinib,,AEW541,,17-AAG,,PHA-665752,,Nutlin-3,,AZD0530,,PF2341066,,L-685458,,ZD-6474,,Sorafenib,,LBW242,,PD-0332991,,PLX4720,,RAF265,,TAE684,,TKI258,,Erlotinib,,
SVC sum,0.145884485,,0.118509217,,0.112191514,,0.122905347,,0.136475255,,0.122300329,,0.110556276,,0.12436308,,0.109597596,,0.118188867,,0.145193562,,0.132784373,,0.130351571,,0.117977752,,0.13745788,,0.117377068,,0.166945146,,0.12869629,,0.109795268,,0.119084931,,0.11982875,,0.124684802,,0.151557769,,
RFC sum,0.108319499,,0.097033331,,0.083717139,,0.118667453,,0.086661362,,0.086152581,,0.118673354,,0.098821569,,0.08718451,,0.103831413,,0.087806674,,0.103958043,,0.101597919,,0.120696371,,0.099215865,,0.111293469,,0.091053175,,0.117754,,0.109456159,,0.091549526,,0.114485095,,0.103193979,,0.109569392,,
SVM sum,0.102174704,,0.134136692,,0.137704089,,0.104090437,,0.100032852,,0.103077875,,0.103158078,,0.113789817,,0.115944167,,0.131439425,,0.135480315,,0.13032786,,0.105076757,,0.113157683,,0.109598442,,0.111665431,,0.136501872,,0.115629412,,0.121874442,,0.13103268,,0.106395465,,0.12443487,,0.102333362,,
Logistic sum,0.098482162,,0.130763523,,0.152530474,,0.112252786,,0.127360344,,0.133625097,,0.151640261,,0.109469904,,0.121585441,,0.124397679,,0.126164353,,0.114538415,,0.123191603,,0.117075374,,0.106685376,,0.117356653,,0.116976079,,0.131654818,,0.113773919,,0.138427336,,0.115337382,,0.135833483,,0.098645911,,
Ridge sum,0.012445359,,0.017534234,,0.021500018,,0.01497778,,0.020270021,,0.013874088,,0.018286081,,0.011322394,,0.014006105,,0.018514033,,0.01317197,,0.010250422,,0.01186135,,0.008793245,,0.01085232,,0.010850847,,0.012629422,,0.009821174,,0.012029169,,0.017238658,,0.012741259,,0.009011206,,0.010018319,,
EN sum,0.124364418,,0.139971646,,0.161401635,,0.109626234,,0.147897013,,0.128698115,,0.12162026,,0.116395393,,0.120561084,,0.111839801,,0.13477323,,0.115921861,,0.113573244,,0.129846843,,0.119554431,,0.115089649,,0.108232794,,0.124335116,,0.126092791,,0.140522344,,0.110379398,,0.140796311,,0.136458017,,
ET sum,0.136775284,,0.112423675,,0.080358981,,0.111652585,,0.110924498,,0.10968791,,0.106108227,,0.108719206,,0.103815134,,0.106985544,,0.095473697,,0.104587998,,0.121264045,,0.108200447,,0.108455317,,0.10560498,,0.090397694,,0.102425912,,0.106441861,,0.093153426,,0.124666903,,0.105042415,,0.121315386,,
KNN sum,0.059545924,,0.037117705,,0.028039186,,0.051796001,,0.056463711,,0.051564526,,0.03199472,,0.035128019,,0.048338529,,0.043470675,,0.033956701,,0.046293801,,0.037034362,,0.04166804,,0.060504779,,0.045078806,,0.040087695,,0.036569409,,0.039357764,,0.042526967,,0.041585648,,0.034417536,,0.077740292,,
XGB sum,0.11527409,,0.11453671,,0.119164028,,0.136222691,,0.117189787,,0.133523016,,0.119139101,,0.144670905,,0.13682467,,0.123877501,,0.110063081,,0.121804637,,0.13482397,,0.12235331,,0.135336362,,0.125142468,,0.126831299,,0.121224758,,0.14207159,,0.110989352,,0.131375442,,0.111368214,,0.101120849,,
Ada sum,0.096734075,,0.097973267,,0.103392937,,0.117808686,,0.096725158,,0.117496463,,0.118823642,,0.137319712,,0.142142763,,0.117455062,,0.117916417,,0.11953259,,0.12122518,,0.120230935,,0.112339229,,0.140540628,,0.110344824,,0.11188911,,0.119107038,,0.115474779,,0.123204659,,0.111217183,,0.091240704,,
