,ITPRIPL1,ZNF215,SFMBT2,AEBP1,SLC38A5,AC011242.6,AC138623.1,CYBA,LBX2-AS1,PGF,RAC3,ZNF595,FNBP1P1,EFCAB4B,AP000783.1,C8orf31,CNTN3,MAGEC2,PPP1R14A,AGAP2,FRMD3,ZFP36L2,DCP1B,GNB4,CDA,TTC31,TSPAN12,ARID3A,SLC6A15,RNF144A-AS1
3783,3.0,19.0,1.0,5.0,12.0,54.0,6.0,4.0,0.0,7.0,43.0,35.0,10.0,8.0,323.0,17.0,455.0,41.0,27.0,55.0,22.0,29.0,34.0,66.0,21.0,16.0,2.0,131.0,14.0,86.0
3832,0.0,29.0,8.0,2.0,1.0,75.0,12.0,4.0,5.0,9.0,33.0,19.0,38.0,68.0,154.0,40.0,742.0,11.0,3.0,23.0,65.0,6.0,13.0,134.0,119.0,15.0,37.0,32.0,39.0,17.0
3881,5.0,23.0,1.0,8.0,2.0,69.0,0.0,17.0,40.0,4.0,9.0,10.0,16.0,32.0,157.0,451.0,903.0,55.0,58.0,46.0,124.0,11.0,31.0,71.0,14.0,15.0,19.0,44.0,30.0,75.0
3930,3.0,44.0,1.0,51.0,25.0,118.0,29.0,197.0,11.0,0.0,20.0,35.0,39.0,10.0,9.0,13.0,6.0,2.0,356.0,17.0,57.0,55.0,26.0,38.0,121.0,129.0,128.0,28.0,1125.0,34.0
3979,3.0,2.0,16.0,1.0,102.0,51.0,17.0,35.0,22.0,8.0,18.0,61.0,24.0,28.0,4.0,0.0,7.0,75.0,182.0,66.0,32.0,71.0,10.0,72.0,148.0,137.0,238.0,46.0,364.0,56.0
4028,2.0,0.0,17.0,179.0,3.0,6.0,8.0,5.0,89.0,7.0,23.0,4.0,58.0,53.0,113.0,56.0,1.0,85.0,638.0,14.0,45.0,63.0,16.0,248.0,1130.0,157.0,181.0,146.0,307.0,41.0
4077,1.0,0.0,34.0,13.0,19.0,18.0,7.0,15.0,2.0,3.0,35.0,4.0,17.0,79.0,233.0,9.0,61.0,5.0,875.0,53.0,187.0,6.0,8.0,72.0,225.0,56.0,157.0,39.0,1766.0,110.0
4126,2.0,4.0,118.0,10.0,251.0,24.0,1.0,53.0,11.0,15.0,3.0,9.0,34.0,30.0,5.0,8.0,12.0,0.0,1662.0,35.0,22.0,50.0,36.0,19.0,89.0,37.0,143.0,39.0,135.0,26.0
4175,3.0,0.0,50.0,141.0,24.0,27.0,6.0,20.0,7.0,4.0,15.0,86.0,66.0,44.0,5.0,1.0,19.0,2.0,449.0,34.0,59.0,39.0,22.0,46.0,81.0,52.0,54.0,82.0,2352.0,127.0
4224,0.0,7.0,1.0,3.0,17.0,9.0,2.0,13.0,10.0,4.0,22.0,6.0,21.0,52.0,11.0,102.0,8.0,14.0,1281.0,29.0,50.0,23.0,19.0,51.0,27.0,39.0,134.0,36.0,415.0,35.0
4273,2.0,5.0,11.0,40.0,1513.0,18.0,8.0,0.0,20.0,4.0,6.0,1.0,24.0,73.0,9.0,26.0,45.0,37.0,202.0,15.0,567.0,14.0,54.0,66.0,224.0,48.0,238.0,49.0,628.0,43.0
4322,5.0,22.0,3.0,10.0,51.0,9.0,1.0,4.0,24.0,0.0,2.0,12.0,29.0,11.0,44.0,21.0,193.0,25.0,317.0,56.0,65.0,53.0,15.0,6.0,16.0,49.0,179.0,77.0,304.0,52.0
4371,2.0,0.0,7.0,23.0,15.0,6.0,1.0,11.0,8.0,3.0,5.0,13.0,32.0,9.0,19.0,10.0,29.0,38.0,494.0,42.0,43.0,37.0,4.0,26.0,27.0,49.0,216.0,56.0,296.0,17.0
4420,0.0,13.0,2.0,26.0,3.0,4.0,6.0,9.0,23.0,48.0,1.0,60.0,44.0,5.0,7.0,135.0,10.0,39.0,12.0,28.0,148.0,46.0,58.0,8.0,16.0,76.0,59.0,116.0,33.0,19.0
4469,3.0,7.0,12.0,6.0,0.0,1.0,5.0,16.0,43.0,34.0,17.0,78.0,13.0,10.0,19.0,8.0,176.0,262.0,4.0,24.0,129.0,23.0,26.0,32.0,65.0,132.0,52.0,98.0,51.0,11.0
4518,0.0,2.0,9.0,3.0,1.0,4.0,22.0,6.0,150.0,25.0,27.0,59.0,36.0,12.0,23.0,143.0,20.0,613.0,31.0,47.0,174.0,37.0,647.0,208.0,67.0,133.0,616.0,151.0,18.0,53.0
4567,1.0,3.0,0.0,65.0,7.0,18.0,2.0,10.0,66.0,5.0,17.0,12.0,28.0,4.0,21.0,33.0,8.0,696.0,9.0,57.0,154.0,53.0,90.0,11.0,128.0,87.0,35.0,213.0,31.0,37.0
4616,20.0,11.0,2.0,4.0,3.0,1.0,0.0,137.0,110.0,5.0,15.0,10.0,25.0,16.0,8.0,31.0,102.0,53.0,6.0,48.0,299.0,32.0,250.0,28.0,13.0,95.0,66.0,166.0,12.0,7.0
4665,6.0,0.0,8.0,3.0,2.0,1.0,9.0,25.0,37.0,7.0,14.0,19.0,49.0,11.0,66.0,20.0,40.0,106.0,16.0,45.0,70.0,76.0,13.0,55.0,26.0,54.0,96.0,164.0,41.0,52.0
4714,8.0,3.0,10.0,6.0,0.0,12.0,166.0,28.0,86.0,19.0,7.0,13.0,143.0,32.0,53.0,11.0,4.0,114.0,1.0,36.0,297.0,92.0,9.0,99.0,102.0,177.0,54.0,136.0,2.0,58.0
4763,4.0,0.0,1.0,12.0,2.0,3.0,6.0,10.0,54.0,14.0,21.0,59.0,23.0,8.0,7.0,19.0,15.0,26.0,5.0,22.0,24.0,29.0,36.0,11.0,37.0,71.0,68.0,84.0,40.0,60.0
4812,5.0,1.0,4.0,0.0,7.0,2.0,204.0,9.0,73.0,19.0,8.0,38.0,56.0,10.0,3.0,23.0,27.0,66.0,25.0,22.0,140.0,44.0,107.0,100.0,54.0,63.0,392.0,128.0,357.0,18.0
4861,11.0,2.0,20.0,4.0,0.0,3.0,9.0,6.0,23.0,30.0,54.0,37.0,39.0,1.0,15.0,7.0,74.0,152.0,16.0,36.0,21.0,102.0,32.0,14.0,12.0,76.0,73.0,98.0,10.0,34.0
