,hsa-miR-548d-3p,hsa-miR-892a,hsa-miR-508-3p,hsa-miR-548c-5p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-26a,hsa-miR-186,hsa-miR-27b,hsa-miR-921,hsa-miR-1245,hsa-miR-223,hsa-miR-33b,hsa-miR-658,hsa-miR-597,hsa-miR-590-5p,bkv-miR-B1-5p,hsa-miR-556-3p,hsa-miR-222,hcmv-miR-US25-2-3p,hsa-miR-1248,hsa-miR-323-5p,hsa-miR-1185,hsa-miR-423-5p,hsa-miR-296-5p,hcmv-miR-US25-2-5p,hsa-miR-31,hsa-miR-494,hsa-miR-596,hsv2-miR-H2
701,1.0,0.0,24.0,4.0,32.0,10.0,50.0,8.0,7.0,62.0,27.0,3.0,48.0,78.0,15.0,91.0,19.0,18.0,35.0,16.0,2.0,46.0,5.0,47.0,22.0,23.0,34.0,20.0,77.0,58.0
750,5.0,0.0,58.0,7.0,37.0,30.0,6.0,47.0,2.0,15.0,4.0,1.0,51.0,156.0,87.0,53.0,39.0,221.0,106.0,9.0,16.0,85.0,34.0,66.0,71.0,18.0,3.0,99.0,68.0,29.0
799,4.0,0.0,17.0,5.0,1.0,29.0,8.0,27.0,12.0,75.0,13.0,2.0,19.0,60.0,6.0,123.0,24.0,43.0,26.0,22.0,16.0,50.0,36.0,38.0,163.0,9.0,11.0,42.0,35.0,18.0
848,2.0,0.0,36.0,1.0,92.0,31.0,6.0,25.0,19.0,30.0,27.0,4.0,7.0,50.0,35.0,46.0,33.0,15.0,17.0,9.0,5.0,118.0,65.0,87.0,107.0,59.0,55.0,44.0,23.0,10.0
897,2.0,0.0,12.0,15.0,6.0,10.0,7.0,21.0,9.0,13.0,170.0,8.0,18.0,42.0,58.0,85.0,5.0,146.0,33.0,23.0,49.0,99.0,40.0,22.0,31.0,56.0,28.0,26.0,29.0,25.0
946,4.0,0.0,41.0,7.0,10.0,17.0,13.0,1.0,38.0,61.0,81.0,14.0,5.0,9.0,26.0,144.0,6.0,145.0,22.0,183.0,3.0,53.0,141.0,207.0,87.0,83.0,20.0,45.0,23.0,18.0
995,0.0,13.0,8.0,2.0,3.0,10.0,7.0,67.0,17.0,9.0,5.0,80.0,24.0,130.0,4.0,28.0,61.0,91.0,35.0,76.0,31.0,21.0,6.0,149.0,41.0,39.0,15.0,116.0,89.0,1.0
1044,2.0,6.0,1.0,3.0,8.0,25.0,12.0,45.0,39.0,27.0,22.0,51.0,14.0,82.0,18.0,5.0,21.0,35.0,4.0,23.0,29.0,17.0,60.0,139.0,201.0,10.0,142.0,13.0,26.0,0.0
1093,0.0,4.0,5.0,3.0,7.0,42.0,15.0,36.0,27.0,18.0,22.0,33.0,34.0,143.0,21.0,6.0,16.0,1.0,10.0,82.0,8.0,23.0,29.0,118.0,74.0,80.0,44.0,17.0,213.0,2.0
1142,1.0,22.0,15.0,33.0,8.0,16.0,3.0,13.0,4.0,0.0,5.0,178.0,24.0,50.0,11.0,46.0,30.0,117.0,20.0,45.0,21.0,12.0,91.0,19.0,183.0,10.0,36.0,35.0,123.0,7.0
1191,2.0,6.0,3.0,0.0,33.0,28.0,5.0,63.0,1.0,4.0,22.0,42.0,94.0,115.0,34.0,24.0,82.0,21.0,8.0,26.0,39.0,27.0,18.0,136.0,29.0,64.0,14.0,9.0,116.0,10.0
1240,0.0,14.0,7.0,2.0,3.0,34.0,21.0,64.0,11.0,5.0,6.0,39.0,28.0,78.0,16.0,26.0,47.0,41.0,8.0,112.0,4.0,76.0,12.0,191.0,96.0,9.0,51.0,17.0,186.0,1.0
1289,1.0,19.0,11.0,0.0,24.0,8.0,4.0,26.0,14.0,5.0,3.0,55.0,39.0,123.0,13.0,10.0,47.0,146.0,9.0,59.0,18.0,33.0,7.0,126.0,290.0,15.0,27.0,30.0,29.0,2.0
1338,0.0,2.0,10.0,1.0,11.0,25.0,16.0,81.0,4.0,3.0,14.0,8.0,23.0,140.0,30.0,6.0,78.0,60.0,15.0,55.0,24.0,37.0,12.0,139.0,92.0,26.0,5.0,27.0,148.0,7.0
1387,3.0,49.0,0.0,2.0,1.0,38.0,6.0,9.0,8.0,78.0,106.0,110.0,44.0,19.0,39.0,16.0,37.0,144.0,11.0,31.0,25.0,85.0,43.0,171.0,159.0,86.0,7.0,22.0,97.0,4.0
1436,1.0,2.0,12.0,0.0,8.0,10.0,5.0,35.0,4.0,24.0,6.0,38.0,22.0,106.0,14.0,7.0,25.0,9.0,29.0,43.0,32.0,42.0,68.0,134.0,19.0,51.0,37.0,61.0,59.0,3.0
1485,1.0,32.0,0.0,10.0,4.0,21.0,24.0,3.0,71.0,6.0,34.0,5.0,18.0,12.0,82.0,15.0,74.0,11.0,7.0,22.0,9.0,94.0,115.0,17.0,31.0,16.0,26.0,56.0,8.0,47.0
1534,10.0,1.0,0.0,5.0,20.0,32.0,7.0,33.0,16.0,34.0,8.0,3.0,44.0,11.0,23.0,40.0,94.0,27.0,4.0,12.0,6.0,80.0,21.0,39.0,61.0,2.0,84.0,45.0,9.0,41.0
1583,3.0,1.0,0.0,15.0,5.0,30.0,9.0,6.0,43.0,75.0,37.0,2.0,93.0,4.0,27.0,38.0,12.0,7.0,20.0,13.0,8.0,28.0,39.0,24.0,40.0,32.0,62.0,23.0,17.0,18.0
1632,0.0,6.0,1.0,15.0,9.0,2.0,8.0,18.0,221.0,48.0,96.0,21.0,46.0,3.0,63.0,54.0,30.0,40.0,14.0,12.0,7.0,71.0,4.0,28.0,27.0,5.0,45.0,39.0,72.0,64.0
1681,1.0,73.0,0.0,10.0,66.0,9.0,3.0,26.0,23.0,14.0,34.0,13.0,57.0,15.0,180.0,21.0,88.0,83.0,24.0,27.0,97.0,103.0,28.0,56.0,31.0,5.0,25.0,52.0,4.0,39.0
1730,9.0,1.0,0.0,147.0,7.0,6.0,11.0,3.0,31.0,156.0,61.0,5.0,25.0,2.0,56.0,19.0,15.0,67.0,8.0,42.0,23.0,43.0,18.0,4.0,12.0,20.0,45.0,33.0,10.0,74.0
1779,2.0,1.0,0.0,6.0,57.0,11.0,4.0,12.0,31.0,27.0,85.0,9.0,19.0,3.0,114.0,13.0,33.0,22.0,36.0,29.0,45.0,64.0,54.0,78.0,81.0,32.0,49.0,30.0,10.0,70.0
1828,5.0,15.0,0.0,59.0,18.0,10.0,4.0,22.0,16.0,235.0,72.0,2.0,23.0,9.0,125.0,12.0,26.0,11.0,42.0,13.0,6.0,20.0,27.0,17.0,49.0,3.0,34.0,29.0,24.0,1.0
1877,13.0,0.0,3.0,41.0,39.0,23.0,2.0,9.0,4.0,66.0,69.0,25.0,29.0,10.0,31.0,28.0,17.0,14.0,36.0,21.0,32.0,85.0,73.0,15.0,59.0,7.0,12.0,37.0,8.0,34.0
1926,2.0,3.0,0.0,85.0,47.0,20.0,1.0,6.0,111.0,64.0,96.0,22.0,70.0,5.0,87.0,15.0,31.0,25.0,7.0,35.0,10.0,69.0,254.0,28.0,12.0,194.0,42.0,11.0,32.0,27.0
1975,0.0,1.0,5.0,2.0,13.0,10.0,31.0,15.0,12.0,25.0,18.0,28.0,56.0,121.0,97.0,16.0,7.0,3.0,14.0,138.0,285.0,125.0,24.0,49.0,30.0,27.0,4.0,42.0,163.0,44.0
2024,4.0,0.0,3.0,2.0,5.0,21.0,13.0,14.0,23.0,29.0,53.0,9.0,27.0,46.0,12.0,6.0,50.0,1.0,76.0,10.0,146.0,28.0,15.0,37.0,62.0,56.0,8.0,42.0,38.0,18.0
2073,1.0,0.0,67.0,23.0,13.0,18.0,21.0,8.0,6.0,7.0,5.0,14.0,53.0,59.0,30.0,4.0,41.0,2.0,96.0,9.0,74.0,10.0,47.0,16.0,239.0,58.0,3.0,72.0,93.0,46.0
2122,1.0,0.0,3.0,4.0,6.0,9.0,34.0,12.0,8.0,43.0,11.0,17.0,31.0,66.0,18.0,37.0,70.0,7.0,35.0,32.0,111.0,33.0,14.0,10.0,48.0,22.0,2.0,91.0,203.0,44.0
2171,2.0,0.0,3.0,5.0,12.0,6.0,30.0,8.0,15.0,25.0,4.0,10.0,43.0,9.0,24.0,29.0,23.0,1.0,75.0,13.0,22.0,51.0,16.0,33.0,26.0,18.0,31.0,42.0,121.0,67.0
2220,0.0,1.0,4.0,7.0,10.0,34.0,87.0,5.0,2.0,20.0,17.0,9.0,99.0,33.0,19.0,13.0,44.0,3.0,35.0,18.0,120.0,27.0,78.0,12.0,32.0,47.0,29.0,59.0,145.0,30.0
2269,1.0,0.0,5.0,3.0,20.0,11.0,16.0,15.0,9.0,80.0,35.0,33.0,92.0,64.0,18.0,53.0,29.0,2.0,65.0,10.0,108.0,32.0,28.0,21.0,48.0,54.0,4.0,49.0,105.0,23.0
2318,0.0,5.0,3.0,2.0,15.0,11.0,53.0,10.0,7.0,17.0,60.0,9.0,49.0,18.0,28.0,12.0,27.0,1.0,23.0,6.0,198.0,41.0,26.0,36.0,16.0,68.0,4.0,32.0,62.0,98.0
2367,0.0,1.0,6.0,5.0,21.0,3.0,65.0,18.0,8.0,33.0,48.0,35.0,26.0,30.0,73.0,13.0,11.0,4.0,68.0,23.0,55.0,19.0,9.0,15.0,20.0,24.0,10.0,27.0,71.0,43.0
2416,1.0,2.0,7.0,6.0,32.0,13.0,50.0,3.0,4.0,35.0,53.0,11.0,21.0,15.0,26.0,117.0,31.0,0.0,59.0,10.0,25.0,23.0,28.0,22.0,52.0,38.0,24.0,34.0,80.0,5.0
2465,0.0,4.0,3.0,12.0,17.0,8.0,13.0,5.0,2.0,1.0,16.0,62.0,28.0,11.0,20.0,50.0,32.0,26.0,14.0,52.0,7.0,18.0,59.0,22.0,39.0,44.0,75.0,35.0,118.0,10.0
2514,0.0,11.0,6.0,15.0,43.0,3.0,26.0,4.0,13.0,1.0,29.0,9.0,5.0,12.0,22.0,38.0,25.0,2.0,24.0,10.0,40.0,21.0,30.0,14.0,8.0,17.0,48.0,39.0,7.0,117.0
2563,0.0,3.0,2.0,4.0,12.0,5.0,7.0,6.0,41.0,1.0,51.0,206.0,25.0,20.0,9.0,26.0,22.0,19.0,30.0,33.0,117.0,28.0,13.0,43.0,8.0,74.0,29.0,56.0,53.0,36.0
2612,1.0,14.0,0.0,3.0,16.0,9.0,37.0,10.0,11.0,2.0,52.0,40.0,35.0,4.0,57.0,19.0,27.0,7.0,22.0,5.0,28.0,34.0,17.0,32.0,23.0,46.0,91.0,41.0,74.0,82.0
2661,0.0,29.0,5.0,13.0,10.0,3.0,44.0,9.0,12.0,2.0,19.0,15.0,11.0,4.0,35.0,77.0,18.0,1.0,50.0,8.0,28.0,34.0,23.0,24.0,110.0,83.0,73.0,38.0,127.0,107.0
2710,0.0,7.0,1.0,2.0,23.0,14.0,78.0,9.0,8.0,3.0,4.0,58.0,16.0,13.0,6.0,240.0,92.0,17.0,82.0,5.0,12.0,22.0,32.0,36.0,10.0,75.0,56.0,111.0,106.0,31.0
2759,1.0,4.0,2.0,7.0,17.0,15.0,12.0,6.0,5.0,0.0,3.0,95.0,16.0,10.0,8.0,21.0,64.0,60.0,176.0,20.0,29.0,14.0,13.0,34.0,75.0,11.0,41.0,55.0,112.0,134.0
2808,0.0,7.0,4.0,1.0,25.0,6.0,70.0,15.0,18.0,3.0,14.0,28.0,10.0,33.0,29.0,27.0,30.0,2.0,12.0,5.0,13.0,8.0,32.0,65.0,23.0,41.0,76.0,36.0,16.0,11.0
2857,0.0,19.0,4.0,2.0,20.0,22.0,44.0,13.0,3.0,1.0,12.0,48.0,7.0,11.0,29.0,14.0,46.0,8.0,50.0,21.0,54.0,38.0,16.0,33.0,5.0,34.0,102.0,71.0,10.0,68.0
2906,0.0,10.0,9.0,11.0,53.0,1.0,16.0,19.0,2.0,4.0,15.0,26.0,12.0,22.0,14.0,89.0,41.0,8.0,63.0,21.0,6.0,7.0,20.0,28.0,73.0,18.0,77.0,13.0,71.0,160.0
2955,22.0,3.0,17.0,60.0,2.0,1.0,9.0,10.0,16.0,42.0,244.0,35.0,14.0,8.0,70.0,26.0,4.0,111.0,28.0,25.0,79.0,158.0,0.0,5.0,23.0,11.0,64.0,39.0,66.0,200.0
3004,1.0,4.0,5.0,28.0,0.0,18.0,11.0,27.0,43.0,94.0,29.0,22.0,36.0,6.0,12.0,10.0,34.0,45.0,33.0,100.0,7.0,25.0,3.0,2.0,15.0,13.0,47.0,21.0,126.0,17.0
3053,2.0,10.0,12.0,6.0,1.0,4.0,0.0,14.0,7.0,58.0,18.0,44.0,20.0,22.0,37.0,13.0,9.0,110.0,48.0,87.0,24.0,23.0,5.0,3.0,21.0,26.0,137.0,30.0,28.0,29.0
3102,3.0,8.0,13.0,126.0,0.0,12.0,14.0,2.0,46.0,178.0,35.0,34.0,73.0,18.0,22.0,6.0,30.0,90.0,39.0,122.0,10.0,5.0,7.0,4.0,21.0,31.0,225.0,61.0,162.0,1.0
3151,1.0,2.0,7.0,4.0,0.0,18.0,12.0,15.0,24.0,134.0,133.0,83.0,48.0,8.0,19.0,9.0,5.0,59.0,30.0,65.0,13.0,32.0,3.0,22.0,80.0,41.0,16.0,46.0,84.0,14.0
