,hsa-miR-425,hsa-let-7e,hsa-miR-28-3p,hsa-miR-1257,hsa-miR-302a,hsa-miR-642,hsa-miR-148a,hsa-miR-133b,hsa-miR-1307,hsa-miR-548d-3p,hsa-miR-2113,hsa-miR-331-5p,hsa-miR-10b,hsa-miR-518c,hsa-miR-218,hsa-miR-330-3p,hsa-miR-1226,hsa-miR-630,hsa-miR-15b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-1245,hsv1-miR-H1,hsa-miR-124,hsa-miR-34c-5p,hsa-miR-340,hsa-miR-302b,hsa-miR-155,hsa-miR-320d,hsa-let-7i,hsa-miR-597
1097,10.0,125.0,586.0,22.0,38.0,47.0,137.0,5.0,87.0,14.0,151.0,626.0,35.0,43.0,33.0,599.0,165.0,119.0,386.0,168.0,117.0,57.0,144.0,146.0,110.0,143.0,176.0,570.0,465.0,11.0
1146,22.0,23.0,47.0,61.0,50.0,56.0,134.0,77.0,20.0,79.0,3.0,627.0,461.0,556.0,52.0,83.0,14.0,225.0,45.0,58.0,116.0,26.0,80.0,11.0,620.0,577.0,388.0,569.0,65.0,41.0
1195,4.0,464.0,590.0,9.0,40.0,50.0,394.0,18.0,23.0,67.0,60.0,49.0,42.0,73.0,61.0,628.0,114.0,110.0,145.0,35.0,157.0,87.0,90.0,141.0,103.0,56.0,112.0,570.0,162.0,215.0
1244,13.0,25.0,50.0,59.0,30.0,79.0,100.0,117.0,20.0,57.0,54.0,157.0,62.0,55.0,104.0,626.0,96.0,77.0,98.0,134.0,34.0,145.0,111.0,612.0,80.0,577.0,43.0,595.0,141.0,198.0
1293,23.0,112.0,42.0,12.0,51.0,49.0,39.0,19.0,162.0,57.0,134.0,63.0,144.0,81.0,138.0,135.0,31.0,355.0,159.0,58.0,52.0,16.0,174.0,70.0,60.0,79.0,375.0,625.0,461.0,207.0
1342,22.0,1.0,55.0,157.0,64.0,94.0,393.0,99.0,18.0,69.0,54.0,40.0,39.0,29.0,87.0,138.0,61.0,368.0,93.0,52.0,66.0,73.0,156.0,23.0,10.0,578.0,146.0,569.0,90.0,214.0
1391,25.0,23.0,45.0,20.0,31.0,55.0,387.0,43.0,28.0,30.0,73.0,162.0,134.0,100.0,106.0,84.0,447.0,81.0,14.0,69.0,50.0,132.0,124.0,610.0,617.0,575.0,378.0,15.0,460.0,120.0
1440,12.0,106.0,127.0,62.0,19.0,65.0,18.0,110.0,27.0,58.0,9.0,181.0,459.0,75.0,145.0,80.0,109.0,96.0,16.0,46.0,41.0,125.0,92.0,140.0,621.0,577.0,39.0,568.0,170.0,206.0
1489,22.0,7.0,81.0,76.0,123.0,13.0,66.0,114.0,436.0,26.0,406.0,135.0,45.0,30.0,55.0,94.0,47.0,78.0,96.0,95.0,163.0,31.0,43.0,91.0,57.0,58.0,28.0,67.0,112.0,192.0
1538,17.0,21.0,107.0,33.0,149.0,131.0,48.0,37.0,91.0,176.0,407.0,152.0,96.0,517.0,47.0,28.0,27.0,89.0,453.0,130.0,183.0,135.0,26.0,115.0,69.0,436.0,454.0,15.0,74.0,85.0
1587,15.0,67.0,111.0,108.0,577.0,66.0,109.0,60.0,476.0,57.0,39.0,5.0,64.0,553.0,81.0,91.0,25.0,63.0,44.0,272.0,27.0,37.0,124.0,141.0,618.0,158.0,166.0,118.0,47.0,224.0
1636,16.0,45.0,69.0,46.0,65.0,38.0,23.0,61.0,440.0,117.0,24.0,14.0,60.0,521.0,84.0,507.0,15.0,131.0,26.0,2.0,184.0,35.0,90.0,104.0,44.0,439.0,151.0,108.0,73.0,252.0
1685,12.0,29.0,53.0,44.0,49.0,70.0,130.0,20.0,456.0,52.0,85.0,6.0,101.0,535.0,16.0,46.0,113.0,18.0,14.0,347.0,546.0,140.0,127.0,99.0,8.0,410.0,43.0,36.0,288.0,189.0
1734,4.0,47.0,74.0,161.0,9.0,102.0,378.0,43.0,162.0,30.0,10.0,24.0,455.0,549.0,127.0,83.0,15.0,11.0,87.0,6.0,156.0,335.0,437.0,608.0,45.0,55.0,119.0,80.0,36.0,183.0
1783,8.0,82.0,93.0,58.0,6.0,39.0,59.0,36.0,43.0,241.0,15.0,3.0,118.0,32.0,66.0,60.0,91.0,146.0,71.0,12.0,441.0,45.0,135.0,153.0,615.0,44.0,116.0,627.0,65.0,207.0
1832,8.0,7.0,31.0,465.0,75.0,90.0,380.0,74.0,397.0,135.0,498.0,620.0,33.0,547.0,71.0,623.0,55.0,28.0,100.0,119.0,96.0,30.0,439.0,65.0,612.0,70.0,372.0,56.0,102.0,191.0
1881,29.0,6.0,2.0,86.0,73.0,101.0,105.0,70.0,14.0,242.0,133.0,619.0,459.0,53.0,85.0,57.0,90.0,104.0,31.0,125.0,132.0,48.0,152.0,111.0,614.0,140.0,79.0,62.0,464.0,210.0
1930,130.0,168.0,51.0,119.0,87.0,58.0,123.0,41.0,389.0,75.0,590.0,155.0,110.0,547.0,76.0,615.0,38.0,62.0,81.0,259.0,61.0,34.0,107.0,96.0,605.0,92.0,69.0,43.0,458.0,89.0
1979,19.0,30.0,28.0,155.0,112.0,91.0,47.0,93.0,82.0,8.0,37.0,35.0,73.0,561.0,56.0,7.0,52.0,79.0,385.0,84.0,101.0,303.0,140.0,137.0,619.0,151.0,166.0,614.0,99.0,53.0
2028,53.0,26.0,23.0,135.0,20.0,42.0,374.0,152.0,478.0,126.0,28.0,38.0,100.0,76.0,146.0,43.0,98.0,109.0,364.0,69.0,30.0,65.0,121.0,607.0,629.0,111.0,365.0,626.0,80.0,127.0
2077,35.0,51.0,54.0,106.0,49.0,133.0,85.0,7.0,79.0,9.0,15.0,167.0,39.0,551.0,41.0,141.0,38.0,115.0,64.0,34.0,81.0,190.0,97.0,17.0,99.0,136.0,57.0,20.0,135.0,185.0
2126,17.0,70.0,76.0,100.0,103.0,72.0,82.0,36.0,142.0,32.0,37.0,43.0,90.0,31.0,65.0,624.0,49.0,136.0,143.0,312.0,120.0,304.0,33.0,105.0,124.0,570.0,62.0,18.0,98.0,29.0
2175,9.0,42.0,35.0,466.0,43.0,111.0,384.0,107.0,434.0,34.0,29.0,66.0,96.0,155.0,21.0,24.0,81.0,329.0,122.0,110.0,84.0,179.0,132.0,130.0,113.0,173.0,375.0,626.0,33.0,56.0
2224,41.0,3.0,50.0,48.0,20.0,72.0,49.0,30.0,103.0,43.0,47.0,120.0,87.0,5.0,135.0,626.0,101.0,161.0,374.0,294.0,75.0,358.0,83.0,22.0,53.0,56.0,375.0,598.0,463.0,81.0
2273,4.0,32.0,104.0,38.0,42.0,36.0,133.0,55.0,93.0,34.0,43.0,82.0,71.0,548.0,39.0,64.0,100.0,29.0,50.0,84.0,70.0,293.0,438.0,22.0,77.0,62.0,378.0,626.0,460.0,21.0
