,hsa-miR-130a,hsa-miR-222,hsa-miR-497,hsa-miR-34a,hsa-let-7e,hsa-let-7c,hsa-miR-149,hsa-miR-1260,hsa-miR-548p,hsa-miR-1978,hsa-miR-1302,hsa-miR-218,hsa-miR-582-5p,hsa-miR-553,hsa-miR-1298,hsa-miR-1233,hsa-miR-483-3p,hsa-miR-155,hsa-miR-9,hsa-miR-210,hsa-miR-1308,hsa-miR-96,hsa-miR-569,hsa-miR-877,hsa-miR-135b,hsa-miR-99a,hsa-miR-1307,hsa-miR-129-3p,hsa-miR-342-3p,hsa-miR-567
2910,12.0,6.0,20.0,37.0,458.0,62.0,42.0,60.0,1.0,54.0,112.0,14.0,83.0,122.0,44.0,78.0,88.0,369.0,46.0,460.0,123.0,109.0,91.0,86.0,107.0,126.0,81.0,110.0,93.0,118.0
2959,2.0,11.0,20.0,24.0,64.0,61.0,5.0,80.0,29.0,33.0,50.0,28.0,56.0,75.0,17.0,74.0,77.0,101.0,52.0,492.0,79.0,23.0,91.0,89.0,41.0,136.0,85.0,103.0,108.0,90.0
3008,1.0,12.0,19.0,27.0,31.0,94.0,6.0,84.0,50.0,39.0,110.0,43.0,95.0,46.0,23.0,81.0,503.0,126.0,130.0,390.0,3.0,29.0,15.0,102.0,61.0,247.0,411.0,98.0,116.0,99.0
3057,5.0,14.0,15.0,19.0,44.0,33.0,4.0,63.0,64.0,32.0,36.0,20.0,51.0,41.0,459.0,43.0,91.0,356.0,54.0,491.0,385.0,241.0,93.0,116.0,61.0,56.0,421.0,57.0,37.0,110.0
3106,5.0,10.0,20.0,38.0,59.0,441.0,18.0,33.0,82.0,47.0,70.0,72.0,56.0,121.0,460.0,112.0,37.0,43.0,119.0,393.0,422.0,245.0,62.0,335.0,381.0,53.0,106.0,11.0,63.0,69.0
3155,10.0,12.0,13.0,23.0,455.0,97.0,19.0,93.0,32.0,37.0,74.0,41.0,111.0,81.0,461.0,96.0,40.0,358.0,105.0,423.0,90.0,260.0,84.0,118.0,70.0,50.0,0.0,66.0,141.0,51.0
3204,14.0,15.0,10.0,18.0,19.0,53.0,25.0,51.0,75.0,40.0,123.0,33.0,98.0,115.0,16.0,36.0,21.0,94.0,124.0,581.0,120.0,24.0,147.0,13.0,71.0,86.0,109.0,73.0,76.0,112.0
3253,94.0,13.0,10.0,26.0,70.0,56.0,0.0,92.0,124.0,375.0,49.0,37.0,109.0,33.0,439.0,68.0,522.0,468.0,43.0,427.0,463.0,12.0,238.0,139.0,98.0,128.0,18.0,36.0,117.0,135.0
3302,10.0,5.0,11.0,22.0,29.0,67.0,13.0,49.0,25.0,132.0,80.0,31.0,33.0,89.0,419.0,115.0,60.0,119.0,50.0,490.0,34.0,263.0,174.0,96.0,376.0,79.0,369.0,470.0,58.0,71.0
3351,1.0,10.0,18.0,30.0,454.0,455.0,7.0,31.0,23.0,21.0,64.0,103.0,102.0,167.0,424.0,98.0,58.0,63.0,72.0,392.0,80.0,16.0,74.0,339.0,136.0,32.0,83.0,108.0,78.0,66.0
3400,15.0,13.0,8.0,21.0,17.0,49.0,2.0,111.0,29.0,80.0,85.0,48.0,88.0,97.0,32.0,86.0,14.0,357.0,72.0,391.0,459.0,283.0,84.0,249.0,382.0,98.0,124.0,91.0,96.0,116.0
3449,0.0,14.0,18.0,71.0,31.0,38.0,53.0,75.0,80.0,28.0,91.0,17.0,72.0,61.0,104.0,87.0,20.0,368.0,41.0,498.0,136.0,24.0,15.0,135.0,88.0,95.0,47.0,114.0,606.0,57.0
3498,12.0,13.0,10.0,88.0,3.0,37.0,370.0,34.0,43.0,407.0,119.0,146.0,75.0,82.0,459.0,52.0,66.0,127.0,40.0,493.0,38.0,135.0,0.0,94.0,15.0,128.0,116.0,125.0,67.0,96.0
3547,3.0,8.0,19.0,45.0,72.0,77.0,10.0,23.0,128.0,27.0,83.0,54.0,75.0,17.0,89.0,13.0,69.0,366.0,88.0,400.0,464.0,100.0,79.0,101.0,389.0,105.0,140.0,4.0,609.0,125.0
3596,16.0,10.0,13.0,29.0,7.0,456.0,5.0,46.0,131.0,18.0,51.0,52.0,34.0,14.0,387.0,66.0,504.0,30.0,62.0,484.0,384.0,260.0,67.0,81.0,375.0,50.0,56.0,462.0,45.0,132.0
3645,15.0,13.0,56.0,82.0,3.0,43.0,369.0,38.0,138.0,400.0,99.0,83.0,30.0,69.0,57.0,134.0,47.0,59.0,95.0,7.0,42.0,148.0,186.0,12.0,101.0,46.0,81.0,105.0,603.0,133.0
3694,34.0,21.0,7.0,15.0,4.0,29.0,364.0,45.0,48.0,26.0,116.0,73.0,49.0,13.0,462.0,134.0,59.0,19.0,77.0,16.0,422.0,88.0,76.0,81.0,42.0,23.0,107.0,71.0,610.0,125.0
3743,8.0,19.0,18.0,31.0,48.0,24.0,381.0,46.0,54.0,36.0,80.0,95.0,60.0,40.0,74.0,138.0,513.0,75.0,110.0,20.0,78.0,38.0,205.0,57.0,411.0,124.0,141.0,70.0,62.0,113.0
3792,1.0,7.0,41.0,47.0,22.0,59.0,10.0,30.0,19.0,56.0,93.0,134.0,51.0,32.0,87.0,434.0,0.0,85.0,76.0,592.0,386.0,258.0,70.0,46.0,379.0,40.0,20.0,143.0,607.0,120.0
3841,19.0,15.0,18.0,20.0,7.0,29.0,490.0,97.0,27.0,476.0,100.0,479.0,46.0,82.0,47.0,339.0,620.0,16.0,111.0,492.0,589.0,99.0,72.0,9.0,440.0,43.0,51.0,116.0,60.0,126.0
3890,12.0,8.0,16.0,18.0,4.0,35.0,361.0,22.0,208.0,50.0,89.0,119.0,41.0,46.0,458.0,37.0,496.0,73.0,83.0,584.0,9.0,33.0,39.0,59.0,61.0,7.0,370.0,99.0,104.0,36.0
3939,2.0,6.0,23.0,49.0,456.0,3.0,10.0,45.0,85.0,83.0,79.0,21.0,62.0,118.0,424.0,32.0,503.0,391.0,57.0,59.0,98.0,50.0,155.0,33.0,378.0,64.0,129.0,87.0,29.0,22.0
3988,2.0,7.0,42.0,29.0,84.0,80.0,370.0,28.0,138.0,407.0,54.0,6.0,94.0,68.0,9.0,50.0,41.0,5.0,30.0,55.0,426.0,320.0,0.0,98.0,64.0,16.0,12.0,33.0,27.0,119.0
4037,6.0,7.0,22.0,47.0,456.0,457.0,364.0,69.0,97.0,143.0,18.0,10.0,90.0,40.0,462.0,123.0,506.0,374.0,21.0,493.0,389.0,84.0,66.0,54.0,380.0,120.0,32.0,53.0,118.0,94.0
4086,3.0,7.0,25.0,20.0,68.0,30.0,130.0,55.0,212.0,153.0,88.0,12.0,63.0,64.0,54.0,35.0,513.0,375.0,10.0,28.0,23.0,107.0,75.0,47.0,394.0,95.0,141.0,60.0,128.0,56.0
