,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
3003,0.0,2.0,475.0,3.0,9.0,72.0,21.0,152.0,96.0,4.0,115.0,88.0,213.0,225.0,5.0,7.0,128.0,297.0,102.0,293.0,26.0,458.0,10.0,14.0,6.0,66.0,81.0,395.0,59.0,203.0
3052,1.0,37.0,12.0,26.0,29.0,16.0,15.0,34.0,276.0,11.0,31.0,197.0,30.0,60.0,10.0,434.0,9.0,556.0,188.0,38.0,198.0,185.0,4.0,353.0,0.0,236.0,132.0,55.0,252.0,123.0
3101,7.0,9.0,120.0,11.0,1.0,0.0,41.0,42.0,556.0,50.0,4.0,18.0,86.0,29.0,12.0,14.0,40.0,67.0,121.0,538.0,19.0,81.0,16.0,49.0,2.0,101.0,196.0,26.0,102.0,75.0
3150,0.0,3.0,143.0,8.0,23.0,350.0,10.0,1.0,21.0,297.0,57.0,16.0,89.0,101.0,6.0,258.0,27.0,121.0,485.0,474.0,37.0,165.0,15.0,585.0,7.0,126.0,9.0,299.0,32.0,49.0
3199,0.0,1.0,24.0,21.0,65.0,202.0,22.0,5.0,41.0,127.0,3.0,26.0,172.0,188.0,8.0,55.0,38.0,573.0,265.0,58.0,333.0,72.0,20.0,550.0,99.0,11.0,2.0,33.0,162.0,17.0
3248,0.0,382.0,402.0,6.0,4.0,20.0,12.0,49.0,107.0,188.0,13.0,1.0,227.0,136.0,10.0,149.0,47.0,3.0,312.0,225.0,410.0,272.0,116.0,115.0,251.0,413.0,133.0,8.0,73.0,31.0
3297,0.0,109.0,131.0,1.0,9.0,35.0,41.0,11.0,227.0,78.0,106.0,7.0,6.0,26.0,100.0,2.0,367.0,27.0,25.0,65.0,3.0,53.0,36.0,17.0,84.0,292.0,322.0,10.0,143.0,73.0
3346,0.0,4.0,63.0,6.0,28.0,155.0,8.0,7.0,34.0,10.0,300.0,1.0,5.0,11.0,46.0,22.0,117.0,45.0,282.0,2.0,19.0,94.0,12.0,386.0,38.0,365.0,305.0,9.0,33.0,17.0
3395,4.0,188.0,1.0,3.0,161.0,21.0,7.0,26.0,61.0,5.0,27.0,2.0,37.0,196.0,124.0,0.0,230.0,59.0,260.0,15.0,127.0,352.0,6.0,81.0,9.0,249.0,568.0,8.0,78.0,160.0
3444,5.0,118.0,0.0,3.0,315.0,255.0,77.0,9.0,8.0,18.0,73.0,379.0,30.0,128.0,385.0,184.0,281.0,41.0,45.0,11.0,384.0,22.0,263.0,2.0,111.0,250.0,522.0,120.0,21.0,105.0
