,DACH2_DEL,APBA1_AMP,ZNF490_DEL,FLT3_MUT,GLI3_MUT,C1orf227_DEL,AXDND1_AMP,MTAP_DEL,FGF1_AMP,PRAMEF2_DEL,DEFB109P1_DEL,ETS1_DEL,ADARB2_DEL,DPP6_DEL,PRODH_DEL,GSTTP1_AMP,NRAS_MUT,MRC1_DEL,LOC729737_DEL,ZDHHC11_DEL,DOCK10_AMP,LRMP_AMP,AATK_AMP,PDE4DIP_AMP,FAM66A_DEL,MIR548AI_DEL,OR52N5_DEL,KIAA0125_AMP,JAK2_DEL,SHROOM2_DEL
3610,4449.0,51.0,25.0,16186.0,82.0,27.0,21.0,53.0,55.0,30.0,96.0,23.0,20013.0,108.0,31.0,50.0,15994.0,141.0,26.0,80.0,68.0,13737.0,142.0,98.0,54.0,93.0,87.0,73.0,2380.0,95.0
3659,95.0,6.0,9.0,16181.0,4.0,52.0,25.0,62.0,24.0,15.0,124.0,40.0,20024.0,121.0,72.0,107.0,86.0,56.0,7559.0,125.0,75.0,13731.0,63.0,131.0,98.0,127.0,27.0,176.0,2508.0,123.0
3708,4451.0,15.0,21.0,16190.0,15951.0,80.0,61.0,49.0,13461.0,8.0,5281.0,6050.0,98.0,150.0,10429.0,94.0,66.0,160.0,82.0,177.0,16.0,13718.0,18728.0,38.0,78.0,96.0,2.0,18808.0,144.0,2412.0
3757,4471.0,4.0,34.0,16182.0,15945.0,3815.0,55.0,63.0,35.0,11274.0,90.0,89.0,189.0,98.0,70.0,67.0,19.0,2211.0,7.0,95.0,84.0,13719.0,18726.0,38.0,86.0,110.0,124.0,131.0,64.0,126.0
3806,4517.0,28.0,40.0,16182.0,37.0,3.0,16957.0,61.0,79.0,11291.0,24.0,23.0,124.0,100.0,1.0,67.0,13.0,168.0,31.0,42.0,69.0,13710.0,68.0,18847.0,98.0,60.0,2753.0,49.0,57.0,34.0
3855,4561.0,9.0,13.0,16180.0,7.0,39.0,78.0,55.0,31.0,20.0,5272.0,51.0,76.0,83.0,11616.0,97.0,53.0,14.0,52.0,106.0,134.0,13711.0,42.0,56.0,91.0,71.0,46.0,44.0,108.0,99.0
3904,64.0,14526.0,20.0,55.0,15945.0,3807.0,5.0,76.0,61.0,11290.0,121.0,51.0,158.0,165.0,38.0,141.0,15991.0,36.0,43.0,6136.0,65.0,13732.0,63.0,120.0,69.0,150.0,114.0,23.0,123.0,22.0
3953,20.0,14520.0,21.0,16186.0,19.0,3840.0,16955.0,67.0,62.0,33.0,83.0,101.0,20012.0,96.0,73.0,128.0,15995.0,31.0,7604.0,6145.0,93.0,13755.0,130.0,18736.0,157.0,19923.0,190.0,23.0,2507.0,51.0
4002,16.0,28.0,20.0,79.0,5.0,3844.0,16973.0,55.0,53.0,6.0,136.0,6057.0,180.0,142.0,38.0,133.0,39.0,202.0,7558.0,6145.0,21419.0,13716.0,146.0,21.0,91.0,96.0,159.0,66.0,177.0,43.0
4051,12.0,17.0,19.0,2.0,15945.0,3835.0,16952.0,58.0,41.0,11294.0,51.0,38.0,78.0,66.0,11616.0,70.0,15990.0,79.0,1.0,6146.0,21418.0,47.0,80.0,129.0,87.0,123.0,152.0,42.0,3.0,91.0
4100,4.0,23.0,42.0,16187.0,25.0,3849.0,16963.0,48.0,32.0,69.0,114.0,33.0,20014.0,154.0,94.0,155.0,95.0,100.0,71.0,6148.0,21424.0,80.0,89.0,18716.0,170.0,204.0,181.0,144.0,118.0,128.0
4149,9.0,21.0,24.0,30.0,2.0,3818.0,16956.0,82.0,71.0,44.0,121.0,6047.0,39.0,62.0,77.0,63.0,15989.0,218.0,7.0,162.0,21434.0,13753.0,93.0,74.0,157.0,164.0,207.0,105.0,101.0,146.0
4198,6.0,52.0,23.0,16180.0,15942.0,3777.0,16955.0,45.0,37.0,80.0,5269.0,99.0,124.0,66.0,50.0,138.0,15990.0,2202.0,36.0,6136.0,21415.0,13729.0,18722.0,109.0,120.0,88.0,148.0,84.0,0.0,31.0
4247,29.0,11.0,27.0,16183.0,10.0,3839.0,16954.0,62.0,79.0,11278.0,36.0,100.0,171.0,73.0,82.0,116.0,15993.0,187.0,7599.0,6138.0,21424.0,157.0,74.0,118.0,174.0,94.0,2809.0,31.0,2387.0,2415.0
4296,4514.0,4.0,32.0,7.0,21.0,3808.0,11.0,51.0,67.0,102.0,87.0,164.0,179.0,114.0,45.0,107.0,64.0,135.0,14.0,6143.0,79.0,122.0,18727.0,18713.0,89.0,185.0,2804.0,91.0,2383.0,113.0
4345,4.0,23.0,18.0,44.0,17.0,3839.0,27.0,50.0,37.0,12.0,108.0,6046.0,49.0,123.0,146.0,124.0,15993.0,94.0,7538.0,6136.0,53.0,13755.0,47.0,38.0,165.0,163.0,2780.0,24.0,2453.0,142.0
4394,11.0,33.0,10.0,6.0,2.0,3832.0,16957.0,54.0,30.0,75.0,38.0,53.0,29.0,133.0,82.0,57.0,15991.0,108.0,7597.0,67.0,21418.0,23.0,84.0,5.0,177.0,142.0,2817.0,9.0,161.0,127.0
4443,4468.0,14528.0,14.0,9.0,19.0,40.0,16960.0,59.0,69.0,65.0,70.0,158.0,108.0,133.0,11620.0,114.0,91.0,26.0,130.0,187.0,64.0,13715.0,66.0,18715.0,93.0,179.0,166.0,55.0,2513.0,2426.0
4492,4459.0,18.0,23.0,16189.0,15952.0,3851.0,16966.0,140.0,120.0,25.0,5293.0,59.0,20013.0,114.0,11624.0,131.0,54.0,11.0,7561.0,6147.0,61.0,62.0,122.0,18719.0,85.0,173.0,107.0,136.0,137.0,126.0
4541,4457.0,39.0,50.0,22.0,0.0,15.0,16962.0,35.0,180.0,40.0,55.0,47.0,23.0,62.0,27.0,107.0,15998.0,65.0,30.0,57.0,21426.0,13724.0,94.0,18724.0,104.0,128.0,132.0,81.0,112.0,103.0
4590,4573.0,90.0,17.0,12.0,15944.0,34.0,16971.0,28.0,120.0,11271.0,107.0,26.0,5.0,74.0,11.0,68.0,4.0,78.0,7560.0,35.0,103.0,73.0,43.0,18848.0,115.0,179.0,39.0,18821.0,132.0,2400.0
4639,16.0,18.0,48.0,47.0,8.0,3852.0,78.0,49.0,88.0,11282.0,161.0,98.0,73.0,171.0,157.0,168.0,40.0,50.0,120.0,36.0,21425.0,13722.0,18731.0,44.0,100.0,211.0,2789.0,166.0,133.0,96.0
4688,4457.0,14468.0,42.0,39.0,0.0,72.0,16966.0,38.0,13466.0,3.0,5288.0,6059.0,81.0,172.0,35.0,129.0,15996.0,58.0,111.0,6145.0,21423.0,27.0,90.0,18723.0,93.0,160.0,124.0,18790.0,65.0,2430.0
4737,75.0,50.0,13.0,4.0,8.0,24.0,2.0,49.0,45.0,104.0,85.0,6056.0,36.0,163.0,11618.0,146.0,98.0,38.0,82.0,119.0,102.0,13719.0,18728.0,18714.0,107.0,185.0,202.0,18806.0,65.0,120.0
4786,4449.0,22.0,25.0,23.0,7.0,3848.0,16956.0,205.0,26.0,85.0,138.0,42.0,87.0,101.0,30.0,120.0,15992.0,35.0,44.0,89.0,12.0,13755.0,11.0,18829.0,56.0,183.0,106.0,160.0,126.0,151.0
4835,77.0,65.0,40.0,28.0,33.0,44.0,7.0,54.0,13466.0,11280.0,5284.0,43.0,177.0,112.0,104.0,56.0,38.0,2213.0,7594.0,6146.0,21419.0,30.0,55.0,18735.0,108.0,164.0,125.0,18827.0,169.0,115.0
4884,18.0,8.0,22.0,6.0,17.0,3839.0,16961.0,121.0,156.0,81.0,122.0,97.0,62.0,127.0,10616.0,134.0,16.0,47.0,70.0,6140.0,61.0,13715.0,92.0,18783.0,79.0,170.0,131.0,18823.0,186.0,80.0
