,PKC-alpha,Shc_pY317,Gab2,c-Jun_pS73,TFRC,AMPK_alpha,FRA1,GSK3_pS9,Bax,G6PD,NDRG1_pT346,XBP1,4E-BP1_pS65,Smac,ADAR1,Cyclin_E1,p70S6K_pT389,Cyclin_B1,Rictor_pT1135,RAD51,ASNS,MSH6,p90RSK_pT359_S363,Fibronectin,IGFBP2,JNK2,4E-BP1,YB-1_pS102,N-Cadherin,Lck
2553,18.0,10.0,20.0,40.0,3.0,105.0,0.0,17.0,25.0,142.0,163.0,21.0,89.0,90.0,27.0,9.0,80.0,70.0,47.0,23.0,161.0,39.0,156.0,12.0,43.0,61.0,26.0,42.0,149.0,38.0
2602,22.0,88.0,38.0,15.0,120.0,17.0,6.0,3.0,25.0,10.0,39.0,21.0,2.0,63.0,145.0,103.0,13.0,8.0,86.0,99.0,36.0,80.0,98.0,5.0,42.0,32.0,16.0,19.0,24.0,9.0
2651,9.0,3.0,19.0,69.0,87.0,43.0,30.0,94.0,48.0,40.0,5.0,52.0,4.0,67.0,132.0,32.0,64.0,29.0,98.0,12.0,124.0,70.0,41.0,95.0,28.0,23.0,51.0,46.0,142.0,147.0
2700,27.0,6.0,24.0,11.0,55.0,35.0,39.0,8.0,69.0,63.0,47.0,73.0,67.0,15.0,20.0,77.0,103.0,1.0,22.0,49.0,2.0,68.0,147.0,82.0,34.0,14.0,64.0,65.0,159.0,98.0
2749,10.0,34.0,39.0,12.0,82.0,48.0,150.0,2.0,18.0,40.0,100.0,36.0,63.0,54.0,9.0,30.0,71.0,16.0,80.0,59.0,152.0,32.0,148.0,13.0,26.0,28.0,124.0,15.0,138.0,44.0
2798,3.0,82.0,25.0,42.0,48.0,22.0,15.0,9.0,20.0,146.0,21.0,13.0,78.0,37.0,43.0,23.0,14.0,10.0,55.0,99.0,68.0,74.0,97.0,147.0,69.0,34.0,130.0,19.0,161.0,84.0
2847,6.0,1.0,21.0,26.0,12.0,22.0,3.0,133.0,29.0,153.0,145.0,72.0,46.0,64.0,123.0,36.0,30.0,8.0,44.0,16.0,119.0,43.0,49.0,135.0,34.0,84.0,42.0,56.0,144.0,86.0
2896,12.0,0.0,65.0,34.0,27.0,72.0,87.0,70.0,23.0,13.0,60.0,14.0,26.0,11.0,38.0,21.0,75.0,30.0,32.0,37.0,31.0,94.0,7.0,80.0,74.0,8.0,86.0,54.0,148.0,20.0
2945,17.0,83.0,22.0,16.0,69.0,14.0,85.0,142.0,56.0,28.0,13.0,58.0,35.0,106.0,86.0,41.0,8.0,31.0,57.0,94.0,5.0,33.0,89.0,155.0,76.0,103.0,99.0,20.0,10.0,90.0
2994,8.0,73.0,15.0,39.0,1.0,19.0,22.0,31.0,25.0,26.0,6.0,60.0,16.0,32.0,95.0,35.0,57.0,63.0,41.0,99.0,14.0,47.0,27.0,18.0,37.0,85.0,33.0,62.0,17.0,68.0
3043,6.0,21.0,17.0,62.0,12.0,39.0,41.0,90.0,35.0,131.0,22.0,67.0,40.0,53.0,52.0,76.0,74.0,56.0,32.0,91.0,88.0,51.0,1.0,29.0,14.0,46.0,20.0,49.0,83.0,87.0
3092,6.0,120.0,45.0,1.0,16.0,33.0,18.0,27.0,76.0,59.0,160.0,40.0,104.0,49.0,43.0,63.0,65.0,64.0,13.0,97.0,37.0,0.0,19.0,73.0,85.0,146.0,96.0,25.0,4.0,147.0
3141,8.0,23.0,46.0,35.0,5.0,31.0,68.0,60.0,34.0,140.0,92.0,67.0,17.0,6.0,43.0,20.0,122.0,15.0,36.0,100.0,10.0,116.0,14.0,32.0,85.0,13.0,24.0,57.0,53.0,11.0
3190,13.0,7.0,81.0,37.0,3.0,31.0,40.0,93.0,29.0,62.0,69.0,44.0,136.0,118.0,11.0,147.0,67.0,86.0,35.0,119.0,125.0,39.0,21.0,76.0,24.0,75.0,73.0,26.0,12.0,20.0
3239,9.0,112.0,43.0,21.0,0.0,19.0,10.0,50.0,36.0,122.0,44.0,48.0,83.0,65.0,99.0,131.0,39.0,25.0,22.0,93.0,101.0,55.0,46.0,24.0,77.0,23.0,90.0,28.0,37.0,155.0
3288,9.0,17.0,15.0,14.0,35.0,24.0,90.0,7.0,25.0,38.0,47.0,58.0,69.0,84.0,125.0,45.0,11.0,43.0,53.0,20.0,33.0,32.0,4.0,93.0,26.0,44.0,57.0,67.0,103.0,89.0
3337,16.0,71.0,63.0,6.0,2.0,9.0,67.0,95.0,88.0,68.0,35.0,42.0,23.0,22.0,49.0,105.0,44.0,147.0,55.0,50.0,13.0,36.0,31.0,70.0,4.0,65.0,82.0,61.0,1.0,133.0
3386,11.0,38.0,28.0,19.0,67.0,24.0,22.0,13.0,17.0,6.0,59.0,54.0,124.0,10.0,101.0,47.0,51.0,65.0,33.0,95.0,14.0,31.0,139.0,27.0,25.0,30.0,128.0,71.0,0.0,103.0
3435,4.0,35.0,11.0,9.0,50.0,96.0,69.0,26.0,32.0,140.0,14.0,25.0,28.0,22.0,84.0,44.0,75.0,2.0,94.0,48.0,92.0,74.0,8.0,103.0,68.0,21.0,33.0,79.0,139.0,30.0
3484,17.0,60.0,22.0,13.0,68.0,52.0,31.0,32.0,39.0,21.0,5.0,106.0,24.0,61.0,97.0,147.0,153.0,3.0,99.0,74.0,80.0,37.0,4.0,15.0,114.0,29.0,46.0,36.0,59.0,1.0
3533,22.0,120.0,27.0,20.0,72.0,25.0,45.0,3.0,29.0,149.0,57.0,54.0,34.0,32.0,51.0,97.0,12.0,44.0,77.0,90.0,8.0,141.0,28.0,92.0,19.0,35.0,108.0,105.0,21.0,37.0
3582,20.0,2.0,26.0,51.0,28.0,19.0,18.0,76.0,60.0,99.0,12.0,59.0,31.0,44.0,131.0,132.0,48.0,56.0,105.0,58.0,10.0,63.0,34.0,136.0,93.0,8.0,43.0,50.0,17.0,67.0
3631,32.0,79.0,18.0,6.0,102.0,22.0,34.0,69.0,48.0,122.0,143.0,20.0,14.0,31.0,4.0,68.0,16.0,37.0,94.0,87.0,58.0,97.0,62.0,53.0,93.0,155.0,130.0,39.0,57.0,5.0
3680,10.0,78.0,18.0,33.0,5.0,28.0,22.0,12.0,15.0,35.0,7.0,48.0,129.0,38.0,77.0,25.0,69.0,4.0,94.0,81.0,108.0,93.0,24.0,52.0,101.0,137.0,3.0,51.0,115.0,0.0
3729,10.0,66.0,25.0,30.0,14.0,13.0,58.0,18.0,29.0,31.0,19.0,64.0,35.0,77.0,7.0,8.0,57.0,4.0,71.0,68.0,27.0,106.0,12.0,38.0,46.0,40.0,87.0,109.0,84.0,158.0
3778,5.0,45.0,25.0,22.0,9.0,24.0,34.0,7.0,14.0,53.0,23.0,30.0,46.0,17.0,15.0,139.0,119.0,8.0,47.0,84.0,79.0,35.0,16.0,118.0,87.0,152.0,63.0,1.0,50.0,40.0
3827,5.0,8.0,31.0,23.0,17.0,24.0,42.0,88.0,46.0,135.0,0.0,50.0,73.0,58.0,32.0,44.0,6.0,78.0,37.0,45.0,10.0,93.0,54.0,9.0,34.0,35.0,84.0,2.0,147.0,86.0
3876,5.0,67.0,19.0,15.0,42.0,60.0,78.0,10.0,25.0,159.0,22.0,38.0,48.0,43.0,7.0,113.0,9.0,27.0,93.0,73.0,21.0,4.0,17.0,35.0,84.0,148.0,37.0,13.0,91.0,31.0
3925,1.0,26.0,30.0,44.0,16.0,33.0,62.0,27.0,52.0,82.0,29.0,101.0,9.0,11.0,0.0,118.0,107.0,48.0,17.0,69.0,24.0,122.0,35.0,21.0,79.0,153.0,37.0,75.0,25.0,88.0
3974,27.0,6.0,55.0,13.0,17.0,22.0,24.0,125.0,83.0,7.0,76.0,10.0,33.0,34.0,18.0,77.0,124.0,78.0,46.0,29.0,11.0,111.0,56.0,102.0,45.0,156.0,137.0,71.0,3.0,4.0
4023,28.0,5.0,65.0,32.0,72.0,15.0,18.0,31.0,29.0,92.0,88.0,66.0,52.0,44.0,129.0,97.0,53.0,154.0,17.0,42.0,87.0,118.0,89.0,69.0,20.0,83.0,132.0,81.0,33.0,71.0
4072,13.0,125.0,12.0,15.0,18.0,41.0,21.0,2.0,11.0,5.0,60.0,68.0,92.0,9.0,6.0,66.0,118.0,144.0,27.0,53.0,35.0,7.0,73.0,40.0,93.0,104.0,19.0,109.0,159.0,76.0
4121,15.0,10.0,19.0,22.0,32.0,20.0,23.0,65.0,61.0,29.0,40.0,94.0,50.0,93.0,16.0,43.0,72.0,82.0,38.0,52.0,42.0,67.0,71.0,14.0,47.0,1.0,113.0,73.0,140.0,2.0
4170,10.0,7.0,64.0,4.0,83.0,44.0,36.0,5.0,70.0,17.0,73.0,29.0,130.0,9.0,57.0,101.0,50.0,25.0,24.0,46.0,121.0,66.0,51.0,3.0,23.0,110.0,13.0,72.0,22.0,108.0
4219,22.0,8.0,70.0,56.0,44.0,57.0,25.0,72.0,28.0,9.0,102.0,24.0,31.0,39.0,19.0,48.0,36.0,20.0,29.0,26.0,12.0,27.0,152.0,91.0,81.0,96.0,118.0,80.0,49.0,99.0
