,GSTTP1_AMP,PRB1_AMP,LOC653786_DEL,GOLGA8DP_DEL,LOC440970_DEL,MAST4_MUT,LRRC37A2_AMP,CADM2_DEL,AATK_AMP,LRMP_AMP,NCOA7_DEL,CES1P1_DEL,DNAH8_MUT,SIGLEC14_DEL,NSFP1_AMP,ARL17B_AMP,TAS2R43_AMP,C18orf61_DEL,LOC728407_AMP,DPP6_DEL,ZBTB20_AMP,NSF_AMP,LRRC37A_AMP,FBXO31_DEL,LOC348120_AMP,PKHD1_MUT,ARSB_DEL,LILRA6_DEL,EP300_MUT,ASTN1_MUT
962,9.0,50.0,3.0,2.0,1.0,48.0,16.0,8.0,131.0,7.0,13.0,0.0,973.0,21.0,20.0,65.0,42.0,108.0,72.0,924.0,29.0,49.0,111.0,183.0,51.0,1096.0,915.0,46.0,10.0,60.0
1011,13.0,46.0,0.0,4.0,67.0,26.0,7.0,9.0,44.0,27.0,8.0,19.0,89.0,31.0,10.0,3.0,17.0,32.0,25.0,220.0,232.0,21.0,5.0,20.0,60.0,551.0,101.0,543.0,30.0,116.0
1060,2.0,8.0,1.0,52.0,1717.0,109.0,20.0,31.0,23.0,28.0,0.0,2081.0,218.0,221.0,30.0,17.0,5.0,46.0,12.0,82.0,90.0,63.0,9.0,11.0,21.0,59.0,44.0,290.0,16.0,162.0
1109,20.0,12.0,4.0,1.0,42.0,5.0,6.0,162.0,3.0,16.0,8.0,46.0,17.0,50.0,11.0,0.0,27.0,47.0,53.0,156.0,275.0,15.0,2.0,19.0,347.0,309.0,197.0,307.0,9.0,394.0
1158,9.0,132.0,3.0,13.0,51.0,10.0,5.0,19.0,26.0,80.0,8.0,2.0,153.0,76.0,12.0,28.0,1.0,22.0,84.0,61.0,14.0,30.0,54.0,53.0,81.0,628.0,112.0,287.0,4.0,95.0
1207,23.0,11.0,18.0,46.0,110.0,13.0,22.0,63.0,3.0,44.0,2.0,35.0,92.0,12.0,24.0,8.0,6.0,36.0,34.0,98.0,67.0,58.0,21.0,27.0,1483.0,55.0,236.0,1048.0,15.0,51.0
1256,0.0,9.0,1.0,4.0,86.0,6.0,14.0,17.0,25.0,28.0,21.0,2.0,3.0,71.0,24.0,31.0,22.0,57.0,75.0,421.0,55.0,56.0,44.0,13.0,160.0,89.0,853.0,252.0,7.0,70.0
1305,26.0,46.0,5.0,13.0,67.0,6.0,11.0,33.0,7.0,27.0,4.0,12.0,1456.0,111.0,23.0,9.0,1.0,10.0,45.0,3.0,102.0,49.0,14.0,166.0,29.0,76.0,138.0,604.0,35.0,47.0
1354,3.0,48.0,14.0,2.0,41.0,53.0,80.0,27.0,28.0,36.0,1.0,9.0,33.0,107.0,54.0,83.0,0.0,7.0,51.0,10.0,200.0,177.0,181.0,12.0,6.0,87.0,97.0,182.0,5.0,20.0
1403,2.0,280.0,1.0,21.0,78.0,34.0,3.0,47.0,14.0,192.0,0.0,93.0,30.0,13.0,6.0,16.0,5.0,40.0,37.0,25.0,29.0,17.0,20.0,15.0,141.0,169.0,72.0,416.0,4.0,31.0
1452,0.0,42.0,1.0,2.0,282.0,14.0,24.0,44.0,10.0,13.0,22.0,6.0,108.0,76.0,37.0,29.0,4.0,11.0,68.0,8.0,28.0,171.0,35.0,36.0,89.0,562.0,87.0,270.0,12.0,102.0
1501,10.0,18.0,6.0,15.0,217.0,5.0,28.0,31.0,14.0,1.0,95.0,2.0,1285.0,68.0,46.0,42.0,21.0,8.0,29.0,823.0,50.0,36.0,60.0,48.0,412.0,27.0,59.0,1058.0,15499.0,15317.0
