,GABA,alpha-hydroxybutyrate,phosphocreatine,serine,alpha-glycerophosphate,C16:0 LPE,alpha-glycerophosphocholine,UMP,C22:6 LPE,niacinamide,C18:0 LPC,palmitoylcarnitine,pyroglutamic acid,isocitrate,valerylcarnitine,hypoxanthine,pantothenate,C36:4 PC-B,adenosine,urate,creatinine,C18:0 LPE,asparagine,serotonin,NADP,SDMA/ADMA,malondialdehyde,C34:4 PC,inositol,C56:5 TAG
3012,0.0,4.0,5.0,8.0,2.0,1.0,11.0,3.0,6.0,9.0,12.0,7.0,13.0,10.0,19.0,18.0,25.0,16.0,21.0,34.0,23.0,14.0,20.0,17.0,30.0,28.0,15.0,39.0,44.0,22.0
3061,0.0,2.0,5.0,7.0,1.0,4.0,11.0,9.0,3.0,10.0,6.0,8.0,15.0,12.0,13.0,23.0,19.0,20.0,17.0,33.0,14.0,18.0,26.0,16.0,28.0,31.0,32.0,37.0,44.0,22.0
3110,0.0,1.0,2.0,10.0,4.0,3.0,14.0,5.0,6.0,12.0,9.0,8.0,20.0,11.0,16.0,7.0,28.0,15.0,19.0,26.0,18.0,13.0,17.0,22.0,32.0,23.0,25.0,31.0,54.0,29.0
3159,0.0,3.0,13.0,12.0,6.0,2.0,15.0,1.0,7.0,4.0,5.0,10.0,14.0,8.0,9.0,11.0,20.0,22.0,34.0,31.0,19.0,17.0,21.0,16.0,28.0,24.0,23.0,33.0,49.0,27.0
3208,0.0,6.0,5.0,1.0,4.0,7.0,10.0,2.0,11.0,3.0,8.0,14.0,15.0,12.0,9.0,13.0,22.0,24.0,18.0,32.0,21.0,16.0,19.0,17.0,30.0,25.0,28.0,29.0,46.0,27.0
3257,0.0,4.0,5.0,10.0,7.0,2.0,14.0,3.0,1.0,8.0,9.0,6.0,12.0,15.0,28.0,16.0,32.0,24.0,11.0,38.0,17.0,13.0,23.0,18.0,30.0,39.0,22.0,26.0,42.0,19.0
3306,0.0,1.0,6.0,7.0,5.0,2.0,12.0,3.0,4.0,10.0,9.0,19.0,17.0,8.0,23.0,13.0,24.0,21.0,14.0,25.0,28.0,33.0,22.0,27.0,18.0,31.0,11.0,34.0,45.0,16.0
3355,0.0,3.0,4.0,6.0,1.0,8.0,5.0,2.0,7.0,9.0,15.0,11.0,13.0,10.0,12.0,16.0,20.0,14.0,23.0,44.0,17.0,21.0,27.0,19.0,31.0,24.0,18.0,34.0,53.0,28.0
3404,0.0,1.0,7.0,3.0,19.0,2.0,12.0,6.0,5.0,16.0,4.0,14.0,11.0,28.0,8.0,9.0,22.0,20.0,26.0,48.0,23.0,10.0,21.0,24.0,13.0,33.0,29.0,32.0,52.0,27.0
3453,3.0,2.0,5.0,6.0,10.0,4.0,0.0,8.0,13.0,18.0,11.0,1.0,9.0,12.0,17.0,16.0,7.0,21.0,44.0,14.0,23.0,19.0,31.0,38.0,28.0,27.0,42.0,24.0,25.0,15.0
3502,1.0,0.0,3.0,5.0,8.0,10.0,2.0,4.0,13.0,22.0,12.0,6.0,11.0,9.0,19.0,29.0,7.0,15.0,32.0,37.0,21.0,14.0,34.0,16.0,28.0,23.0,30.0,33.0,24.0,27.0
3551,1.0,0.0,2.0,11.0,5.0,10.0,8.0,3.0,16.0,12.0,17.0,4.0,9.0,14.0,19.0,6.0,7.0,18.0,43.0,33.0,15.0,20.0,13.0,37.0,22.0,21.0,30.0,27.0,31.0,23.0
3600,1.0,0.0,8.0,4.0,3.0,6.0,2.0,5.0,21.0,7.0,14.0,12.0,9.0,13.0,11.0,15.0,19.0,26.0,37.0,23.0,16.0,10.0,24.0,28.0,29.0,25.0,46.0,20.0,18.0,17.0
3649,0.0,1.0,3.0,5.0,11.0,7.0,6.0,4.0,10.0,13.0,12.0,2.0,8.0,9.0,15.0,25.0,14.0,17.0,19.0,26.0,21.0,16.0,20.0,33.0,35.0,23.0,30.0,18.0,24.0,28.0
3698,0.0,1.0,4.0,5.0,3.0,6.0,2.0,7.0,15.0,17.0,8.0,11.0,14.0,12.0,18.0,29.0,9.0,10.0,41.0,36.0,20.0,24.0,21.0,40.0,31.0,30.0,16.0,25.0,22.0,13.0
3747,0.0,2.0,1.0,6.0,10.0,15.0,5.0,4.0,11.0,31.0,14.0,3.0,16.0,7.0,21.0,12.0,19.0,20.0,28.0,38.0,22.0,37.0,8.0,27.0,18.0,26.0,42.0,9.0,13.0,24.0
3796,5.0,0.0,1.0,2.0,15.0,11.0,6.0,3.0,14.0,21.0,10.0,4.0,9.0,8.0,24.0,20.0,19.0,7.0,29.0,23.0,13.0,17.0,22.0,37.0,31.0,26.0,30.0,16.0,25.0,12.0
