,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,NERVOUS,OVARY,LUNG,SKIN,LARGE_INTESTINE,PANCREAS,ENDOMETRIUM,URINARY,LIVER,BREAST,GANGLIA,PROSTATE,SOFT_TISSUE,BONE,PLEURA,AERODIGESTIVE,THYROID,KIDNEY,BILIARY,SALIVARY
2400,1.0,10.0,2.0,13.0,12.0,0.0,7.0,3.0,4.0,6.0,9.0,11.0,5.0,14.0,8.0,15.0,16.0,17.0,19.0,20.0,18.0,21.0,22.0
2449,1.0,4.0,0.0,20.0,6.0,3.0,12.0,7.0,8.0,2.0,13.0,10.0,9.0,5.0,11.0,16.0,14.0,15.0,18.0,17.0,19.0,21.0,22.0
2498,0.0,2.0,9.0,4.0,5.0,11.0,13.0,8.0,6.0,1.0,3.0,10.0,7.0,16.0,20.0,12.0,15.0,17.0,19.0,14.0,18.0,22.0,21.0
2547,5.0,3.0,1.0,4.0,0.0,2.0,13.0,7.0,9.0,10.0,12.0,8.0,11.0,6.0,16.0,14.0,15.0,19.0,20.0,17.0,18.0,22.0,21.0
2596,6.0,0.0,4.0,1.0,5.0,3.0,2.0,12.0,8.0,11.0,19.0,9.0,10.0,7.0,15.0,16.0,13.0,20.0,14.0,17.0,18.0,22.0,21.0
2645,4.0,2.0,7.0,15.0,1.0,19.0,6.0,0.0,9.0,5.0,16.0,8.0,3.0,10.0,18.0,12.0,11.0,20.0,17.0,13.0,14.0,22.0,21.0
2694,1.0,8.0,0.0,7.0,19.0,2.0,6.0,15.0,9.0,3.0,12.0,13.0,5.0,4.0,17.0,11.0,14.0,18.0,20.0,10.0,16.0,22.0,21.0
2743,0.0,4.0,7.0,5.0,6.0,3.0,1.0,8.0,10.0,14.0,11.0,9.0,2.0,12.0,16.0,13.0,17.0,20.0,15.0,18.0,19.0,22.0,21.0
2792,0.0,8.0,4.0,6.0,9.0,1.0,5.0,2.0,10.0,15.0,7.0,13.0,3.0,11.0,17.0,12.0,14.0,20.0,16.0,18.0,19.0,22.0,21.0
2841,0.0,2.0,5.0,3.0,4.0,11.0,7.0,14.0,9.0,1.0,12.0,8.0,10.0,6.0,16.0,13.0,17.0,20.0,15.0,18.0,19.0,22.0,21.0
2890,1.0,8.0,5.0,7.0,9.0,6.0,0.0,2.0,10.0,15.0,11.0,13.0,3.0,4.0,17.0,12.0,14.0,20.0,16.0,18.0,19.0,22.0,21.0
2939,1.0,2.0,13.0,3.0,4.0,0.0,6.0,7.0,9.0,10.0,12.0,8.0,11.0,5.0,16.0,17.0,14.0,20.0,15.0,18.0,19.0,22.0,21.0
2988,0.0,8.0,1.0,11.0,7.0,6.0,9.0,14.0,3.0,4.0,13.0,5.0,12.0,19.0,2.0,16.0,10.0,17.0,18.0,15.0,20.0,21.0,22.0
3037,0.0,15.0,2.0,10.0,9.0,8.0,11.0,4.0,5.0,7.0,14.0,12.0,6.0,3.0,1.0,16.0,13.0,17.0,22.0,18.0,19.0,20.0,21.0
3086,0.0,9.0,16.0,8.0,7.0,6.0,5.0,2.0,3.0,13.0,18.0,4.0,14.0,15.0,1.0,11.0,12.0,17.0,19.0,10.0,20.0,21.0,22.0
3135,1.0,3.0,0.0,4.0,5.0,2.0,7.0,11.0,12.0,10.0,19.0,9.0,8.0,6.0,13.0,15.0,14.0,20.0,16.0,17.0,18.0,21.0,22.0
3184,0.0,8.0,2.0,7.0,12.0,1.0,9.0,14.0,13.0,5.0,15.0,10.0,4.0,3.0,6.0,17.0,11.0,18.0,19.0,16.0,20.0,21.0,22.0
3233,7.0,3.0,12.0,5.0,6.0,2.0,0.0,8.0,9.0,11.0,4.0,1.0,10.0,13.0,14.0,17.0,15.0,20.0,16.0,18.0,19.0,22.0,21.0
3282,0.0,9.0,2.0,8.0,7.0,6.0,10.0,14.0,3.0,4.0,13.0,5.0,12.0,15.0,1.0,17.0,11.0,18.0,19.0,16.0,20.0,21.0,22.0
3331,2.0,3.0,1.0,4.0,5.0,0.0,8.0,7.0,9.0,10.0,12.0,13.0,16.0,6.0,11.0,17.0,14.0,15.0,18.0,19.0,20.0,21.0,22.0
3380,6.0,3.0,7.0,5.0,12.0,2.0,0.0,8.0,10.0,1.0,4.0,9.0,11.0,14.0,16.0,17.0,13.0,20.0,15.0,18.0,19.0,21.0,22.0
3429,1.0,8.0,9.0,11.0,10.0,15.0,2.0,16.0,6.0,0.0,7.0,3.0,4.0,5.0,17.0,12.0,13.0,14.0,20.0,18.0,19.0,21.0,22.0
3478,0.0,2.0,9.0,4.0,5.0,19.0,8.0,1.0,6.0,10.0,3.0,13.0,7.0,18.0,12.0,17.0,16.0,11.0,22.0,14.0,15.0,20.0,21.0
