,C-Raf_pS338,MIG-6,VAV1,CDK1,Beclin,YAP_pS127,Rb_pS807_S811,Src_pY416,SHP-2_pY542,TIGAR,beta-Catenin,HSP70,beta-Catenin_pT41_S45,4E-BP1_pT70,PEA15,Src,IGFBP2,Akt,Caspase-7_cleavedD198,Fibronectin,RAD51,p38_pT180_Y182,PKC-alpha,MSH6,TTF1,4E-BP1,EGFR,Annexin_VII,VHL,alpha-Catenin
2405,1.0,13.0,4.0,3.0,0.0,27.0,2.0,5.0,8.0,19.0,35.0,20.0,16.0,60.0,6.0,128.0,17.0,58.0,140.0,93.0,11.0,134.0,7.0,40.0,79.0,64.0,113.0,45.0,108.0,61.0
2454,4.0,17.0,5.0,12.0,1.0,0.0,15.0,83.0,30.0,102.0,21.0,31.0,33.0,73.0,61.0,47.0,20.0,13.0,46.0,7.0,35.0,41.0,2.0,10.0,22.0,124.0,19.0,3.0,58.0,81.0
2503,0.0,4.0,1.0,7.0,10.0,31.0,2.0,23.0,32.0,56.0,3.0,38.0,45.0,66.0,5.0,25.0,6.0,20.0,52.0,36.0,9.0,149.0,18.0,95.0,11.0,139.0,46.0,34.0,59.0,8.0
2552,1.0,3.0,0.0,134.0,23.0,4.0,2.0,26.0,55.0,98.0,19.0,6.0,32.0,45.0,8.0,27.0,9.0,31.0,30.0,24.0,12.0,48.0,71.0,10.0,21.0,52.0,129.0,95.0,33.0,14.0
2601,10.0,11.0,0.0,16.0,2.0,1.0,4.0,15.0,124.0,35.0,9.0,26.0,12.0,3.0,73.0,76.0,7.0,84.0,21.0,5.0,27.0,57.0,22.0,28.0,14.0,19.0,44.0,25.0,63.0,6.0
2650,1.0,10.0,0.0,3.0,13.0,36.0,7.0,54.0,90.0,111.0,29.0,2.0,58.0,20.0,21.0,4.0,89.0,14.0,41.0,45.0,39.0,61.0,44.0,88.0,50.0,99.0,6.0,56.0,52.0,32.0
2699,0.0,2.0,7.0,67.0,11.0,19.0,5.0,3.0,75.0,41.0,1.0,37.0,24.0,13.0,38.0,70.0,43.0,4.0,80.0,73.0,151.0,23.0,39.0,10.0,18.0,100.0,46.0,123.0,68.0,12.0
2748,3.0,4.0,10.0,21.0,1.0,2.0,18.0,53.0,28.0,46.0,52.0,24.0,11.0,0.0,12.0,6.0,9.0,41.0,5.0,29.0,127.0,64.0,47.0,135.0,110.0,49.0,16.0,44.0,114.0,37.0
2797,0.0,18.0,6.0,7.0,2.0,16.0,5.0,81.0,86.0,41.0,69.0,20.0,1.0,10.0,19.0,13.0,4.0,57.0,93.0,3.0,77.0,29.0,59.0,84.0,43.0,32.0,90.0,27.0,21.0,97.0
2846,8.0,4.0,0.0,10.0,2.0,1.0,7.0,6.0,14.0,80.0,3.0,21.0,11.0,16.0,27.0,5.0,18.0,33.0,13.0,90.0,95.0,34.0,120.0,105.0,22.0,26.0,50.0,24.0,114.0,42.0
2895,3.0,0.0,1.0,5.0,2.0,4.0,41.0,146.0,84.0,61.0,116.0,44.0,32.0,9.0,29.0,27.0,18.0,10.0,54.0,64.0,52.0,82.0,6.0,72.0,19.0,13.0,51.0,34.0,40.0,21.0
2944,5.0,106.0,2.0,3.0,4.0,6.0,11.0,1.0,16.0,12.0,19.0,18.0,100.0,142.0,98.0,15.0,17.0,148.0,42.0,13.0,54.0,46.0,31.0,44.0,0.0,25.0,22.0,62.0,89.0,83.0
2993,6.0,9.0,1.0,2.0,13.0,0.0,46.0,35.0,8.0,25.0,11.0,30.0,80.0,37.0,23.0,20.0,7.0,48.0,5.0,18.0,38.0,83.0,130.0,32.0,4.0,27.0,3.0,110.0,59.0,89.0
3042,0.0,5.0,4.0,55.0,2.0,10.0,15.0,13.0,80.0,30.0,8.0,22.0,23.0,98.0,14.0,53.0,35.0,84.0,139.0,43.0,6.0,3.0,11.0,20.0,18.0,39.0,34.0,40.0,31.0,90.0
3091,0.0,1.0,4.0,58.0,5.0,2.0,50.0,6.0,18.0,88.0,7.0,82.0,51.0,3.0,29.0,120.0,11.0,43.0,9.0,14.0,60.0,59.0,67.0,79.0,36.0,26.0,64.0,46.0,25.0,15.0
3140,3.0,1.0,7.0,39.0,0.0,6.0,14.0,4.0,5.0,26.0,130.0,22.0,81.0,37.0,101.0,9.0,2.0,73.0,32.0,63.0,120.0,35.0,10.0,43.0,13.0,87.0,16.0,19.0,150.0,29.0
3189,0.0,6.0,3.0,2.0,37.0,11.0,45.0,1.0,8.0,5.0,23.0,18.0,32.0,73.0,105.0,62.0,33.0,53.0,22.0,64.0,44.0,21.0,35.0,19.0,63.0,29.0,10.0,20.0,12.0,26.0
3238,0.0,8.0,3.0,28.0,6.0,1.0,43.0,2.0,5.0,57.0,59.0,9.0,56.0,30.0,141.0,79.0,17.0,48.0,7.0,32.0,14.0,21.0,40.0,20.0,22.0,46.0,67.0,65.0,24.0,66.0
3287,3.0,42.0,6.0,11.0,0.0,9.0,33.0,13.0,15.0,5.0,54.0,77.0,119.0,28.0,43.0,10.0,1.0,36.0,7.0,19.0,2.0,4.0,51.0,20.0,12.0,24.0,17.0,8.0,111.0,90.0
3336,0.0,5.0,2.0,4.0,12.0,3.0,19.0,1.0,14.0,9.0,20.0,21.0,6.0,43.0,90.0,10.0,77.0,119.0,7.0,16.0,55.0,24.0,62.0,38.0,11.0,66.0,106.0,28.0,40.0,51.0
3385,5.0,19.0,2.0,25.0,73.0,17.0,8.0,13.0,76.0,54.0,46.0,100.0,14.0,10.0,150.0,1.0,79.0,98.0,23.0,51.0,7.0,0.0,30.0,4.0,31.0,47.0,34.0,3.0,44.0,38.0
