,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,SIRPB1_AMP,DUSP22_DEL,LOC100506776_DEL,HDHD1_DEL,HLA-DQB1_AMP,MSTO2P_AMP,DAP3_AMP,GSTT1_AMP,SORD_AMP,LOC391322_AMP,KIF26B_DEL,RBFOX1_DEL,ADCY8_DEL,SLC2A9_DEL,NSFP1_DEL,RABGAP1L_DEL,GSTTP2_AMP,ODF4_DEL,USP32P2_DEL,TAG_DEL,UNC13C_MUT,HERC2P2_AMP,BCAS1_AMP,LRRK1_MUT
569,0.0,1.0,2.0,17.0,12.0,11.0,3.0,38.0,161.0,19.0,9.0,20.0,21.0,61.0,22.0,62.0,16.0,30.0,47.0,8.0,4.0,7.0,89.0,10.0,37.0,41.0,211.0,27.0,84.0,362.0
618,0.0,1.0,2.0,3.0,7.0,50.0,6.0,18.0,38.0,15.0,5.0,89.0,90.0,10.0,40.0,8.0,20.0,30.0,21.0,13.0,44.0,25.0,9.0,11.0,110.0,48.0,115.0,19.0,35.0,116.0
667,0.0,1.0,2.0,4.0,15.0,119.0,6.0,45.0,108.0,32.0,26.0,59.0,60.0,49.0,5.0,50.0,20.0,17.0,12.0,8.0,11.0,241.0,64.0,7.0,66.0,368.0,177.0,16.0,89.0,72.0
716,0.0,2.0,1.0,21.0,25.0,7.0,33.0,36.0,3.0,22.0,178.0,26.0,27.0,39.0,18.0,38.0,73.0,17.0,12.0,29.0,175.0,31.0,53.0,63.0,47.0,3015.0,105.0,5.0,55.0,54.0
765,0.0,1.0,2.0,15.0,9.0,17.0,8.0,7.0,62.0,18.0,13.0,84.0,83.0,4.0,19.0,3.0,33.0,80.0,38.0,21.0,50.0,24.0,5.0,11.0,36.0,12.0,43.0,37.0,25.0,88.0
814,0.0,1.0,2.0,4.0,12.0,661.0,18.0,28.0,8.0,723.0,24.0,50.0,51.0,5.0,42.0,6.0,11.0,242.0,84.0,47.0,83.0,85.0,7.0,40.0,1404.0,13.0,154.0,1140.0,14.0,260.0
863,0.0,1.0,3.0,9.0,2.0,16.0,5.0,33.0,29.0,13.0,4.0,128.0,127.0,7.0,20.0,6.0,34.0,27.0,23.0,14.0,79.0,39.0,8.0,57.0,60.0,108.0,118.0,35.0,45.0,69.0
912,0.0,1.0,3.0,5.0,11.0,28.0,2.0,24.0,48.0,18.0,14.0,60.0,59.0,7.0,54.0,8.0,15.0,29.0,13.0,32.0,23.0,20.0,9.0,39.0,90.0,21.0,146.0,10.0,37.0,122.0
961,0.0,1.0,2.0,3.0,4.0,45.0,28.0,29.0,830.0,7.0,5.0,336.0,337.0,24.0,73.0,23.0,27.0,34.0,10.0,9.0,42.0,66.0,37.0,16.0,513.0,33.0,496.0,78.0,97.0,111.0
1010,2.0,1.0,0.0,33.0,4.0,3.0,61.0,9.0,22.0,24.0,17.0,6.0,7.0,12.0,199.0,11.0,131.0,8.0,45.0,10.0,15.0,53.0,20.0,34.0,21.0,46.0,41.0,44.0,50.0,1881.0
1059,1.0,0.0,5.0,18.0,4.0,2.0,3.0,30.0,125.0,23.0,8.0,9.0,10.0,39.0,13.0,38.0,17.0,26.0,51.0,11.0,35.0,31.0,61.0,139.0,7.0,21.0,85.0,7262.0,45.0,108.0
