,hsa-miR-296-5p,hsa-miR-105,hsa-miR-483-3p,hsa-miR-27b,hsa-miR-616,hsa-miR-892a,hsa-miR-26a,hsa-miR-744,hsa-miR-711,hsa-miR-34a,hsa-miR-192,hsa-miR-331-5p,hsa-miR-1977,hsa-miR-34c-5p,hsa-miR-579,hsa-miR-556-3p,hsa-miR-383,hsa-miR-148a,hsa-miR-550,hsa-miR-645,ebv-miR-BART20-5p,hsa-miR-323-5p,hsa-miR-924,hsa-miR-1236,hsv2-miR-H2,hsa-miR-504,kshv-miR-K12-7,hsa-miR-222,hsa-miR-761,hsv1-miR-H8
3692,11.0,1.0,8.0,4.0,10.0,9.0,5.0,3.0,2.0,39.0,0.0,31.0,32.0,45.0,14.0,12.0,21.0,24.0,49.0,29.0,16.0,33.0,18.0,38.0,6.0,30.0,13.0,55.0,40.0,26.0
3741,14.0,7.0,22.0,2.0,1.0,3.0,9.0,24.0,4.0,6.0,0.0,5.0,28.0,46.0,13.0,20.0,15.0,32.0,16.0,10.0,19.0,26.0,216.0,25.0,23.0,42.0,11.0,27.0,53.0,37.0
3790,18.0,5.0,15.0,13.0,3.0,1.0,9.0,4.0,12.0,2.0,0.0,11.0,30.0,17.0,19.0,45.0,22.0,7.0,109.0,6.0,39.0,36.0,89.0,381.0,8.0,14.0,35.0,88.0,74.0,32.0
3839,10.0,3.0,5.0,2.0,6.0,0.0,8.0,9.0,15.0,4.0,1.0,7.0,41.0,50.0,18.0,20.0,13.0,47.0,79.0,14.0,31.0,19.0,26.0,379.0,11.0,16.0,17.0,88.0,25.0,59.0
3888,22.0,9.0,32.0,3.0,2.0,1.0,13.0,6.0,8.0,7.0,0.0,12.0,30.0,34.0,5.0,14.0,11.0,41.0,99.0,10.0,29.0,46.0,49.0,31.0,21.0,20.0,15.0,87.0,64.0,24.0
3937,13.0,7.0,2.0,0.0,5.0,12.0,4.0,1.0,3.0,18.0,20.0,23.0,8.0,41.0,11.0,74.0,9.0,63.0,14.0,21.0,86.0,16.0,10.0,24.0,56.0,46.0,6.0,102.0,35.0,51.0
3986,3.0,2.0,1.0,8.0,6.0,42.0,10.0,12.0,15.0,59.0,4.0,60.0,17.0,16.0,19.0,39.0,9.0,24.0,0.0,74.0,75.0,11.0,5.0,13.0,22.0,56.0,7.0,23.0,110.0,54.0
4035,2.0,1.0,0.0,4.0,7.0,33.0,52.0,21.0,6.0,27.0,37.0,25.0,10.0,62.0,20.0,85.0,8.0,19.0,5.0,15.0,76.0,9.0,13.0,87.0,17.0,12.0,3.0,36.0,34.0,28.0
4084,6.0,0.0,5.0,2.0,3.0,21.0,27.0,13.0,1.0,25.0,32.0,17.0,11.0,80.0,19.0,84.0,8.0,65.0,7.0,20.0,23.0,14.0,4.0,24.0,16.0,15.0,26.0,35.0,66.0,37.0
4133,2.0,0.0,4.0,5.0,6.0,24.0,9.0,26.0,3.0,10.0,30.0,13.0,20.0,43.0,8.0,27.0,7.0,12.0,1.0,67.0,87.0,22.0,14.0,19.0,45.0,33.0,11.0,17.0,40.0,38.0
4182,0.0,1.0,3.0,20.0,2.0,17.0,16.0,8.0,4.0,41.0,11.0,6.0,10.0,76.0,12.0,23.0,5.0,65.0,14.0,31.0,64.0,25.0,18.0,32.0,13.0,43.0,7.0,45.0,58.0,68.0
4231,1.0,0.0,5.0,7.0,2.0,31.0,20.0,49.0,15.0,16.0,19.0,18.0,4.0,65.0,17.0,14.0,3.0,41.0,6.0,52.0,10.0,37.0,8.0,22.0,40.0,13.0,21.0,59.0,54.0,25.0
4280,10.0,0.0,2.0,9.0,4.0,13.0,5.0,17.0,7.0,32.0,42.0,20.0,1.0,38.0,22.0,49.0,24.0,74.0,16.0,14.0,19.0,12.0,21.0,25.0,11.0,30.0,3.0,18.0,83.0,23.0
4329,0.0,3.0,2.0,16.0,1.0,21.0,15.0,13.0,4.0,41.0,7.0,12.0,5.0,51.0,10.0,49.0,9.0,28.0,6.0,37.0,24.0,26.0,25.0,33.0,56.0,48.0,8.0,32.0,306.0,22.0
4378,10.0,2.0,4.0,3.0,19.0,1.0,14.0,17.0,0.0,54.0,34.0,11.0,5.0,32.0,43.0,21.0,8.0,61.0,12.0,18.0,58.0,23.0,37.0,27.0,16.0,62.0,39.0,33.0,241.0,56.0
4427,7.0,17.0,0.0,3.0,14.0,5.0,4.0,9.0,12.0,34.0,1.0,6.0,26.0,2.0,24.0,21.0,86.0,16.0,45.0,30.0,46.0,13.0,8.0,18.0,72.0,55.0,65.0,67.0,20.0,23.0
4476,5.0,1.0,10.0,7.0,6.0,2.0,0.0,16.0,4.0,24.0,20.0,12.0,9.0,15.0,14.0,17.0,71.0,8.0,18.0,13.0,35.0,3.0,21.0,19.0,88.0,26.0,52.0,23.0,79.0,36.0
4525,9.0,6.0,15.0,0.0,28.0,20.0,8.0,7.0,5.0,10.0,2.0,4.0,24.0,11.0,30.0,21.0,44.0,3.0,42.0,16.0,25.0,17.0,1.0,19.0,39.0,23.0,182.0,498.0,18.0,31.0
4574,0.0,10.0,3.0,13.0,7.0,1.0,5.0,22.0,4.0,14.0,6.0,11.0,31.0,30.0,18.0,15.0,51.0,2.0,43.0,17.0,8.0,23.0,9.0,20.0,33.0,42.0,35.0,21.0,36.0,34.0
4623,0.0,7.0,5.0,9.0,30.0,1.0,4.0,16.0,6.0,13.0,8.0,2.0,34.0,53.0,12.0,36.0,110.0,17.0,22.0,18.0,10.0,19.0,3.0,21.0,29.0,11.0,48.0,67.0,35.0,38.0
4672,1.0,3.0,0.0,2.0,10.0,4.0,6.0,17.0,9.0,14.0,7.0,8.0,22.0,28.0,13.0,21.0,39.0,20.0,38.0,24.0,18.0,16.0,5.0,15.0,25.0,78.0,41.0,83.0,29.0,31.0
4721,2.0,3.0,0.0,11.0,7.0,5.0,1.0,12.0,10.0,40.0,9.0,6.0,15.0,53.0,21.0,33.0,54.0,8.0,27.0,4.0,28.0,22.0,14.0,13.0,79.0,47.0,62.0,32.0,24.0,19.0
4770,0.0,3.0,1.0,17.0,10.0,4.0,7.0,27.0,6.0,21.0,5.0,11.0,43.0,15.0,12.0,2.0,52.0,22.0,54.0,8.0,19.0,33.0,9.0,18.0,42.0,26.0,93.0,65.0,28.0,70.0
4819,0.0,17.0,1.0,18.0,8.0,4.0,30.0,6.0,37.0,12.0,7.0,5.0,24.0,23.0,9.0,15.0,40.0,2.0,69.0,14.0,21.0,11.0,3.0,62.0,54.0,10.0,51.0,102.0,286.0,39.0
4868,4.0,29.0,2.0,7.0,13.0,0.0,3.0,1.0,12.0,18.0,11.0,24.0,19.0,31.0,8.0,21.0,66.0,41.0,44.0,27.0,22.0,5.0,10.0,17.0,16.0,15.0,226.0,50.0,23.0,39.0
