,PDLIM4,NDN,RP11-834C11.4,BHLHE41,CTD-2231H16.1,NUP210,FBXL7,PRKCQ-AS1,DYRK4,GGT6,RP11-745O10.2,CASC9,SLIT3,BMPR1B,DACH1,UNC5B,GLB1L2,PRDM5,VSIG2,AUTS2,ZNF853,GPR35,CP,RPL30P14,LXN,LGALS9,AP001258.4,ACOT1,TWIST2,KBTBD11
2950,0.0,10.0,23.0,6.0,5.0,1.0,2.0,16.0,4.0,36.0,70.0,42.0,3.0,35.0,13.0,210.0,11.0,33.0,465.0,32.0,24.0,31.0,343.0,119.0,83.0,37.0,242.0,49.0,170.0,1033.0
2999,23.0,28.0,1.0,11.0,2.0,3.0,4.0,8.0,5.0,22.0,286.0,71.0,18.0,343.0,35.0,79.0,361.0,72.0,242.0,14.0,7.0,19.0,33.0,298.0,255.0,188.0,45.0,37.0,59.0,782.0
3048,2.0,65.0,4.0,5.0,6.0,1.0,9.0,0.0,8.0,43.0,13.0,53.0,95.0,52.0,96.0,92.0,19.0,73.0,241.0,27.0,243.0,373.0,36.0,21.0,14.0,18.0,103.0,17.0,214.0,184.0
3097,7.0,62.0,12.0,15.0,1.0,2.0,6.0,4.0,3.0,8.0,253.0,10.0,19.0,54.0,13.0,34.0,30.0,40.0,239.0,43.0,614.0,48.0,22.0,523.0,23.0,88.0,47.0,109.0,204.0,134.0
3146,42.0,9.0,101.0,11.0,63.0,1.0,50.0,25.0,0.0,8.0,203.0,39.0,706.0,16.0,236.0,220.0,105.0,308.0,361.0,1081.0,956.0,33.0,30.0,243.0,414.0,176.0,76.0,15.0,146.0,116.0
3195,11.0,47.0,12.0,16.0,6.0,0.0,10.0,8.0,1.0,30.0,143.0,23.0,19.0,36.0,49.0,90.0,65.0,53.0,94.0,22.0,18.0,51.0,14.0,115.0,212.0,180.0,698.0,100.0,152.0,44.0
3244,5.0,2.0,3.0,7.0,9.0,0.0,1.0,8.0,6.0,27.0,213.0,25.0,40.0,24.0,66.0,160.0,47.0,115.0,465.0,21.0,107.0,58.0,64.0,96.0,19.0,54.0,167.0,39.0,153.0,618.0
3293,1.0,7.0,10.0,5.0,4.0,0.0,35.0,12.0,8.0,173.0,76.0,57.0,38.0,9.0,42.0,87.0,37.0,3.0,323.0,70.0,32.0,58.0,23.0,18.0,13.0,141.0,44.0,14.0,200.0,552.0
3342,8.0,6.0,2.0,1.0,4.0,0.0,7.0,32.0,5.0,58.0,346.0,9.0,24.0,26.0,15.0,115.0,19.0,14.0,144.0,72.0,31.0,66.0,23.0,63.0,47.0,43.0,209.0,17.0,159.0,297.0
3391,16.0,26.0,5.0,251.0,1.0,0.0,4.0,2.0,3.0,107.0,392.0,248.0,65.0,76.0,44.0,261.0,83.0,6.0,912.0,12.0,25.0,247.0,330.0,206.0,217.0,43.0,49.0,104.0,99.0,78.0
3440,49.0,8.0,286.0,4.0,2.0,12.0,18.0,99.0,1.0,7.0,411.0,25.0,36.0,21.0,50.0,41.0,624.0,372.0,6.0,438.0,388.0,103.0,3.0,129.0,605.0,228.0,76.0,2222.0,81.0,294.0
3489,4.0,18.0,1.0,2.0,0.0,110.0,28.0,51.0,6.0,8.0,27.0,5.0,11.0,7.0,12.0,42.0,56.0,44.0,13.0,55.0,194.0,24.0,33.0,20.0,22.0,37.0,61.0,138.0,41.0,115.0
3538,89.0,3.0,0.0,187.0,11.0,4.0,101.0,30.0,8.0,2.0,5.0,15.0,399.0,132.0,99.0,135.0,177.0,80.0,39.0,100.0,53.0,77.0,12.0,21.0,365.0,35.0,41.0,91.0,17.0,58.0
3587,1.0,9.0,3.0,6.0,7.0,5.0,10.0,12.0,17.0,0.0,8.0,2.0,20.0,13.0,26.0,18.0,342.0,939.0,122.0,34.0,99.0,629.0,14.0,135.0,2194.0,117.0,91.0,549.0,24.0,234.0
