,hsa-miR-24,hsa-miR-663,hsa-miR-148a,bkv-miR-B1-5p,hsa-miR-449b,hsa-miR-658,hsa-miR-155,hsa-miR-10a,hsa-miR-130a,hsa-miR-581,hsa-miR-584,hsa-miR-586,hsa-miR-583,hsa-miR-582-5p,hsa-miR-588,hsa-miR-587,hsa-miR-582-3p,hsa-miR-574-5p,hsa-miR-589,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-580,hsa-miR-576-5p,hsa-miR-576-3p,hsa-miR-590-3p,hsa-miR-626,hsa-miR-625,hsa-miR-627,hsa-miR-591
3891,5.0,0.0,2.0,19.0,538.0,258.0,8.0,432.0,29.0,45.0,52.0,98.0,49.0,48.0,70.0,69.0,46.0,28.0,97.0,56.0,58.0,59.0,67.0,60.0,62.0,94.0,57.0,55.0,61.0,91.0
3940,1.0,257.0,3.0,201.0,15.0,40.0,390.0,5.0,29.0,4.0,55.0,54.0,56.0,57.0,47.0,51.0,59.0,80.0,46.0,62.0,63.0,65.0,61.0,64.0,48.0,68.0,53.0,52.0,58.0,70.0
3989,570.0,47.0,342.0,32.0,25.0,44.0,389.0,434.0,359.0,28.0,53.0,51.0,18.0,57.0,97.0,50.0,68.0,138.0,95.0,65.0,58.0,66.0,62.0,21.0,82.0,94.0,61.0,67.0,59.0,89.0
4038,10.0,8.0,9.0,27.0,12.0,256.0,23.0,32.0,35.0,1.0,52.0,54.0,61.0,60.0,53.0,59.0,58.0,46.0,62.0,56.0,55.0,63.0,57.0,51.0,47.0,49.0,69.0,70.0,68.0,50.0
4087,6.0,16.0,1.0,2.0,5.0,10.0,3.0,429.0,27.0,47.0,43.0,40.0,59.0,45.0,42.0,41.0,46.0,54.0,60.0,49.0,50.0,51.0,48.0,52.0,53.0,89.0,74.0,73.0,75.0,82.0
4136,611.0,256.0,30.0,19.0,5.0,268.0,391.0,433.0,1.0,23.0,51.0,48.0,64.0,53.0,50.0,46.0,52.0,98.0,15.0,57.0,59.0,62.0,55.0,80.0,163.0,94.0,58.0,56.0,60.0,92.0
4185,17.0,3.0,2.0,204.0,541.0,15.0,390.0,32.0,28.0,12.0,41.0,45.0,59.0,47.0,44.0,43.0,48.0,53.0,42.0,46.0,50.0,51.0,49.0,10.0,52.0,60.0,74.0,73.0,75.0,62.0
4234,594.0,11.0,8.0,9.0,14.0,3.0,5.0,38.0,357.0,0.0,61.0,52.0,56.0,57.0,50.0,51.0,59.0,35.0,48.0,49.0,45.0,54.0,58.0,41.0,60.0,81.0,76.0,75.0,77.0,84.0
4283,1.0,8.0,3.0,0.0,14.0,25.0,27.0,34.0,36.0,50.0,54.0,57.0,53.0,51.0,56.0,49.0,59.0,154.0,55.0,46.0,88.0,97.0,45.0,156.0,99.0,52.0,69.0,68.0,70.0,48.0
4332,594.0,257.0,3.0,6.0,14.0,254.0,1.0,0.0,359.0,23.0,54.0,51.0,65.0,66.0,44.0,47.0,57.0,48.0,43.0,62.0,63.0,61.0,24.0,59.0,50.0,95.0,53.0,52.0,55.0,92.0
4381,591.0,255.0,2.0,1.0,540.0,8.0,19.0,34.0,358.0,37.0,46.0,49.0,43.0,48.0,57.0,55.0,52.0,94.0,58.0,54.0,53.0,4.0,56.0,45.0,82.0,42.0,68.0,69.0,67.0,50.0
4430,2.0,6.0,30.0,22.0,539.0,33.0,10.0,36.0,1.0,23.0,48.0,51.0,50.0,46.0,56.0,47.0,67.0,63.0,68.0,57.0,58.0,60.0,53.0,26.0,62.0,93.0,59.0,55.0,61.0,13.0
4479,3.0,315.0,341.0,221.0,27.0,293.0,4.0,433.0,19.0,59.0,55.0,56.0,54.0,53.0,68.0,57.0,52.0,60.0,77.0,49.0,48.0,47.0,50.0,46.0,58.0,78.0,186.0,256.0,277.0,98.0
4528,0.0,259.0,16.0,19.0,6.0,43.0,12.0,2.0,26.0,53.0,46.0,50.0,67.0,54.0,47.0,49.0,55.0,137.0,68.0,61.0,62.0,66.0,56.0,84.0,98.0,83.0,59.0,58.0,60.0,96.0
4577,0.0,30.0,22.0,9.0,540.0,258.0,390.0,39.0,4.0,69.0,64.0,63.0,65.0,67.0,60.0,62.0,68.0,145.0,59.0,166.0,107.0,108.0,106.0,33.0,144.0,58.0,81.0,82.0,80.0,70.0
4626,20.0,19.0,1.0,11.0,540.0,13.0,387.0,34.0,32.0,55.0,51.0,50.0,52.0,53.0,45.0,63.0,54.0,62.0,44.0,57.0,58.0,59.0,56.0,60.0,61.0,48.0,29.0,70.0,69.0,46.0
4675,2.0,258.0,21.0,201.0,541.0,254.0,382.0,43.0,27.0,52.0,49.0,51.0,48.0,47.0,71.0,101.0,46.0,58.0,70.0,53.0,68.0,55.0,44.0,56.0,69.0,99.0,60.0,59.0,61.0,96.0
4724,0.0,258.0,34.0,198.0,3.0,13.0,10.0,5.0,32.0,59.0,18.0,48.0,49.0,50.0,45.0,58.0,51.0,88.0,44.0,53.0,54.0,55.0,52.0,56.0,57.0,11.0,74.0,73.0,75.0,78.0
4773,0.0,29.0,34.0,11.0,539.0,27.0,390.0,432.0,7.0,35.0,74.0,68.0,65.0,64.0,70.0,69.0,63.0,149.0,71.0,19.0,109.0,143.0,61.0,110.0,147.0,72.0,81.0,82.0,80.0,59.0
4822,7.0,259.0,20.0,200.0,518.0,32.0,13.0,1.0,30.0,64.0,68.0,21.0,55.0,58.0,53.0,48.0,62.0,151.0,52.0,67.0,97.0,135.0,66.0,99.0,152.0,49.0,59.0,56.0,60.0,51.0
4871,3.0,12.0,11.0,1.0,13.0,2.0,389.0,29.0,357.0,55.0,51.0,47.0,52.0,49.0,44.0,45.0,54.0,50.0,79.0,58.0,60.0,48.0,57.0,56.0,53.0,62.0,76.0,75.0,77.0,83.0
