,SYT17,SRPX,AF241725.6,IL16,RSPH1,CHST15,GDE1,AEBP1,DAAM1,VPS33B,TMCC1,EXD2,KCND2,TSC22D2,CNFN,BCL2A1,RP11-458D21.1,CLCN4,PITX1,ST8SIA4,FA2H,ELF3,HIST1H2BK,RP11-575H3.1,FLI1,ABLIM1,SIX2,CD46,LA16c-380H5.5,FAM86DP
3882,2.0,319.0,4.0,61.0,33.0,15.0,4201.0,52.0,149.0,6.0,163.0,119.0,195.0,47.0,28.0,121.0,200.0,9583.0,138.0,21455.0,140.0,9.0,123.0,753.0,94.0,19918.0,16578.0,64.0,26.0,13079.0
3931,0.0,20.0,98.0,1.0,25.0,10.0,3228.0,143.0,68.0,43.0,14728.0,14.0,42.0,333.0,38.0,160.0,433.0,8.0,28.0,57.0,73.0,2.0,2193.0,122.0,148.0,19990.0,74.0,127.0,97.0,316.0
3980,17.0,0.0,26.0,10.0,62.0,16.0,4101.0,24.0,7.0,383.0,5.0,3194.0,172.0,14.0,38.0,125.0,37.0,2.0,353.0,111.0,359.0,3.0,344.0,1170.0,709.0,182.0,1.0,91.0,4179.0,77.0
4029,1.0,5.0,609.0,25.0,3.0,16.0,13.0,8.0,317.0,0.0,14746.0,3755.0,90.0,10.0,29.0,171.0,107.0,608.0,386.0,4.0,103.0,7.0,21209.0,88.0,227.0,140.0,16746.0,82.0,4492.0,384.0
4078,11.0,8.0,24.0,667.0,31.0,2.0,41.0,22065.0,72.0,100.0,151.0,83.0,20.0,353.0,46.0,33.0,324.0,0.0,178.0,50.0,246.0,17.0,21206.0,17001.0,262.0,51.0,16722.0,519.0,484.0,311.0
4127,53.0,7.0,26.0,54.0,55.0,813.0,1286.0,6.0,41.0,97.0,20.0,79.0,117.0,3.0,51.0,475.0,196.0,31.0,306.0,128.0,218.0,414.0,21221.0,246.0,234.0,19979.0,283.0,210.0,408.0,120.0
4176,1.0,2.0,36.0,4871.0,33.0,8.0,6.0,55.0,4.0,27.0,28.0,58.0,51.0,178.0,187.0,174.0,15759.0,0.0,493.0,176.0,173.0,388.0,21190.0,56.0,368.0,3.0,18.0,340.0,3939.0,478.0
4225,5.0,12.0,980.0,82.0,52.0,19.0,3.0,13.0,1.0,78.0,51.0,673.0,139.0,167.0,205.0,161.0,281.0,0.0,233.0,46.0,53.0,2.0,21199.0,295.0,443.0,156.0,1948.0,251.0,4023.0,14.0
4274,3.0,13.0,485.0,37.0,46.0,56.0,20.0,182.0,135.0,107.0,12.0,689.0,38.0,106.0,61.0,115.0,161.0,33.0,50.0,22.0,86.0,0.0,2776.0,307.0,122.0,20611.0,16641.0,69.0,4898.0,17511.0
4323,25.0,6.0,23.0,17.0,8.0,2.0,492.0,54.0,83.0,78.0,186.0,41.0,92.0,759.0,38.0,69.0,114.0,9.0,21958.0,82.0,90.0,0.0,21271.0,94.0,20.0,51.0,1.0,180.0,295.0,91.0
4372,2.0,781.0,7416.0,321.0,14.0,51.0,337.0,15.0,27.0,471.0,14710.0,715.0,251.0,145.0,70.0,298.0,365.0,46.0,1086.0,194.0,18.0,11.0,16.0,36.0,25.0,148.0,16699.0,19.0,3876.0,275.0
4421,2.0,22.0,356.0,3.0,47.0,563.0,4306.0,7.0,315.0,572.0,62.0,6487.0,155.0,1608.0,11.0,150.0,21.0,1.0,1258.0,175.0,308.0,17440.0,32.0,0.0,313.0,18.0,16751.0,251.0,4067.0,149.0
4470,4388.0,501.0,22.0,4606.0,202.0,104.0,299.0,179.0,375.0,9.0,314.0,33.0,37.0,14848.0,2425.0,21.0,61.0,3.0,134.0,332.0,2466.0,17418.0,39.0,4.0,1262.0,2181.0,6.0,490.0,282.0,315.0
4519,63.0,13.0,28.0,86.0,6.0,34.0,118.0,22102.0,9.0,53.0,281.0,29.0,151.0,701.0,7850.0,75.0,177.0,1.0,21.0,115.0,159.0,211.0,226.0,121.0,802.0,11.0,218.0,449.0,62.0,13131.0
4568,3.0,37.0,1124.0,4.0,10.0,252.0,185.0,22084.0,529.0,4168.0,50.0,21.0,257.0,14851.0,7865.0,6.0,78.0,0.0,1480.0,193.0,620.0,17442.0,43.0,119.0,1135.0,29.0,16631.0,232.0,366.0,293.0
4617,4167.0,21.0,2.0,0.0,69.0,6.0,4194.0,27.0,7.0,446.0,14763.0,42.0,28.0,14814.0,7853.0,143.0,20.0,4.0,2738.0,21474.0,11028.0,3.0,100.0,38.0,65.0,122.0,110.0,367.0,432.0,124.0
4666,3.0,16.0,471.0,4.0,24.0,96.0,11236.0,22108.0,1.0,43.0,63.0,99.0,217.0,29.0,10015.0,21.0,31.0,14.0,68.0,74.0,322.0,898.0,150.0,70.0,56.0,10.0,65.0,147.0,216.0,608.0
4715,1709.0,86.0,38.0,42.0,65.0,91.0,2778.0,1.0,16.0,167.0,17.0,111.0,171.0,14825.0,7850.0,60.0,34.0,13.0,424.0,21945.0,205.0,942.0,165.0,70.0,814.0,14.0,16624.0,179.0,28.0,411.0
4764,12.0,151.0,101.0,7.0,37.0,5.0,4357.0,63.0,26.0,4817.0,29.0,25.0,189.0,605.0,53.0,99.0,3.0,28.0,176.0,21931.0,10997.0,31.0,125.0,16991.0,909.0,348.0,16653.0,1175.0,276.0,12888.0
4813,70.0,434.0,7548.0,5.0,130.0,25.0,3485.0,75.0,99.0,786.0,3.0,37.0,116.0,899.0,109.0,49.0,20.0,1.0,467.0,21477.0,11017.0,653.0,246.0,247.0,658.0,19992.0,86.0,805.0,71.0,288.0
4862,308.0,660.0,24.0,28.0,9.0,83.0,17.0,18.0,3.0,4230.0,88.0,120.0,102.0,14822.0,1726.0,1.0,2.0,15.0,810.0,236.0,335.0,23.0,155.0,138.0,459.0,301.0,467.0,868.0,50.0,418.0
