,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
2188,2.0,1.0,0.0,3.0,9.0,11.0,16871.0,1119.0,58.0,478.0,155.0,19.0,36.0,76.0,22936.0,120.0,18328.0,2000.0,1224.0,3444.0,8.0,1843.0,16530.0,16780.0,5.0,812.0,12551.0,2286.0,6397.0,3577.0
2237,0.0,1.0,3.0,2.0,4.0,88.0,21.0,1142.0,26.0,36.0,32.0,24030.0,442.0,109.0,562.0,9.0,3482.0,186.0,89.0,194.0,82.0,85.0,1375.0,13.0,20.0,12678.0,2541.0,166.0,29.0,86.0
2286,0.0,1.0,2.0,7.0,31.0,15.0,16.0,6.0,287.0,387.0,125.0,322.0,3426.0,24.0,22931.0,96.0,17.0,8.0,1636.0,20910.0,37.0,1143.0,1091.0,33.0,3.0,182.0,12334.0,150.0,2214.0,28.0
2335,0.0,2.0,3.0,4.0,1.0,47.0,11.0,9.0,20.0,529.0,29.0,8.0,33.0,67.0,929.0,2249.0,18570.0,70.0,15667.0,1588.0,72.0,257.0,73.0,137.0,15.0,13119.0,272.0,58.0,108.0,25.0
2384,2.0,1.0,0.0,4.0,3.0,9.0,21.0,330.0,69.0,36.0,144.0,40.0,131.0,58.0,877.0,65.0,429.0,11.0,44.0,45.0,10.0,56.0,440.0,341.0,38.0,783.0,2681.0,14.0,119.0,499.0
2433,0.0,2.0,1.0,3.0,5.0,35.0,4.0,60.0,77.0,102.0,6.0,218.0,137.0,20.0,17.0,385.0,67.0,9.0,15636.0,3460.0,15.0,148.0,130.0,16812.0,13.0,12747.0,1381.0,182.0,1799.0,624.0
2482,0.0,1.0,3.0,2.0,6.0,35.0,18.0,627.0,110.0,23656.0,15.0,24111.0,5.0,66.0,85.0,16573.0,2903.0,2628.0,618.0,41.0,186.0,798.0,10.0,16740.0,1072.0,38.0,4.0,13.0,47.0,17043.0
2531,0.0,5.0,3.0,1.0,11.0,2.0,10.0,12.0,21.0,16.0,33.0,607.0,26.0,20.0,103.0,16611.0,46.0,2580.0,66.0,329.0,15.0,1191.0,73.0,225.0,122.0,7.0,92.0,252.0,184.0,223.0
2580,0.0,1.0,3.0,2.0,4.0,11.0,13.0,341.0,6.0,1446.0,20.0,547.0,29.0,41.0,23521.0,698.0,299.0,154.0,35.0,160.0,10.0,89.0,12.0,948.0,454.0,11281.0,28.0,11756.0,5.0,56.0
2629,1.0,2.0,4.0,3.0,0.0,89.0,5.0,8.0,10.0,21.0,3406.0,53.0,29.0,58.0,84.0,160.0,81.0,48.0,40.0,19977.0,492.0,306.0,510.0,266.0,9429.0,11009.0,50.0,2556.0,26.0,793.0
2678,0.0,3.0,8.0,1.0,4.0,2.0,6.0,30.0,37.0,96.0,32.0,19.0,101.0,16740.0,87.0,531.0,73.0,64.0,1332.0,997.0,126.0,304.0,11.0,377.0,16557.0,90.0,41.0,138.0,171.0,134.0
2727,0.0,1.0,2.0,21.0,3.0,433.0,101.0,5.0,10.0,102.0,106.0,1409.0,38.0,393.0,57.0,17.0,709.0,37.0,103.0,124.0,6.0,16.0,28.0,1416.0,2963.0,1047.0,4.0,731.0,1323.0,730.0
2776,0.0,7.0,3.0,16.0,2.0,132.0,1.0,31.0,41.0,45.0,128.0,468.0,105.0,16740.0,35.0,8.0,61.0,30.0,71.0,47.0,118.0,4.0,33.0,113.0,249.0,12.0,18.0,97.0,3522.0,197.0
