,NDN,AC026407.1,ANGPTL2,HGF,AC016710.1,POLR2J3,CLDN11,S100A4,GSTT1,MB21D1,MAGEA1,RP11-834C11.4,CAMK1D,ALKBH3,DNAJA4,LUM,SCARA3,HSD17B11,RP3-467L1.4,SPTBN2,AC068134.10,VSTM2L,KLHL3,CTD-3224K15.3,LHX8,LINC00942,TTC31,ZNF334,RP11-318M2.2,SLFN13
2409,0.0,1.0,2.0,124.0,176.0,83.0,19.0,35.0,7.0,17.0,151.0,14.0,3.0,50.0,31.0,21.0,36.0,33.0,28.0,189.0,53.0,29.0,51.0,149.0,22.0,422.0,61.0,15.0,23.0,6.0
2458,0.0,1.0,5.0,30.0,27.0,2.0,13.0,119.0,11.0,28.0,127.0,61.0,47.0,17.0,8.0,9.0,395.0,248.0,22.0,3.0,44.0,6.0,178.0,122.0,52.0,314.0,58.0,161.0,112.0,16.0
2507,0.0,10.0,24.0,45.0,253.0,28.0,4.0,3.0,6.0,164.0,443.0,32.0,18.0,379.0,102.0,16.0,97.0,62.0,17.0,33.0,37.0,9.0,39.0,101.0,170.0,57.0,58.0,11.0,21.0,67.0
2556,0.0,1.0,13.0,127.0,62.0,11.0,3.0,15.0,2.0,32.0,4679.0,9.0,10.0,19.0,23.0,7.0,17.0,79.0,28.0,27.0,6.0,39.0,313.0,49.0,186.0,2318.0,54.0,30.0,16.0,48.0
2605,0.0,1.0,35.0,17.0,29.0,13.0,9.0,115.0,4.0,232.0,1158.0,24.0,179.0,27.0,10.0,22.0,133.0,212.0,451.0,2.0,65.0,11.0,229.0,20.0,100.0,2356.0,18.0,34.0,25.0,12.0
2654,0.0,54.0,5.0,76.0,2.0,18.0,1.0,19.0,3.0,65.0,60.0,46.0,14.0,32.0,16.0,10.0,134.0,107.0,12.0,13.0,39.0,4.0,11.0,23.0,59.0,681.0,73.0,71.0,38.0,22.0
2703,1.0,0.0,27.0,29.0,18.0,12.0,5.0,126.0,86.0,20.0,237.0,23.0,31.0,21.0,4.0,11.0,58.0,159.0,3.0,15.0,16.0,22.0,123.0,25.0,75.0,218.0,56.0,53.0,45.0,61.0
2752,0.0,1.0,15.0,21.0,12.0,16.0,5.0,41.0,6.0,199.0,286.0,24.0,29.0,13.0,7.0,31.0,69.0,162.0,106.0,25.0,4.0,9.0,58.0,55.0,39.0,89.0,59.0,22.0,20.0,38.0
2801,0.0,4.0,2.0,18.0,3.0,16.0,1.0,29.0,43.0,183.0,174.0,131.0,68.0,17.0,5.0,28.0,59.0,37.0,11.0,27.0,23.0,35.0,101.0,58.0,497.0,177.0,33.0,15.0,54.0,97.0
2850,1.0,4.0,13.0,23.0,98.0,6.0,0.0,26.0,42.0,86.0,926.0,25.0,78.0,87.0,94.0,203.0,22.0,150.0,56.0,27.0,10.0,12.0,16.0,58.0,45.0,118.0,15.0,51.0,260.0,5.0
