,XAGE1E,CCND2,GPX3,STEAP1B,MAGEA1,CGREF1,C1orf233,NDN,GUSB,LEPREL4,KCNK15,CKB,LINC00942,TNFSF12,IGSF3,NT5E,HMGA2,RP11-197K6.1,CA8,RP11-90B9.2,FAM109B,PHACTR2,PCDHA11,SLC2A3,DUSP23,PAPSS2,KCNIP2-AS1,PLCD1,CTB-60B18.10,ZIM2
499,8.0,15.0,9.0,1.0,1333.0,6.0,14.0,0.0,67.0,121.0,7.0,5.0,36.0,3.0,89.0,77.0,732.0,2.0,18.0,25.0,13.0,27.0,38.0,37.0,41.0,12.0,142.0,24.0,311.0,203.0
548,1.0,7.0,0.0,19.0,287.0,5.0,50.0,15.0,6.0,72.0,20.0,48.0,36.0,2.0,17.0,10.0,255.0,108.0,239.0,51.0,310.0,14.0,86.0,58.0,11.0,25.0,220.0,4.0,61.0,88.0
597,6.0,7.0,0.0,3.0,122.0,4.0,63.0,1.0,79.0,60.0,67.0,5.0,173.0,33.0,24.0,262.0,96.0,103.0,2.0,28.0,82.0,14.0,30.0,95.0,81.0,20.0,74.0,19.0,161.0,76.0
646,7.0,13.0,21.0,0.0,60.0,2.0,14.0,3.0,22.0,31.0,19.0,4.0,599.0,237.0,37.0,5.0,91.0,25.0,135.0,57.0,468.0,8.0,161.0,92.0,12.0,1.0,75.0,15.0,56.0,207.0
695,1.0,6.0,0.0,2.0,358.0,15.0,213.0,3.0,14.0,16.0,5.0,19.0,83.0,1431.0,12.0,53.0,348.0,81.0,36.0,41.0,134.0,11.0,66.0,27.0,61.0,42.0,249.0,28.0,65.0,52.0
744,3.0,9.0,4.0,0.0,910.0,6.0,49.0,2.0,45.0,38.0,61.0,1.0,44.0,60.0,12.0,21.0,1527.0,5.0,15.0,14.0,47.0,10.0,190.0,62.0,117.0,11.0,161.0,13.0,83.0,22.0
793,16.0,12.0,1.0,6.0,30.0,42.0,86.0,0.0,15.0,32.0,177.0,7.0,27.0,24.0,38.0,19.0,112.0,33.0,22.0,34.0,35.0,2.0,89.0,14.0,4.0,13.0,51.0,11.0,73.0,28.0
842,1.0,2.0,4.0,0.0,39.0,8.0,15.0,5.0,12.0,22.0,20.0,6.0,32.0,68.0,31.0,21.0,146.0,40.0,17.0,57.0,389.0,7.0,25.0,92.0,9.0,10.0,123.0,27.0,295.0,38.0
891,0.0,1.0,11.0,3.0,47.0,23.0,40.0,6.0,10.0,36.0,15.0,14.0,77.0,2.0,18.0,84.0,43.0,51.0,12.0,26.0,13.0,22.0,162.0,57.0,19.0,21.0,58.0,9.0,27.0,95.0
940,3.0,1.0,2.0,15.0,125.0,5.0,59.0,0.0,24.0,25.0,14.0,12.0,52.0,41.0,60.0,131.0,688.0,170.0,6.0,19.0,9.0,40.0,20.0,26.0,10.0,8.0,119.0,29.0,292.0,39.0
