,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,BONE,SKIN,SOFT_TISSUE,THYROID,BREAST,PROSTATE,BILIARY,SALIVARY,ENDOMETRIUM,OVARY,PLEURA,AERODIGESTIVE,LIVER,KIDNEY,PANCREAS,URINARY,NERVOUS,OESOPHAGUS,LUNG
2542,0.0,1.0,2.0,3.0,9.0,6.0,7.0,5.0,4.0,10.0,12.0,13.0,8.0,18.0,15.0,11.0,21.0,16.0,17.0,14.0,19.0,20.0,22.0
2591,0.0,1.0,3.0,2.0,7.0,5.0,6.0,4.0,9.0,16.0,10.0,12.0,8.0,19.0,21.0,14.0,17.0,18.0,15.0,11.0,20.0,13.0,22.0
2640,2.0,3.0,4.0,6.0,10.0,8.0,9.0,0.0,5.0,1.0,11.0,12.0,7.0,15.0,16.0,13.0,21.0,17.0,18.0,14.0,19.0,20.0,22.0
2689,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,8.0,11.0,12.0,10.0,16.0,14.0,18.0,21.0,15.0,17.0,13.0,19.0,20.0,22.0
2738,0.0,1.0,2.0,4.0,9.0,7.0,8.0,6.0,3.0,10.0,11.0,12.0,5.0,15.0,13.0,17.0,21.0,14.0,16.0,19.0,18.0,20.0,22.0
2787,0.0,1.0,2.0,3.0,8.0,6.0,7.0,5.0,10.0,9.0,11.0,12.0,4.0,16.0,14.0,18.0,21.0,15.0,17.0,13.0,19.0,20.0,22.0
2836,0.0,1.0,2.0,4.0,9.0,7.0,8.0,6.0,3.0,10.0,11.0,12.0,5.0,15.0,13.0,17.0,21.0,14.0,16.0,19.0,18.0,20.0,22.0
2885,0.0,1.0,2.0,5.0,8.0,3.0,4.0,7.0,6.0,9.0,12.0,13.0,11.0,14.0,15.0,10.0,21.0,17.0,18.0,16.0,19.0,20.0,22.0
2934,0.0,1.0,2.0,3.0,4.0,5.0,6.0,11.0,7.0,8.0,10.0,12.0,9.0,13.0,15.0,18.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
2983,1.0,2.0,3.0,4.0,8.0,6.0,7.0,5.0,9.0,0.0,11.0,12.0,10.0,16.0,14.0,18.0,21.0,15.0,17.0,13.0,19.0,20.0,22.0
