,Shc_pY317,RAD51,Smac,SF2,eEF2,MIG-6,PAI-1,NDRG1_pT346,Paxillin,C-Raf_pS338,MYH11,PKC-pan_BetaII_pS660,eEF2K,HER2_pY1248,Bid,Bap1 c-4,ACC1,JNK_pT183_Y185,4E-BP1,p70S6K_pT389,PRDX1,PTEN,PREX1,p38_MAPK,p62 Lck ligand,p21,p53,p38_pT180_Y182,p90RSK_pT573,p90RSK_pT359_S363
3240,26.0,59.0,2.0,25.0,14.0,1.0,20.0,3.0,21.0,0.0,145.0,23.0,110.0,158.0,120.0,46.0,39.0,164.0,41.0,33.0,48.0,51.0,50.0,133.0,69.0,18.0,100.0,102.0,19.0,67.0
3289,3.0,10.0,1.0,0.0,158.0,30.0,59.0,4.0,7.0,8.0,58.0,28.0,19.0,23.0,5.0,2.0,32.0,90.0,111.0,39.0,76.0,89.0,75.0,43.0,22.0,48.0,41.0,42.0,36.0,37.0
3338,37.0,0.0,4.0,38.0,163.0,142.0,20.0,36.0,40.0,11.0,144.0,85.0,157.0,22.0,17.0,106.0,33.0,31.0,114.0,21.0,82.0,80.0,81.0,52.0,24.0,56.0,49.0,50.0,43.0,44.0
3387,0.0,7.0,9.0,8.0,12.0,3.0,54.0,4.0,6.0,21.0,30.0,42.0,104.0,11.0,49.0,1.0,51.0,19.0,34.0,57.0,38.0,44.0,41.0,25.0,58.0,24.0,59.0,60.0,55.0,56.0
3436,13.0,0.0,90.0,12.0,7.0,4.0,43.0,92.0,6.0,110.0,11.0,30.0,24.0,2.0,102.0,1.0,27.0,93.0,23.0,41.0,5.0,9.0,79.0,35.0,46.0,50.0,47.0,48.0,44.0,45.0
3485,29.0,4.0,89.0,28.0,14.0,1.0,23.0,6.0,7.0,16.0,32.0,43.0,3.0,11.0,2.0,39.0,5.0,34.0,35.0,22.0,52.0,25.0,47.0,65.0,21.0,163.0,63.0,64.0,60.0,61.0
3534,29.0,30.0,31.0,13.0,6.0,0.0,4.0,92.0,3.0,8.0,16.0,85.0,163.0,134.0,19.0,33.0,118.0,17.0,39.0,45.0,82.0,10.0,15.0,22.0,46.0,23.0,20.0,21.0,43.0,44.0
3583,6.0,0.0,71.0,40.0,3.0,144.0,45.0,8.0,1.0,10.0,5.0,87.0,17.0,25.0,35.0,37.0,14.0,33.0,18.0,63.0,84.0,82.0,15.0,26.0,50.0,56.0,51.0,52.0,46.0,47.0
3632,6.0,0.0,8.0,9.0,104.0,141.0,1.0,28.0,5.0,2.0,4.0,25.0,103.0,17.0,29.0,3.0,34.0,7.0,36.0,56.0,39.0,26.0,40.0,21.0,57.0,66.0,58.0,59.0,54.0,55.0
3681,13.0,8.0,5.0,14.0,154.0,0.0,42.0,27.0,20.0,7.0,144.0,88.0,156.0,22.0,1.0,35.0,29.0,2.0,34.0,6.0,85.0,83.0,84.0,52.0,46.0,55.0,61.0,51.0,43.0,44.0
3730,13.0,0.0,1.0,24.0,154.0,92.0,18.0,30.0,6.0,2.0,90.0,88.0,10.0,9.0,11.0,7.0,31.0,91.0,3.0,56.0,21.0,20.0,86.0,45.0,57.0,52.0,39.0,32.0,50.0,53.0
3779,4.0,0.0,90.0,27.0,111.0,7.0,19.0,6.0,2.0,128.0,142.0,44.0,15.0,5.0,3.0,146.0,40.0,164.0,41.0,20.0,48.0,26.0,25.0,34.0,64.0,18.0,65.0,66.0,61.0,62.0
3828,4.0,26.0,0.0,12.0,25.0,144.0,9.0,16.0,51.0,14.0,94.0,61.0,10.0,27.0,6.0,3.0,117.0,164.0,2.0,13.0,90.0,19.0,89.0,56.0,58.0,49.0,45.0,57.0,53.0,54.0
3877,25.0,2.0,27.0,6.0,12.0,11.0,24.0,9.0,4.0,32.0,31.0,45.0,106.0,156.0,124.0,1.0,36.0,33.0,8.0,23.0,42.0,40.0,41.0,63.0,60.0,98.0,61.0,22.0,57.0,58.0
3926,0.0,25.0,85.0,26.0,16.0,2.0,55.0,20.0,54.0,19.0,3.0,23.0,5.0,155.0,36.0,34.0,39.0,32.0,35.0,58.0,41.0,24.0,40.0,62.0,59.0,96.0,60.0,61.0,56.0,57.0
3975,8.0,10.0,9.0,28.0,13.0,23.0,55.0,25.0,5.0,22.0,4.0,44.0,11.0,2.0,34.0,3.0,35.0,33.0,37.0,58.0,7.0,6.0,40.0,62.0,59.0,68.0,60.0,61.0,56.0,57.0
4024,26.0,24.0,4.0,3.0,109.0,32.0,19.0,20.0,57.0,16.0,6.0,22.0,108.0,1.0,128.0,37.0,89.0,0.0,38.0,61.0,23.0,47.0,46.0,65.0,62.0,132.0,63.0,64.0,59.0,60.0
4073,7.0,1.0,5.0,0.0,108.0,2.0,18.0,30.0,56.0,15.0,8.0,41.0,107.0,156.0,31.0,9.0,92.0,11.0,3.0,60.0,43.0,45.0,44.0,64.0,61.0,163.0,62.0,63.0,58.0,59.0
4122,4.0,25.0,0.0,1.0,13.0,7.0,2.0,17.0,59.0,127.0,6.0,22.0,110.0,11.0,40.0,38.0,70.0,18.0,83.0,63.0,23.0,24.0,47.0,84.0,64.0,101.0,65.0,33.0,61.0,62.0
4171,28.0,27.0,7.0,9.0,15.0,2.0,20.0,19.0,23.0,36.0,1.0,26.0,14.0,11.0,112.0,39.0,90.0,0.0,38.0,63.0,6.0,44.0,45.0,84.0,64.0,102.0,65.0,66.0,61.0,62.0
4220,23.0,3.0,0.0,2.0,15.0,7.0,4.0,28.0,52.0,14.0,1.0,42.0,102.0,6.0,29.0,5.0,65.0,30.0,34.0,56.0,44.0,46.0,45.0,60.0,57.0,96.0,58.0,59.0,54.0,55.0
4269,2.0,0.0,31.0,63.0,1.0,7.0,5.0,18.0,90.0,109.0,3.0,81.0,24.0,22.0,102.0,35.0,116.0,26.0,37.0,41.0,78.0,76.0,91.0,45.0,42.0,50.0,43.0,20.0,39.0,40.0
4318,3.0,32.0,2.0,4.0,11.0,19.0,6.0,20.0,26.0,129.0,0.0,30.0,111.0,158.0,109.0,39.0,17.0,37.0,93.0,25.0,46.0,44.0,31.0,68.0,64.0,102.0,65.0,24.0,61.0,62.0
4367,0.0,7.0,2.0,92.0,24.0,26.0,49.0,17.0,11.0,98.0,1.0,78.0,8.0,14.0,6.0,27.0,33.0,96.0,126.0,52.0,81.0,18.0,82.0,53.0,43.0,47.0,54.0,3.0,50.0,51.0
4416,10.0,19.0,7.0,91.0,154.0,32.0,16.0,92.0,17.0,1.0,144.0,8.0,24.0,2.0,11.0,23.0,25.0,0.0,114.0,4.0,21.0,88.0,89.0,40.0,54.0,53.0,58.0,48.0,51.0,52.0
4465,5.0,39.0,89.0,27.0,108.0,15.0,1.0,31.0,21.0,124.0,140.0,24.0,6.0,2.0,125.0,38.0,45.0,34.0,36.0,64.0,25.0,43.0,44.0,57.0,65.0,99.0,20.0,66.0,62.0,63.0
4514,26.0,5.0,3.0,91.0,15.0,18.0,63.0,140.0,22.0,128.0,143.0,50.0,14.0,17.0,42.0,39.0,40.0,35.0,76.0,21.0,47.0,45.0,46.0,99.0,67.0,103.0,68.0,70.0,64.0,65.0
4563,9.0,5.0,0.0,3.0,154.0,30.0,4.0,31.0,54.0,27.0,93.0,24.0,1.0,132.0,10.0,2.0,35.0,14.0,113.0,41.0,89.0,87.0,88.0,55.0,42.0,40.0,43.0,50.0,58.0,53.0
4612,6.0,27.0,32.0,5.0,10.0,3.0,4.0,139.0,23.0,126.0,142.0,26.0,1.0,16.0,38.0,37.0,40.0,34.0,71.0,62.0,46.0,48.0,47.0,66.0,63.0,132.0,64.0,65.0,60.0,61.0
4661,26.0,50.0,27.0,25.0,15.0,5.0,59.0,138.0,21.0,0.0,141.0,41.0,6.0,157.0,8.0,3.0,4.0,19.0,36.0,2.0,23.0,47.0,46.0,66.0,63.0,33.0,64.0,65.0,60.0,61.0
4710,3.0,4.0,92.0,95.0,12.0,19.0,22.0,140.0,23.0,20.0,143.0,26.0,13.0,158.0,40.0,150.0,8.0,1.0,27.0,65.0,45.0,47.0,52.0,101.0,66.0,102.0,67.0,71.0,63.0,64.0
4759,0.0,12.0,27.0,8.0,26.0,25.0,5.0,2.0,45.0,107.0,13.0,83.0,1.0,21.0,99.0,37.0,116.0,28.0,35.0,4.0,80.0,29.0,91.0,53.0,49.0,57.0,51.0,52.0,46.0,47.0
4808,1.0,6.0,27.0,10.0,104.0,19.0,3.0,137.0,23.0,121.0,20.0,39.0,103.0,2.0,129.0,4.0,65.0,30.0,8.0,58.0,43.0,45.0,44.0,62.0,59.0,18.0,60.0,61.0,56.0,57.0
4857,5.0,28.0,6.0,7.0,11.0,143.0,25.0,23.0,59.0,125.0,141.0,44.0,12.0,157.0,38.0,36.0,41.0,34.0,40.0,24.0,47.0,46.0,27.0,66.0,63.0,163.0,64.0,65.0,61.0,62.0
