,hsa-miR-1977,hsa-miR-378,hsa-miR-766,hsa-miR-31,hsa-miR-214,hsa-miR-29c,hsa-miR-590-5p,hsa-miR-199b-5p,hsa-miR-620,hsa-miR-1296,hsa-miR-1262,hsa-miR-130a,hsa-miR-1308,hsa-miR-196b,hsa-miR-542-5p,hsa-miR-616,hsa-miR-563,hsa-miR-509-5p,kshv-miR-K12-3,hsa-miR-935,hsa-miR-764,hsv1-miR-H7,hsa-miR-645,hsa-miR-609,hsa-miR-744,hsa-miR-578,hsa-miR-147b,hsa-miR-34c-5p,hsa-miR-581,hsa-miR-142-5p
848,0.0,5.0,8.0,4.0,18.0,15.0,3.0,53.0,2.0,50.0,11.0,22.0,16.0,1.0,88.0,48.0,71.0,80.0,78.0,27.0,20.0,7.0,70.0,69.0,6.0,237.0,35.0,140.0,31.0,44.0
897,0.0,6.0,9.0,3.0,14.0,5.0,7.0,25.0,41.0,38.0,17.0,29.0,15.0,1.0,61.0,18.0,62.0,85.0,60.0,30.0,13.0,4.0,21.0,24.0,2.0,54.0,26.0,132.0,10.0,77.0
946,0.0,5.0,8.0,7.0,14.0,20.0,2.0,13.0,1.0,123.0,4.0,62.0,43.0,6.0,64.0,138.0,172.0,50.0,87.0,32.0,29.0,30.0,92.0,18.0,9.0,76.0,12.0,245.0,24.0,27.0
995,0.0,9.0,2.0,5.0,10.0,1.0,39.0,12.0,13.0,17.0,8.0,42.0,194.0,88.0,16.0,29.0,81.0,34.0,7.0,33.0,216.0,15.0,80.0,3.0,312.0,164.0,46.0,184.0,255.0,65.0
1044,0.0,30.0,1.0,15.0,17.0,4.0,2.0,7.0,38.0,12.0,13.0,10.0,27.0,9.0,18.0,28.0,26.0,37.0,8.0,55.0,125.0,51.0,6.0,11.0,252.0,35.0,80.0,32.0,180.0,21.0
1093,0.0,25.0,6.0,28.0,15.0,8.0,3.0,7.0,26.0,5.0,41.0,12.0,75.0,33.0,2.0,46.0,23.0,61.0,37.0,98.0,113.0,4.0,22.0,20.0,83.0,18.0,88.0,74.0,24.0,14.0
1142,0.0,5.0,1.0,23.0,6.0,3.0,53.0,7.0,29.0,17.0,11.0,10.0,55.0,21.0,4.0,14.0,19.0,70.0,12.0,8.0,128.0,43.0,24.0,30.0,320.0,27.0,28.0,78.0,82.0,31.0
1191,0.0,10.0,1.0,4.0,13.0,5.0,12.0,2.0,39.0,15.0,40.0,3.0,38.0,42.0,16.0,29.0,30.0,82.0,7.0,45.0,159.0,77.0,14.0,27.0,112.0,116.0,80.0,179.0,43.0,35.0
1240,0.0,15.0,1.0,67.0,25.0,2.0,6.0,10.0,8.0,7.0,49.0,12.0,28.0,16.0,3.0,251.0,117.0,110.0,18.0,37.0,250.0,89.0,26.0,4.0,254.0,79.0,66.0,314.0,147.0,11.0
1289,0.0,6.0,9.0,22.0,20.0,13.0,19.0,1.0,44.0,3.0,16.0,12.0,97.0,52.0,8.0,30.0,5.0,74.0,92.0,14.0,116.0,33.0,35.0,41.0,101.0,31.0,25.0,83.0,173.0,10.0
1338,0.0,4.0,2.0,3.0,10.0,7.0,23.0,1.0,15.0,34.0,57.0,11.0,40.0,6.0,36.0,47.0,27.0,119.0,60.0,104.0,78.0,14.0,8.0,25.0,71.0,143.0,38.0,256.0,196.0,32.0
1387,0.0,3.0,23.0,21.0,2.0,6.0,17.0,1.0,29.0,7.0,104.0,4.0,105.0,66.0,12.0,34.0,308.0,31.0,16.0,25.0,168.0,95.0,32.0,13.0,67.0,11.0,84.0,8.0,37.0,44.0
1436,1.0,6.0,0.0,3.0,41.0,15.0,11.0,10.0,33.0,57.0,16.0,50.0,170.0,4.0,40.0,7.0,24.0,287.0,17.0,30.0,148.0,14.0,12.0,8.0,93.0,13.0,142.0,104.0,43.0,19.0
1485,0.0,2.0,6.0,12.0,17.0,9.0,15.0,35.0,25.0,5.0,10.0,27.0,1.0,40.0,19.0,16.0,30.0,48.0,50.0,89.0,45.0,49.0,52.0,8.0,51.0,176.0,29.0,33.0,135.0,166.0
1534,0.0,7.0,6.0,19.0,10.0,8.0,12.0,3.0,1.0,16.0,21.0,17.0,4.0,66.0,11.0,197.0,14.0,27.0,35.0,64.0,23.0,67.0,57.0,26.0,22.0,52.0,74.0,112.0,46.0,117.0
1583,0.0,5.0,9.0,25.0,3.0,12.0,8.0,24.0,1.0,34.0,4.0,15.0,7.0,33.0,6.0,21.0,13.0,32.0,66.0,49.0,17.0,18.0,27.0,19.0,10.0,162.0,56.0,23.0,54.0,89.0
