,ZNF625,ZSCAN18,NDN,PDE10A,HS3ST3A1,BHLHE41,SNHG18,ZNF502,DACH1,CCND2,GREM1,LPHN2,ZNF334,TSPYL5,CCDC8,ALDH2,UBA6-AS1,AC073052.1,RPL39P6,UBA6,ZNF462,GRIN2A,EPB41L3,MDFI,HOXA11,CXADR,C17orf97,TESK2,SPRY1,XAF1
3929,3.0,0.0,291.0,11.0,5.0,30.0,2.0,38.0,4.0,23.0,68.0,1.0,22.0,32.0,216.0,45.0,15.0,34.0,54.0,37.0,659.0,146.0,58.0,25.0,87.0,372.0,142.0,82.0,92.0,603.0
3978,2.0,3.0,170.0,15.0,12.0,45.0,8.0,16.0,11.0,4.0,44.0,0.0,21.0,7.0,1.0,132.0,53.0,48.0,76.0,23.0,279.0,1806.0,910.0,245.0,30.0,898.0,298.0,13.0,213.0,118.0
4027,5.0,0.0,81.0,9.0,1.0,2.0,15.0,3.0,6.0,13.0,48.0,4.0,25.0,61.0,7.0,32.0,157.0,125.0,626.0,22.0,92.0,429.0,379.0,248.0,31.0,312.0,115.0,16.0,47.0,71.0
4076,0.0,1.0,17.0,50.0,2.0,60.0,13.0,242.0,8.0,10.0,42.0,9.0,72.0,11.0,24.0,61.0,149.0,38.0,602.0,126.0,167.0,342.0,44.0,71.0,102.0,296.0,319.0,41.0,135.0,40.0
4125,1.0,0.0,127.0,19.0,4.0,36.0,20.0,8.0,2.0,61.0,39.0,6.0,556.0,24.0,34.0,23.0,86.0,51.0,257.0,47.0,220.0,146.0,96.0,69.0,385.0,89.0,211.0,22.0,52.0,14.0
4174,1.0,2.0,44.0,8.0,3.0,11.0,0.0,6.0,5.0,10.0,77.0,22.0,13.0,17.0,4.0,134.0,55.0,31.0,32.0,33.0,99.0,229.0,198.0,118.0,26.0,180.0,74.0,41.0,313.0,94.0
4223,1.0,0.0,63.0,4.0,3.0,50.0,20.0,2.0,12.0,5.0,18.0,13.0,62.0,14.0,39.0,10.0,41.0,73.0,97.0,31.0,268.0,303.0,1044.0,38.0,24.0,566.0,1424.0,45.0,179.0,58.0
4272,8.0,6.0,10.0,3.0,11.0,4.0,262.0,13.0,2.0,12.0,16.0,9.0,1.0,285.0,36.0,48.0,84.0,228.0,29.0,115.0,544.0,2915.0,86.0,103.0,15.0,965.0,434.0,40.0,47.0,156.0
4321,4.0,1.0,0.0,151.0,2.0,13.0,214.0,23.0,10.0,18.0,9.0,11.0,20.0,29.0,3.0,43.0,354.0,70.0,24.0,239.0,32.0,360.0,300.0,12.0,115.0,101.0,79.0,6.0,266.0,155.0
4370,5.0,0.0,710.0,40.0,1.0,25.0,3.0,26.0,22.0,14.0,7.0,6.0,15.0,13.0,16.0,115.0,165.0,85.0,83.0,153.0,332.0,251.0,1054.0,890.0,34.0,239.0,145.0,66.0,19.0,70.0
4419,0.0,1.0,6.0,4.0,3.0,2.0,33.0,49.0,24.0,75.0,27.0,55.0,10.0,113.0,328.0,15.0,468.0,69.0,240.0,26.0,140.0,50.0,11.0,158.0,262.0,66.0,41.0,97.0,17.0,762.0
4468,0.0,1.0,11.0,57.0,19.0,4.0,2.0,18.0,7.0,333.0,219.0,51.0,3.0,15.0,74.0,8.0,88.0,9.0,797.0,25.0,16.0,487.0,165.0,120.0,611.0,28.0,13.0,64.0,6.0,211.0
4517,0.0,2.0,42.0,1.0,10.0,13.0,11.0,29.0,25.0,43.0,50.0,132.0,19.0,17.0,6.0,80.0,236.0,31.0,858.0,28.0,90.0,27.0,97.0,85.0,250.0,7.0,116.0,108.0,69.0,171.0
4566,3.0,0.0,235.0,1.0,19.0,35.0,24.0,43.0,48.0,879.0,27.0,47.0,8.0,4.0,33.0,65.0,44.0,12.0,183.0,30.0,22.0,20.0,254.0,292.0,42.0,28.0,58.0,193.0,16.0,221.0
4615,0.0,1.0,269.0,35.0,71.0,7.0,49.0,14.0,2.0,94.0,22.0,100.0,3.0,123.0,127.0,88.0,76.0,26.0,118.0,27.0,85.0,1109.0,13.0,122.0,66.0,25.0,938.0,39.0,31.0,50.0
4664,1.0,3.0,28.0,2.0,18.0,16.0,0.0,60.0,15.0,207.0,188.0,187.0,7.0,44.0,19.0,39.0,30.0,24.0,233.0,5.0,65.0,36.0,128.0,107.0,143.0,4.0,183.0,114.0,11.0,84.0
4713,1.0,2.0,25.0,14.0,36.0,33.0,15.0,39.0,21.0,361.0,174.0,96.0,32.0,68.0,52.0,13.0,45.0,12.0,296.0,16.0,8.0,35.0,5.0,123.0,136.0,28.0,118.0,64.0,31.0,204.0
4762,1.0,0.0,37.0,5.0,29.0,11.0,3.0,7.0,34.0,90.0,142.0,43.0,17.0,453.0,35.0,6.0,28.0,19.0,716.0,12.0,47.0,18.0,4.0,58.0,184.0,2.0,67.0,134.0,120.0,57.0
4811,0.0,12.0,157.0,6.0,9.0,21.0,1.0,94.0,8.0,731.0,140.0,318.0,171.0,19.0,36.0,4.0,31.0,23.0,105.0,11.0,3.0,13.0,29.0,139.0,112.0,76.0,7.0,97.0,55.0,47.0
4860,0.0,1.0,51.0,3.0,13.0,59.0,4.0,14.0,57.0,301.0,97.0,195.0,71.0,111.0,39.0,12.0,83.0,41.0,144.0,5.0,6.0,42.0,100.0,816.0,64.0,11.0,793.0,294.0,10.0,65.0
