,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-10a,hsa-miR-384,hsa-miR-512-3p,hsa-miR-661,hsa-miR-1183,hsa-miR-22,hcmv-miR-UL148D,hsa-miR-133b,hsa-miR-545,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-1294,hsa-miR-616,hsa-miR-103,hsa-miR-340,hsa-miR-148a,hsa-miR-1978,hsa-miR-21,hsa-miR-563,hsa-miR-766,hsa-miR-412,ebv-miR-BART18-3p,hsa-miR-1975,hsa-miR-96,hsv2-miR-H4-5p,hsa-miR-1259,hsa-miR-1299,hsa-miR-890
3449,3.0,106.0,1.0,43.0,36.0,37.0,41.0,2.0,14.0,100.0,64.0,134.0,107.0,98.0,184.0,461.0,176.0,68.0,122.0,171.0,26.0,357.0,133.0,118.0,120.0,82.0,22.0,73.0,477.0,62.0
3498,57.0,214.0,456.0,89.0,62.0,10.0,13.0,593.0,151.0,45.0,127.0,86.0,109.0,102.0,191.0,48.0,110.0,55.0,143.0,409.0,145.0,357.0,135.0,49.0,119.0,156.0,60.0,43.0,133.0,341.0
3547,100.0,541.0,56.0,1.0,127.0,12.0,20.0,91.0,27.0,30.0,52.0,143.0,72.0,468.0,196.0,270.0,581.0,118.0,124.0,142.0,49.0,350.0,140.0,274.0,154.0,41.0,141.0,23.0,19.0,103.0
3596,10.0,545.0,42.0,12.0,125.0,218.0,52.0,14.0,86.0,25.0,60.0,117.0,124.0,281.0,21.0,67.0,94.0,34.0,81.0,477.0,7.0,102.0,78.0,108.0,31.0,389.0,115.0,79.0,235.0,55.0
3645,19.0,190.0,22.0,86.0,83.0,3.0,11.0,127.0,100.0,165.0,564.0,262.0,54.0,131.0,81.0,460.0,615.0,50.0,116.0,75.0,191.0,355.0,155.0,182.0,45.0,147.0,77.0,32.0,24.0,31.0
3694,11.0,212.0,25.0,562.0,6.0,340.0,3.0,10.0,35.0,49.0,30.0,98.0,130.0,17.0,45.0,456.0,29.0,9.0,147.0,401.0,135.0,58.0,113.0,12.0,50.0,109.0,28.0,32.0,468.0,295.0
3743,5.0,541.0,4.0,148.0,51.0,0.0,10.0,383.0,40.0,48.0,119.0,64.0,116.0,121.0,62.0,221.0,102.0,15.0,72.0,400.0,126.0,113.0,73.0,59.0,129.0,310.0,17.0,42.0,30.0,162.0
3792,297.0,9.0,450.0,61.0,20.0,360.0,14.0,123.0,118.0,74.0,21.0,154.0,72.0,68.0,38.0,453.0,11.0,24.0,149.0,400.0,114.0,345.0,127.0,2.0,35.0,144.0,28.0,75.0,466.0,0.0
3841,14.0,182.0,15.0,56.0,111.0,4.0,17.0,28.0,98.0,102.0,10.0,94.0,125.0,431.0,177.0,91.0,612.0,65.0,101.0,26.0,104.0,354.0,116.0,129.0,126.0,166.0,280.0,64.0,53.0,86.0
3890,19.0,187.0,451.0,11.0,57.0,14.0,10.0,29.0,153.0,66.0,56.0,74.0,87.0,110.0,161.0,454.0,123.0,30.0,61.0,76.0,130.0,348.0,131.0,140.0,408.0,44.0,65.0,22.0,68.0,118.0
