,hsa-miR-1287,hsa-miR-223,hsa-miR-188-3p,hsa-miR-224,hsa-miR-96,hsa-miR-136,hsa-miR-205,hsa-miR-563,hsa-miR-200a,ebv-miR-BART12,hsa-miR-665,hsa-miR-1978,hsa-miR-320b,hsa-miR-1266,hsa-miR-195,hsa-miR-204,hsa-miR-335,hsa-miR-103,hsa-miR-548d-3p,hsa-miR-1973,hsa-miR-592,hsa-miR-508-3p,hsa-miR-27b,hsa-miR-149,hsa-miR-320c,hsa-miR-591,hsa-miR-140-5p,hsa-miR-507,hsa-miR-654-5p,hsa-miR-215
2321,25.0,2.0,0.0,7.0,15.0,1.0,31.0,23.0,61.0,3.0,82.0,12.0,60.0,11.0,126.0,401.0,382.0,29.0,4.0,62.0,26.0,145.0,5.0,197.0,19.0,106.0,95.0,47.0,55.0,37.0
2370,209.0,7.0,1.0,2.0,0.0,6.0,34.0,9.0,5.0,17.0,78.0,3.0,11.0,20.0,48.0,261.0,37.0,123.0,12.0,16.0,18.0,72.0,116.0,23.0,30.0,8.0,57.0,10.0,32.0,75.0
2419,3.0,29.0,12.0,0.0,2.0,1.0,19.0,11.0,157.0,69.0,409.0,303.0,56.0,37.0,140.0,103.0,70.0,15.0,38.0,139.0,10.0,16.0,18.0,178.0,191.0,20.0,24.0,172.0,289.0,188.0
2468,1.0,6.0,2.0,4.0,21.0,0.0,11.0,158.0,97.0,3.0,20.0,16.0,77.0,155.0,406.0,219.0,44.0,18.0,216.0,35.0,485.0,310.0,7.0,51.0,64.0,101.0,149.0,75.0,79.0,82.0
2517,2.0,1.0,5.0,6.0,4.0,0.0,13.0,293.0,29.0,69.0,23.0,7.0,11.0,89.0,44.0,25.0,114.0,15.0,55.0,229.0,119.0,221.0,94.0,12.0,8.0,273.0,187.0,242.0,50.0,524.0
2566,0.0,31.0,1.0,2.0,6.0,8.0,44.0,145.0,363.0,4.0,57.0,367.0,15.0,13.0,82.0,19.0,144.0,46.0,47.0,48.0,11.0,84.0,137.0,37.0,77.0,162.0,473.0,240.0,174.0,416.0
2615,10.0,2.0,4.0,1.0,3.0,0.0,5.0,69.0,7.0,18.0,29.0,13.0,17.0,46.0,20.0,92.0,205.0,93.0,52.0,36.0,6.0,12.0,11.0,24.0,55.0,95.0,56.0,15.0,247.0,299.0
2664,0.0,5.0,10.0,2.0,3.0,20.0,48.0,4.0,45.0,1.0,73.0,26.0,17.0,93.0,47.0,551.0,150.0,95.0,12.0,11.0,38.0,42.0,175.0,258.0,33.0,24.0,178.0,6.0,8.0,129.0
2713,5.0,6.0,9.0,0.0,2.0,1.0,60.0,30.0,56.0,42.0,79.0,20.0,3.0,11.0,57.0,259.0,4.0,7.0,33.0,28.0,13.0,66.0,69.0,47.0,27.0,58.0,100.0,393.0,367.0,149.0
2762,2.0,14.0,1.0,7.0,43.0,4.0,22.0,21.0,36.0,5.0,361.0,39.0,20.0,97.0,34.0,164.0,79.0,31.0,92.0,84.0,32.0,77.0,67.0,29.0,63.0,9.0,441.0,68.0,27.0,517.0
2811,3.0,2.0,10.0,0.0,12.0,4.0,154.0,14.0,84.0,1.0,8.0,46.0,33.0,121.0,32.0,31.0,613.0,23.0,11.0,6.0,18.0,24.0,130.0,311.0,36.0,261.0,134.0,48.0,79.0,323.0
2860,3.0,2.0,81.0,10.0,8.0,1.0,36.0,58.0,65.0,0.0,13.0,54.0,25.0,217.0,107.0,110.0,11.0,72.0,6.0,7.0,48.0,418.0,133.0,80.0,57.0,359.0,170.0,453.0,18.0,483.0
2909,6.0,8.0,20.0,3.0,4.0,0.0,1.0,29.0,24.0,19.0,38.0,2.0,13.0,22.0,50.0,40.0,14.0,35.0,33.0,5.0,149.0,99.0,10.0,42.0,346.0,205.0,85.0,145.0,156.0,259.0
2958,0.0,244.0,2.0,468.0,7.0,10.0,50.0,180.0,126.0,1.0,20.0,14.0,308.0,3.0,43.0,115.0,9.0,86.0,48.0,46.0,72.0,242.0,99.0,100.0,11.0,5.0,15.0,97.0,185.0,190.0
3007,5.0,10.0,17.0,77.0,42.0,12.0,203.0,54.0,2.0,50.0,8.0,3.0,6.0,15.0,44.0,47.0,53.0,210.0,37.0,70.0,149.0,92.0,539.0,559.0,9.0,0.0,81.0,95.0,212.0,43.0
3056,43.0,4.0,5.0,12.0,1.0,38.0,119.0,11.0,80.0,8.0,0.0,44.0,382.0,62.0,25.0,24.0,22.0,19.0,14.0,91.0,35.0,98.0,77.0,607.0,21.0,3.0,60.0,76.0,139.0,57.0
3105,0.0,2.0,26.0,16.0,8.0,94.0,279.0,6.0,18.0,82.0,3.0,7.0,19.0,14.0,21.0,49.0,473.0,529.0,80.0,37.0,20.0,64.0,69.0,38.0,118.0,9.0,116.0,174.0,168.0,4.0
3154,0.0,25.0,46.0,36.0,5.0,4.0,3.0,155.0,56.0,1.0,8.0,54.0,2.0,32.0,6.0,30.0,420.0,44.0,23.0,258.0,11.0,19.0,111.0,176.0,35.0,7.0,109.0,50.0,101.0,62.0
3203,0.0,41.0,174.0,8.0,24.0,6.0,121.0,12.0,30.0,19.0,2.0,199.0,4.0,18.0,14.0,1.0,16.0,33.0,489.0,358.0,506.0,83.0,120.0,54.0,17.0,127.0,545.0,305.0,46.0,13.0
3252,6.0,1.0,11.0,96.0,0.0,15.0,10.0,123.0,34.0,4.0,21.0,73.0,8.0,52.0,27.0,19.0,87.0,75.0,31.0,92.0,621.0,33.0,145.0,3.0,457.0,2.0,55.0,108.0,148.0,170.0
3301,22.0,8.0,12.0,18.0,20.0,68.0,78.0,28.0,0.0,4.0,21.0,51.0,1.0,10.0,63.0,11.0,6.0,317.0,46.0,55.0,13.0,122.0,120.0,41.0,31.0,3.0,7.0,350.0,72.0,49.0
3350,17.0,3.0,35.0,5.0,57.0,164.0,4.0,8.0,23.0,21.0,14.0,10.0,37.0,33.0,46.0,70.0,19.0,68.0,105.0,391.0,147.0,112.0,162.0,15.0,339.0,186.0,471.0,327.0,16.0,0.0
3399,50.0,1.0,3.0,145.0,0.0,14.0,16.0,43.0,9.0,76.0,5.0,81.0,29.0,66.0,65.0,24.0,7.0,20.0,112.0,335.0,40.0,91.0,227.0,249.0,121.0,27.0,4.0,23.0,37.0,36.0
3448,26.0,5.0,6.0,2.0,8.0,9.0,0.0,1.0,29.0,14.0,7.0,150.0,11.0,18.0,31.0,58.0,399.0,16.0,13.0,32.0,3.0,30.0,38.0,84.0,79.0,513.0,56.0,49.0,268.0,251.0
