,hsa-miR-223,hsa-miR-224,hsa-miR-200a,hsa-miR-95,hsa-miR-140-5p,hsa-miR-96,hsa-miR-1302,hsa-miR-921,hsa-miR-129-5p,hsa-miR-2115,hsa-miR-545,hsa-miR-663,hsa-miR-572,hsa-miR-136,hsa-miR-1306,hsa-miR-205,hsa-miR-149,ebv-miR-BART8,hsa-miR-1973,hsa-miR-1979,hsv1-miR-H4-3p,hsa-miR-548a-3p,hsa-miR-626,hsa-miR-134,hsa-miR-190b,hsa-miR-607,hsa-miR-147b,hsa-miR-450a,hsv1-miR-H1,hsa-miR-616
2419,0.0,3.0,1.0,15.0,8.0,109.0,6.0,160.0,5.0,49.0,201.0,18.0,32.0,4.0,38.0,2.0,13.0,192.0,67.0,304.0,148.0,40.0,25.0,16.0,7.0,551.0,99.0,126.0,70.0,23.0
2468,0.0,3.0,1.0,5.0,111.0,2.0,358.0,75.0,18.0,29.0,15.0,23.0,170.0,4.0,58.0,25.0,28.0,89.0,199.0,44.0,116.0,60.0,11.0,123.0,12.0,172.0,53.0,27.0,353.0,343.0
2517,0.0,5.0,18.0,1.0,27.0,95.0,30.0,8.0,48.0,6.0,128.0,160.0,15.0,127.0,62.0,121.0,75.0,582.0,364.0,411.0,61.0,10.0,125.0,33.0,507.0,50.0,32.0,283.0,148.0,259.0
2566,0.0,4.0,2.0,3.0,1.0,10.0,291.0,15.0,43.0,7.0,17.0,266.0,60.0,8.0,28.0,5.0,23.0,89.0,16.0,36.0,20.0,13.0,14.0,488.0,106.0,432.0,81.0,27.0,178.0,31.0
2615,0.0,2.0,11.0,1.0,7.0,25.0,44.0,4.0,100.0,6.0,207.0,5.0,15.0,94.0,12.0,9.0,14.0,3.0,304.0,245.0,36.0,90.0,356.0,156.0,193.0,56.0,576.0,446.0,81.0,72.0
2664,1.0,10.0,6.0,0.0,3.0,54.0,514.0,5.0,12.0,49.0,31.0,30.0,22.0,4.0,68.0,133.0,441.0,150.0,102.0,2.0,20.0,249.0,61.0,85.0,258.0,11.0,236.0,23.0,170.0,29.0
2713,1.0,0.0,6.0,4.0,54.0,86.0,66.0,3.0,5.0,29.0,7.0,156.0,147.0,2.0,19.0,456.0,219.0,215.0,22.0,34.0,226.0,396.0,73.0,196.0,517.0,125.0,31.0,295.0,8.0,43.0
2762,0.0,2.0,11.0,1.0,3.0,7.0,74.0,10.0,213.0,6.0,195.0,483.0,13.0,31.0,8.0,4.0,52.0,99.0,26.0,84.0,5.0,14.0,66.0,24.0,112.0,53.0,18.0,9.0,134.0,91.0
2811,1.0,4.0,3.0,11.0,10.0,0.0,2.0,8.0,22.0,21.0,58.0,15.0,27.0,32.0,17.0,227.0,411.0,31.0,7.0,73.0,26.0,55.0,5.0,70.0,522.0,375.0,185.0,96.0,161.0,267.0
2860,0.0,2.0,1.0,4.0,73.0,27.0,9.0,23.0,75.0,8.0,11.0,25.0,10.0,17.0,490.0,164.0,30.0,45.0,54.0,5.0,40.0,230.0,187.0,58.0,128.0,310.0,84.0,78.0,147.0,102.0
2909,1.0,0.0,2.0,3.0,8.0,6.0,45.0,5.0,100.0,4.0,16.0,13.0,78.0,107.0,34.0,325.0,92.0,171.0,347.0,46.0,7.0,164.0,9.0,30.0,26.0,47.0,50.0,83.0,114.0,196.0
2958,0.0,17.0,2.0,3.0,5.0,27.0,7.0,1.0,10.0,13.0,232.0,137.0,61.0,8.0,67.0,6.0,11.0,375.0,42.0,176.0,110.0,99.0,279.0,261.0,109.0,33.0,254.0,20.0,62.0,342.0
3007,0.0,5.0,7.0,1.0,4.0,6.0,18.0,13.0,38.0,25.0,9.0,76.0,30.0,213.0,82.0,129.0,73.0,95.0,2.0,116.0,228.0,45.0,120.0,15.0,249.0,12.0,67.0,111.0,52.0,165.0
3056,0.0,4.0,5.0,1.0,2.0,98.0,187.0,65.0,69.0,19.0,30.0,7.0,89.0,20.0,6.0,10.0,11.0,43.0,87.0,60.0,386.0,164.0,76.0,365.0,31.0,23.0,137.0,59.0,8.0,17.0
3105,0.0,8.0,2.0,12.0,14.0,5.0,30.0,72.0,24.0,1.0,92.0,40.0,10.0,6.0,17.0,22.0,45.0,23.0,7.0,91.0,173.0,59.0,15.0,528.0,213.0,53.0,20.0,249.0,312.0,26.0
3154,4.0,6.0,0.0,3.0,2.0,53.0,5.0,18.0,9.0,12.0,191.0,29.0,37.0,7.0,34.0,1.0,51.0,44.0,8.0,55.0,60.0,40.0,16.0,119.0,85.0,376.0,156.0,25.0,589.0,11.0
3203,2.0,1.0,33.0,0.0,4.0,66.0,16.0,12.0,38.0,3.0,25.0,68.0,219.0,27.0,29.0,26.0,61.0,22.0,19.0,17.0,5.0,8.0,6.0,30.0,136.0,7.0,244.0,58.0,303.0,273.0
3252,1.0,0.0,2.0,4.0,7.0,17.0,9.0,3.0,53.0,5.0,84.0,72.0,6.0,13.0,24.0,89.0,92.0,74.0,10.0,35.0,14.0,11.0,19.0,416.0,199.0,69.0,181.0,42.0,230.0,15.0
3301,3.0,2.0,1.0,0.0,13.0,6.0,191.0,36.0,5.0,21.0,171.0,19.0,15.0,75.0,31.0,9.0,94.0,68.0,48.0,24.0,84.0,42.0,11.0,101.0,132.0,293.0,86.0,40.0,65.0,4.0
3350,2.0,32.0,1.0,5.0,7.0,11.0,555.0,0.0,3.0,69.0,10.0,213.0,24.0,9.0,177.0,43.0,103.0,37.0,15.0,493.0,27.0,14.0,207.0,461.0,102.0,114.0,214.0,151.0,83.0,41.0
3399,4.0,2.0,3.0,0.0,1.0,16.0,94.0,14.0,11.0,19.0,17.0,6.0,95.0,123.0,5.0,47.0,231.0,29.0,88.0,8.0,10.0,130.0,30.0,26.0,20.0,127.0,116.0,256.0,183.0,53.0
3448,6.0,0.0,1.0,3.0,5.0,2.0,9.0,19.0,91.0,217.0,37.0,176.0,15.0,180.0,13.0,32.0,4.0,7.0,164.0,56.0,54.0,18.0,10.0,119.0,46.0,128.0,61.0,16.0,167.0,185.0
3497,1.0,0.0,3.0,2.0,20.0,7.0,10.0,38.0,67.0,31.0,16.0,8.0,65.0,36.0,4.0,23.0,5.0,13.0,625.0,48.0,24.0,64.0,107.0,40.0,61.0,79.0,11.0,135.0,607.0,21.0
3546,0.0,1.0,33.0,2.0,16.0,27.0,8.0,12.0,9.0,169.0,5.0,145.0,17.0,7.0,13.0,34.0,29.0,55.0,407.0,81.0,21.0,82.0,35.0,88.0,135.0,442.0,3.0,197.0,231.0,254.0
3595,0.0,1.0,104.0,3.0,50.0,74.0,12.0,17.0,28.0,34.0,24.0,15.0,232.0,33.0,4.0,22.0,2.0,92.0,245.0,7.0,163.0,8.0,26.0,73.0,142.0,10.0,508.0,98.0,25.0,85.0
3644,2.0,0.0,1.0,3.0,4.0,17.0,8.0,59.0,100.0,35.0,5.0,449.0,41.0,10.0,52.0,46.0,11.0,16.0,168.0,178.0,55.0,486.0,62.0,51.0,34.0,90.0,67.0,135.0,146.0,9.0
3693,3.0,0.0,5.0,1.0,199.0,2.0,12.0,62.0,13.0,298.0,4.0,108.0,45.0,193.0,113.0,101.0,79.0,189.0,42.0,145.0,60.0,58.0,98.0,23.0,70.0,7.0,22.0,35.0,50.0,96.0
3742,0.0,1.0,2.0,7.0,3.0,6.0,58.0,309.0,8.0,57.0,5.0,9.0,47.0,31.0,4.0,64.0,15.0,178.0,104.0,28.0,34.0,131.0,92.0,191.0,133.0,36.0,53.0,26.0,346.0,153.0
3791,3.0,0.0,2.0,6.0,1.0,112.0,24.0,100.0,35.0,17.0,11.0,259.0,96.0,23.0,29.0,4.0,7.0,54.0,52.0,63.0,16.0,5.0,208.0,251.0,33.0,56.0,15.0,19.0,555.0,13.0
3840,0.0,1.0,12.0,9.0,8.0,2.0,11.0,31.0,146.0,5.0,4.0,180.0,6.0,13.0,3.0,67.0,255.0,38.0,168.0,43.0,139.0,136.0,66.0,178.0,628.0,55.0,101.0,228.0,26.0,34.0
3889,1.0,0.0,4.0,8.0,2.0,26.0,3.0,17.0,107.0,18.0,21.0,11.0,58.0,20.0,10.0,5.0,9.0,82.0,64.0,239.0,13.0,33.0,99.0,255.0,19.0,23.0,54.0,35.0,437.0,94.0
3938,3.0,1.0,2.0,74.0,4.0,8.0,5.0,0.0,10.0,9.0,7.0,6.0,59.0,38.0,42.0,14.0,34.0,124.0,419.0,64.0,17.0,41.0,45.0,230.0,276.0,319.0,202.0,19.0,32.0,21.0
3987,1.0,0.0,3.0,15.0,7.0,2.0,35.0,231.0,20.0,72.0,8.0,4.0,236.0,11.0,58.0,164.0,5.0,32.0,147.0,443.0,73.0,13.0,76.0,51.0,71.0,149.0,9.0,27.0,61.0,17.0
4036,0.0,2.0,1.0,8.0,29.0,3.0,80.0,14.0,23.0,35.0,211.0,13.0,237.0,102.0,160.0,5.0,98.0,4.0,96.0,32.0,7.0,16.0,114.0,67.0,42.0,122.0,72.0,62.0,34.0,15.0
4085,0.0,8.0,1.0,5.0,23.0,4.0,213.0,6.0,36.0,32.0,40.0,30.0,44.0,100.0,155.0,85.0,21.0,31.0,48.0,24.0,34.0,16.0,60.0,214.0,140.0,14.0,303.0,25.0,69.0,26.0
4134,2.0,0.0,1.0,4.0,54.0,75.0,7.0,3.0,113.0,74.0,14.0,96.0,18.0,243.0,44.0,93.0,114.0,77.0,157.0,37.0,177.0,22.0,119.0,8.0,275.0,62.0,457.0,303.0,49.0,100.0
4183,0.0,1.0,9.0,2.0,5.0,3.0,14.0,39.0,12.0,27.0,135.0,8.0,97.0,125.0,138.0,25.0,15.0,168.0,204.0,92.0,20.0,193.0,17.0,167.0,436.0,244.0,418.0,121.0,37.0,50.0
4232,0.0,6.0,5.0,2.0,21.0,7.0,3.0,17.0,1.0,25.0,12.0,8.0,53.0,414.0,30.0,137.0,10.0,9.0,11.0,49.0,76.0,26.0,91.0,96.0,195.0,460.0,272.0,150.0,13.0,207.0
4281,2.0,4.0,9.0,1.0,0.0,3.0,18.0,5.0,34.0,42.0,79.0,20.0,10.0,75.0,29.0,56.0,37.0,11.0,28.0,15.0,118.0,6.0,158.0,60.0,82.0,55.0,394.0,8.0,53.0,143.0
4330,0.0,1.0,2.0,3.0,5.0,49.0,28.0,204.0,10.0,18.0,4.0,60.0,16.0,112.0,78.0,85.0,11.0,80.0,249.0,96.0,50.0,26.0,13.0,14.0,46.0,53.0,349.0,21.0,55.0,289.0
4379,11.0,0.0,2.0,6.0,9.0,5.0,1.0,19.0,26.0,18.0,23.0,21.0,233.0,69.0,68.0,51.0,376.0,8.0,25.0,17.0,3.0,375.0,34.0,20.0,75.0,14.0,10.0,385.0,15.0,58.0
4428,1.0,0.0,34.0,66.0,12.0,8.0,2.0,63.0,3.0,14.0,33.0,293.0,19.0,177.0,23.0,225.0,72.0,29.0,366.0,9.0,393.0,41.0,4.0,13.0,28.0,79.0,35.0,5.0,171.0,192.0
4477,1.0,0.0,2.0,8.0,13.0,6.0,3.0,157.0,20.0,5.0,4.0,7.0,54.0,34.0,231.0,16.0,83.0,64.0,504.0,18.0,138.0,188.0,25.0,228.0,15.0,208.0,9.0,327.0,276.0,426.0
4526,2.0,0.0,3.0,20.0,9.0,4.0,1.0,139.0,11.0,46.0,7.0,25.0,18.0,12.0,235.0,19.0,6.0,97.0,110.0,131.0,93.0,5.0,13.0,16.0,8.0,82.0,45.0,248.0,465.0,17.0
4575,0.0,1.0,2.0,6.0,45.0,3.0,50.0,43.0,14.0,21.0,4.0,170.0,452.0,19.0,213.0,250.0,443.0,12.0,69.0,58.0,7.0,74.0,84.0,25.0,15.0,395.0,29.0,5.0,137.0,33.0
4624,0.0,2.0,1.0,9.0,6.0,3.0,16.0,5.0,7.0,4.0,14.0,144.0,124.0,44.0,80.0,84.0,39.0,73.0,13.0,8.0,20.0,24.0,89.0,196.0,396.0,35.0,27.0,71.0,76.0,155.0
4673,2.0,1.0,0.0,74.0,125.0,29.0,11.0,51.0,3.0,13.0,8.0,75.0,82.0,25.0,43.0,362.0,172.0,60.0,479.0,26.0,62.0,27.0,105.0,10.0,54.0,236.0,59.0,330.0,168.0,264.0
4722,0.0,7.0,10.0,25.0,32.0,3.0,4.0,6.0,30.0,21.0,14.0,9.0,47.0,8.0,468.0,301.0,285.0,13.0,16.0,73.0,146.0,42.0,38.0,87.0,294.0,244.0,203.0,177.0,443.0,131.0
4771,0.0,4.0,22.0,20.0,45.0,27.0,179.0,5.0,8.0,6.0,3.0,236.0,9.0,68.0,140.0,100.0,15.0,151.0,56.0,1.0,171.0,81.0,2.0,75.0,79.0,127.0,10.0,113.0,229.0,488.0
4820,2.0,1.0,3.0,249.0,7.0,40.0,15.0,51.0,34.0,5.0,13.0,122.0,26.0,14.0,227.0,33.0,32.0,164.0,6.0,9.0,85.0,37.0,24.0,0.0,202.0,94.0,4.0,312.0,137.0,328.0
4869,8.0,1.0,0.0,7.0,5.0,4.0,6.0,385.0,45.0,11.0,9.0,10.0,156.0,3.0,87.0,33.0,78.0,58.0,12.0,79.0,216.0,20.0,2.0,54.0,43.0,101.0,75.0,213.0,123.0,120.0
