,Shc_pY317,RAD51,EGFR,C-Raf_pS338,p38_pT180_Y182,Notch1,SHP-2_pY542,P-Cadherin,HER2_pY1248,Annexin 1,PKC-delta_pS664,Syk,EGFR_pY1068,4E-BP1,Gab2,PRDX1,Smac,c-Myc,CDK1,Cyclin_D1,CD31,VAV1,HER2,MEK1_pS217_S221,MYH11,Chk2,AMPK_pT172,FoxM1,Bap1 c-4,FOXO3a
3335,2.0,3.0,1.0,7.0,4.0,15.0,12.0,20.0,5.0,26.0,77.0,38.0,24.0,33.0,35.0,73.0,8.0,99.0,0.0,9.0,11.0,32.0,6.0,14.0,23.0,17.0,115.0,31.0,29.0,21.0
3384,0.0,7.0,8.0,3.0,9.0,4.0,17.0,12.0,14.0,11.0,74.0,51.0,27.0,26.0,22.0,32.0,5.0,1.0,29.0,21.0,20.0,19.0,23.0,30.0,6.0,28.0,97.0,114.0,2.0,34.0
3433,3.0,0.0,15.0,7.0,20.0,28.0,9.0,10.0,1.0,17.0,13.0,25.0,2.0,18.0,6.0,64.0,77.0,33.0,4.0,31.0,39.0,16.0,5.0,23.0,8.0,113.0,102.0,19.0,11.0,41.0
3482,1.0,0.0,6.0,15.0,14.0,33.0,9.0,5.0,3.0,31.0,11.0,35.0,8.0,2.0,7.0,73.0,66.0,13.0,23.0,12.0,17.0,22.0,4.0,19.0,10.0,89.0,92.0,26.0,29.0,121.0
3531,5.0,0.0,4.0,11.0,1.0,49.0,7.0,12.0,3.0,15.0,14.0,9.0,2.0,6.0,8.0,26.0,24.0,18.0,19.0,27.0,13.0,57.0,10.0,36.0,32.0,34.0,33.0,23.0,122.0,30.0
3580,1.0,0.0,19.0,6.0,10.0,31.0,2.0,3.0,4.0,21.0,9.0,12.0,7.0,20.0,13.0,72.0,28.0,18.0,8.0,27.0,17.0,16.0,5.0,15.0,14.0,87.0,35.0,30.0,29.0,126.0
3629,2.0,0.0,1.0,18.0,6.0,37.0,8.0,4.0,9.0,13.0,20.0,30.0,5.0,10.0,7.0,28.0,29.0,99.0,14.0,33.0,12.0,39.0,21.0,11.0,3.0,90.0,26.0,17.0,22.0,131.0
3678,1.0,0.0,6.0,4.0,8.0,29.0,13.0,2.0,5.0,17.0,12.0,9.0,10.0,14.0,3.0,71.0,24.0,31.0,19.0,27.0,18.0,25.0,11.0,16.0,20.0,84.0,83.0,7.0,36.0,121.0
3727,2.0,0.0,7.0,6.0,5.0,42.0,14.0,8.0,1.0,18.0,11.0,33.0,4.0,12.0,10.0,34.0,26.0,104.0,32.0,28.0,15.0,20.0,3.0,23.0,30.0,96.0,29.0,13.0,35.0,38.0
3776,1.0,0.0,8.0,11.0,31.0,15.0,22.0,4.0,2.0,29.0,6.0,30.0,3.0,25.0,17.0,74.0,20.0,21.0,12.0,39.0,7.0,9.0,5.0,16.0,14.0,91.0,10.0,13.0,33.0,120.0
