,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
2121,6.0,15.0,3.0,10.0,60.0,27.0,7.0,16.0,73.0,38.0,219.0,35.0,4.0,12.0,24.0,138.0,185.0,440.0,130.0,21.0,0.0,284.0,545.0,368.0,2.0,5.0,427.0,126.0,25.0,22.0
2170,16.0,6.0,1.0,21.0,72.0,12.0,11.0,62.0,102.0,10.0,82.0,3.0,0.0,94.0,185.0,35.0,58.0,199.0,78.0,2.0,28.0,137.0,157.0,27.0,38.0,37.0,68.0,305.0,31.0,47.0
2219,2.0,3.0,0.0,4.0,8.0,9.0,49.0,81.0,6.0,229.0,31.0,21.0,1.0,7.0,16.0,64.0,196.0,161.0,17.0,14.0,18.0,57.0,24.0,88.0,90.0,5.0,94.0,41.0,109.0,78.0
2268,4.0,66.0,5.0,0.0,8.0,70.0,3.0,39.0,17.0,67.0,326.0,7.0,11.0,13.0,1.0,6.0,44.0,124.0,113.0,31.0,16.0,287.0,333.0,138.0,248.0,51.0,29.0,181.0,9.0,580.0
2317,22.0,20.0,14.0,0.0,3.0,103.0,6.0,29.0,1.0,60.0,264.0,12.0,18.0,629.0,15.0,45.0,11.0,141.0,592.0,65.0,4.0,191.0,46.0,30.0,50.0,2.0,58.0,528.0,70.0,204.0
2366,21.0,3.0,1.0,4.0,247.0,25.0,12.0,27.0,5.0,2.0,374.0,7.0,0.0,15.0,23.0,30.0,33.0,35.0,223.0,39.0,16.0,155.0,176.0,14.0,51.0,9.0,41.0,236.0,121.0,195.0
2415,7.0,36.0,4.0,1.0,5.0,74.0,0.0,62.0,11.0,18.0,21.0,29.0,32.0,2.0,89.0,48.0,342.0,118.0,55.0,24.0,148.0,138.0,133.0,6.0,219.0,47.0,66.0,324.0,180.0,160.0
2464,4.0,9.0,0.0,1.0,2.0,3.0,5.0,50.0,110.0,7.0,34.0,16.0,73.0,18.0,266.0,119.0,8.0,37.0,10.0,31.0,196.0,19.0,23.0,171.0,64.0,17.0,90.0,11.0,12.0,80.0
2513,2.0,16.0,3.0,5.0,0.0,8.0,7.0,78.0,10.0,31.0,19.0,22.0,6.0,548.0,44.0,20.0,35.0,69.0,4.0,333.0,92.0,252.0,1.0,133.0,13.0,110.0,32.0,11.0,18.0,72.0
2562,0.0,8.0,4.0,1.0,57.0,5.0,3.0,7.0,70.0,14.0,45.0,6.0,28.0,252.0,9.0,33.0,76.0,71.0,2.0,19.0,79.0,18.0,24.0,44.0,25.0,107.0,90.0,17.0,16.0,186.0
