,ZBTB20_AMP,GBP3_DEL,ADAM6_AMP,SIRPB1_AMP,BRAF_MUT,GSTT1_AMP,CFHR1_AMP,LOC391322_AMP,KIAA1217_DEL,CFHR3_AMP,KIAA0125_AMP,CNTNAP3B_DEL,USP32P2_DEL,DOCK10_AMP,OR51A2_DEL,FAM75A6_DEL,TPTE_DEL,NSF_AMP,SLC25A37_DEL,TTTY22_DEL,UGT2B28_DEL,DDT_DEL,FAM21A_DEL,CADM2_DEL,GSTTP1_DEL,NRG3_DEL,HERC2P2_AMP,LCE1D_AMP,ARL17A_DEL,LGALS9C_DEL
568,0.0,53.0,8.0,234.0,17.0,30.0,7.0,31.0,1.0,14.0,9.0,10.0,54.0,5.0,2.0,20.0,24.0,74.0,29.0,23.0,11.0,21.0,4.0,211.0,6.0,37.0,156.0,28.0,19.0,38.0
617,0.0,65.0,3.0,40.0,6.0,19.0,48.0,20.0,16.0,103.0,8.0,49.0,2.0,61.0,9.0,85.0,4.0,15.0,36.0,94.0,22.0,17.0,18.0,37.0,11.0,34.0,7.0,81.0,5.0,35.0
666,60.0,28.0,2.0,81.0,63.0,0.0,78.0,1.0,3.0,50.0,7.0,35.0,17.0,10.0,27.0,36.0,42.0,6.0,14.0,34.0,59.0,19.0,5.0,32.0,4.0,39.0,129.0,121.0,118.0,30.0
715,0.0,32.0,2.0,131.0,17.0,90.0,25.0,89.0,1.0,19.0,6.0,16.0,33.0,18.0,4.0,43.0,8.0,7.0,13.0,35.0,5.0,10.0,54.0,70.0,46.0,11.0,30.0,41.0,21.0,74.0
764,4.0,68.0,3.0,13.0,26.0,2.0,117.0,1.0,0.0,101.0,5.0,69.0,20.0,30.0,25.0,149.0,16.0,7.0,32.0,159.0,38.0,35.0,19.0,72.0,9.0,55.0,92.0,15.0,10.0,41.0
813,4.0,39.0,20.0,35.0,40.0,55.0,3.0,54.0,26.0,2.0,23.0,34.0,15.0,10.0,9.0,58.0,75.0,21.0,14.0,51.0,43.0,28.0,18.0,41.0,11.0,13.0,38.0,31.0,30.0,16.0
862,0.0,67.0,7.0,85.0,1.0,3.0,68.0,2.0,6.0,34.0,9.0,16.0,17.0,4.0,11.0,33.0,5.0,26.0,98.0,8.0,43.0,63.0,12.0,167.0,79.0,93.0,348.0,44.0,14.0,19.0
911,0.0,32.0,2.0,66.0,91.0,28.0,25.0,27.0,5.0,7.0,1.0,36.0,45.0,6.0,3.0,56.0,16.0,4.0,20.0,59.0,111.0,8.0,9.0,37.0,80.0,14.0,15.0,44.0,42.0,61.0
960,3.0,110.0,0.0,17.0,25.0,20.0,5.0,21.0,10.0,8.0,1.0,32.0,7.0,23.0,14.0,48.0,33.0,29.0,40.0,27.0,11.0,26.0,4.0,111.0,38.0,47.0,19.0,24.0,78.0,12.0
1009,33.0,3.0,19.0,12.0,0.0,2.0,7.0,1.0,29.0,13.0,32.0,16.0,24.0,63.0,17.0,26.0,11.0,125.0,37.0,38.0,6.0,25.0,5.0,43.0,21.0,39.0,73.0,41.0,8.0,57.0
1058,5.0,1.0,142.0,0.0,7.0,3.0,4.0,2.0,683.0,9.0,230.0,17.0,18.0,51.0,13.0,36.0,23.0,105.0,24.0,53.0,6.0,26.0,196.0,42.0,110.0,14.0,10.0,41.0,55.0,47.0
1107,12.0,0.0,32.0,10.0,13.0,2.0,3.0,1.0,134.0,5.0,59.0,24.0,30.0,127.0,53.0,28.0,9.0,37.0,6.0,77.0,11.0,20.0,25.0,35.0,135.0,39.0,8.0,22.0,15.0,85.0
1156,1780.0,5.0,443.0,0.0,6.0,1.0,30.0,2.0,16.0,79.0,1235.0,13.0,20.0,2602.0,66.0,17.0,36.0,121.0,23.0,71.0,4.0,44.0,52.0,77.0,205.0,15.0,32.0,18.0,7.0,56.0
1205,68.0,3.0,64.0,2.0,61.0,1.0,6.0,0.0,121.0,16.0,83.0,10.0,17.0,57.0,7.0,15.0,8.0,53.0,35.0,32.0,85.0,11.0,51.0,39.0,5.0,44.0,31.0,28.0,19.0,37.0
1254,239.0,6.0,31.0,2.0,38.0,4.0,0.0,3.0,103.0,5.0,41.0,11.0,9.0,64.0,12.0,18.0,8.0,77.0,7.0,63.0,28.0,13.0,1.0,30.0,27.0,10.0,15.0,50.0,194.0,16.0
1303,3.0,0.0,9.0,20.0,37.0,16.0,8.0,15.0,110.0,29.0,14.0,7.0,2820.0,194.0,46.0,13.0,6.0,123.0,18.0,91.0,32.0,17.0,122.0,30.0,79.0,40.0,1.0,108.0,61.0,20483.0
1352,24.0,16.0,39.0,5.0,4.0,3.0,0.0,2.0,820.0,8.0,33.0,18.0,10.0,198.0,59.0,41.0,11.0,50.0,29.0,112.0,6.0,13.0,35.0,28.0,26.0,19.0,1.0,23.0,42.0,48.0
1401,36.0,6.0,30.0,20.0,10.0,22.0,0.0,21.0,208.0,1.0,29.0,19.0,14.0,180.0,91.0,38.0,52.0,113.0,63.0,35.0,5.0,24.0,55.0,60.0,153.0,40.0,4.0,13.0,2.0,23.0
1450,20.0,1.0,19.0,5.0,41.0,3.0,0.0,2.0,392.0,6.0,25.0,50.0,172.0,7.0,12.0,73.0,8.0,1424.0,69.0,4.0,21.0,17.0,14.0,92.0,13.0,23.0,314.0,15.0,11.0,45.0
1499,5.0,0.0,35.0,38.0,28.0,11.0,2.0,10.0,12.0,4.0,50.0,1.0,33.0,25.0,9.0,3.0,21.0,44.0,31.0,41.0,8.0,22.0,59.0,32.0,17.0,19.0,51.0,14.0,6.0,65.0
1548,0.0,3.0,11.0,42.0,4.0,29.0,2.0,30.0,13.0,7.0,16.0,1.0,12.0,9.0,22.0,5.0,15.0,20.0,21.0,6.0,18.0,128.0,216.0,71.0,37.0,43.0,187.0,19.0,40.0,32.0
1597,4.0,13.0,6.0,244.0,7.0,445.0,0.0,444.0,47.0,3.0,9.0,1.0,5.0,22.0,97.0,2.0,906.0,14.0,31.0,26.0,46.0,38.0,11.0,15.0,18.0,17.0,104.0,52.0,831.0,8.0
1646,0.0,2.0,6.0,30.0,7.0,83.0,3.0,84.0,62.0,5.0,9.0,1.0,8.0,23.0,17.0,4.0,31.0,12.0,21.0,22.0,15.0,40.0,490.0,24.0,14.0,32.0,25.0,10.0,53.0,18.0
1695,0.0,5.0,91.0,183.0,8.0,434.0,1.0,433.0,21.0,3.0,230.0,7.0,98.0,2.0,19.0,9.0,20.0,16.0,129.0,13.0,10.0,25.0,46.0,153.0,4.0,48.0,45.0,12.0,14.0,34.0
1744,6.0,2.0,8.0,27.0,4.0,41.0,17.0,42.0,163.0,11.0,16.0,0.0,21.0,14.0,3.0,1.0,99.0,10.0,34.0,7.0,5.0,35.0,505.0,28.0,24.0,83.0,6730.0,9.0,23.0,53.0
1793,9.0,2.0,5.0,17.0,3.0,36.0,1.0,37.0,6.0,0.0,14.0,50.0,40.0,13.0,25.0,136.0,10.0,12.0,16.0,63.0,8.0,27.0,47.0,31.0,7.0,71.0,187.0,20.0,89.0,121.0
1842,9.0,4.0,7.0,6.0,11.0,490.0,2.0,491.0,21.0,3.0,8.0,0.0,10.0,17.0,45.0,1.0,29.0,5.0,41.0,19.0,20.0,34.0,24.0,28.0,22.0,33.0,179.0,25.0,62.0,15.0
1891,4.0,0.0,6.0,57.0,5.0,173.0,27.0,172.0,10.0,72.0,9.0,1.0,32.0,7.0,89.0,2.0,23.0,24.0,25.0,215.0,12.0,17.0,584.0,35.0,85.0,26.0,93.0,18.0,16.0,113.0
