,hsa-miR-147b,hsa-miR-222,hsa-miR-205,hsa-miR-135b,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-517b,hsa-miR-30c,hsa-miR-497,hsa-miR-662,hsa-miR-153,hsa-miR-432,hsa-miR-1259,hsa-miR-510,hsa-miR-448,hsa-miR-548a-3p,hsa-miR-450b-3p,hsa-miR-200a,hsa-miR-196b,hsa-miR-631,ebv-miR-BART18-3p,hsa-miR-219-2-3p,hsa-miR-296-5p,hsa-miR-1279,hsa-miR-1277,hsa-miR-1254,ebv-miR-BART7,kshv-miR-K12-4-3p,hsa-miR-10b,hsa-miR-520a-5p
1685,0.0,5.0,1.0,127.0,42.0,115.0,30.0,131.0,132.0,111.0,16.0,525.0,497.0,65.0,59.0,101.0,90.0,19.0,110.0,159.0,138.0,49.0,93.0,52.0,487.0,38.0,89.0,31.0,460.0,564.0
1734,0.0,32.0,2.0,58.0,69.0,26.0,80.0,43.0,74.0,155.0,85.0,522.0,495.0,54.0,103.0,96.0,136.0,35.0,57.0,36.0,72.0,588.0,574.0,102.0,484.0,141.0,127.0,66.0,456.0,542.0
1783,0.0,66.0,14.0,27.0,110.0,124.0,48.0,23.0,33.0,5.0,453.0,593.0,194.0,56.0,19.0,122.0,64.0,477.0,474.0,129.0,121.0,148.0,47.0,44.0,228.0,218.0,167.0,119.0,43.0,534.0
1832,4.0,61.0,17.0,129.0,54.0,23.0,116.0,70.0,531.0,342.0,97.0,614.0,581.0,95.0,84.0,98.0,162.0,164.0,444.0,125.0,280.0,414.0,431.0,175.0,102.0,42.0,51.0,297.0,267.0,146.0
1881,6.0,19.0,9.0,1.0,39.0,183.0,133.0,65.0,11.0,124.0,377.0,26.0,49.0,77.0,36.0,61.0,63.0,95.0,112.0,103.0,83.0,53.0,72.0,487.0,489.0,43.0,46.0,147.0,459.0,38.0
1930,0.0,27.0,6.0,46.0,83.0,129.0,44.0,43.0,71.0,78.0,61.0,522.0,486.0,75.0,70.0,112.0,123.0,119.0,24.0,116.0,38.0,592.0,597.0,97.0,490.0,99.0,133.0,286.0,462.0,131.0
1979,5.0,39.0,13.0,4.0,85.0,224.0,79.0,66.0,55.0,100.0,82.0,42.0,484.0,112.0,16.0,151.0,35.0,144.0,97.0,191.0,27.0,139.0,73.0,94.0,461.0,108.0,133.0,153.0,373.0,78.0
2028,0.0,13.0,3.0,10.0,30.0,253.0,61.0,16.0,71.0,40.0,57.0,521.0,495.0,29.0,50.0,56.0,65.0,117.0,420.0,20.0,60.0,140.0,577.0,35.0,94.0,168.0,41.0,200.0,87.0,70.0
2077,87.0,0.0,49.0,3.0,26.0,64.0,19.0,20.0,36.0,31.0,68.0,522.0,496.0,43.0,61.0,46.0,10.0,16.0,414.0,118.0,264.0,56.0,89.0,39.0,42.0,137.0,126.0,123.0,459.0,34.0
2126,143.0,0.0,20.0,27.0,15.0,86.0,33.0,103.0,505.0,118.0,37.0,521.0,85.0,138.0,123.0,12.0,30.0,93.0,48.0,96.0,47.0,591.0,41.0,135.0,62.0,51.0,67.0,17.0,155.0,43.0
2175,3.0,4.0,11.0,24.0,22.0,30.0,25.0,100.0,145.0,16.0,66.0,44.0,493.0,95.0,142.0,125.0,138.0,407.0,415.0,52.0,284.0,101.0,98.0,5.0,73.0,49.0,144.0,194.0,106.0,71.0
2224,58.0,13.0,57.0,31.0,16.0,2.0,62.0,50.0,19.0,71.0,10.0,7.0,93.0,75.0,90.0,25.0,40.0,122.0,404.0,132.0,78.0,73.0,47.0,53.0,478.0,130.0,119.0,266.0,22.0,54.0
2273,3.0,11.0,16.0,26.0,32.0,110.0,34.0,598.0,42.0,84.0,92.0,22.0,81.0,561.0,18.0,146.0,166.0,50.0,417.0,79.0,2.0,37.0,83.0,76.0,486.0,113.0,154.0,236.0,459.0,47.0
2322,4.0,11.0,13.0,45.0,30.0,67.0,36.0,9.0,559.0,33.0,69.0,50.0,98.0,87.0,115.0,53.0,131.0,58.0,32.0,317.0,95.0,26.0,108.0,134.0,481.0,57.0,105.0,268.0,39.0,41.0
2371,5.0,3.0,39.0,12.0,14.0,27.0,2.0,41.0,608.0,63.0,70.0,35.0,154.0,28.0,40.0,88.0,0.0,53.0,453.0,75.0,297.0,95.0,114.0,50.0,521.0,77.0,123.0,307.0,36.0,25.0
2420,87.0,2.0,33.0,111.0,15.0,53.0,7.0,67.0,57.0,71.0,445.0,73.0,200.0,109.0,590.0,50.0,128.0,81.0,479.0,101.0,51.0,146.0,58.0,48.0,189.0,45.0,157.0,319.0,97.0,41.0
2469,11.0,5.0,15.0,410.0,20.0,29.0,30.0,421.0,16.0,46.0,457.0,576.0,39.0,571.0,95.0,83.0,63.0,92.0,38.0,177.0,299.0,24.0,32.0,130.0,94.0,140.0,138.0,124.0,31.0,76.0
2518,130.0,388.0,134.0,464.0,37.0,42.0,105.0,101.0,7.0,162.0,135.0,13.0,108.0,165.0,21.0,99.0,154.0,46.0,10.0,38.0,283.0,392.0,65.0,438.0,432.0,93.0,83.0,80.0,15.0,119.0
2567,14.0,8.0,12.0,0.0,54.0,81.0,26.0,25.0,31.0,97.0,376.0,518.0,491.0,127.0,80.0,99.0,167.0,408.0,104.0,93.0,362.0,22.0,91.0,15.0,13.0,69.0,162.0,18.0,456.0,141.0
2616,8.0,3.0,29.0,0.0,26.0,45.0,15.0,25.0,27.0,56.0,383.0,520.0,498.0,559.0,46.0,66.0,143.0,105.0,103.0,19.0,256.0,22.0,576.0,74.0,65.0,128.0,91.0,181.0,38.0,156.0
2665,11.0,73.0,31.0,7.0,113.0,121.0,67.0,28.0,24.0,60.0,382.0,21.0,497.0,562.0,64.0,76.0,141.0,414.0,89.0,51.0,71.0,112.0,52.0,114.0,57.0,50.0,131.0,280.0,458.0,548.0
