,hsa-miR-518b,hsa-miR-329,hsa-miR-28-3p,hsa-miR-1539,hsa-miR-1246,hsa-miR-30c,hsa-miR-1180,hsa-miR-671-5p,hsa-miR-216a,hsa-miR-339-5p,hsa-miR-615-3p,hsa-miR-9,hsa-miR-671-3p,hsa-miR-139-5p,hsa-miR-582-5p,hsa-miR-934,hsa-miR-1256,hsa-miR-103,hsa-miR-1185,hsa-miR-30e,hsa-miR-375,hsa-miR-582-3p,hsa-miR-1975,hsa-miR-384,hsa-miR-323-3p,hsa-miR-101,hsa-miR-662,hsa-miR-320d,hsa-miR-2053,hsa-miR-505
4135,17.0,16.0,58.0,45.0,81.0,127.0,9.0,85.0,53.0,55.0,125.0,92.0,355.0,68.0,77.0,44.0,173.0,11.0,30.0,0.0,67.0,50.0,83.0,578.0,437.0,5.0,134.0,438.0,87.0,175.0
4184,19.0,82.0,31.0,140.0,134.0,80.0,27.0,129.0,24.0,17.0,57.0,354.0,41.0,60.0,213.0,110.0,144.0,8.0,101.0,13.0,81.0,215.0,28.0,49.0,22.0,66.0,111.0,14.0,390.0,516.0
4233,10.0,5.0,26.0,38.0,37.0,11.0,117.0,55.0,130.0,146.0,49.0,348.0,161.0,82.0,21.0,50.0,437.0,70.0,113.0,0.0,607.0,36.0,45.0,69.0,114.0,42.0,110.0,568.0,57.0,131.0
4282,8.0,125.0,436.0,118.0,29.0,40.0,65.0,123.0,127.0,7.0,34.0,145.0,98.0,75.0,204.0,69.0,628.0,104.0,76.0,25.0,90.0,1.0,416.0,50.0,156.0,148.0,113.0,510.0,112.0,97.0
4331,19.0,88.0,92.0,110.0,146.0,28.0,51.0,10.0,61.0,58.0,156.0,344.0,71.0,24.0,52.0,50.0,86.0,16.0,163.0,571.0,37.0,26.0,42.0,607.0,14.0,72.0,116.0,596.0,9.0,503.0
4380,15.0,99.0,28.0,130.0,75.0,78.0,158.0,111.0,143.0,52.0,23.0,67.0,25.0,43.0,85.0,13.0,432.0,18.0,106.0,567.0,603.0,60.0,417.0,29.0,64.0,128.0,140.0,49.0,408.0,103.0
4429,34.0,84.0,88.0,14.0,13.0,79.0,39.0,27.0,92.0,617.0,18.0,8.0,333.0,64.0,105.0,106.0,74.0,58.0,65.0,598.0,601.0,205.0,419.0,531.0,626.0,459.0,140.0,627.0,103.0,22.0
4478,100.0,108.0,67.0,43.0,12.0,126.0,16.0,32.0,36.0,25.0,46.0,6.0,38.0,149.0,47.0,350.0,409.0,49.0,124.0,77.0,618.0,234.0,389.0,615.0,131.0,8.0,138.0,585.0,148.0,42.0
4527,125.0,34.0,47.0,473.0,28.0,148.0,41.0,70.0,33.0,52.0,46.0,5.0,107.0,150.0,118.0,72.0,65.0,8.0,55.0,85.0,583.0,61.0,116.0,21.0,131.0,110.0,199.0,12.0,1.0,78.0
4576,85.0,160.0,49.0,149.0,69.0,424.0,16.0,119.0,25.0,589.0,35.0,8.0,40.0,122.0,252.0,142.0,61.0,22.0,83.0,422.0,597.0,253.0,483.0,627.0,55.0,28.0,125.0,27.0,474.0,129.0
4625,15.0,28.0,36.0,40.0,11.0,579.0,84.0,31.0,25.0,24.0,83.0,4.0,62.0,133.0,115.0,73.0,41.0,10.0,81.0,118.0,74.0,230.0,426.0,1.0,131.0,110.0,351.0,627.0,401.0,30.0
4674,32.0,129.0,68.0,19.0,6.0,55.0,49.0,67.0,86.0,36.0,51.0,5.0,96.0,162.0,114.0,85.0,42.0,268.0,84.0,429.0,578.0,20.0,57.0,17.0,104.0,80.0,259.0,424.0,484.0,109.0
4723,99.0,153.0,59.0,107.0,81.0,90.0,142.0,27.0,36.0,101.0,19.0,4.0,155.0,38.0,44.0,138.0,52.0,41.0,64.0,571.0,76.0,35.0,424.0,20.0,78.0,130.0,152.0,597.0,418.0,47.0
4772,75.0,57.0,10.0,61.0,9.0,433.0,82.0,102.0,24.0,79.0,28.0,2.0,32.0,42.0,73.0,99.0,133.0,5.0,150.0,431.0,576.0,256.0,497.0,571.0,110.0,304.0,97.0,36.0,485.0,64.0
4821,33.0,48.0,125.0,27.0,106.0,57.0,38.0,50.0,45.0,44.0,19.0,0.0,22.0,150.0,87.0,98.0,88.0,4.0,90.0,136.0,62.0,54.0,39.0,531.0,161.0,100.0,142.0,625.0,42.0,115.0
4870,86.0,615.0,33.0,48.0,436.0,65.0,58.0,34.0,28.0,74.0,26.0,1.0,55.0,123.0,141.0,117.0,465.0,6.0,92.0,622.0,27.0,67.0,408.0,528.0,77.0,122.0,61.0,619.0,0.0,113.0
