,GALC_DEL,DLG2_DEL,FAM75A6_AMP,FLNA_MUT,NLGN1_DEL,MYO3B_MUT,IFNA7_DEL,CASP1_DEL,LOC283585_DEL,TRIML2_DEL,CNTNAP3B_AMP,IFNA17_DEL,ETS1_DEL,NRXN3_DEL,IFNA16_DEL,GSTM1_DEL,GOLGA8DP_DEL,JAK2_AMP,SORL1_DEL,HSF2BP_DEL,LILRA3_DEL,IFNA4_DEL,KLHL9_DEL,IFNA22P_DEL,SOS1_MUT,PVRL1_DEL,TEX14_MUT,PTEN_DEL,IFNA21_DEL,SHANK2-AS1_AMP
3507,0.0,4578.0,46.0,193.0,745.0,1.0,4.0,27.0,8.0,2.0,118.0,123.0,44.0,214.0,11.0,16.0,1318.0,15107.0,8144.0,1753.0,20196.0,306.0,22.0,5.0,16913.0,360.0,16487.0,1266.0,227.0,335.0
3556,10.0,5.0,15602.0,374.0,1626.0,4.0,50.0,58.0,3083.0,17.0,1.0,4678.0,8.0,1111.0,83.0,2950.0,532.0,15086.0,7775.0,19960.0,482.0,284.0,312.0,1872.0,46.0,265.0,31.0,680.0,4696.0,16000.0
3605,8.0,82.0,515.0,16670.0,180.0,286.0,1.0,10.0,17.0,100.0,18.0,226.0,224.0,854.0,20.0,674.0,503.0,434.0,2242.0,2727.0,3.0,12.0,78.0,1196.0,16950.0,486.0,16966.0,276.0,150.0,513.0
3654,70.0,5857.0,1885.0,295.0,1109.0,24.0,354.0,3.0,8.0,4954.0,1452.0,4331.0,43.0,9250.0,1343.0,3476.0,9.0,57.0,1095.0,19955.0,1583.0,4310.0,25.0,4307.0,36.0,306.0,16720.0,287.0,450.0,77.0
3703,1299.0,8.0,383.0,1958.0,54.0,764.0,10.0,125.0,7049.0,493.0,1387.0,3.0,72.0,875.0,103.0,138.0,51.0,22.0,613.0,574.0,19940.0,397.0,1437.0,2788.0,16885.0,1913.0,892.0,12655.0,699.0,955.0
3752,7011.0,4554.0,588.0,385.0,902.0,56.0,20.0,22.0,401.0,2.0,847.0,9.0,480.0,81.0,24.0,1275.0,102.0,15089.0,28.0,2378.0,30.0,3691.0,10.0,1009.0,50.0,1191.0,291.0,438.0,57.0,283.0
3801,2.0,1502.0,86.0,131.0,2550.0,1125.0,513.0,9923.0,3371.0,0.0,102.0,35.0,5108.0,7502.0,4021.0,1880.0,1157.0,15078.0,8560.0,1819.0,18.0,2163.0,42.0,358.0,232.0,11681.0,16923.0,65.0,5.0,408.0
3850,0.0,825.0,5.0,373.0,18.0,14.0,68.0,301.0,123.0,7176.0,239.0,2.0,63.0,31.0,668.0,2851.0,40.0,438.0,141.0,1358.0,1884.0,4924.0,12124.0,215.0,2019.0,8875.0,16950.0,350.0,4945.0,16153.0
3899,17.0,241.0,114.0,16704.0,6754.0,90.0,100.0,124.0,0.0,5138.0,401.0,7.0,52.0,22.0,68.0,273.0,64.0,15101.0,8146.0,2655.0,73.0,3950.0,70.0,2.0,757.0,1676.0,2650.0,818.0,31.0,16149.0
3948,61.0,13.0,1006.0,1539.0,1763.0,0.0,4.0,9568.0,6217.0,4899.0,43.0,352.0,462.0,25.0,3927.0,153.0,2.0,413.0,445.0,10.0,20.0,5.0,2593.0,3962.0,16902.0,12626.0,66.0,297.0,3965.0,9.0
3997,6.0,2119.0,13.0,1147.0,6787.0,98.0,9.0,9529.0,106.0,19.0,23786.0,3924.0,306.0,7.0,5.0,51.0,0.0,1675.0,8217.0,14.0,19958.0,1.0,21.0,71.0,16904.0,132.0,2113.0,251.0,131.0,10.0
4046,23.0,1691.0,4.0,2.0,33.0,1.0,2846.0,7686.0,343.0,575.0,23844.0,215.0,211.0,9202.0,48.0,93.0,0.0,1144.0,8126.0,39.0,57.0,5.0,21.0,3.0,1762.0,12497.0,16482.0,444.0,184.0,408.0
4095,105.0,13.0,1838.0,44.0,205.0,2808.0,4408.0,7678.0,30.0,268.0,63.0,4359.0,733.0,2528.0,89.0,1347.0,178.0,15101.0,6.0,19949.0,1756.0,905.0,12469.0,14.0,248.0,445.0,16488.0,12257.0,4362.0,305.0
