,TNFRSF1B,C14orf37,LMCD1,RP11-875O11.1,ARID3A,TFAP2A,MRPS31P5,RP6-109B7.3,RGL4,KIF2A,SYNC,RABGEF1,SEC14L2,PPIC,MTMR14,FLI1,KAL1,SLC39A7,SLC10A7,GLB1L2,RP11-537E18.1,KCNIP3,C16orf54,COX5BP6,RP11-227D13.2,RP11-483F11.7,FAM189A2,GALNT18,GLUL,RP11-1069G10.2
3392,22.0,0.0,3.0,19201.0,94.0,70.0,10.0,20.0,59.0,207.0,7.0,2.0,9250.0,74.0,55.0,387.0,211.0,29.0,143.0,386.0,267.0,4.0,5.0,6594.0,3304.0,19871.0,113.0,12.0,83.0,103.0
3441,8.0,47.0,55.0,6.0,0.0,3.0,28.0,13.0,24.0,22.0,695.0,22140.0,7.0,21.0,233.0,5.0,31.0,85.0,14.0,10.0,155.0,16963.0,183.0,337.0,240.0,19882.0,88.0,239.0,17324.0,4212.0
3490,8.0,5.0,3.0,14.0,36.0,43.0,21.0,9.0,42.0,22.0,16579.0,322.0,9267.0,63.0,105.0,6.0,89.0,21042.0,11.0,26.0,126.0,16993.0,144.0,41.0,34.0,65.0,218.0,55.0,17342.0,366.0
3539,16.0,33.0,36.0,243.0,34.0,56.0,23.0,7.0,65.0,29.0,277.0,30.0,28.0,70.0,141.0,3.0,69.0,19.0,191.0,4.0,37.0,16931.0,78.0,165.0,2.0,42.0,8.0,166.0,124.0,91.0
3588,42.0,0.0,1.0,9.0,37.0,14.0,23.0,21.0,32.0,20.0,16563.0,257.0,75.0,26.0,67.0,74.0,13.0,78.0,14483.0,5.0,39.0,112.0,227.0,301.0,481.0,441.0,36.0,5358.0,140.0,382.0
3637,16.0,10.0,2.0,4.0,9.0,134.0,17.0,6.0,47.0,19.0,34.0,582.0,7.0,13.0,37.0,3.0,24.0,86.0,486.0,146.0,50.0,16965.0,1742.0,33.0,368.0,19871.0,211.0,67.0,266.0,984.0
3686,12.0,1.0,30.0,19.0,8.0,15.0,24.0,14.0,17.0,13.0,7.0,22373.0,49.0,25.0,68.0,56.0,57.0,242.0,29.0,0.0,5.0,16912.0,299.0,248.0,687.0,19895.0,52.0,6.0,17319.0,4543.0
3735,56.0,3.0,39.0,544.0,13.0,81.0,68.0,4.0,10.0,5.0,67.0,327.0,71.0,36.0,75.0,21.0,41.0,21035.0,14422.0,6.0,17032.0,17009.0,162.0,6441.0,130.0,156.0,94.0,20.0,344.0,301.0
3784,16.0,0.0,12718.0,7.0,1.0,24.0,65.0,17.0,66.0,36.0,84.0,115.0,178.0,98.0,72.0,166.0,67.0,21030.0,14396.0,45.0,17019.0,16981.0,11134.0,61.0,349.0,19897.0,18.0,4158.0,131.0,46.0
3833,2.0,14.0,15.0,27.0,9.0,189.0,33.0,104.0,55.0,20.0,613.0,62.0,170.0,86.0,49.0,117.0,59.0,21017.0,73.0,141.0,32.0,1403.0,10656.0,245.0,417.0,26.0,83.0,13.0,70.0,69.0
3882,42.0,2.0,81.0,499.0,9.0,35.0,61.0,51.0,48.0,41.0,1.0,22604.0,12.0,119.0,153.0,145.0,13.0,413.0,2087.0,38.0,47.0,16949.0,10680.0,31.0,543.0,162.0,4.0,192.0,17268.0,4298.0
3931,49.0,11.0,4.0,19158.0,1.0,84.0,1218.0,31.0,26.0,59.0,16551.0,796.0,108.0,92.0,20.0,164.0,9565.0,76.0,9.0,3.0,13375.0,99.0,71.0,174.0,661.0,77.0,154.0,282.0,124.0,100.0
3980,10.0,20.0,134.0,719.0,45.0,31.0,7020.0,131.0,46.0,86.0,13.0,0.0,48.0,107.0,12714.0,100.0,49.0,83.0,84.0,115.0,179.0,25.0,54.0,284.0,4544.0,19655.0,18426.0,384.0,217.0,4473.0
4029,327.0,2.0,1.0,19178.0,7.0,105.0,6873.0,5.0,33.0,113.0,18.0,0.0,8.0,22028.0,82.0,167.0,208.0,11.0,2360.0,1600.0,120.0,96.0,10685.0,145.0,144.0,19883.0,889.0,1530.0,68.0,23.0
4078,95.0,5.0,132.0,19233.0,1.0,10.0,13.0,51.0,18.0,37.0,437.0,0.0,6.0,113.0,3.0,49.0,179.0,8.0,79.0,4648.0,131.0,17012.0,52.0,239.0,66.0,19435.0,18327.0,825.0,89.0,211.0
