,hsa-miR-142-5p,hsa-let-7e,hsa-miR-21,hsa-miR-22,hsa-miR-193a-5p,hsa-miR-574-5p,hsa-miR-224,hsa-miR-24,hsa-miR-206,hsa-miR-30a,hsa-miR-223,hsa-miR-548m,hsa-miR-92a,hsa-miR-2115,hsa-miR-31,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-744,hsa-miR-10a,hsa-miR-34a,hsa-miR-545,hsa-miR-422a,hsa-miR-1269,hsa-miR-147b,hsa-miR-626,hsa-miR-675,hsa-miR-766,hsa-miR-151-3p,hsa-miR-135b,hsa-miR-155
4330,0.0,1.0,8.0,29.0,20.0,16.0,36.0,13.0,2.0,10.0,9.0,40.0,6.0,91.0,41.0,43.0,72.0,129.0,23.0,5.0,21.0,24.0,26.0,7.0,4.0,11.0,310.0,22.0,14.0,3.0
4379,0.0,1.0,3.0,2.0,20.0,4.0,12.0,7.0,23.0,6.0,8.0,43.0,41.0,9.0,11.0,31.0,13.0,24.0,81.0,5.0,18.0,15.0,53.0,17.0,35.0,280.0,40.0,48.0,71.0,19.0
4428,0.0,1.0,6.0,10.0,2.0,5.0,3.0,4.0,20.0,16.0,12.0,67.0,7.0,9.0,27.0,11.0,54.0,8.0,14.0,83.0,23.0,56.0,97.0,18.0,53.0,28.0,187.0,44.0,21.0,17.0
4477,0.0,1.0,9.0,7.0,6.0,2.0,3.0,8.0,44.0,15.0,11.0,48.0,4.0,5.0,14.0,26.0,12.0,82.0,50.0,51.0,56.0,85.0,114.0,10.0,98.0,17.0,23.0,19.0,133.0,277.0
4526,0.0,1.0,10.0,20.0,6.0,2.0,5.0,7.0,284.0,42.0,3.0,4.0,12.0,21.0,15.0,8.0,13.0,121.0,14.0,47.0,30.0,140.0,182.0,11.0,368.0,17.0,34.0,23.0,32.0,19.0
4575,0.0,1.0,9.0,25.0,3.0,10.0,12.0,6.0,19.0,4.0,2.0,14.0,5.0,7.0,22.0,8.0,20.0,135.0,34.0,104.0,13.0,92.0,224.0,23.0,15.0,50.0,46.0,30.0,112.0,29.0
4624,0.0,1.0,6.0,8.0,3.0,5.0,9.0,7.0,32.0,12.0,2.0,24.0,11.0,41.0,15.0,10.0,43.0,20.0,4.0,30.0,22.0,37.0,95.0,18.0,210.0,17.0,105.0,14.0,13.0,36.0
4673,0.0,1.0,6.0,2.0,5.0,4.0,3.0,8.0,135.0,7.0,21.0,9.0,10.0,12.0,17.0,14.0,34.0,18.0,33.0,39.0,38.0,65.0,35.0,32.0,24.0,37.0,215.0,13.0,152.0,27.0
4722,0.0,1.0,8.0,4.0,2.0,3.0,7.0,6.0,83.0,15.0,9.0,25.0,5.0,18.0,21.0,10.0,34.0,19.0,17.0,67.0,14.0,137.0,77.0,23.0,11.0,13.0,121.0,22.0,20.0,51.0
4771,0.0,1.0,36.0,113.0,14.0,7.0,2.0,8.0,21.0,12.0,4.0,10.0,3.0,9.0,11.0,5.0,23.0,15.0,13.0,37.0,6.0,22.0,234.0,16.0,20.0,26.0,17.0,32.0,33.0,31.0
4820,1.0,0.0,5.0,4.0,2.0,8.0,13.0,6.0,131.0,12.0,7.0,15.0,16.0,14.0,20.0,3.0,9.0,11.0,17.0,36.0,147.0,22.0,19.0,23.0,97.0,34.0,31.0,18.0,60.0,24.0
4869,0.0,1.0,3.0,11.0,8.0,2.0,5.0,9.0,618.0,79.0,7.0,104.0,6.0,15.0,34.0,13.0,12.0,277.0,21.0,32.0,47.0,127.0,72.0,49.0,4.0,29.0,56.0,20.0,19.0,106.0
