,hsa-miR-105,hsa-miR-1248,hsa-miR-34a,hsa-miR-541,hsa-miR-148a,hsa-miR-888,hsa-miR-206,hsa-miR-1236,hsa-miR-26a,hsa-miR-136,hsa-miR-223,hsa-miR-616,hsa-miR-877,hsa-miR-142-5p,hsa-miR-1262,hsa-miR-1256,hsa-miR-190,hsa-miR-652,hsa-miR-609,hsa-miR-323-5p,hsa-miR-513a-3p,hsa-miR-553,hsa-miR-623,hsa-miR-143,hsa-miR-375,hsa-miR-550,hsa-miR-412,hsa-miR-924,hsa-miR-103,hsa-miR-1297
3396,7.0,21.0,5.0,0.0,2.0,9.0,3.0,4.0,18.0,25.0,39.0,23.0,15.0,36.0,54.0,32.0,19.0,106.0,49.0,30.0,8.0,45.0,20.0,33.0,56.0,1.0,47.0,68.0,75.0,41.0
3445,2.0,7.0,9.0,67.0,4.0,33.0,18.0,13.0,15.0,102.0,27.0,59.0,21.0,22.0,70.0,37.0,0.0,46.0,11.0,1.0,29.0,42.0,26.0,104.0,65.0,8.0,20.0,12.0,47.0,40.0
3494,7.0,3.0,40.0,46.0,20.0,8.0,6.0,36.0,1.0,115.0,11.0,9.0,28.0,31.0,141.0,39.0,4.0,30.0,2.0,17.0,58.0,52.0,108.0,197.0,5.0,102.0,76.0,14.0,105.0,22.0
3543,10.0,8.0,33.0,70.0,1.0,51.0,6.0,9.0,4.0,19.0,20.0,84.0,30.0,35.0,68.0,17.0,2.0,23.0,14.0,3.0,46.0,128.0,69.0,98.0,38.0,21.0,24.0,16.0,29.0,27.0
3592,1.0,3.0,5.0,15.0,2.0,37.0,8.0,46.0,54.0,76.0,30.0,45.0,68.0,23.0,134.0,17.0,0.0,47.0,19.0,4.0,39.0,36.0,20.0,69.0,10.0,33.0,13.0,7.0,89.0,43.0
3641,4.0,8.0,7.0,91.0,0.0,17.0,18.0,3.0,47.0,43.0,16.0,72.0,21.0,19.0,100.0,35.0,1.0,121.0,5.0,6.0,26.0,55.0,29.0,22.0,12.0,14.0,24.0,23.0,13.0,33.0
3690,7.0,3.0,37.0,86.0,4.0,35.0,8.0,32.0,46.0,23.0,69.0,67.0,13.0,14.0,96.0,47.0,1.0,43.0,15.0,5.0,99.0,48.0,10.0,64.0,11.0,0.0,19.0,2.0,31.0,70.0
3739,0.0,3.0,25.0,39.0,4.0,45.0,7.0,11.0,9.0,102.0,29.0,120.0,41.0,20.0,201.0,10.0,1.0,51.0,34.0,8.0,31.0,23.0,24.0,94.0,12.0,2.0,38.0,6.0,80.0,40.0
3788,3.0,11.0,23.0,10.0,7.0,100.0,4.0,49.0,68.0,62.0,17.0,94.0,21.0,51.0,37.0,42.0,0.0,44.0,40.0,28.0,27.0,67.0,30.0,135.0,79.0,1.0,43.0,35.0,89.0,55.0
3837,2.0,14.0,25.0,91.0,3.0,64.0,29.0,12.0,41.0,125.0,18.0,59.0,38.0,8.0,63.0,62.0,0.0,111.0,20.0,11.0,16.0,28.0,37.0,130.0,1.0,10.0,13.0,4.0,65.0,81.0
3886,2.0,30.0,73.0,98.0,25.0,21.0,3.0,32.0,38.0,165.0,27.0,90.0,46.0,4.0,136.0,39.0,18.0,15.0,40.0,19.0,57.0,61.0,14.0,42.0,34.0,11.0,23.0,9.0,37.0,29.0
3935,14.0,11.0,0.0,20.0,4.0,2.0,3.0,25.0,226.0,7.0,10.0,111.0,6.0,13.0,34.0,12.0,1.0,64.0,57.0,9.0,43.0,33.0,48.0,96.0,15.0,149.0,26.0,44.0,78.0,116.0
3984,0.0,3.0,2.0,1.0,9.0,35.0,49.0,80.0,15.0,5.0,24.0,27.0,8.0,10.0,57.0,6.0,58.0,18.0,46.0,7.0,48.0,75.0,14.0,28.0,22.0,158.0,12.0,33.0,47.0,42.0
4033,4.0,1.0,0.0,2.0,5.0,15.0,18.0,33.0,103.0,16.0,23.0,26.0,9.0,6.0,8.0,7.0,11.0,86.0,146.0,115.0,49.0,37.0,21.0,48.0,13.0,41.0,144.0,12.0,74.0,120.0
4082,4.0,2.0,0.0,1.0,16.0,3.0,48.0,52.0,26.0,6.0,19.0,7.0,5.0,9.0,87.0,10.0,120.0,45.0,36.0,8.0,13.0,56.0,51.0,47.0,27.0,202.0,54.0,38.0,93.0,67.0
4131,6.0,1.0,0.0,2.0,5.0,3.0,11.0,117.0,73.0,4.0,27.0,26.0,13.0,7.0,17.0,9.0,21.0,19.0,264.0,23.0,20.0,56.0,22.0,52.0,8.0,212.0,40.0,54.0,14.0,76.0
4180,20.0,0.0,3.0,6.0,4.0,1.0,10.0,26.0,54.0,7.0,15.0,60.0,41.0,14.0,111.0,5.0,8.0,28.0,13.0,16.0,45.0,43.0,48.0,112.0,11.0,484.0,19.0,38.0,63.0,29.0
4229,4.0,3.0,2.0,0.0,17.0,16.0,7.0,120.0,85.0,9.0,66.0,5.0,25.0,6.0,19.0,1.0,28.0,83.0,50.0,53.0,73.0,162.0,29.0,34.0,22.0,176.0,59.0,108.0,24.0,87.0
4278,2.0,6.0,1.0,3.0,0.0,5.0,25.0,124.0,121.0,14.0,23.0,10.0,67.0,9.0,48.0,12.0,17.0,28.0,84.0,11.0,19.0,64.0,37.0,96.0,21.0,200.0,51.0,45.0,42.0,111.0
4327,5.0,1.0,3.0,2.0,4.0,0.0,8.0,48.0,68.0,11.0,62.0,9.0,15.0,6.0,14.0,7.0,47.0,72.0,128.0,16.0,27.0,67.0,32.0,33.0,13.0,231.0,12.0,40.0,30.0,78.0
