,oxalate,GABA,C16:0 LPE,niacinamide,C22:6 LPE,cotinine,3-phosphoglycerate,adenosine,pyroglutamic acid,5-HIAA,serotonin,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,sarcosine,C34:4 PC,beta-alanine,C18:0 LPC,2-deoxyadenosine,alpha-glycerophosphate,C18:0 LPE,isocitrate,C22:6 LPC,malondialdehyde,C36:1 DAG,UMP,inositol,1-methylnicotinamide,pantothenate,dCMP,inosine
3604,1.0,8.0,24.0,7.0,31.0,22.0,2.0,6.0,5.0,0.0,57.0,59.0,18.0,4.0,3.0,32.0,34.0,65.0,13.0,23.0,21.0,35.0,28.0,30.0,9.0,25.0,38.0,10.0,16.0,63.0
3653,0.0,1.0,20.0,8.0,4.0,24.0,2.0,7.0,34.0,65.0,56.0,9.0,16.0,18.0,26.0,6.0,40.0,44.0,32.0,5.0,23.0,19.0,51.0,3.0,10.0,31.0,36.0,33.0,12.0,14.0
3702,0.0,3.0,21.0,11.0,6.0,24.0,1.0,8.0,64.0,17.0,9.0,10.0,15.0,18.0,4.0,19.0,20.0,62.0,2.0,7.0,28.0,47.0,30.0,45.0,63.0,53.0,16.0,27.0,5.0,32.0
3751,2.0,7.0,36.0,15.0,0.0,65.0,46.0,1.0,23.0,12.0,5.0,3.0,21.0,9.0,31.0,8.0,45.0,19.0,25.0,35.0,48.0,24.0,6.0,40.0,32.0,22.0,28.0,37.0,27.0,29.0
3800,0.0,8.0,10.0,6.0,4.0,7.0,41.0,29.0,36.0,2.0,61.0,1.0,30.0,20.0,32.0,23.0,27.0,40.0,5.0,24.0,43.0,33.0,56.0,35.0,3.0,9.0,17.0,26.0,22.0,28.0
3849,0.0,12.0,39.0,7.0,5.0,16.0,2.0,9.0,49.0,19.0,11.0,13.0,18.0,20.0,4.0,21.0,6.0,62.0,33.0,23.0,8.0,22.0,52.0,10.0,48.0,53.0,65.0,1.0,31.0,42.0
3898,0.0,6.0,33.0,5.0,3.0,28.0,2.0,8.0,1.0,59.0,60.0,12.0,38.0,16.0,4.0,17.0,21.0,65.0,9.0,32.0,24.0,43.0,20.0,26.0,54.0,13.0,14.0,52.0,47.0,51.0
3947,48.0,54.0,1.0,14.0,20.0,12.0,4.0,15.0,3.0,25.0,53.0,5.0,17.0,41.0,34.0,18.0,2.0,8.0,45.0,6.0,44.0,19.0,10.0,36.0,11.0,31.0,24.0,28.0,30.0,9.0
3996,34.0,5.0,8.0,3.0,47.0,6.0,42.0,40.0,30.0,15.0,0.0,59.0,9.0,7.0,21.0,19.0,2.0,63.0,24.0,12.0,25.0,16.0,10.0,43.0,4.0,56.0,49.0,35.0,28.0,52.0
4045,28.0,19.0,7.0,3.0,43.0,8.0,1.0,2.0,6.0,4.0,20.0,18.0,16.0,21.0,11.0,44.0,24.0,12.0,47.0,0.0,10.0,33.0,23.0,31.0,56.0,5.0,13.0,29.0,25.0,26.0
4094,3.0,7.0,1.0,14.0,39.0,13.0,16.0,2.0,24.0,18.0,53.0,10.0,12.0,0.0,23.0,19.0,20.0,11.0,45.0,22.0,5.0,21.0,52.0,6.0,28.0,30.0,17.0,29.0,8.0,35.0
4143,0.0,61.0,2.0,3.0,7.0,8.0,1.0,12.0,42.0,5.0,60.0,16.0,4.0,23.0,25.0,43.0,34.0,6.0,46.0,36.0,9.0,31.0,21.0,27.0,29.0,22.0,41.0,30.0,10.0,26.0
4192,2.0,10.0,28.0,1.0,9.0,6.0,0.0,19.0,3.0,4.0,62.0,63.0,13.0,23.0,12.0,36.0,25.0,31.0,41.0,7.0,26.0,27.0,57.0,30.0,53.0,5.0,35.0,50.0,43.0,21.0
4241,1.0,16.0,0.0,11.0,7.0,20.0,21.0,29.0,10.0,4.0,5.0,6.0,36.0,12.0,27.0,2.0,42.0,31.0,23.0,22.0,45.0,41.0,3.0,8.0,32.0,15.0,17.0,30.0,9.0,28.0
4290,3.0,9.0,11.0,12.0,21.0,18.0,7.0,61.0,64.0,15.0,13.0,55.0,4.0,6.0,22.0,41.0,1.0,62.0,37.0,8.0,35.0,39.0,50.0,10.0,28.0,52.0,19.0,2.0,32.0,30.0
4339,1.0,0.0,7.0,16.0,38.0,17.0,11.0,21.0,2.0,61.0,14.0,62.0,3.0,19.0,41.0,34.0,20.0,35.0,5.0,4.0,26.0,23.0,58.0,30.0,24.0,57.0,9.0,51.0,45.0,27.0
4388,0.0,8.0,3.0,21.0,30.0,9.0,38.0,26.0,4.0,6.0,11.0,15.0,14.0,2.0,40.0,13.0,39.0,1.0,49.0,20.0,22.0,16.0,17.0,24.0,33.0,19.0,56.0,31.0,25.0,29.0
4437,6.0,12.0,25.0,16.0,8.0,0.0,41.0,3.0,10.0,15.0,62.0,9.0,20.0,4.0,2.0,1.0,35.0,13.0,11.0,36.0,44.0,24.0,58.0,28.0,52.0,57.0,7.0,27.0,32.0,22.0
4486,8.0,21.0,2.0,4.0,7.0,3.0,23.0,9.0,11.0,62.0,22.0,13.0,5.0,10.0,37.0,0.0,34.0,24.0,1.0,38.0,26.0,40.0,59.0,42.0,52.0,58.0,33.0,51.0,30.0,49.0
4535,0.0,5.0,26.0,63.0,30.0,9.0,22.0,3.0,13.0,17.0,16.0,8.0,38.0,40.0,6.0,41.0,25.0,35.0,10.0,29.0,44.0,4.0,57.0,34.0,51.0,12.0,11.0,23.0,1.0,7.0
4584,2.0,6.0,47.0,8.0,21.0,3.0,15.0,60.0,24.0,23.0,9.0,10.0,16.0,18.0,0.0,1.0,7.0,61.0,29.0,20.0,5.0,19.0,4.0,43.0,35.0,53.0,48.0,27.0,32.0,26.0
4633,0.0,11.0,1.0,8.0,5.0,63.0,16.0,15.0,18.0,9.0,10.0,12.0,20.0,22.0,37.0,23.0,7.0,25.0,36.0,6.0,3.0,42.0,4.0,2.0,62.0,53.0,19.0,30.0,48.0,34.0
4682,23.0,6.0,9.0,4.0,11.0,13.0,25.0,3.0,1.0,60.0,22.0,5.0,20.0,41.0,12.0,37.0,36.0,45.0,15.0,10.0,0.0,8.0,56.0,40.0,29.0,55.0,34.0,14.0,21.0,32.0
4731,8.0,1.0,25.0,15.0,0.0,4.0,2.0,3.0,5.0,52.0,26.0,12.0,22.0,38.0,43.0,23.0,24.0,62.0,29.0,21.0,30.0,11.0,54.0,18.0,64.0,33.0,6.0,7.0,35.0,39.0
4780,29.0,10.0,30.0,20.0,21.0,5.0,43.0,44.0,11.0,61.0,6.0,62.0,14.0,4.0,8.0,36.0,33.0,54.0,45.0,37.0,2.0,24.0,18.0,40.0,0.0,19.0,31.0,28.0,32.0,52.0
4829,10.0,5.0,40.0,0.0,26.0,4.0,3.0,7.0,16.0,21.0,60.0,19.0,20.0,25.0,13.0,2.0,11.0,24.0,45.0,37.0,46.0,8.0,29.0,33.0,27.0,57.0,38.0,53.0,1.0,52.0
4878,1.0,5.0,9.0,14.0,33.0,12.0,3.0,34.0,40.0,7.0,6.0,60.0,19.0,21.0,29.0,23.0,24.0,65.0,15.0,8.0,10.0,32.0,0.0,25.0,30.0,28.0,13.0,48.0,22.0,46.0
