,CORO2A,TSTD1,C1orf186,SLFN13,FZD6,AKR1E2,SYTL1,ZBED6CL,PLAGL1,ZNF185,OCIAD2,GALNT14,CASP10,PRSS16,MLK4,HNF1B,RAB3D,RP11-390F4.3,ADRB2,STXBP2,ELOVL7,RP11-973H7.3,XDH,ZDHHC12,EVPL,TNK1,TBC1D2,B3GNT4,S100A2,DENND2C
3440,0.0,8.0,12.0,3.0,14.0,2.0,9.0,68.0,40.0,10.0,18.0,20.0,23.0,30.0,6.0,69.0,1.0,59.0,7.0,11.0,107.0,48.0,17.0,118.0,15.0,84.0,39.0,60.0,29.0,35.0
3489,0.0,28.0,13.0,10.0,25.0,8.0,3.0,7.0,4.0,2.0,18.0,24.0,58.0,14.0,5.0,59.0,35.0,9.0,42.0,17.0,60.0,107.0,81.0,80.0,6.0,103.0,45.0,11.0,15.0,77.0
3538,0.0,3.0,6.0,7.0,5.0,1.0,4.0,65.0,34.0,19.0,8.0,16.0,54.0,31.0,12.0,43.0,40.0,29.0,15.0,25.0,44.0,30.0,23.0,94.0,13.0,158.0,56.0,20.0,71.0,22.0
3587,0.0,1.0,10.0,8.0,9.0,2.0,6.0,4.0,12.0,3.0,5.0,36.0,84.0,16.0,13.0,112.0,17.0,7.0,22.0,11.0,61.0,25.0,148.0,14.0,18.0,49.0,23.0,43.0,62.0,28.0
3636,0.0,2.0,8.0,3.0,17.0,1.0,20.0,7.0,15.0,10.0,14.0,9.0,29.0,13.0,77.0,110.0,26.0,6.0,42.0,4.0,58.0,38.0,33.0,50.0,21.0,47.0,16.0,45.0,97.0,48.0
3685,0.0,1.0,19.0,2.0,3.0,14.0,9.0,6.0,36.0,32.0,33.0,88.0,24.0,12.0,8.0,25.0,80.0,11.0,55.0,5.0,39.0,22.0,116.0,17.0,16.0,45.0,40.0,28.0,350.0,44.0
3734,1.0,2.0,7.0,24.0,5.0,0.0,23.0,44.0,9.0,6.0,18.0,3.0,56.0,4.0,17.0,145.0,15.0,33.0,10.0,11.0,82.0,45.0,58.0,22.0,13.0,14.0,31.0,36.0,55.0,12.0
3783,2.0,1.0,5.0,3.0,13.0,6.0,10.0,15.0,0.0,4.0,12.0,35.0,27.0,9.0,32.0,375.0,47.0,11.0,105.0,16.0,33.0,23.0,70.0,46.0,58.0,54.0,67.0,39.0,124.0,14.0
3832,1.0,0.0,8.0,7.0,3.0,2.0,36.0,6.0,4.0,24.0,26.0,17.0,32.0,5.0,10.0,63.0,14.0,11.0,47.0,12.0,28.0,124.0,76.0,19.0,16.0,30.0,34.0,20.0,86.0,31.0
3881,3.0,1.0,12.0,2.0,16.0,6.0,18.0,19.0,0.0,4.0,8.0,9.0,38.0,5.0,54.0,100.0,11.0,25.0,14.0,20.0,15.0,30.0,10.0,34.0,43.0,61.0,45.0,52.0,26.0,17.0
