,SIRPB1_AMP,KIAA1217_DEL,FMN2_AMP,ZBTB20_AMP,BTNL3_DEL,ZNF705G_AMP,DOCK10_AMP,BMPR2_AMP,TAG_DEL,NRXN3_DEL,BCAS1_AMP,CDC73_AMP,GSTTP1_AMP,BRAF_MUT,UNC13C_MUT,SORD_AMP,DPP6_DEL,MST1P9_AMP,PTCH1_AMP,MGAM_DEL,PCCB_DEL,AMY2A_DEL,EP300_MUT,MRC1_AMP,KIR2DL4_AMP,BRAF.V600E_MUT,FBXL7_DEL,BCL11A_MUT,NRXN1_DEL,DAB1_DEL
1501,1.0,0.0,5.0,18.0,29.0,25.0,10.0,14.0,2.0,9.0,22.0,98.0,4.0,131.0,51.0,3.0,31.0,48.0,26.0,50.0,11.0,37.0,15.0,64.0,8.0,254.0,61.0,19.0,7.0,40.0
1550,3.0,0.0,2.0,4.0,9.0,40.0,11.0,39.0,1.0,10.0,48.0,15.0,13.0,83.0,12.0,33.0,5.0,42.0,7.0,18.0,20.0,23.0,6.0,26.0,34.0,571.0,641.0,16.0,22.0,32.0
1599,4.0,2.0,3.0,1.0,0.0,14.0,7.0,21.0,10.0,11.0,82.0,25.0,6.0,29.0,72.0,8.0,208.0,16.0,26.0,20.0,47.0,19.0,70.0,68.0,28.0,71.0,32.0,34.0,27.0,12.0
1648,3.0,0.0,1.0,21.0,4.0,18.0,2.0,16.0,7.0,13.0,9.0,15.0,12.0,87.0,6.0,5.0,40.0,10.0,24.0,19.0,22.0,44.0,8.0,23.0,27.0,356.0,39.0,42.0,340.0,20.0
1697,4.0,0.0,2.0,3.0,11.0,14.0,5.0,7.0,1.0,13.0,16.0,24.0,8.0,150.0,57.0,30.0,131.0,32.0,6.0,12.0,27.0,19.0,10.0,61.0,47.0,214.0,29.0,42.0,18.0,9.0
1746,2.0,0.0,7.0,3.0,8.0,1.0,16.0,5.0,4.0,15.0,48.0,123.0,10.0,24.0,18.0,285.0,17.0,33.0,23.0,56.0,22.0,11.0,6.0,81.0,44.0,63.0,162.0,21.0,20.0,19.0
1795,1.0,0.0,26.0,5.0,8.0,19.0,11.0,9.0,2.0,12.0,24.0,7.0,4.0,56.0,17.0,3.0,6.0,32.0,35.0,50.0,60.0,39.0,10.0,30.0,29.0,226.0,1402.0,31.0,18.0,14.0
1844,5.0,0.0,9.0,2.0,1.0,11.0,14.0,21.0,6.0,8.0,7.0,18.0,33.0,81.0,10.0,19.0,3.0,16.0,17.0,29.0,26.0,28.0,64.0,39.0,15.0,89.0,85.0,27.0,52.0,46.0
1893,15.0,2.0,23.0,24.0,10.0,4.0,12.0,9.0,1.0,6.0,17.0,14.0,20.0,116.0,56.0,131.0,33.0,48.0,16.0,29.0,11.0,57.0,3.0,7.0,5.0,778.0,75.0,18.0,44.0,25.0
1942,34.0,1.0,5.0,6.0,3.0,7.0,4.0,12.0,0.0,10.0,21.0,8.0,17.0,70.0,15.0,2.0,23.0,24.0,9.0,18.0,28.0,20.0,13.0,73.0,32.0,334.0,87.0,43.0,31.0,52.0
1991,2.0,1.0,4.0,3.0,51.0,58.0,0.0,5.0,6.0,12.0,7.0,15.0,10.0,13.0,9.0,69.0,88.0,30.0,16.0,11.0,41.0,19.0,140.0,26.0,129.0,21.0,8.0,17.0,20.0,43.0
2040,21.0,7.0,0.0,3.0,1.0,16.0,4.0,2.0,17.0,11.0,13.0,35.0,43.0,8.0,5.0,121.0,59.0,85.0,6.0,10.0,31.0,32.0,22.0,36.0,401.0,38.0,94.0,15.0,395.0,23.0
2089,3.0,0.0,6.0,9.0,7.0,15.0,2.0,1.0,12.0,10.0,67.0,159.0,68.0,4.0,5.0,27.0,19.0,78.0,16.0,42.0,18.0,25.0,265.0,23.0,112.0,13.0,58.0,14.0,21.0,17.0
2138,8.0,1.0,73.0,2.0,4.0,15.0,20.0,0.0,7.0,3.0,5.0,69.0,63.0,54.0,6.0,16.0,27.0,21.0,29.0,22.0,77.0,53.0,184.0,87.0,47.0,93.0,24.0,11.0,32.0,38.0
2187,9.0,5.0,27.0,1.0,2.0,17.0,22.0,0.0,32.0,98.0,4.0,10.0,59.0,15.0,3.0,69.0,8.0,42.0,26.0,6.0,79.0,25.0,156.0,39.0,30.0,14.0,20.0,31.0,172.0,11.0
2236,1.0,2.0,0.0,3.0,5.0,7.0,4.0,15.0,44.0,14.0,8.0,38.0,10.0,29.0,12.0,302.0,47.0,64.0,13.0,60.0,48.0,20.0,21.0,438.0,700.0,63.0,9.0,6.0,31.0,18.0
2285,3.0,4.0,0.0,2.0,12.0,7.0,6.0,1.0,10.0,15.0,11.0,71.0,5.0,18.0,14.0,70.0,52.0,33.0,46.0,8.0,48.0,16.0,60.0,136.0,77.0,30.0,50.0,22.0,13.0,36.0
2334,6.0,5.0,9.0,0.0,16.0,4.0,3.0,2.0,15.0,12.0,18.0,13.0,10.0,1.0,8.0,78.0,94.0,20.0,30.0,11.0,31.0,22.0,138.0,21.0,33.0,7.0,131.0,32.0,19.0,38.0
2383,4.0,6.0,31.0,16.0,5.0,2.0,1.0,9.0,3.0,27.0,8.0,49.0,66.0,22.0,7.0,23.0,44.0,56.0,19.0,11.0,142.0,25.0,21.0,94.0,2480.0,32.0,68.0,12.0,52.0,29.0
