,MAP2K4_DEL,POU5F1B_AMP,PRODH_DEL,CCL3L3_DEL,GRM5_DEL,MYH8_DEL,FAM21A_DEL,ANKRD36_AMP,BMPR2_AMP,FAM66D_DEL,NRXN3_DEL,ATR_MUT,LOC339166_DEL,DNAJC24_DEL,AMY2A_DEL,PPFIBP1_AMP,LOC284344_DEL,SIRPB1_AMP,DOCK10_AMP,SMARCA4_MUT,PRR5-ARHGAP8_DEL,LRP1B_DEL,ANKS1B_DEL,TAG_DEL,BTNL3_DEL,MGAM_DEL,FAM86B1_DEL,KIAA1217_DEL,CDKN2B-AS1_DEL,ASAH2_DEL
1797,5.0,93.0,44.0,49.0,14.0,11.0,19.0,38.0,20.0,81.0,7895.0,6.0,90.0,4299.0,24.0,77.0,73.0,123.0,92.0,55.0,85.0,154.0,152.0,125.0,79.0,82.0,1.0,114.0,173.0,66.0
1846,24.0,37.0,70.0,96.0,219.0,2169.0,33.0,43.0,66.0,164.0,20.0,16450.0,6.0,93.0,26.0,19322.0,163.0,75.0,21412.0,16571.0,122.0,130.0,134.0,73.0,76.0,131.0,85.0,67.0,88.0,81.0
1895,7.0,137.0,27.0,18.0,0.0,2150.0,85.0,45.0,91.0,57.0,44.0,16452.0,21.0,4285.0,15.0,59.0,129.0,151.0,62.0,16571.0,32.0,79.0,82.0,100.0,76.0,60.0,65.0,138.0,72.0,125.0
1944,10898.0,22271.0,32.0,75.0,113.0,72.0,42.0,7.0,23934.0,37.0,122.0,16451.0,39.0,53.0,0.0,62.0,97.0,158.0,80.0,16547.0,9688.0,145.0,131.0,95.0,76.0,86.0,20.0,70.0,135.0,82.0
1993,24.0,17.0,40.0,45.0,28.0,36.0,60.0,18.0,53.0,57.0,81.0,54.0,697.0,95.0,55.0,19298.0,106.0,89.0,48.0,16550.0,50.0,159.0,67.0,115.0,91.0,100.0,109.0,127.0,96.0,146.0
2042,5.0,127.0,30.0,11.0,267.0,100.0,59.0,60.0,9.0,40.0,78.0,67.0,199.0,32.0,16.0,19298.0,66.0,152.0,47.0,16549.0,53.0,10273.0,79.0,120.0,95.0,58.0,10.0,106.0,18669.0,88.0
2091,28.0,8.0,23.0,14.0,270.0,2152.0,87.0,14908.0,54.0,63.0,47.0,16452.0,79.0,48.0,1462.0,26.0,123.0,129.0,49.0,16550.0,21.0,156.0,43.0,72.0,137.0,59.0,96.0,122.0,18684.0,95.0
2140,10902.0,5.0,48.0,32.0,1.0,2143.0,74.0,109.0,35.0,34.0,31.0,65.0,77.0,43.0,22.0,19331.0,127.0,96.0,21432.0,39.0,33.0,130.0,59.0,105.0,82.0,139.0,50.0,99.0,121.0,168.0
2189,2.0,22274.0,42.0,36.0,5.0,2138.0,29.0,79.0,47.0,48.0,7728.0,56.0,620.0,88.0,63.0,19324.0,114.0,170.0,54.0,16568.0,27.0,178.0,128.0,142.0,159.0,46.0,8954.0,158.0,185.0,62.0
2238,17.0,22.0,26.0,0.0,8.0,96.0,38.0,18.0,23926.0,10.0,21.0,20.0,37.0,70.0,32.0,46.0,66.0,74.0,102.0,16531.0,51.0,39.0,97.0,69.0,64.0,49.0,33.0,165.0,67.0,117.0
2287,10896.0,32.0,13.0,28.0,214.0,2155.0,14.0,120.0,46.0,16.0,7720.0,61.0,687.0,41.0,84.0,19268.0,99.0,69.0,55.0,6.0,18.0,38.0,125.0,122.0,164.0,45.0,8935.0,150.0,128.0,117.0
