,hsa-miR-142-5p,hsa-miR-223,hsa-miR-205,hsa-miR-199b-5p,hsa-miR-21,hsa-miR-31,hsa-miR-210,hsa-let-7e,hsa-miR-22,hsa-miR-147b,hsa-miR-200a,hsa-miR-1302,hsa-miR-27b,hsa-miR-130a,hsa-miR-30a,hsa-miR-574-5p,hsa-miR-224,hsa-miR-151-3p,hsa-miR-219-2-3p,hsa-miR-135b,hsa-miR-766,hsa-miR-592,hsa-miR-193b,hsa-let-7i,hsa-miR-193a-5p,kshv-miR-K12-4-3p,hsa-miR-149,hsa-miR-96,hsa-miR-518f,hcmv-miR-UL148D
2909,0.0,1.0,5.0,33.0,4.0,9.0,6.0,19.0,16.0,49.0,51.0,2.0,3.0,369.0,54.0,85.0,389.0,37.0,50.0,13.0,7.0,38.0,20.0,18.0,10.0,32.0,565.0,45.0,8.0,26.0
2958,0.0,1.0,4.0,11.0,9.0,113.0,18.0,8.0,19.0,7.0,12.0,202.0,14.0,2.0,5.0,95.0,42.0,17.0,21.0,307.0,27.0,40.0,23.0,31.0,6.0,149.0,99.0,13.0,3.0,57.0
3007,0.0,3.0,4.0,41.0,6.0,7.0,37.0,9.0,11.0,8.0,151.0,15.0,13.0,1.0,2.0,19.0,66.0,44.0,12.0,24.0,60.0,27.0,73.0,32.0,5.0,10.0,40.0,30.0,25.0,208.0
3056,0.0,1.0,3.0,10.0,9.0,5.0,14.0,2.0,7.0,21.0,181.0,42.0,8.0,4.0,6.0,16.0,53.0,11.0,19.0,17.0,91.0,36.0,46.0,139.0,20.0,37.0,88.0,199.0,12.0,18.0
3105,0.0,1.0,4.0,7.0,17.0,2.0,33.0,5.0,10.0,20.0,13.0,9.0,6.0,12.0,22.0,64.0,11.0,8.0,44.0,31.0,349.0,38.0,57.0,56.0,14.0,71.0,88.0,3.0,388.0,466.0
3154,0.0,1.0,14.0,2.0,38.0,3.0,12.0,11.0,5.0,10.0,73.0,32.0,25.0,6.0,22.0,46.0,17.0,7.0,15.0,8.0,214.0,13.0,547.0,4.0,36.0,29.0,21.0,9.0,81.0,58.0
3203,0.0,3.0,27.0,15.0,2.0,14.0,18.0,9.0,11.0,5.0,30.0,80.0,7.0,13.0,1.0,47.0,24.0,8.0,16.0,29.0,26.0,119.0,37.0,4.0,6.0,84.0,39.0,50.0,42.0,396.0
3252,0.0,1.0,2.0,13.0,3.0,8.0,34.0,4.0,5.0,29.0,15.0,16.0,6.0,10.0,9.0,36.0,18.0,12.0,26.0,69.0,66.0,25.0,50.0,7.0,19.0,31.0,107.0,14.0,488.0,450.0
3301,0.0,1.0,3.0,8.0,7.0,2.0,59.0,20.0,17.0,36.0,91.0,29.0,14.0,4.0,9.0,30.0,6.0,5.0,32.0,18.0,31.0,42.0,15.0,283.0,10.0,24.0,22.0,16.0,23.0,120.0
3350,0.0,2.0,3.0,4.0,16.0,6.0,117.0,1.0,8.0,17.0,11.0,72.0,9.0,14.0,15.0,22.0,32.0,31.0,56.0,71.0,39.0,13.0,46.0,5.0,24.0,172.0,36.0,19.0,21.0,427.0
