,hsa-miR-190,hsa-miR-584,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-548b-5p,hsa-miR-574-5p,hsa-miR-143,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-1908,hsa-miR-384,hsa-miR-1976,ebv-miR-BART13,hsa-miR-1271,hsa-miR-548q,hsa-miR-606,hsa-miR-668,hsa-miR-1308,hsa-miR-1227,hsa-miR-423-3p,hsa-miR-567,hsa-miR-625,hsa-miR-628-5p,hsa-miR-562,hsa-miR-361-3p,hsa-miR-1291,hsa-miR-330-3p,hsa-miR-886-5p,ebv-miR-BART20-5p,hsa-miR-139-5p,hsv1-miR-H2-5p
505,6.0,0.0,1.0,3.0,5.0,12.0,239.0,14.0,27.0,32.0,42.0,34.0,25.0,8.0,62.0,10.0,97.0,74.0,96.0,30.0,215.0,122.0,59.0,19.0,56.0,53.0,29.0,89.0,36.0,47.0
554,4.0,1.0,2.0,3.0,7.0,8.0,13.0,0.0,9.0,33.0,5.0,53.0,28.0,46.0,6.0,45.0,75.0,56.0,71.0,11.0,21.0,88.0,54.0,86.0,31.0,24.0,19.0,29.0,64.0,15.0
603,37.0,5.0,0.0,3.0,6.0,23.0,82.0,8.0,36.0,7.0,33.0,22.0,10.0,19.0,2.0,39.0,28.0,38.0,109.0,29.0,57.0,89.0,51.0,9.0,135.0,64.0,24.0,290.0,136.0,88.0
652,11.0,24.0,12.0,1.0,298.0,78.0,62.0,16.0,35.0,23.0,26.0,9.0,6.0,5.0,4.0,21.0,42.0,224.0,187.0,47.0,49.0,110.0,107.0,15.0,40.0,27.0,135.0,71.0,7.0,68.0
701,7.0,3.0,0.0,2.0,15.0,1.0,109.0,33.0,6.0,62.0,42.0,100.0,9.0,31.0,20.0,5.0,176.0,35.0,60.0,56.0,11.0,16.0,123.0,41.0,195.0,86.0,13.0,171.0,93.0,24.0
750,6.0,2.0,0.0,1.0,53.0,12.0,88.0,13.0,8.0,11.0,19.0,95.0,40.0,38.0,7.0,16.0,128.0,18.0,101.0,31.0,94.0,44.0,61.0,9.0,23.0,156.0,45.0,80.0,47.0,37.0
799,5.0,2.0,1.0,0.0,11.0,31.0,156.0,48.0,8.0,22.0,27.0,7.0,17.0,12.0,14.0,19.0,94.0,30.0,147.0,16.0,58.0,181.0,71.0,66.0,39.0,339.0,51.0,155.0,117.0,59.0
848,4.0,1.0,0.0,2.0,7.0,38.0,104.0,5.0,13.0,59.0,91.0,17.0,9.0,16.0,68.0,12.0,30.0,24.0,79.0,81.0,97.0,84.0,39.0,3.0,35.0,88.0,19.0,44.0,15.0,27.0
897,2.0,1.0,0.0,5.0,12.0,21.0,164.0,36.0,16.0,40.0,6.0,19.0,96.0,59.0,24.0,13.0,255.0,62.0,79.0,52.0,11.0,48.0,34.0,10.0,53.0,51.0,18.0,29.0,33.0,7.0
946,55.0,0.0,2.0,1.0,64.0,9.0,92.0,41.0,44.0,10.0,12.0,93.0,54.0,6.0,24.0,25.0,224.0,113.0,177.0,20.0,78.0,8.0,68.0,35.0,205.0,56.0,7.0,79.0,23.0,50.0
