,IFI27,PRICKLE1,SULF2,PREX2,PLAGL1,GSTT1,CALB1,RP11-98I9.4,KCNK1,PTPN13,PRTFDC1,IQCA1,ZNF69,SYTL1,KRT6A,KCTD14,AC016683.6,MBOAT1,RP11-390F4.3,LAMB3,FRYL,MFAP5,EMID1,S100A2,RP11-73M18.7,RP11-259P15.1,ZNF334,RP11-477N3.1,DZIP1,FAM83A
3195,0.0,1.0,30.0,8.0,3.0,5.0,73.0,65.0,10.0,25.0,454.0,282.0,43.0,16.0,11.0,15.0,64.0,41.0,22.0,63.0,197.0,54.0,13.0,19.0,62.0,20.0,259.0,86.0,115.0,167.0
3244,0.0,2.0,1.0,35.0,9.0,122.0,55.0,63.0,3.0,14.0,1073.0,12.0,33.0,64.0,15.0,106.0,29.0,4.0,7.0,47.0,41.0,34.0,26.0,110.0,65.0,345.0,219.0,85.0,80.0,20.0
3293,0.0,1.0,2.0,15.0,22.0,24.0,50.0,20.0,19.0,71.0,145.0,46.0,5.0,9.0,44.0,64.0,6.0,13.0,47.0,88.0,305.0,28.0,36.0,67.0,96.0,181.0,180.0,17.0,41.0,10.0
3342,0.0,5.0,1.0,10.0,13.0,41.0,21.0,71.0,2.0,18.0,1205.0,12.0,35.0,25.0,19.0,44.0,60.0,9.0,14.0,162.0,36.0,17.0,26.0,23.0,79.0,141.0,45.0,128.0,64.0,83.0
3391,0.0,14.0,3.0,11.0,1.0,23.0,251.0,40.0,15.0,26.0,1779.0,5.0,9.0,38.0,66.0,10.0,2.0,22.0,6.0,332.0,30.0,75.0,100.0,53.0,149.0,57.0,24.0,18.0,253.0,35.0
3440,26.0,15.0,1.0,10.0,5.0,3.0,18.0,21.0,40.0,8.0,14.0,2.0,28.0,0.0,13.0,118.0,4.0,145.0,222.0,23.0,9.0,85.0,50.0,6.0,41.0,60.0,115.0,30.0,194.0,17.0
3489,2.0,25.0,6.0,3.0,4.0,13.0,14.0,7.0,20.0,9.0,12.0,11.0,16.0,0.0,1.0,15.0,49.0,5.0,83.0,28.0,36.0,130.0,29.0,10.0,110.0,39.0,90.0,120.0,21.0,17.0
3538,48.0,51.0,0.0,4.0,8.0,2.0,30.0,10.0,101.0,15.0,16.0,9.0,3.0,1.0,22.0,11.0,19.0,6.0,26.0,20.0,7.0,296.0,68.0,28.0,18.0,41.0,76.0,47.0,284.0,116.0
3587,13.0,7.0,0.0,3.0,8.0,1.0,35.0,12.0,40.0,9.0,31.0,16.0,45.0,2.0,98.0,22.0,41.0,118.0,30.0,51.0,18.0,267.0,10.0,62.0,21.0,14.0,63.0,91.0,161.0,61.0
3636,11.0,32.0,0.0,3.0,17.0,5.0,2.0,13.0,24.0,12.0,69.0,4.0,8.0,1.0,23.0,7.0,14.0,62.0,15.0,6.0,19.0,110.0,35.0,26.0,27.0,9.0,22.0,80.0,43.0,40.0
3685,3.0,18.0,0.0,17.0,6.0,1.0,10.0,8.0,23.0,7.0,29.0,5.0,9.0,4.0,20.0,22.0,28.0,44.0,2.0,27.0,11.0,113.0,19.0,21.0,43.0,55.0,25.0,53.0,118.0,52.0
3734,25.0,4.0,10.0,2.0,1.0,7.0,51.0,19.0,22.0,6.0,170.0,8.0,35.0,0.0,13.0,30.0,26.0,27.0,24.0,16.0,14.0,70.0,5.0,20.0,118.0,55.0,15.0,50.0,28.0,46.0
3783,4.0,18.0,1.0,9.0,3.0,0.0,28.0,15.0,13.0,14.0,41.0,5.0,7.0,2.0,10.0,34.0,182.0,39.0,17.0,6.0,12.0,115.0,24.0,8.0,53.0,22.0,172.0,94.0,533.0,60.0
3832,5.0,2.0,0.0,7.0,1.0,25.0,56.0,33.0,6.0,12.0,9.0,63.0,3.0,8.0,13.0,54.0,10.0,52.0,22.0,4.0,17.0,80.0,24.0,18.0,225.0,46.0,169.0,99.0,193.0,218.0
3881,17.0,6.0,1.0,11.0,171.0,3.0,15.0,119.0,8.0,71.0,211.0,10.0,4.0,0.0,20.0,128.0,52.0,5.0,44.0,25.0,27.0,140.0,30.0,9.0,82.0,286.0,154.0,23.0,260.0,72.0
