,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
1207,23.0,21.0,97.0,18.0,13.0,9.0,29.0,14.0,11814.0,19.0,4.0,0.0,74.0,3.0,7.0,6.0,15.0,1.0,2.0,5.0,52.0,38.0,10.0,84.0,39.0,8.0,22.0,81.0,28.0,11.0
1256,76.0,17.0,25.0,3.0,4.0,8.0,6.0,14.0,926.0,2.0,0.0,7.0,22.0,23.0,37.0,36.0,11.0,31.0,32.0,28.0,82.0,50.0,18.0,42.0,10.0,9.0,15.0,35.0,20.0,24.0
1305,1.0,23.0,30.0,0.0,13.0,10.0,108.0,34.0,756.0,7.0,5.0,184.0,58.0,40.0,3.0,4.0,61.0,27.0,28.0,53.0,132.0,145.0,9.0,65.0,35.0,39.0,42.0,134.0,56.0,11.0
1354,2.0,21.0,1.0,5.0,4.0,33.0,12.0,9.0,6627.0,27.0,0.0,11.0,14.0,26.0,8.0,7.0,93.0,19.0,20.0,72.0,162.0,111.0,53.0,41.0,23.0,35.0,13.0,42.0,16.0,28.0
1403,17.0,22.0,12.0,2.0,0.0,20.0,11.0,42.0,11372.0,26.0,1.0,38.0,29.0,139.0,3.0,4.0,368.0,49.0,48.0,89.0,90.0,39.0,57.0,100.0,23.0,7.0,61.0,36.0,80.0,19.0
1452,27.0,1.0,16.0,30.0,17.0,6.0,9.0,397.0,1067.0,38.0,0.0,26.0,15.0,23.0,5.0,4.0,22.0,20.0,19.0,183.0,7.0,2.0,3.0,35.0,11.0,84.0,743.0,78.0,1201.0,13.0
1501,0.0,47.0,7.0,21.0,4.0,2.0,11.0,48.0,3.0,34.0,6.0,60.0,14.0,20.0,38.0,37.0,12.0,74.0,73.0,51.0,54.0,41.0,19.0,31.0,9.0,162.0,75.0,13.0,111.0,56.0
1550,0.0,5.0,1.0,35.0,13.0,16.0,29.0,12.0,6.0,14.0,2.0,53.0,18.0,58.0,39.0,40.0,48.0,51.0,50.0,9.0,11.0,4.0,10.0,22.0,94.0,813.0,20.0,126.0,24.0,562.0
1599,1.0,16.0,4.0,118.0,2.0,24.0,11.0,10.0,99.0,22.0,0.0,181.0,8.0,23.0,127.0,126.0,683.0,11841.0,13967.0,9.0,41.0,30.0,693.0,15.0,5.0,91.0,29.0,57.0,38.0,63.0
1648,0.0,66.0,6.0,35.0,1.0,4.0,12.0,3.0,81.0,18.0,2.0,32.0,44.0,9.0,28.0,29.0,19.0,668.0,667.0,59.0,30.0,11.0,63.0,31.0,39.0,118.0,13.0,83.0,20.0,143.0
1697,0.0,13.0,6.0,56.0,2.0,24.0,10.0,11.0,16.0,72.0,1.0,69.0,14.0,3.0,120.0,119.0,26.0,11844.0,13655.0,27.0,4.0,23.0,21.0,51.0,47.0,1896.0,25.0,48.0,31.0,41.0
1746,6.0,16.0,1.0,371.0,13.0,2.0,25.0,4.0,129.0,12.0,36.0,26.0,32.0,18.0,44.0,43.0,7.0,683.0,682.0,21.0,42.0,10.0,48.0,35.0,78.0,361.0,9.0,59.0,14.0,60.0
1795,4.0,9.0,1.0,14.0,0.0,6.0,38.0,7.0,2.0,13.0,3.0,21.0,12.0,5.0,264.0,263.0,52.0,325.0,324.0,32.0,22.0,51.0,8.0,48.0,65.0,2306.0,16.0,20.0,19.0,66.0
1844,3.0,31.0,2.0,69.0,5.0,11.0,17.0,7.0,14.0,37.0,4.0,1.0,9.0,12.0,82.0,81.0,92.0,11904.0,13872.0,18.0,48.0,42.0,30.0,34.0,22.0,192.0,16.0,38.0,15.0,50.0
