,hsa-miR-584,hsa-miR-921,hsa-miR-137,hsa-miR-155,hsa-miR-105,hsa-miR-330-3p,hsa-miR-642,hsa-miR-1293,hsa-miR-223,hsa-miR-491-3p,hsa-miR-1321,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-448,hsa-miR-934,hsa-miR-103,hsa-miR-541,hsa-miR-888,hsa-miR-556-3p,hsa-miR-630,hsa-miR-601,hsa-miR-762,hsa-miR-301b,hsa-miR-148b,hsa-miR-924,hsa-miR-181c,hsa-miR-1226,hsa-miR-383,kshv-miR-K12-2,hsa-miR-143
506,0.0,1.0,5.0,8.0,3.0,4.0,21.0,23.0,22.0,27.0,42.0,19.0,18.0,17.0,7.0,34.0,11.0,16.0,2.0,28.0,20.0,9.0,12.0,39.0,13.0,50.0,125.0,51.0,30.0,15.0
555,0.0,12.0,3.0,1.0,24.0,2.0,4.0,7.0,51.0,36.0,40.0,11.0,25.0,15.0,8.0,22.0,28.0,19.0,87.0,35.0,139.0,6.0,9.0,39.0,14.0,89.0,23.0,66.0,56.0,13.0
604,0.0,2.0,1.0,6.0,8.0,4.0,23.0,9.0,12.0,62.0,15.0,5.0,17.0,37.0,19.0,35.0,40.0,21.0,64.0,39.0,25.0,14.0,20.0,98.0,3.0,50.0,106.0,47.0,60.0,13.0
653,0.0,2.0,25.0,4.0,8.0,3.0,18.0,13.0,7.0,24.0,67.0,31.0,6.0,10.0,32.0,23.0,15.0,14.0,41.0,19.0,120.0,20.0,11.0,16.0,1.0,42.0,46.0,27.0,72.0,33.0
702,0.0,5.0,1.0,2.0,4.0,13.0,15.0,3.0,17.0,48.0,22.0,6.0,46.0,21.0,28.0,11.0,20.0,23.0,63.0,35.0,19.0,7.0,12.0,83.0,8.0,53.0,55.0,26.0,9.0,30.0
751,0.0,4.0,14.0,3.0,1.0,5.0,23.0,12.0,11.0,31.0,6.0,7.0,16.0,20.0,21.0,18.0,24.0,35.0,10.0,113.0,26.0,8.0,25.0,28.0,27.0,67.0,100.0,78.0,13.0,30.0
800,0.0,2.0,18.0,1.0,5.0,21.0,7.0,10.0,24.0,51.0,61.0,3.0,22.0,11.0,17.0,13.0,19.0,44.0,38.0,6.0,12.0,42.0,23.0,58.0,8.0,81.0,37.0,16.0,9.0,48.0
849,0.0,3.0,14.0,1.0,5.0,19.0,9.0,6.0,20.0,47.0,44.0,2.0,7.0,80.0,33.0,12.0,68.0,18.0,28.0,38.0,37.0,15.0,24.0,57.0,4.0,69.0,117.0,64.0,66.0,25.0
898,0.0,1.0,4.0,25.0,3.0,14.0,5.0,9.0,7.0,112.0,47.0,2.0,26.0,19.0,28.0,22.0,58.0,42.0,6.0,48.0,34.0,10.0,12.0,11.0,17.0,8.0,113.0,60.0,38.0,41.0
947,0.0,8.0,29.0,2.0,59.0,7.0,33.0,6.0,14.0,67.0,110.0,3.0,17.0,47.0,11.0,9.0,1.0,18.0,78.0,84.0,32.0,39.0,37.0,38.0,19.0,24.0,112.0,93.0,49.0,85.0
