, IL-1, JAK-STAT, Wnt, H2O2, MAPK_PI3K, PI3K_only, MAPK_only, TLR, TGFB, TNFa, VEGF
3667,0.0,4.0,2.0,3.0,8.0,6.0,1.0,9.0,7.0,5.0,10.0
3716,1.0,5.0,7.0,4.0,9.0,6.0,8.0,0.0,2.0,3.0,10.0
3765,3.0,4.0,5.0,0.0,10.0,7.0,6.0,1.0,9.0,2.0,8.0
3814,0.0,3.0,5.0,6.0,2.0,4.0,1.0,9.0,7.0,10.0,8.0
3863,1.0,3.0,7.0,2.0,8.0,5.0,4.0,0.0,9.0,6.0,10.0
3912,2.0,3.0,6.0,7.0,8.0,9.0,1.0,5.0,4.0,10.0,0.0
3961,9.0,5.0,2.0,4.0,7.0,3.0,6.0,8.0,0.0,10.0,1.0
4010,3.0,1.0,2.0,4.0,5.0,6.0,10.0,8.0,7.0,9.0,0.0
4059,6.0,0.0,7.0,3.0,2.0,8.0,9.0,4.0,5.0,1.0,10.0
4108,2.0,4.0,0.0,1.0,7.0,8.0,6.0,10.0,3.0,9.0,5.0
4157,2.0,4.0,0.0,3.0,1.0,7.0,5.0,10.0,8.0,6.0,9.0
4206,0.0,2.0,3.0,1.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0
4255,1.0,2.0,4.0,3.0,6.0,0.0,5.0,10.0,8.0,9.0,7.0
4304,0.0,2.0,1.0,9.0,6.0,3.0,7.0,10.0,4.0,5.0,8.0
4353,1.0,0.0,3.0,4.0,9.0,2.0,8.0,10.0,5.0,6.0,7.0
4402,0.0,1.0,5.0,7.0,2.0,8.0,6.0,3.0,4.0,9.0,10.0
4451,0.0,1.0,6.0,10.0,2.0,8.0,7.0,3.0,4.0,5.0,9.0
4500,3.0,4.0,0.0,6.0,5.0,1.0,10.0,8.0,7.0,2.0,9.0
4549,0.0,4.0,1.0,7.0,10.0,2.0,9.0,8.0,3.0,5.0,6.0
4598,2.0,4.0,0.0,3.0,9.0,7.0,8.0,5.0,1.0,10.0,6.0
4647,3.0,4.0,10.0,2.0,5.0,6.0,8.0,9.0,0.0,1.0,7.0
4696,10.0,1.0,0.0,2.0,7.0,4.0,6.0,8.0,5.0,9.0,3.0
4745,5.0,2.0,1.0,9.0,10.0,3.0,6.0,7.0,0.0,8.0,4.0
4794,2.0,0.0,1.0,4.0,3.0,9.0,8.0,10.0,5.0,6.0,7.0
4843,1.0,5.0,7.0,4.0,8.0,9.0,3.0,6.0,2.0,0.0,10.0
4892,0.0,4.0,3.0,1.0,2.0,6.0,8.0,5.0,10.0,9.0,7.0
