,DYRK4_MUT,VAT1L_DEL,OR4C11_DEL,FBXO31_DEL,THSD7B_AMP,SCYL2_MUT,FAM153C_AMP,RPL23AP82_DEL,PTEN_DEL,SELT_DEL,ETS1_DEL,ADM2_DEL,DBF4_MUT,BANP_DEL,OSGIN1_DEL,PIK3R4_MUT,IRF8_DEL,KLLN_DEL,PLXNB2_DEL,TBC1D3C_DEL,NHP2_AMP,ATAD1_DEL,CFL1P1_DEL,TTTY16_DEL,RAPGEF2_MUT,PCF11_AMP,DPP10_DEL,RP11-165H20.1_DEL,TTTY12_DEL,SGMS1_DEL
3805,38.0,52.0,39.0,705.0,3.0,368.0,113.0,89.0,74.0,10847.0,3076.0,8.0,78.0,185.0,4984.0,13.0,507.0,46.0,21.0,11207.0,25.0,2.0,4.0,565.0,346.0,77.0,8751.0,513.0,516.0,26.0
3854,567.0,8.0,107.0,7.0,4.0,53.0,39.0,3.0,153.0,2104.0,49.0,5.0,2317.0,375.0,541.0,120.0,4215.0,6.0,38.0,268.0,382.0,51.0,10.0,6230.0,318.0,157.0,11499.0,187.0,1529.0,739.0
3903,2.0,11.0,61.0,15.0,3.0,84.0,67.0,14.0,8.0,538.0,1.0,6.0,48.0,10982.0,43.0,53.0,783.0,24.0,60.0,2226.0,131.0,32.0,13.0,26.0,16888.0,596.0,21.0,373.0,119.0,260.0
3952,117.0,7.0,19.0,37.0,5.0,0.0,3.0,25.0,9.0,31.0,1.0,525.0,2.0,8.0,36.0,24.0,233.0,2540.0,6200.0,3650.0,32.0,924.0,57.0,6082.0,4.0,128.0,44.0,2991.0,1520.0,6328.0
4001,15.0,1085.0,2.0,882.0,166.0,1.0,99.0,6895.0,4.0,33.0,5.0,44.0,119.0,475.0,4028.0,16622.0,225.0,95.0,149.0,141.0,435.0,198.0,110.0,952.0,383.0,135.0,38.0,11.0,1404.0,2100.0
4050,54.0,11.0,5549.0,7750.0,144.0,391.0,18.0,24.0,3605.0,22.0,0.0,20.0,37.0,101.0,27.0,234.0,28.0,270.0,135.0,33.0,36.0,10218.0,5833.0,1150.0,2499.0,454.0,16.0,2.0,296.0,7587.0
4099,16996.0,7.0,1004.0,7800.0,782.0,211.0,46.0,1082.0,1547.0,21.0,475.0,32.0,1401.0,13.0,699.0,16631.0,33.0,2874.0,401.0,4.0,19.0,542.0,517.0,781.0,16959.0,131.0,64.0,96.0,962.0,2.0
4148,7.0,6.0,195.0,553.0,1101.0,61.0,37.0,8228.0,29.0,170.0,0.0,67.0,104.0,12259.0,697.0,187.0,2965.0,84.0,1134.0,277.0,63.0,10466.0,69.0,188.0,5103.0,13744.0,349.0,737.0,945.0,563.0
4197,152.0,3.0,5.0,476.0,91.0,1.0,87.0,24.0,107.0,1427.0,90.0,130.0,2.0,51.0,29.0,1312.0,418.0,559.0,544.0,25.0,117.0,1949.0,99.0,100.0,7.0,136.0,65.0,229.0,9828.0,6.0
4246,136.0,21.0,71.0,1855.0,24.0,9.0,39.0,33.0,960.0,5.0,0.0,6.0,1757.0,370.0,7116.0,442.0,202.0,1341.0,17.0,105.0,46.0,3462.0,20477.0,77.0,98.0,299.0,211.0,47.0,345.0,7436.0
4295,3.0,46.0,148.0,68.0,23097.0,18.0,53.0,154.0,91.0,80.0,2.0,191.0,32.0,11049.0,164.0,16653.0,79.0,21.0,105.0,14.0,27.0,37.0,6.0,82.0,168.0,2445.0,1367.0,771.0,112.0,501.0
4344,66.0,13.0,2001.0,17.0,24.0,34.0,116.0,100.0,18.0,125.0,8.0,2.0,6.0,270.0,48.0,41.0,68.0,14.0,16.0,85.0,101.0,109.0,129.0,155.0,74.0,104.0,128.0,905.0,144.0,370.0
