,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
2336,33.0,28.0,37.0,18.0,81.0,103.0,3978.0,64.0,59.0,14.0,13.0,130.0,107.0,47.0,68.0,58.0,69.0,54.0,74.0,110.0,105.0,102.0,14500.0,67.0,4159.0,98.0,21414.0,12107.0,125.0,96.0
2385,34.0,55.0,96.0,1368.0,44.0,17.0,45.0,98.0,33.0,48.0,16.0,22.0,154.0,115.0,54.0,41.0,10426.0,16567.0,95.0,59.0,110.0,9352.0,62.0,14455.0,4171.0,121.0,87.0,12113.0,18682.0,63.0
2434,22.0,35.0,12.0,1373.0,32.0,65.0,3988.0,119.0,17.0,37.0,43.0,68.0,59.0,117.0,44.0,5.0,10417.0,16565.0,81.0,182.0,115.0,61.0,14505.0,100.0,4168.0,102.0,29.0,12115.0,18681.0,69.0
2483,78.0,43.0,9.0,35.0,33.0,55.0,75.0,54.0,72.0,74.0,76.0,17.0,30.0,16213.0,32.0,93.0,15.0,5.0,100.0,112.0,80.0,119.0,14508.0,14449.0,51.0,19178.0,108.0,190.0,130.0,62.0
2532,30.0,16.0,7.0,5.0,73.0,133.0,2.0,116.0,26.0,60.0,3816.0,57.0,62.0,46.0,2335.0,66.0,80.0,16564.0,130.0,132.0,108.0,43.0,18.0,111.0,76.0,19177.0,21419.0,12110.0,147.0,96.0
2581,13718.0,14.0,28.0,6.0,53.0,44.0,48.0,27.0,22271.0,22728.0,3813.0,29.0,34.0,42.0,2353.0,32.0,133.0,16559.0,110.0,125.0,63.0,9386.0,90.0,112.0,100.0,114.0,55.0,12104.0,118.0,121.0
2630,20.0,31.0,21472.0,1378.0,24.0,53.0,25.0,55.0,147.0,22734.0,3838.0,37.0,32.0,16210.0,98.0,89.0,68.0,57.0,74.0,115.0,100.0,49.0,14503.0,182.0,102.0,19172.0,21420.0,176.0,18676.0,16512.0
2679,4.0,36.0,15.0,1.0,25.0,33.0,22.0,63.0,22330.0,22736.0,124.0,3.0,98.0,53.0,2325.0,40.0,120.0,7.0,80.0,59.0,117.0,62.0,89.0,194.0,69.0,106.0,21425.0,12113.0,110.0,41.0
2728,13735.0,25.0,12.0,89.0,74.0,2177.0,8.0,130.0,22329.0,22738.0,58.0,79.0,136.0,23.0,2341.0,72.0,10425.0,16571.0,163.0,67.0,64.0,9398.0,69.0,14466.0,93.0,45.0,103.0,116.0,126.0,127.0
2777,33.0,53.0,127.0,1346.0,119.0,81.0,32.0,43.0,14.0,22743.0,3827.0,128.0,102.0,130.0,112.0,83.0,56.0,7.0,177.0,80.0,117.0,82.0,115.0,139.0,76.0,19233.0,50.0,180.0,18688.0,192.0
2826,25.0,78.0,57.0,99.0,45.0,80.0,26.0,152.0,22275.0,22732.0,3821.0,13735.0,79.0,69.0,36.0,39.0,10424.0,16568.0,84.0,117.0,97.0,42.0,107.0,106.0,123.0,31.0,56.0,128.0,18676.0,171.0
2875,42.0,18.0,21477.0,1369.0,82.0,205.0,33.0,125.0,77.0,22736.0,66.0,49.0,101.0,84.0,2368.0,139.0,22.0,16571.0,103.0,107.0,106.0,24.0,14491.0,112.0,4186.0,167.0,21425.0,177.0,133.0,16518.0
2924,49.0,33.0,14.0,1375.0,29.0,114.0,26.0,55.0,22273.0,22731.0,3815.0,13715.0,59.0,46.0,2358.0,44.0,48.0,16568.0,72.0,132.0,110.0,52.0,14486.0,149.0,66.0,19173.0,40.0,115.0,127.0,16515.0
2973,13726.0,51.0,40.0,9.0,70.0,46.0,73.0,33.0,65.0,96.0,3813.0,13737.0,84.0,87.0,2356.0,55.0,10420.0,16570.0,137.0,22.0,103.0,111.0,14509.0,177.0,4169.0,66.0,21422.0,98.0,18680.0,124.0
3022,19.0,36.0,76.0,23.0,94.0,40.0,79.0,131.0,106.0,22740.0,3813.0,48.0,154.0,22.0,2312.0,65.0,10424.0,11.0,178.0,67.0,78.0,98.0,14507.0,114.0,108.0,66.0,21423.0,12112.0,18681.0,52.0
3071,13718.0,40.0,20.0,1375.0,43.0,28.0,5.0,57.0,41.0,22746.0,17.0,13752.0,29.0,16208.0,2355.0,72.0,126.0,12.0,124.0,138.0,94.0,9389.0,14501.0,182.0,47.0,133.0,21432.0,85.0,127.0,136.0
3120,16.0,90.0,19.0,152.0,20881.0,37.0,91.0,102.0,58.0,57.0,3692.0,13723.0,132.0,134.0,49.0,103.0,29.0,16571.0,118.0,94.0,137.0,60.0,14468.0,180.0,114.0,33.0,93.0,128.0,18685.0,119.0
3169,13727.0,26.0,41.0,20.0,153.0,61.0,3998.0,50.0,85.0,22738.0,3827.0,13740.0,80.0,83.0,33.0,46.0,113.0,62.0,146.0,47.0,56.0,89.0,49.0,161.0,81.0,119.0,21420.0,12110.0,18680.0,137.0
3218,80.0,109.0,17.0,95.0,49.0,45.0,66.0,59.0,22291.0,22738.0,5.0,13717.0,65.0,16209.0,2313.0,60.0,28.0,63.0,99.0,149.0,108.0,94.0,30.0,167.0,22.0,36.0,129.0,31.0,18681.0,16515.0
3267,31.0,49.0,35.0,18.0,53.0,146.0,21.0,114.0,163.0,22735.0,3835.0,13733.0,82.0,16208.0,76.0,17986.0,57.0,7.0,104.0,106.0,126.0,80.0,0.0,138.0,27.0,56.0,162.0,173.0,28.0,148.0
3316,59.0,23.0,38.0,11.0,31.0,74.0,3987.0,55.0,90.0,75.0,3813.0,13717.0,33.0,58.0,72.0,145.0,94.0,105.0,84.0,79.0,104.0,44.0,5.0,159.0,69.0,57.0,21419.0,12112.0,86.0,113.0
3365,13735.0,14.0,11.0,36.0,63.0,130.0,39.0,156.0,67.0,95.0,3830.0,13722.0,57.0,100.0,2366.0,108.0,10424.0,18.0,115.0,86.0,119.0,64.0,14489.0,47.0,68.0,104.0,21428.0,35.0,111.0,189.0
3414,13724.0,26.0,21.0,37.0,64.0,11.0,54.0,61.0,30.0,22735.0,13.0,35.0,53.0,16209.0,2358.0,96.0,9.0,16567.0,130.0,145.0,59.0,57.0,127.0,173.0,98.0,100.0,87.0,12110.0,139.0,133.0
3463,59.0,139.0,81.0,1374.0,103.0,45.0,29.0,121.0,65.0,66.0,48.0,44.0,83.0,98.0,2355.0,53.0,10419.0,17.0,133.0,94.0,78.0,143.0,58.0,97.0,57.0,19176.0,3.0,12106.0,18682.0,16511.0
3512,13733.0,45.0,41.0,72.0,38.0,4.0,43.0,65.0,24.0,125.0,3830.0,82.0,50.0,16211.0,2364.0,56.0,87.0,16569.0,116.0,2699.0,173.0,85.0,14489.0,88.0,92.0,19207.0,63.0,119.0,32.0,192.0
