,hsa-miR-574-5p,hsa-miR-1245,hsa-miR-1307,hsa-miR-744,hsa-miR-769-5p,hsa-miR-1197,hsa-miR-642,hsa-miR-944,hsa-miR-762,hsa-miR-425,hsa-miR-1248,ebv-miR-BART18-3p,hsa-miR-581,hsa-miR-155,hsa-miR-551b,hsa-miR-582-5p,hsa-miR-142-5p,hsa-miR-133b,hsa-miR-885-3p,hsa-miR-630,hsa-miR-330-3p,hsa-miR-223,hsa-miR-579,hsa-miR-34c-5p,hsa-miR-601,hsa-miR-584,hsa-miR-34c-3p,hsa-miR-1301,hsa-miR-1226,hsa-miR-125a-3p
2662,0.0,28.0,27.0,7.0,12.0,42.0,22.0,5.0,18.0,1.0,4.0,6.0,36.0,8.0,15.0,2.0,9.0,37.0,3.0,17.0,26.0,13.0,11.0,35.0,39.0,54.0,33.0,21.0,19.0,111.0
2711,0.0,10.0,21.0,24.0,39.0,16.0,5.0,7.0,14.0,9.0,6.0,1.0,13.0,8.0,19.0,12.0,4.0,35.0,2.0,53.0,28.0,3.0,17.0,15.0,26.0,23.0,65.0,11.0,42.0,98.0
2760,0.0,12.0,21.0,14.0,44.0,32.0,1.0,19.0,24.0,6.0,20.0,2.0,39.0,4.0,9.0,3.0,18.0,47.0,33.0,70.0,48.0,5.0,27.0,10.0,8.0,11.0,30.0,25.0,59.0,22.0
2809,0.0,60.0,5.0,23.0,14.0,1.0,37.0,7.0,16.0,15.0,2.0,3.0,12.0,13.0,24.0,10.0,4.0,36.0,9.0,44.0,55.0,11.0,31.0,6.0,30.0,45.0,22.0,32.0,54.0,88.0
2858,1.0,23.0,34.0,5.0,32.0,26.0,11.0,12.0,20.0,19.0,17.0,9.0,18.0,6.0,29.0,2.0,0.0,42.0,3.0,48.0,22.0,10.0,39.0,7.0,8.0,14.0,27.0,30.0,236.0,37.0
2907,0.0,4.0,27.0,31.0,30.0,1.0,7.0,12.0,25.0,22.0,5.0,2.0,13.0,9.0,34.0,26.0,3.0,49.0,8.0,40.0,6.0,18.0,29.0,14.0,44.0,33.0,19.0,16.0,39.0,24.0
2956,0.0,8.0,1.0,10.0,4.0,6.0,34.0,3.0,12.0,29.0,41.0,17.0,5.0,27.0,73.0,91.0,2.0,11.0,7.0,28.0,26.0,19.0,14.0,9.0,137.0,31.0,16.0,98.0,20.0,37.0
3005,2.0,1.0,4.0,16.0,0.0,7.0,6.0,10.0,45.0,38.0,12.0,5.0,52.0,22.0,33.0,69.0,13.0,18.0,27.0,26.0,25.0,15.0,8.0,20.0,14.0,46.0,51.0,42.0,19.0,37.0
3054,8.0,2.0,7.0,3.0,0.0,4.0,44.0,9.0,15.0,38.0,11.0,5.0,81.0,37.0,26.0,56.0,1.0,13.0,57.0,22.0,34.0,21.0,14.0,10.0,68.0,25.0,23.0,73.0,32.0,51.0
3103,6.0,11.0,0.0,1.0,2.0,3.0,16.0,8.0,30.0,20.0,4.0,18.0,28.0,19.0,22.0,227.0,5.0,12.0,10.0,44.0,21.0,23.0,14.0,34.0,81.0,87.0,61.0,67.0,42.0,31.0
3152,2.0,13.0,4.0,11.0,0.0,9.0,1.0,16.0,18.0,25.0,8.0,44.0,34.0,30.0,26.0,252.0,3.0,24.0,7.0,31.0,10.0,6.0,14.0,5.0,53.0,70.0,39.0,43.0,23.0,94.0
3201,0.0,15.0,4.0,3.0,1.0,36.0,12.0,6.0,17.0,13.0,34.0,18.0,5.0,14.0,35.0,91.0,2.0,7.0,54.0,23.0,24.0,31.0,22.0,11.0,109.0,66.0,33.0,28.0,26.0,63.0
3250,4.0,2.0,10.0,12.0,0.0,1.0,39.0,7.0,29.0,60.0,23.0,14.0,8.0,9.0,15.0,67.0,6.0,25.0,3.0,45.0,11.0,56.0,27.0,58.0,89.0,59.0,49.0,121.0,16.0,33.0
3299,9.0,16.0,11.0,17.0,2.0,3.0,4.0,0.0,7.0,20.0,12.0,1.0,26.0,24.0,21.0,39.0,5.0,14.0,10.0,8.0,22.0,6.0,32.0,13.0,112.0,95.0,19.0,48.0,56.0,25.0
3348,1.0,7.0,8.0,0.0,5.0,32.0,25.0,10.0,44.0,3.0,15.0,29.0,31.0,50.0,37.0,34.0,14.0,11.0,16.0,4.0,41.0,19.0,6.0,38.0,43.0,114.0,68.0,12.0,22.0,9.0
3397,0.0,4.0,2.0,19.0,1.0,15.0,23.0,5.0,29.0,27.0,17.0,6.0,38.0,24.0,22.0,31.0,3.0,11.0,14.0,20.0,45.0,9.0,69.0,18.0,56.0,62.0,10.0,67.0,51.0,53.0
3446,4.0,2.0,3.0,8.0,7.0,45.0,19.0,15.0,11.0,78.0,33.0,5.0,13.0,27.0,23.0,1.0,17.0,10.0,14.0,9.0,24.0,25.0,12.0,35.0,97.0,38.0,16.0,26.0,22.0,43.0
3495,24.0,3.0,4.0,0.0,10.0,5.0,6.0,8.0,9.0,31.0,34.0,16.0,29.0,30.0,2.0,11.0,45.0,23.0,19.0,43.0,7.0,21.0,27.0,62.0,75.0,32.0,41.0,63.0,22.0,26.0
3544,24.0,13.0,2.0,6.0,3.0,11.0,0.0,14.0,22.0,54.0,55.0,8.0,18.0,9.0,41.0,4.0,7.0,10.0,5.0,25.0,20.0,35.0,38.0,46.0,74.0,23.0,21.0,50.0,33.0,34.0
3593,8.0,0.0,4.0,19.0,9.0,18.0,6.0,17.0,14.0,48.0,37.0,2.0,28.0,11.0,12.0,7.0,36.0,10.0,1.0,35.0,55.0,15.0,51.0,33.0,40.0,53.0,49.0,23.0,72.0,116.0
3642,39.0,4.0,0.0,2.0,1.0,41.0,8.0,20.0,21.0,15.0,23.0,11.0,34.0,22.0,6.0,3.0,26.0,18.0,13.0,10.0,12.0,61.0,9.0,172.0,85.0,33.0,19.0,58.0,42.0,70.0
3691,4.0,3.0,6.0,1.0,2.0,21.0,24.0,16.0,7.0,42.0,68.0,5.0,23.0,43.0,15.0,0.0,8.0,13.0,19.0,14.0,29.0,30.0,31.0,97.0,115.0,96.0,34.0,46.0,102.0,85.0
3740,10.0,3.0,4.0,5.0,19.0,29.0,34.0,12.0,25.0,16.0,18.0,1.0,9.0,65.0,78.0,0.0,21.0,24.0,2.0,39.0,42.0,28.0,32.0,26.0,36.0,66.0,50.0,53.0,110.0,63.0
3789,18.0,2.0,4.0,29.0,0.0,3.0,10.0,33.0,9.0,21.0,12.0,6.0,11.0,64.0,13.0,17.0,5.0,8.0,1.0,16.0,14.0,24.0,20.0,19.0,102.0,40.0,7.0,42.0,30.0,54.0
3838,21.0,0.0,4.0,2.0,1.0,6.0,40.0,32.0,11.0,78.0,38.0,31.0,20.0,15.0,16.0,10.0,7.0,9.0,5.0,17.0,43.0,33.0,13.0,42.0,58.0,39.0,27.0,73.0,97.0,63.0
3887,5.0,2.0,13.0,0.0,24.0,12.0,23.0,21.0,4.0,55.0,32.0,48.0,29.0,19.0,70.0,3.0,11.0,16.0,18.0,8.0,35.0,79.0,58.0,40.0,59.0,90.0,46.0,87.0,36.0,149.0
3936,0.0,34.0,10.0,7.0,11.0,4.0,12.0,27.0,21.0,14.0,2.0,50.0,9.0,8.0,5.0,17.0,150.0,29.0,80.0,13.0,20.0,35.0,28.0,24.0,1.0,23.0,36.0,86.0,49.0,130.0
3985,0.0,20.0,2.0,22.0,14.0,7.0,11.0,34.0,21.0,27.0,10.0,15.0,23.0,18.0,4.0,12.0,53.0,97.0,3.0,6.0,16.0,19.0,32.0,1.0,9.0,65.0,8.0,67.0,26.0,76.0
4034,0.0,1.0,3.0,7.0,21.0,2.0,23.0,35.0,12.0,14.0,4.0,15.0,5.0,16.0,8.0,10.0,77.0,44.0,31.0,9.0,25.0,30.0,22.0,39.0,11.0,63.0,33.0,45.0,13.0,83.0
4083,0.0,2.0,12.0,3.0,1.0,25.0,31.0,54.0,22.0,20.0,18.0,19.0,49.0,11.0,7.0,32.0,46.0,69.0,59.0,5.0,23.0,10.0,9.0,24.0,6.0,16.0,17.0,47.0,48.0,110.0
4132,0.0,8.0,6.0,1.0,17.0,14.0,10.0,28.0,22.0,40.0,4.0,24.0,11.0,3.0,21.0,13.0,19.0,65.0,58.0,2.0,12.0,18.0,47.0,45.0,7.0,51.0,46.0,54.0,37.0,44.0
4181,1.0,3.0,0.0,21.0,15.0,18.0,2.0,61.0,16.0,5.0,9.0,13.0,41.0,8.0,20.0,25.0,17.0,40.0,22.0,28.0,26.0,53.0,70.0,30.0,4.0,31.0,59.0,37.0,45.0,50.0
4230,0.0,24.0,1.0,4.0,20.0,3.0,12.0,18.0,5.0,34.0,10.0,16.0,15.0,25.0,13.0,6.0,31.0,19.0,33.0,7.0,26.0,14.0,52.0,2.0,8.0,85.0,9.0,77.0,28.0,64.0
4279,0.0,1.0,3.0,5.0,8.0,20.0,11.0,45.0,14.0,41.0,10.0,19.0,34.0,4.0,6.0,26.0,42.0,62.0,28.0,12.0,2.0,16.0,85.0,31.0,9.0,33.0,35.0,38.0,46.0,91.0
4328,3.0,23.0,4.0,1.0,21.0,55.0,0.0,6.0,13.0,10.0,15.0,20.0,72.0,11.0,7.0,2.0,41.0,53.0,54.0,29.0,9.0,16.0,31.0,24.0,5.0,28.0,42.0,197.0,43.0,40.0
4377,0.0,1.0,4.0,3.0,14.0,21.0,19.0,39.0,11.0,13.0,5.0,18.0,2.0,10.0,7.0,45.0,92.0,16.0,28.0,27.0,8.0,12.0,100.0,9.0,6.0,38.0,22.0,53.0,23.0,152.0
4426,3.0,8.0,4.0,0.0,13.0,5.0,20.0,7.0,17.0,1.0,15.0,19.0,2.0,56.0,11.0,79.0,9.0,49.0,36.0,18.0,60.0,26.0,24.0,61.0,6.0,12.0,23.0,72.0,29.0,67.0
4475,4.0,13.0,1.0,0.0,23.0,25.0,26.0,2.0,22.0,12.0,18.0,6.0,10.0,9.0,8.0,53.0,38.0,32.0,83.0,21.0,72.0,7.0,119.0,5.0,3.0,55.0,16.0,35.0,14.0,34.0
4524,5.0,13.0,1.0,0.0,19.0,20.0,15.0,6.0,16.0,14.0,11.0,3.0,21.0,23.0,4.0,28.0,24.0,22.0,63.0,12.0,42.0,7.0,38.0,2.0,10.0,8.0,9.0,30.0,37.0,26.0
4573,1.0,50.0,4.0,6.0,33.0,18.0,5.0,7.0,58.0,11.0,12.0,0.0,3.0,23.0,19.0,20.0,13.0,27.0,16.0,22.0,66.0,9.0,57.0,2.0,14.0,34.0,10.0,26.0,17.0,97.0
4622,14.0,8.0,7.0,0.0,18.0,3.0,4.0,2.0,13.0,12.0,10.0,19.0,16.0,20.0,9.0,34.0,21.0,29.0,26.0,30.0,33.0,5.0,25.0,1.0,23.0,27.0,6.0,36.0,48.0,11.0
4671,4.0,24.0,0.0,6.0,32.0,36.0,1.0,13.0,17.0,2.0,30.0,15.0,12.0,3.0,14.0,5.0,16.0,20.0,8.0,34.0,18.0,31.0,21.0,19.0,80.0,28.0,11.0,44.0,38.0,9.0
4720,1.0,12.0,0.0,30.0,15.0,2.0,11.0,4.0,10.0,9.0,19.0,14.0,3.0,33.0,13.0,23.0,50.0,28.0,32.0,16.0,49.0,8.0,86.0,5.0,7.0,22.0,6.0,37.0,24.0,70.0
4769,3.0,16.0,5.0,7.0,44.0,14.0,1.0,2.0,13.0,43.0,18.0,6.0,4.0,12.0,10.0,11.0,8.0,28.0,84.0,36.0,106.0,9.0,30.0,0.0,33.0,69.0,15.0,38.0,48.0,19.0
4818,0.0,14.0,6.0,11.0,16.0,18.0,1.0,2.0,15.0,12.0,21.0,8.0,7.0,37.0,13.0,4.0,42.0,27.0,72.0,24.0,60.0,5.0,30.0,10.0,29.0,105.0,20.0,17.0,23.0,3.0
4867,1.0,20.0,0.0,2.0,3.0,10.0,4.0,6.0,17.0,36.0,19.0,15.0,14.0,5.0,8.0,16.0,7.0,12.0,89.0,13.0,44.0,23.0,49.0,18.0,51.0,35.0,24.0,11.0,27.0,30.0
