,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
2175,7.0,33.0,16.0,85.0,111.0,62.0,93.0,69.0,0.0,70.0,3.0,126.0,104.0,6.0,297.0,118.0,78.0,39.0,556.0,435.0,157.0,47.0,41.0,94.0,95.0,63.0,89.0,35.0,331.0,124.0
2224,9.0,22.0,10.0,33.0,47.0,412.0,37.0,72.0,0.0,87.0,6.0,52.0,48.0,5.0,19.0,293.0,142.0,60.0,2.0,82.0,92.0,68.0,184.0,76.0,141.0,135.0,4.0,131.0,118.0,114.0
2273,4.0,60.0,9.0,41.0,51.0,412.0,37.0,81.0,3.0,75.0,12.0,379.0,43.0,112.0,64.0,295.0,132.0,268.0,61.0,36.0,114.0,14.0,118.0,95.0,351.0,455.0,547.0,625.0,74.0,106.0
2322,14.0,36.0,16.0,34.0,89.0,32.0,45.0,56.0,0.0,130.0,4.0,374.0,124.0,3.0,134.0,294.0,74.0,92.0,33.0,96.0,59.0,83.0,150.0,103.0,355.0,132.0,9.0,154.0,106.0,148.0
2371,8.0,23.0,6.0,34.0,63.0,10.0,70.0,58.0,1.0,76.0,489.0,366.0,598.0,68.0,337.0,148.0,55.0,95.0,90.0,110.0,82.0,522.0,117.0,111.0,298.0,118.0,83.0,71.0,114.0,139.0
2420,5.0,40.0,7.0,28.0,25.0,403.0,67.0,115.0,0.0,35.0,486.0,45.0,20.0,34.0,18.0,19.0,120.0,65.0,94.0,104.0,61.0,521.0,99.0,118.0,71.0,59.0,4.0,127.0,21.0,313.0
2469,5.0,22.0,16.0,23.0,93.0,10.0,56.0,65.0,41.0,59.0,4.0,53.0,62.0,535.0,124.0,37.0,102.0,150.0,147.0,351.0,241.0,582.0,89.0,94.0,87.0,74.0,49.0,403.0,144.0,163.0
2518,1.0,8.0,15.0,33.0,70.0,6.0,29.0,41.0,398.0,67.0,35.0,40.0,413.0,513.0,48.0,342.0,128.0,262.0,143.0,25.0,96.0,619.0,31.0,88.0,320.0,77.0,5.0,504.0,43.0,196.0
2567,16.0,4.0,13.0,38.0,46.0,17.0,88.0,36.0,49.0,59.0,491.0,372.0,56.0,82.0,280.0,30.0,71.0,114.0,123.0,435.0,105.0,51.0,125.0,122.0,268.0,108.0,7.0,131.0,138.0,48.0
2616,581.0,17.0,10.0,3.0,67.0,11.0,87.0,40.0,370.0,63.0,0.0,18.0,39.0,94.0,42.0,47.0,131.0,101.0,23.0,499.0,27.0,609.0,100.0,48.0,44.0,92.0,130.0,33.0,134.0,115.0
2665,2.0,4.0,18.0,61.0,53.0,5.0,91.0,30.0,396.0,80.0,492.0,68.0,67.0,552.0,50.0,249.0,126.0,112.0,136.0,88.0,172.0,545.0,73.0,118.0,78.0,63.0,6.0,94.0,141.0,313.0
2714,7.0,15.0,14.0,59.0,63.0,11.0,124.0,101.0,493.0,58.0,6.0,35.0,93.0,126.0,365.0,267.0,102.0,94.0,533.0,71.0,86.0,57.0,89.0,75.0,105.0,70.0,32.0,143.0,138.0,90.0
2763,7.0,8.0,18.0,17.0,36.0,13.0,78.0,69.0,2.0,139.0,595.0,10.0,414.0,70.0,121.0,3.0,93.0,129.0,148.0,37.0,64.0,622.0,105.0,84.0,43.0,153.0,73.0,46.0,357.0,61.0
2812,9.0,7.0,12.0,33.0,104.0,409.0,88.0,56.0,403.0,68.0,492.0,37.0,82.0,84.0,92.0,295.0,61.0,123.0,101.0,438.0,116.0,522.0,67.0,55.0,54.0,121.0,25.0,628.0,298.0,324.0
2861,8.0,6.0,26.0,21.0,80.0,17.0,94.0,49.0,388.0,117.0,93.0,50.0,412.0,160.0,28.0,39.0,60.0,98.0,107.0,105.0,155.0,46.0,95.0,57.0,110.0,41.0,4.0,122.0,355.0,62.0
2910,8.0,15.0,16.0,24.0,68.0,59.0,38.0,80.0,128.0,145.0,2.0,76.0,83.0,558.0,56.0,288.0,101.0,53.0,119.0,41.0,149.0,597.0,123.0,94.0,45.0,85.0,545.0,65.0,130.0,69.0
2959,4.0,5.0,24.0,40.0,54.0,17.0,42.0,35.0,108.0,126.0,497.0,27.0,101.0,563.0,7.0,197.0,92.0,121.0,83.0,94.0,141.0,109.0,139.0,124.0,113.0,28.0,551.0,102.0,118.0,326.0
3008,6.0,1.0,10.0,63.0,39.0,118.0,26.0,78.0,29.0,88.0,133.0,16.0,45.0,552.0,134.0,345.0,53.0,49.0,58.0,433.0,161.0,522.0,76.0,79.0,334.0,17.0,538.0,14.0,96.0,110.0
3057,12.0,16.0,14.0,56.0,70.0,80.0,41.0,120.0,401.0,109.0,42.0,35.0,36.0,552.0,128.0,48.0,530.0,44.0,112.0,103.0,89.0,562.0,144.0,104.0,69.0,51.0,539.0,62.0,82.0,318.0
3106,10.0,20.0,18.0,30.0,78.0,11.0,33.0,53.0,7.0,140.0,2.0,60.0,62.0,82.0,137.0,154.0,97.0,43.0,558.0,108.0,101.0,86.0,237.0,141.0,90.0,89.0,539.0,567.0,28.0,46.0
3155,145.0,20.0,11.0,41.0,75.0,25.0,48.0,61.0,2.0,158.0,19.0,83.0,50.0,555.0,301.0,58.0,67.0,86.0,154.0,440.0,33.0,565.0,127.0,148.0,349.0,45.0,543.0,66.0,54.0,331.0
3204,8.0,13.0,16.0,30.0,18.0,410.0,26.0,48.0,0.0,116.0,29.0,45.0,37.0,550.0,112.0,276.0,92.0,60.0,152.0,119.0,88.0,526.0,131.0,95.0,110.0,69.0,537.0,597.0,121.0,136.0
3253,8.0,34.0,12.0,52.0,49.0,46.0,92.0,81.0,2.0,149.0,103.0,10.0,22.0,512.0,154.0,260.0,521.0,351.0,102.0,115.0,90.0,621.0,156.0,95.0,117.0,58.0,23.0,33.0,48.0,5.0
3302,6.0,22.0,8.0,33.0,72.0,64.0,62.0,57.0,0.0,106.0,1.0,375.0,52.0,139.0,126.0,25.0,147.0,73.0,555.0,433.0,82.0,9.0,95.0,98.0,108.0,103.0,536.0,595.0,111.0,326.0
3351,30.0,35.0,19.0,27.0,29.0,16.0,62.0,102.0,50.0,117.0,1.0,65.0,124.0,555.0,122.0,2.0,136.0,100.0,81.0,438.0,82.0,530.0,134.0,127.0,137.0,55.0,541.0,58.0,20.0,336.0
3400,2.0,9.0,20.0,50.0,45.0,11.0,54.0,92.0,403.0,100.0,12.0,378.0,59.0,553.0,69.0,141.0,126.0,109.0,131.0,84.0,123.0,527.0,97.0,107.0,101.0,38.0,19.0,142.0,40.0,43.0
3449,3.0,11.0,15.0,63.0,42.0,412.0,36.0,72.0,407.0,58.0,1.0,376.0,45.0,24.0,281.0,7.0,40.0,47.0,12.0,78.0,57.0,143.0,112.0,93.0,38.0,62.0,545.0,49.0,27.0,329.0
3498,2.0,10.0,16.0,17.0,22.0,19.0,530.0,68.0,74.0,65.0,5.0,439.0,410.0,13.0,66.0,3.0,20.0,50.0,82.0,62.0,70.0,620.0,114.0,123.0,119.0,353.0,26.0,121.0,63.0,104.0
3547,56.0,12.0,14.0,35.0,41.0,44.0,19.0,77.0,87.0,78.0,487.0,366.0,130.0,15.0,134.0,50.0,24.0,68.0,558.0,80.0,231.0,58.0,121.0,88.0,94.0,127.0,55.0,60.0,125.0,36.0
3596,12.0,11.0,27.0,22.0,42.0,405.0,148.0,32.0,33.0,78.0,0.0,89.0,92.0,2.0,133.0,30.0,41.0,140.0,23.0,53.0,150.0,38.0,142.0,56.0,37.0,122.0,538.0,625.0,67.0,44.0
3645,20.0,44.0,14.0,58.0,52.0,100.0,140.0,62.0,405.0,56.0,9.0,133.0,77.0,10.0,137.0,5.0,106.0,81.0,84.0,132.0,53.0,121.0,136.0,95.0,47.0,456.0,18.0,40.0,15.0,326.0
3694,0.0,2.0,15.0,60.0,22.0,25.0,79.0,66.0,393.0,57.0,617.0,124.0,132.0,5.0,346.0,248.0,19.0,103.0,44.0,32.0,150.0,43.0,54.0,55.0,102.0,51.0,119.0,63.0,48.0,49.0
3743,8.0,13.0,16.0,59.0,68.0,24.0,91.0,65.0,399.0,56.0,14.0,371.0,579.0,17.0,20.0,7.0,33.0,67.0,557.0,63.0,45.0,38.0,88.0,54.0,6.0,101.0,539.0,628.0,15.0,69.0
3792,19.0,14.0,28.0,22.0,54.0,87.0,106.0,109.0,412.0,75.0,32.0,82.0,575.0,563.0,146.0,16.0,36.0,110.0,72.0,41.0,40.0,62.0,160.0,53.0,148.0,47.0,46.0,35.0,89.0,74.0
3841,5.0,8.0,14.0,11.0,48.0,0.0,91.0,69.0,87.0,45.0,489.0,10.0,9.0,73.0,129.0,353.0,27.0,144.0,33.0,75.0,90.0,60.0,80.0,137.0,83.0,70.0,538.0,598.0,44.0,79.0
