,hsa-miR-548d-3p,hsa-miR-508-3p,hsa-miR-223,hsa-miR-590-5p,hsa-miR-921,hsa-miR-222,hsa-miR-574-5p,hsa-miR-892a,hsa-miR-320c,hsa-miR-135b,hsa-miR-186,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-1245,hsa-miR-188-3p,hsa-miR-140-5p,hsa-miR-155,hsa-miR-27b,hsa-miR-711,hsa-miR-765,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-133b,hsa-miR-645,hsa-miR-1308,hsa-miR-548c-5p,hsa-miR-582-5p,hsa-miR-340,hsa-miR-323-5p,hsa-miR-296-5p
4427,19.0,3.0,4.0,5.0,2.0,22.0,0.0,7.0,9.0,12.0,25.0,20.0,6.0,8.0,14.0,11.0,23.0,1.0,17.0,18.0,34.0,29.0,53.0,73.0,28.0,13.0,46.0,15.0,82.0,85.0
4476,3.0,6.0,4.0,0.0,18.0,30.0,11.0,1.0,13.0,10.0,36.0,66.0,5.0,8.0,28.0,22.0,14.0,2.0,21.0,16.0,29.0,15.0,70.0,216.0,23.0,20.0,44.0,479.0,19.0,45.0
4525,18.0,1.0,0.0,4.0,8.0,5.0,3.0,13.0,9.0,11.0,12.0,17.0,6.0,7.0,27.0,16.0,26.0,35.0,14.0,19.0,38.0,21.0,333.0,48.0,2.0,44.0,25.0,37.0,57.0,24.0
4574,7.0,2.0,1.0,29.0,18.0,17.0,0.0,4.0,16.0,20.0,5.0,38.0,6.0,3.0,9.0,11.0,24.0,15.0,8.0,12.0,58.0,21.0,53.0,277.0,32.0,25.0,138.0,26.0,35.0,27.0
4623,13.0,1.0,0.0,10.0,9.0,6.0,2.0,11.0,3.0,4.0,21.0,40.0,8.0,35.0,15.0,27.0,47.0,5.0,22.0,19.0,90.0,24.0,77.0,91.0,7.0,26.0,106.0,12.0,89.0,99.0
4672,18.0,5.0,0.0,8.0,17.0,16.0,3.0,6.0,2.0,7.0,15.0,50.0,10.0,9.0,14.0,11.0,29.0,28.0,13.0,26.0,59.0,1.0,27.0,221.0,4.0,55.0,60.0,31.0,57.0,30.0
4721,1.0,4.0,0.0,2.0,5.0,11.0,8.0,30.0,6.0,9.0,12.0,43.0,3.0,13.0,27.0,32.0,69.0,34.0,20.0,23.0,39.0,18.0,40.0,260.0,10.0,26.0,85.0,53.0,46.0,417.0
4770,8.0,3.0,5.0,12.0,15.0,7.0,1.0,2.0,14.0,0.0,29.0,9.0,10.0,13.0,25.0,37.0,47.0,17.0,24.0,6.0,264.0,27.0,48.0,67.0,16.0,11.0,42.0,22.0,33.0,85.0
4819,14.0,2.0,6.0,13.0,7.0,3.0,5.0,1.0,18.0,10.0,20.0,36.0,12.0,11.0,15.0,8.0,31.0,0.0,17.0,4.0,34.0,27.0,37.0,272.0,21.0,16.0,68.0,49.0,46.0,487.0
4868,21.0,2.0,1.0,8.0,18.0,5.0,4.0,11.0,3.0,6.0,9.0,13.0,7.0,20.0,22.0,15.0,17.0,0.0,12.0,19.0,32.0,29.0,45.0,217.0,14.0,33.0,272.0,30.0,39.0,62.0
