,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-223,hsa-let-7e,hsa-miR-210,hsa-miR-24,hsa-miR-135b,hsa-miR-22,hsa-miR-21,hsa-miR-890,hsa-miR-130a,hsa-miR-151-3p,hsa-miR-193b,hsa-miR-574-5p,hsa-let-7a,hsa-miR-147b,hsa-miR-513a-3p,hsa-miR-92a,hsa-let-7i,hsa-miR-148a,hsa-miR-137,hsa-miR-628-5p,hsa-miR-10a,hsa-miR-193a-5p,hcmv-miR-US5-1,hsa-miR-222,hsa-miR-378,hsa-miR-422a,mcv-miR-M1-3p,hsa-miR-149
753,0.0,5.0,2.0,3.0,8.0,9.0,1.0,25.0,6.0,15.0,65.0,16.0,7.0,11.0,42.0,23.0,28.0,10.0,26.0,189.0,31.0,202.0,4.0,400.0,142.0,52.0,20.0,14.0,165.0,55.0
802,0.0,2.0,1.0,4.0,9.0,27.0,13.0,3.0,11.0,98.0,6.0,7.0,16.0,153.0,92.0,30.0,8.0,12.0,15.0,232.0,37.0,29.0,17.0,51.0,24.0,48.0,14.0,128.0,86.0,138.0
851,1.0,5.0,0.0,4.0,11.0,3.0,9.0,2.0,18.0,16.0,13.0,7.0,6.0,10.0,20.0,19.0,21.0,26.0,24.0,66.0,71.0,49.0,476.0,353.0,36.0,461.0,134.0,37.0,41.0,156.0
900,0.0,3.0,1.0,4.0,2.0,10.0,6.0,16.0,17.0,34.0,8.0,106.0,5.0,18.0,24.0,36.0,11.0,26.0,35.0,143.0,29.0,14.0,20.0,62.0,75.0,138.0,43.0,21.0,168.0,59.0
949,0.0,4.0,1.0,2.0,15.0,3.0,14.0,25.0,10.0,7.0,105.0,6.0,5.0,235.0,16.0,32.0,11.0,72.0,8.0,406.0,123.0,12.0,17.0,367.0,87.0,162.0,436.0,47.0,56.0,30.0
998,0.0,1.0,2.0,3.0,4.0,26.0,5.0,31.0,48.0,17.0,100.0,37.0,10.0,42.0,23.0,6.0,11.0,19.0,66.0,112.0,350.0,7.0,59.0,174.0,65.0,60.0,27.0,9.0,18.0,212.0
1047,1.0,2.0,0.0,5.0,3.0,4.0,10.0,6.0,39.0,8.0,9.0,26.0,7.0,24.0,44.0,15.0,18.0,23.0,20.0,131.0,32.0,57.0,29.0,28.0,31.0,191.0,11.0,12.0,16.0,182.0
1096,1.0,3.0,0.0,4.0,2.0,5.0,7.0,16.0,9.0,40.0,20.0,8.0,6.0,17.0,18.0,15.0,58.0,37.0,13.0,21.0,26.0,73.0,33.0,12.0,168.0,169.0,99.0,76.0,62.0,463.0
1145,0.0,2.0,3.0,4.0,1.0,7.0,46.0,6.0,9.0,12.0,45.0,8.0,29.0,21.0,18.0,10.0,16.0,36.0,42.0,22.0,26.0,5.0,64.0,11.0,108.0,40.0,127.0,162.0,20.0,236.0
1194,0.0,1.0,2.0,4.0,3.0,7.0,35.0,102.0,14.0,5.0,22.0,10.0,9.0,12.0,6.0,8.0,20.0,27.0,25.0,13.0,114.0,47.0,228.0,204.0,36.0,84.0,11.0,85.0,48.0,469.0
