,STOMACH,GANGLIA,NERVOUS,HAEMATOPOIETIC,LIVER,OESOPHAGUS,BONE,LUNG,LARGE_INTESTINE,PANCREAS,SKIN,SOFT_TISSUE,BREAST,OVARY,ENDOMETRIUM,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
2056,1.0,0.0,2.0,4.0,3.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,0.0,14.0,2.0,1.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,11.0,13.0,10.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,1.0,3.0,2.0,4.0,6.0,5.0,9.0,8.0,7.0,11.0,17.0,10.0,13.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2203,0.0,1.0,4.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,12.0,11.0,13.0,21.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
2252,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,17.0,13.0,11.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2301,0.0,2.0,4.0,3.0,5.0,7.0,1.0,6.0,9.0,10.0,8.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,13.0,12.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,1.0,0.0,4.0,2.0,3.0,6.0,5.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,1.0,14.0,3.0,0.0,4.0,5.0,6.0,7.0,2.0,9.0,8.0,18.0,13.0,12.0,10.0,15.0,16.0,17.0,19.0,20.0,11.0,21.0,22.0
2546,2.0,1.0,4.0,0.0,3.0,7.0,5.0,9.0,6.0,8.0,10.0,18.0,12.0,11.0,13.0,15.0,16.0,17.0,19.0,20.0,14.0,21.0,22.0
2595,3.0,1.0,2.0,0.0,4.0,7.0,5.0,8.0,6.0,9.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2644,2.0,1.0,3.0,0.0,4.0,7.0,5.0,8.0,6.0,10.0,11.0,18.0,9.0,13.0,12.0,15.0,16.0,17.0,19.0,20.0,14.0,21.0,22.0
2693,2.0,1.0,4.0,0.0,3.0,7.0,6.0,9.0,5.0,10.0,8.0,18.0,11.0,12.0,21.0,14.0,15.0,17.0,19.0,20.0,13.0,16.0,22.0
2742,20.0,1.0,2.0,0.0,3.0,6.0,4.0,7.0,5.0,8.0,9.0,16.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2791,20.0,11.0,2.0,0.0,1.0,5.0,3.0,8.0,4.0,7.0,6.0,16.0,10.0,9.0,13.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2840,2.0,1.0,4.0,0.0,3.0,7.0,5.0,8.0,6.0,9.0,10.0,18.0,11.0,12.0,21.0,14.0,15.0,17.0,19.0,20.0,13.0,16.0,22.0
2889,2.0,1.0,3.0,0.0,4.0,6.0,16.0,7.0,5.0,8.0,9.0,18.0,12.0,11.0,21.0,13.0,14.0,17.0,19.0,20.0,10.0,15.0,22.0
2938,3.0,2.0,4.0,0.0,5.0,7.0,1.0,8.0,6.0,9.0,10.0,17.0,11.0,12.0,21.0,13.0,14.0,16.0,18.0,19.0,20.0,15.0,22.0
2987,0.0,4.0,3.0,1.0,5.0,2.0,6.0,8.0,10.0,7.0,9.0,11.0,13.0,12.0,21.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
3036,20.0,2.0,1.0,0.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,12.0,9.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3085,0.0,1.0,2.0,4.0,6.0,5.0,3.0,7.0,8.0,9.0,10.0,17.0,13.0,12.0,11.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3134,20.0,1.0,2.0,0.0,4.0,3.0,5.0,8.0,7.0,6.0,9.0,17.0,10.0,12.0,11.0,14.0,15.0,16.0,18.0,19.0,13.0,21.0,22.0
3183,0.0,5.0,2.0,1.0,4.0,3.0,7.0,10.0,6.0,9.0,8.0,18.0,11.0,13.0,12.0,15.0,16.0,17.0,19.0,20.0,14.0,21.0,22.0
3232,20.0,13.0,2.0,0.0,3.0,1.0,5.0,7.0,6.0,4.0,8.0,10.0,9.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3281,1.0,0.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3330,20.0,2.0,1.0,0.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
3379,3.0,0.0,1.0,2.0,5.0,4.0,6.0,8.0,9.0,7.0,13.0,14.0,10.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
3428,0.0,2.0,1.0,3.0,4.0,5.0,7.0,10.0,6.0,8.0,9.0,12.0,11.0,14.0,13.0,16.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
3477,20.0,1.0,2.0,0.0,3.0,4.0,15.0,5.0,7.0,6.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3526,4.0,0.0,1.0,3.0,2.0,5.0,16.0,7.0,10.0,9.0,8.0,6.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,20.0,13.0,0.0,1.0,2.0,3.0,16.0,5.0,7.0,6.0,8.0,10.0,11.0,4.0,12.0,14.0,15.0,17.0,18.0,19.0,9.0,21.0,22.0
3624,3.0,0.0,1.0,2.0,17.0,4.0,16.0,8.0,7.0,6.0,9.0,5.0,10.0,12.0,13.0,14.0,15.0,18.0,19.0,20.0,11.0,21.0,22.0
3673,2.0,1.0,3.0,0.0,17.0,4.0,16.0,9.0,6.0,5.0,10.0,11.0,13.0,7.0,8.0,14.0,15.0,18.0,19.0,20.0,12.0,21.0,22.0
3722,0.0,3.0,2.0,1.0,4.0,5.0,17.0,7.0,10.0,6.0,9.0,11.0,14.0,12.0,8.0,15.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
3771,1.0,0.0,3.0,2.0,16.0,5.0,15.0,4.0,6.0,8.0,9.0,18.0,11.0,7.0,12.0,13.0,14.0,17.0,19.0,20.0,10.0,21.0,22.0
3820,3.0,2.0,0.0,1.0,4.0,5.0,17.0,7.0,9.0,6.0,8.0,10.0,14.0,11.0,12.0,15.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
3869,3.0,2.0,0.0,1.0,16.0,4.0,15.0,9.0,5.0,7.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,1.0,0.0,3.0,2.0,4.0,5.0,16.0,7.0,8.0,6.0,13.0,9.0,12.0,11.0,10.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,4.0,2.0,1.0,0.0,3.0,5.0,16.0,7.0,8.0,6.0,9.0,18.0,12.0,10.0,13.0,14.0,15.0,17.0,19.0,20.0,11.0,21.0,22.0
