,Gab2,p70S6K_pT389,PKC-alpha,XBP1,Caspase-7_cleavedD198,AMPK_alpha,c-Jun_pS73,Bax,4E-BP1_pS65,PKC-delta_pS664,B-Raf,GSK-3-BETA,IGFBP2,GSK3_pS9,JNK2,Smac,CDK1,c-Kit,Rictor_pT1135,TIGAR,Fibronectin,RAD51,GAPDH,N-Cadherin,ADAR1,ACVRL1,FRA1,p38_pT180_Y182,IRS1,HSP70
3385,4.0,5.0,3.0,16.0,23.0,1.0,81.0,2.0,7.0,31.0,9.0,20.0,79.0,103.0,0.0,8.0,34.0,54.0,38.0,68.0,88.0,57.0,14.0,29.0,84.0,56.0,108.0,22.0,6.0,46.0
3434,0.0,9.0,3.0,5.0,24.0,7.0,1.0,4.0,35.0,15.0,16.0,8.0,13.0,29.0,10.0,2.0,34.0,73.0,6.0,36.0,109.0,42.0,45.0,46.0,33.0,56.0,115.0,150.0,37.0,19.0
3483,0.0,25.0,1.0,4.0,7.0,5.0,2.0,8.0,17.0,6.0,3.0,21.0,27.0,34.0,15.0,48.0,119.0,36.0,23.0,82.0,35.0,53.0,86.0,16.0,18.0,64.0,11.0,38.0,58.0,22.0
3532,0.0,3.0,12.0,2.0,8.0,5.0,7.0,6.0,11.0,44.0,26.0,9.0,36.0,4.0,23.0,1.0,64.0,17.0,15.0,140.0,10.0,30.0,80.0,52.0,14.0,29.0,152.0,58.0,28.0,49.0
3581,0.0,1.0,3.0,4.0,5.0,15.0,13.0,2.0,28.0,7.0,101.0,9.0,8.0,29.0,32.0,12.0,60.0,10.0,64.0,19.0,88.0,92.0,25.0,59.0,37.0,39.0,44.0,73.0,22.0,46.0
3630,1.0,17.0,4.0,0.0,18.0,11.0,6.0,3.0,29.0,5.0,37.0,2.0,16.0,47.0,28.0,15.0,13.0,49.0,35.0,12.0,67.0,34.0,58.0,9.0,38.0,152.0,97.0,84.0,30.0,25.0
3679,2.0,24.0,9.0,0.0,7.0,1.0,19.0,10.0,4.0,8.0,46.0,6.0,13.0,3.0,14.0,11.0,82.0,23.0,17.0,42.0,59.0,106.0,47.0,50.0,96.0,16.0,95.0,22.0,40.0,12.0
3728,0.0,2.0,15.0,1.0,3.0,29.0,4.0,12.0,6.0,8.0,11.0,118.0,40.0,19.0,5.0,9.0,41.0,14.0,67.0,61.0,89.0,17.0,48.0,33.0,30.0,31.0,88.0,49.0,21.0,20.0
3777,1.0,10.0,2.0,6.0,22.0,5.0,19.0,28.0,32.0,33.0,9.0,16.0,8.0,0.0,12.0,45.0,111.0,48.0,14.0,57.0,13.0,70.0,135.0,23.0,15.0,116.0,40.0,36.0,35.0,17.0
3826,0.0,8.0,1.0,9.0,6.0,17.0,11.0,5.0,24.0,7.0,22.0,10.0,31.0,15.0,19.0,2.0,56.0,16.0,4.0,40.0,98.0,20.0,47.0,30.0,3.0,108.0,14.0,118.0,13.0,26.0
3875,0.0,40.0,7.0,1.0,2.0,5.0,3.0,6.0,8.0,19.0,55.0,10.0,4.0,14.0,16.0,17.0,9.0,22.0,24.0,56.0,53.0,145.0,37.0,82.0,15.0,21.0,36.0,121.0,71.0,30.0
3924,1.0,6.0,0.0,37.0,2.0,9.0,13.0,3.0,7.0,12.0,36.0,10.0,8.0,5.0,59.0,25.0,46.0,14.0,54.0,137.0,16.0,32.0,39.0,44.0,91.0,118.0,90.0,72.0,80.0,18.0
3973,5.0,4.0,0.0,6.0,2.0,7.0,9.0,19.0,67.0,36.0,42.0,1.0,34.0,13.0,81.0,11.0,111.0,3.0,8.0,28.0,43.0,56.0,46.0,60.0,54.0,35.0,25.0,29.0,48.0,65.0
4022,6.0,8.0,1.0,28.0,5.0,7.0,10.0,13.0,39.0,0.0,38.0,3.0,61.0,23.0,71.0,9.0,84.0,137.0,4.0,24.0,34.0,36.0,17.0,48.0,37.0,31.0,76.0,44.0,26.0,160.0
4071,0.0,9.0,1.0,7.0,8.0,13.0,2.0,14.0,15.0,4.0,6.0,3.0,34.0,11.0,68.0,49.0,50.0,78.0,103.0,140.0,138.0,48.0,18.0,43.0,61.0,82.0,124.0,115.0,5.0,27.0
4120,0.0,7.0,2.0,11.0,8.0,5.0,10.0,32.0,50.0,1.0,9.0,4.0,6.0,18.0,150.0,17.0,108.0,78.0,14.0,93.0,62.0,23.0,26.0,20.0,24.0,15.0,33.0,3.0,81.0,69.0
4169,2.0,21.0,3.0,6.0,16.0,4.0,0.0,45.0,28.0,24.0,12.0,1.0,29.0,9.0,81.0,18.0,7.0,49.0,13.0,20.0,35.0,39.0,17.0,8.0,71.0,70.0,15.0,14.0,136.0,5.0
4218,4.0,20.0,3.0,13.0,6.0,9.0,0.0,8.0,41.0,28.0,12.0,2.0,5.0,1.0,84.0,38.0,31.0,10.0,11.0,118.0,54.0,26.0,24.0,27.0,19.0,36.0,39.0,17.0,53.0,52.0
4267,7.0,2.0,0.0,23.0,39.0,10.0,1.0,4.0,16.0,3.0,11.0,28.0,41.0,5.0,84.0,24.0,27.0,6.0,50.0,44.0,65.0,14.0,25.0,15.0,52.0,88.0,8.0,40.0,42.0,20.0
4316,0.0,7.0,5.0,6.0,1.0,23.0,2.0,3.0,18.0,29.0,12.0,4.0,9.0,8.0,30.0,16.0,152.0,54.0,42.0,51.0,107.0,26.0,109.0,68.0,14.0,47.0,36.0,101.0,90.0,10.0
4365,2.0,4.0,1.0,5.0,3.0,41.0,7.0,9.0,77.0,14.0,12.0,0.0,16.0,10.0,114.0,103.0,46.0,42.0,15.0,26.0,13.0,32.0,8.0,27.0,67.0,30.0,28.0,112.0,75.0,62.0
4414,8.0,0.0,2.0,4.0,6.0,10.0,47.0,17.0,1.0,5.0,9.0,26.0,13.0,68.0,42.0,24.0,74.0,3.0,25.0,92.0,11.0,22.0,20.0,7.0,29.0,93.0,73.0,23.0,111.0,45.0
4463,7.0,0.0,1.0,4.0,13.0,6.0,55.0,18.0,15.0,2.0,3.0,11.0,5.0,75.0,50.0,29.0,38.0,27.0,20.0,145.0,17.0,35.0,45.0,68.0,8.0,33.0,9.0,16.0,10.0,32.0
4512,0.0,2.0,3.0,5.0,9.0,7.0,1.0,15.0,8.0,6.0,10.0,11.0,75.0,85.0,31.0,70.0,20.0,66.0,4.0,81.0,47.0,13.0,55.0,16.0,38.0,19.0,44.0,24.0,27.0,32.0
4561,2.0,0.0,1.0,7.0,3.0,6.0,46.0,13.0,5.0,20.0,12.0,4.0,34.0,11.0,16.0,27.0,35.0,41.0,72.0,64.0,22.0,21.0,67.0,63.0,66.0,142.0,57.0,60.0,9.0,14.0
4610,4.0,1.0,0.0,8.0,2.0,5.0,7.0,33.0,9.0,6.0,20.0,11.0,34.0,15.0,47.0,10.0,82.0,3.0,24.0,38.0,49.0,22.0,71.0,13.0,80.0,27.0,41.0,130.0,54.0,51.0
4659,1.0,0.0,4.0,7.0,8.0,6.0,117.0,26.0,19.0,3.0,2.0,10.0,18.0,50.0,85.0,23.0,15.0,12.0,30.0,67.0,31.0,29.0,40.0,55.0,114.0,32.0,41.0,11.0,25.0,39.0
4708,0.0,1.0,3.0,5.0,8.0,4.0,29.0,104.0,17.0,35.0,7.0,10.0,92.0,33.0,110.0,20.0,93.0,86.0,2.0,82.0,130.0,31.0,28.0,9.0,19.0,105.0,81.0,109.0,34.0,135.0
4757,2.0,0.0,3.0,9.0,5.0,7.0,10.0,4.0,28.0,1.0,22.0,8.0,12.0,16.0,45.0,52.0,29.0,75.0,6.0,39.0,17.0,35.0,51.0,18.0,15.0,23.0,13.0,20.0,42.0,50.0
4806,3.0,1.0,0.0,4.0,7.0,2.0,34.0,48.0,6.0,35.0,8.0,5.0,9.0,13.0,24.0,87.0,108.0,33.0,14.0,58.0,17.0,10.0,22.0,38.0,44.0,60.0,109.0,31.0,46.0,43.0
4855,1.0,0.0,2.0,3.0,4.0,10.0,27.0,9.0,8.0,60.0,17.0,7.0,20.0,5.0,87.0,76.0,51.0,53.0,120.0,69.0,59.0,21.0,36.0,33.0,73.0,14.0,6.0,58.0,13.0,19.0
