,guanosine,2-deoxycytidine,inosine,glutamine,uridine,inositol,GABA,C18:0 LPC,C22:6 LPE,pantothenate,C16:0 LPE,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,leucine,serine,cystathionine,valerylcarnitine,C22:6 LPC,hypoxanthine,creatine,C34:4 PC,sarcosine,3-phosphoglycerate,PEP,C36:1 DAG,N-carbamoyl-beta-alanine,C22:6 CE,niacinamide,taurodeoxycholate,palmitoylcarnitine
1099,1.0,0.0,7.0,4.0,9.0,5.0,24.0,10.0,21.0,8.0,12.0,6.0,14.0,43.0,20.0,26.0,44.0,23.0,28.0,35.0,34.0,64.0,16.0,18.0,2.0,45.0,48.0,15.0,36.0,38.0
1148,0.0,1.0,4.0,9.0,16.0,5.0,62.0,26.0,22.0,52.0,23.0,11.0,19.0,44.0,18.0,6.0,53.0,3.0,27.0,24.0,33.0,45.0,14.0,13.0,7.0,15.0,64.0,2.0,47.0,49.0
1197,1.0,0.0,2.0,3.0,8.0,4.0,10.0,42.0,17.0,39.0,23.0,12.0,14.0,25.0,56.0,28.0,19.0,27.0,5.0,29.0,16.0,32.0,6.0,7.0,9.0,59.0,60.0,18.0,20.0,35.0
1246,4.0,0.0,5.0,2.0,28.0,29.0,6.0,33.0,8.0,32.0,20.0,1.0,19.0,26.0,12.0,16.0,24.0,21.0,25.0,9.0,15.0,41.0,30.0,13.0,7.0,34.0,61.0,3.0,23.0,18.0
1295,1.0,0.0,6.0,4.0,3.0,31.0,49.0,27.0,9.0,15.0,30.0,5.0,53.0,18.0,43.0,8.0,26.0,13.0,16.0,21.0,22.0,51.0,2.0,20.0,7.0,36.0,33.0,23.0,24.0,29.0
1344,0.0,1.0,2.0,16.0,4.0,56.0,15.0,26.0,11.0,7.0,28.0,5.0,61.0,8.0,12.0,19.0,52.0,37.0,27.0,13.0,49.0,46.0,9.0,38.0,3.0,33.0,45.0,17.0,14.0,21.0
1393,1.0,0.0,2.0,3.0,55.0,6.0,10.0,5.0,4.0,8.0,17.0,9.0,24.0,22.0,25.0,61.0,46.0,50.0,14.0,21.0,41.0,29.0,12.0,19.0,7.0,42.0,38.0,20.0,35.0,26.0
1442,0.0,1.0,2.0,3.0,32.0,17.0,21.0,4.0,33.0,23.0,7.0,37.0,31.0,16.0,9.0,24.0,44.0,28.0,5.0,14.0,11.0,40.0,15.0,25.0,8.0,22.0,55.0,18.0,51.0,39.0
1491,0.0,1.0,10.0,8.0,12.0,3.0,41.0,6.0,5.0,38.0,7.0,32.0,4.0,34.0,56.0,22.0,31.0,9.0,23.0,45.0,13.0,26.0,19.0,36.0,14.0,24.0,47.0,33.0,37.0,52.0
1540,0.0,4.0,1.0,7.0,27.0,34.0,29.0,3.0,2.0,31.0,19.0,40.0,5.0,64.0,20.0,54.0,42.0,36.0,52.0,24.0,15.0,57.0,11.0,26.0,22.0,39.0,12.0,33.0,10.0,37.0
1589,0.0,2.0,4.0,22.0,8.0,15.0,14.0,3.0,12.0,24.0,1.0,43.0,16.0,57.0,5.0,11.0,59.0,18.0,60.0,17.0,26.0,6.0,39.0,9.0,27.0,23.0,35.0,10.0,29.0,41.0
