,hsa-miR-1977,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-378,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-214,hsa-miR-130a,hsa-miR-196b,hsa-miR-1296,hsa-miR-31,hsa-miR-1308,hsa-miR-563,hsa-miR-616,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-29c,hsa-miR-491-3p,hsa-miR-935,hsa-miR-128,hsv1-miR-H7,hsa-miR-1262,hsa-miR-509-5p,hsa-miR-147b,hsa-miR-620,hsa-miR-93,hsa-miR-643,hsa-miR-597,hsa-miR-92a
1388,1.0,0.0,28.0,11.0,3.0,8.0,6.0,2.0,4.0,24.0,5.0,27.0,67.0,129.0,15.0,16.0,10.0,22.0,23.0,17.0,51.0,36.0,107.0,21.0,41.0,44.0,12.0,7.0,155.0,33.0
1437,3.0,1.0,13.0,0.0,8.0,7.0,6.0,23.0,48.0,2.0,25.0,10.0,80.0,18.0,17.0,5.0,9.0,24.0,20.0,29.0,38.0,15.0,35.0,172.0,68.0,36.0,31.0,12.0,77.0,16.0
1486,0.0,14.0,7.0,5.0,2.0,3.0,37.0,9.0,8.0,11.0,6.0,21.0,1.0,23.0,26.0,28.0,78.0,19.0,98.0,45.0,35.0,48.0,18.0,46.0,25.0,31.0,22.0,13.0,34.0,49.0
1535,0.0,3.0,1.0,7.0,5.0,2.0,24.0,8.0,9.0,21.0,10.0,18.0,13.0,6.0,78.0,26.0,45.0,16.0,25.0,36.0,39.0,53.0,15.0,23.0,34.0,12.0,38.0,29.0,4.0,47.0
1584,0.0,7.0,3.0,6.0,5.0,2.0,17.0,1.0,11.0,8.0,24.0,23.0,9.0,4.0,18.0,19.0,42.0,28.0,20.0,26.0,51.0,29.0,14.0,22.0,44.0,12.0,36.0,33.0,21.0,43.0
1633,1.0,0.0,6.0,4.0,2.0,3.0,5.0,7.0,9.0,12.0,13.0,11.0,16.0,8.0,29.0,17.0,27.0,25.0,34.0,19.0,52.0,22.0,23.0,71.0,32.0,15.0,36.0,24.0,37.0,40.0
1682,0.0,14.0,11.0,2.0,5.0,1.0,4.0,26.0,6.0,12.0,35.0,27.0,8.0,9.0,34.0,13.0,45.0,10.0,39.0,40.0,50.0,37.0,7.0,88.0,23.0,15.0,32.0,16.0,29.0,21.0
1731,0.0,4.0,16.0,1.0,3.0,8.0,7.0,5.0,15.0,29.0,96.0,6.0,25.0,9.0,22.0,30.0,67.0,36.0,59.0,43.0,19.0,27.0,12.0,31.0,11.0,2.0,45.0,14.0,33.0,35.0
1780,0.0,14.0,8.0,2.0,6.0,1.0,18.0,4.0,47.0,11.0,32.0,10.0,7.0,72.0,44.0,17.0,29.0,22.0,50.0,30.0,52.0,41.0,12.0,65.0,39.0,26.0,56.0,13.0,31.0,35.0
1829,0.0,6.0,3.0,10.0,5.0,8.0,7.0,4.0,13.0,1.0,11.0,36.0,9.0,2.0,41.0,32.0,86.0,15.0,35.0,22.0,25.0,39.0,20.0,16.0,27.0,12.0,31.0,21.0,26.0,18.0
1878,0.0,4.0,12.0,2.0,8.0,1.0,5.0,11.0,29.0,3.0,6.0,16.0,32.0,14.0,22.0,10.0,48.0,9.0,36.0,83.0,26.0,41.0,33.0,18.0,17.0,25.0,24.0,21.0,28.0,13.0
1927,1.0,19.0,20.0,13.0,15.0,0.0,5.0,18.0,12.0,2.0,21.0,106.0,14.0,4.0,26.0,29.0,89.0,17.0,27.0,35.0,33.0,3.0,10.0,99.0,42.0,6.0,36.0,16.0,45.0,25.0
1976,0.0,7.0,1.0,2.0,12.0,17.0,23.0,3.0,11.0,10.0,14.0,4.0,25.0,8.0,32.0,30.0,26.0,65.0,16.0,43.0,19.0,38.0,124.0,9.0,22.0,31.0,54.0,80.0,6.0,42.0
2025,0.0,2.0,7.0,3.0,4.0,51.0,27.0,5.0,1.0,66.0,9.0,6.0,12.0,11.0,16.0,28.0,13.0,86.0,69.0,19.0,18.0,36.0,64.0,22.0,8.0,33.0,24.0,21.0,29.0,81.0
2074,0.0,4.0,8.0,3.0,15.0,6.0,20.0,7.0,11.0,2.0,12.0,10.0,1.0,5.0,18.0,44.0,29.0,39.0,50.0,24.0,9.0,32.0,80.0,21.0,30.0,25.0,38.0,48.0,13.0,73.0
2123,0.0,2.0,6.0,3.0,5.0,78.0,25.0,1.0,22.0,16.0,8.0,9.0,14.0,7.0,12.0,17.0,62.0,31.0,68.0,64.0,18.0,13.0,58.0,4.0,19.0,37.0,34.0,45.0,10.0,28.0
