,ENPP1,DDB2,VILL,EMB,EDA2R,FAM127C,HSBP1,VASN,RAB18,COQ7,MORF4L2,RP6-109B7.3,ABCB6,DGKA,CTD-2616J11.2,AC092574.2,TNNC1,ABTB1,CTD-2022H16.3,PTCHD4,GPD2,TRIM22,RP11-175P19.2,TRGV5P,C16orf54,FAM65C,HLA-E,UPK1B,INPP5B,ARID3A
3441,23282.0,9.0,17.0,21613.0,835.0,5.0,15.0,2.0,137.0,278.0,83.0,942.0,174.0,153.0,7490.0,10.0,13063.0,14799.0,63.0,22907.0,318.0,51.0,276.0,490.0,10787.0,72.0,493.0,27.0,151.0,491.0
3490,38.0,5.0,19.0,27.0,119.0,12.0,4.0,138.0,83.0,70.0,7.0,311.0,26.0,99.0,2226.0,125.0,15.0,343.0,905.0,22959.0,13504.0,731.0,76.0,501.0,10739.0,194.0,720.0,346.0,161.0,11515.0
3539,547.0,3.0,431.0,498.0,1.0,0.0,990.0,100.0,178.0,22.0,117.0,9580.0,75.0,233.0,8489.0,35.0,465.0,495.0,825.0,200.0,13508.0,108.0,15173.0,22368.0,10724.0,2.0,21332.0,23.0,16336.0,11399.0
3588,209.0,1.0,9.0,253.0,6.0,4.0,43.0,10.0,46.0,668.0,327.0,414.0,255.0,192.0,8379.0,0.0,1026.0,569.0,32.0,162.0,13250.0,875.0,15133.0,2302.0,10740.0,395.0,2592.0,12986.0,16333.0,1184.0
3637,22845.0,246.0,653.0,38.0,670.0,5.0,75.0,20.0,147.0,47.0,12.0,9597.0,9.0,176.0,224.0,49.0,13106.0,14837.0,7.0,22947.0,13325.0,497.0,1247.0,893.0,1101.0,1.0,21229.0,570.0,223.0,11452.0
3686,22828.0,101.0,26.0,17.0,8524.0,5.0,42.0,3642.0,95.0,67.0,35.0,9609.0,9.0,126.0,8483.0,166.0,257.0,13570.0,4170.0,211.0,157.0,19823.0,275.0,572.0,10776.0,18.0,108.0,14.0,16574.0,635.0
3735,21737.0,6.0,38.0,0.0,9668.0,235.0,170.0,80.0,487.0,104.0,7.0,612.0,304.0,39.0,12367.0,72.0,17987.0,148.0,4221.0,871.0,184.0,49.0,729.0,1114.0,24.0,32.0,112.0,70.0,2378.0,12759.0
3784,23284.0,0.0,4.0,21549.0,11.0,149.0,18.0,88.0,166.0,8.0,129.0,519.0,546.0,236.0,8458.0,207.0,13039.0,14790.0,125.0,35.0,315.0,1255.0,396.0,1177.0,2997.0,71.0,33.0,861.0,200.0,11388.0
3833,23284.0,3739.0,23.0,14.0,8537.0,12.0,6.0,69.0,136.0,143.0,5.0,68.0,137.0,28.0,8477.0,60.0,46.0,53.0,3751.0,330.0,342.0,713.0,15106.0,58.0,10706.0,417.0,38.0,15.0,16444.0,276.0
3882,912.0,3.0,7.0,26.0,182.0,6.0,18.0,111.0,9.0,92.0,2.0,5089.0,660.0,7494.0,9421.0,124.0,1181.0,14822.0,13.0,377.0,396.0,19764.0,15094.0,587.0,11141.0,976.0,21330.0,13035.0,16331.0,7773.0
3931,0.0,1.0,20.0,8.0,3.0,2.0,9.0,143.0,10.0,103.0,112.0,274.0,44.0,42.0,19.0,182.0,13133.0,13007.0,26.0,355.0,411.0,1489.0,15166.0,169.0,39.0,46.0,21352.0,566.0,16567.0,11401.0
3980,15.0,1.0,7.0,2.0,14.0,258.0,184.0,224.0,122.0,199.0,6.0,1964.0,0.0,18.0,197.0,364.0,13121.0,278.0,367.0,451.0,13476.0,452.0,1615.0,22297.0,572.0,610.0,10.0,438.0,16560.0,11386.0
