,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
2086,11367.0,10459.0,706.0,90.0,2.0,10657.0,29.0,76.0,31.0,18.0,53.0,23956.0,3.0,139.0,644.0,340.0,499.0,1806.0,20663.0,1235.0,118.0,1048.0,491.0,508.0,24.0,242.0,179.0,67.0,0.0,12113.0
2135,3962.0,2468.0,400.0,1331.0,4596.0,107.0,17.0,8476.0,460.0,51.0,1095.0,21949.0,1014.0,63.0,7.0,15.0,2377.0,44.0,19238.0,2650.0,14085.0,625.0,781.0,13493.0,3830.0,1033.0,18030.0,21635.0,5.0,10858.0
2184,64.0,631.0,1.0,3379.0,601.0,11134.0,19284.0,8421.0,1283.0,459.0,73.0,1665.0,11043.0,161.0,355.0,937.0,3421.0,151.0,19207.0,46.0,494.0,31.0,879.0,461.0,3396.0,1521.0,18537.0,21588.0,66.0,17.0
2233,11126.0,4.0,880.0,235.0,568.0,267.0,1657.0,366.0,12649.0,22798.0,3005.0,82.0,231.0,9.0,2647.0,25.0,1281.0,0.0,20964.0,55.0,13510.0,79.0,3008.0,248.0,5.0,2160.0,13902.0,114.0,19.0,13.0
2282,138.0,10817.0,0.0,974.0,2113.0,3.0,125.0,906.0,643.0,8.0,4138.0,208.0,12497.0,2.0,143.0,846.0,4141.0,7.0,20951.0,23.0,1230.0,16498.0,620.0,15641.0,70.0,681.0,29.0,742.0,121.0,2231.0
2331,1051.0,385.0,23203.0,3934.0,3402.0,11241.0,20694.0,8650.0,123.0,193.0,4039.0,282.0,2677.0,0.0,46.0,7.0,4139.0,2508.0,14.0,7889.0,32.0,212.0,4038.0,513.0,3932.0,1178.0,12.0,18.0,23.0,775.0
2380,2361.0,169.0,584.0,147.0,9.0,1.0,763.0,284.0,12650.0,22733.0,110.0,24067.0,21.0,15.0,16686.0,7.0,3697.0,1364.0,20895.0,7766.0,44.0,133.0,2360.0,371.0,45.0,10648.0,91.0,23742.0,50.0,25.0
2429,2232.0,10815.0,176.0,47.0,30.0,118.0,685.0,140.0,1080.0,52.0,3796.0,450.0,203.0,691.0,23.0,86.0,3642.0,2670.0,323.0,990.0,2.0,792.0,4.0,12.0,72.0,387.0,13898.0,645.0,2318.0,81.0
2478,11061.0,27.0,2.0,11.0,133.0,14.0,4.0,673.0,30.0,22854.0,640.0,6.0,33.0,524.0,2654.0,16954.0,58.0,119.0,3.0,18.0,763.0,238.0,39.0,97.0,1.0,964.0,251.0,1096.0,1352.0,221.0
2527,294.0,1852.0,202.0,2906.0,308.0,30.0,8.0,8572.0,346.0,135.0,15.0,1350.0,3.0,1.0,2361.0,16955.0,1012.0,160.0,61.0,0.0,13239.0,305.0,37.0,822.0,251.0,64.0,377.0,23710.0,4450.0,14.0
