,hsa-miR-205,hsa-miR-548a-3p,hsa-miR-223,hsa-miR-744,hsa-miR-934,hsa-miR-30c,hsa-miR-148a,hsa-miR-196b,hsa-miR-155,hsa-miR-135b,hsa-miR-921,hsa-miR-31,hsa-miR-578,hsa-miR-662,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-1233,hsa-miR-219-2-3p,hsa-miR-609,hsa-miR-770-5p,hsa-miR-222,kshv-miR-K12-7,hsa-miR-891a,hsa-miR-34a,hsa-miR-603,hsa-miR-628-5p,hsa-miR-220b,hsa-miR-323-5p,hsa-miR-210,hsa-miR-34c-5p
2957,1.0,0.0,2.0,3.0,7.0,5.0,8.0,17.0,9.0,16.0,6.0,4.0,12.0,14.0,10.0,33.0,50.0,36.0,18.0,29.0,34.0,48.0,67.0,20.0,13.0,22.0,27.0,61.0,73.0,38.0
3006,0.0,1.0,3.0,5.0,2.0,4.0,10.0,7.0,29.0,13.0,15.0,6.0,37.0,50.0,19.0,32.0,31.0,14.0,24.0,100.0,28.0,73.0,20.0,114.0,12.0,63.0,56.0,54.0,48.0,26.0
3055,1.0,0.0,7.0,4.0,9.0,5.0,26.0,23.0,41.0,3.0,6.0,2.0,10.0,13.0,18.0,11.0,379.0,33.0,32.0,102.0,8.0,353.0,28.0,39.0,21.0,43.0,486.0,35.0,22.0,97.0
3104,1.0,0.0,3.0,2.0,7.0,8.0,32.0,5.0,15.0,17.0,16.0,10.0,18.0,24.0,4.0,11.0,51.0,30.0,6.0,36.0,33.0,57.0,26.0,22.0,13.0,12.0,350.0,14.0,47.0,28.0
3153,1.0,0.0,4.0,3.0,9.0,7.0,5.0,2.0,14.0,8.0,13.0,10.0,15.0,12.0,6.0,29.0,75.0,32.0,23.0,59.0,19.0,51.0,65.0,40.0,21.0,11.0,61.0,43.0,52.0,66.0
3202,2.0,1.0,11.0,0.0,4.0,3.0,7.0,14.0,12.0,5.0,13.0,6.0,10.0,9.0,18.0,17.0,343.0,45.0,8.0,69.0,40.0,67.0,34.0,55.0,38.0,25.0,92.0,66.0,39.0,74.0
3251,0.0,1.0,5.0,4.0,13.0,8.0,7.0,3.0,14.0,86.0,6.0,2.0,28.0,10.0,9.0,19.0,58.0,39.0,15.0,181.0,40.0,34.0,53.0,20.0,11.0,27.0,478.0,47.0,494.0,54.0
3300,0.0,1.0,3.0,9.0,6.0,7.0,4.0,16.0,20.0,19.0,2.0,11.0,59.0,13.0,5.0,14.0,27.0,40.0,37.0,77.0,24.0,31.0,45.0,47.0,26.0,15.0,74.0,85.0,105.0,10.0
3349,1.0,0.0,2.0,12.0,5.0,3.0,6.0,7.0,13.0,11.0,10.0,4.0,63.0,37.0,59.0,22.0,50.0,39.0,18.0,46.0,31.0,76.0,38.0,8.0,17.0,29.0,30.0,15.0,54.0,14.0
3398,0.0,1.0,2.0,6.0,5.0,4.0,21.0,9.0,23.0,14.0,18.0,3.0,12.0,10.0,15.0,29.0,19.0,20.0,25.0,84.0,16.0,105.0,34.0,32.0,17.0,52.0,70.0,69.0,82.0,36.0
3447,0.0,2.0,1.0,4.0,12.0,16.0,11.0,10.0,22.0,15.0,13.0,34.0,25.0,29.0,9.0,19.0,6.0,27.0,14.0,203.0,7.0,90.0,47.0,17.0,20.0,26.0,44.0,23.0,28.0,43.0
3496,0.0,3.0,2.0,4.0,5.0,8.0,16.0,58.0,18.0,79.0,1.0,6.0,15.0,32.0,26.0,29.0,10.0,12.0,11.0,49.0,21.0,92.0,19.0,76.0,24.0,34.0,33.0,9.0,20.0,439.0
3545,2.0,0.0,3.0,1.0,20.0,6.0,15.0,10.0,40.0,45.0,7.0,9.0,30.0,23.0,18.0,13.0,8.0,12.0,5.0,296.0,22.0,229.0,24.0,31.0,4.0,19.0,39.0,11.0,48.0,44.0
3594,0.0,1.0,4.0,2.0,5.0,6.0,7.0,25.0,31.0,39.0,3.0,12.0,38.0,30.0,9.0,10.0,8.0,16.0,11.0,294.0,14.0,224.0,24.0,80.0,18.0,34.0,28.0,41.0,35.0,45.0
3643,0.0,1.0,2.0,3.0,11.0,7.0,10.0,12.0,18.0,42.0,23.0,5.0,20.0,312.0,8.0,9.0,17.0,26.0,24.0,100.0,14.0,226.0,32.0,77.0,13.0,64.0,49.0,45.0,16.0,46.0
3692,1.0,0.0,8.0,3.0,2.0,4.0,6.0,31.0,52.0,28.0,5.0,15.0,21.0,48.0,7.0,17.0,9.0,10.0,19.0,62.0,32.0,65.0,23.0,107.0,16.0,59.0,47.0,30.0,11.0,456.0
3741,0.0,1.0,5.0,3.0,6.0,4.0,2.0,17.0,48.0,28.0,20.0,9.0,12.0,30.0,42.0,11.0,7.0,13.0,15.0,96.0,38.0,223.0,21.0,58.0,8.0,82.0,76.0,18.0,26.0,71.0
3790,0.0,1.0,2.0,5.0,8.0,3.0,7.0,33.0,14.0,45.0,16.0,6.0,49.0,46.0,17.0,19.0,4.0,10.0,9.0,63.0,23.0,95.0,44.0,30.0,11.0,51.0,15.0,13.0,21.0,37.0
