,GPX3,MAGEA1,ACKR3,FAM21B,TNNI3K,MGC10955,IGF1R,NGEF,IGF2,ZNF502,RP11-157G21.2,IQGAP2,BTBD11,MAGEA6,TMEM101,CSAG1,RP4-605O3.4,PTEN,TNFRSF1B,ARID3A,GLB1L2,MYEF2,SPAST,VAMP5,SVIL,PDE9A,YIPF4,TMPRSS11E,AFTPH,STRA6
1431,31.0,28.0,30.0,43.0,83.0,1.0,11.0,120.0,38.0,22.0,91.0,154.0,7.0,10.0,26.0,4.0,36.0,6.0,16.0,53.0,5.0,45.0,13.0,58.0,103.0,696.0,2.0,8.0,111.0,27.0
1480,2.0,0.0,6.0,44.0,73.0,19.0,159.0,37.0,1.0,38.0,59.0,31.0,139.0,16.0,108.0,9.0,151.0,93.0,62.0,20.0,36.0,341.0,23.0,203.0,116.0,55.0,5.0,68.0,25.0,111.0
1529,3.0,23.0,4.0,58.0,83.0,30.0,156.0,51.0,15.0,2.0,80.0,21.0,67.0,259.0,31.0,20.0,337.0,94.0,97.0,77.0,26.0,305.0,72.0,6.0,79.0,10.0,12.0,19.0,33.0,7.0
1578,2.0,6.0,7.0,37.0,55.0,49.0,10.0,22.0,14.0,47.0,86.0,16.0,63.0,4.0,20.0,0.0,304.0,46.0,87.0,11.0,23.0,659.0,33.0,106.0,102.0,59.0,12.0,17.0,61.0,5.0
1627,5.0,1.0,23.0,36.0,29.0,4.0,154.0,914.0,10.0,34.0,161.0,83.0,25.0,2.0,140.0,0.0,399.0,41.0,21.0,27.0,11.0,46.0,9.0,121.0,78.0,136.0,8.0,14.0,24.0,19.0
1676,1.0,60.0,9.0,15.0,104.0,44.0,19.0,13.0,24.0,4.0,84.0,70.0,21.0,3.0,145.0,0.0,520.0,51.0,76.0,80.0,32.0,67.0,8.0,210.0,46.0,271.0,6.0,10.0,31.0,28.0
1725,0.0,5.0,11.0,77.0,12.0,2.0,34.0,31.0,8.0,48.0,296.0,26.0,79.0,29.0,64.0,7.0,556.0,36.0,370.0,69.0,92.0,68.0,72.0,6.0,157.0,488.0,19.0,23.0,63.0,10.0
1774,3.0,2.0,37.0,107.0,9.0,16.0,113.0,7.0,12.0,19.0,88.0,31.0,28.0,0.0,101.0,4.0,155.0,81.0,339.0,109.0,67.0,6.0,14.0,49.0,256.0,266.0,13.0,15.0,20.0,21.0
1823,0.0,2.0,6.0,21.0,18.0,28.0,682.0,4.0,48.0,47.0,15.0,40.0,139.0,11.0,46.0,10.0,332.0,25.0,127.0,252.0,35.0,32.0,14.0,39.0,94.0,226.0,16.0,20.0,22.0,5.0
1872,0.0,1.0,3.0,26.0,20.0,337.0,79.0,32.0,17.0,9.0,64.0,47.0,99.0,13.0,473.0,8.0,107.0,73.0,57.0,38.0,70.0,180.0,56.0,2.0,159.0,74.0,12.0,10.0,53.0,27.0
1921,6.0,3.0,5.0,7.0,29.0,12.0,22.0,9.0,8.0,4.0,67.0,16.0,1290.0,2.0,23.0,1.0,265.0,44.0,56.0,32.0,34.0,110.0,54.0,26.0,257.0,25.0,62.0,10.0,73.0,84.0
1970,6.0,53.0,2.0,0.0,5.0,103.0,12.0,23.0,47.0,18.0,8.0,20.0,65.0,58.0,1.0,107.0,33.0,37.0,59.0,27.0,42.0,17.0,212.0,3.0,167.0,38.0,135.0,13.0,195.0,125.0
2019,2.0,58.0,6.0,1.0,14.0,20.0,39.0,11.0,13.0,44.0,17.0,10.0,45.0,118.0,0.0,34.0,21.0,73.0,137.0,77.0,51.0,5.0,69.0,3.0,8.0,53.0,71.0,15.0,122.0,36.0
2068,56.0,5.0,120.0,1.0,28.0,45.0,18.0,4.0,26.0,12.0,7.0,6.0,9.0,33.0,0.0,23.0,11.0,54.0,309.0,156.0,224.0,13.0,101.0,22.0,70.0,146.0,135.0,8.0,297.0,51.0
2117,24.0,35.0,58.0,0.0,51.0,10.0,100.0,5.0,29.0,20.0,32.0,17.0,8.0,11.0,1.0,61.0,26.0,43.0,48.0,40.0,133.0,14.0,90.0,21.0,76.0,54.0,69.0,45.0,236.0,23.0
2166,8.0,18.0,22.0,5.0,6.0,17.0,16.0,3.0,40.0,184.0,1.0,21.0,11.0,1790.0,0.0,657.0,23.0,69.0,169.0,88.0,38.0,9.0,136.0,87.0,29.0,39.0,141.0,19.0,245.0,350.0
2215,19.0,62.0,1.0,0.0,34.0,60.0,28.0,7.0,110.0,8.0,4.0,15.0,61.0,182.0,10.0,144.0,9.0,50.0,44.0,91.0,213.0,2.0,18.0,17.0,108.0,117.0,35.0,22.0,116.0,147.0
2264,17.0,13.0,105.0,6.0,5.0,18.0,15.0,31.0,4.0,24.0,11.0,2.0,36.0,137.0,0.0,54.0,8.0,22.0,244.0,20.0,70.0,52.0,145.0,40.0,66.0,41.0,120.0,9.0,119.0,114.0
2313,7.0,63.0,35.0,0.0,6.0,77.0,16.0,62.0,98.0,18.0,10.0,2.0,55.0,118.0,1.0,196.0,3.0,42.0,88.0,107.0,8.0,39.0,102.0,32.0,21.0,5.0,155.0,105.0,178.0,626.0
2362,19.0,22.0,87.0,2.0,10.0,20.0,17.0,34.0,14.0,5.0,1.0,3.0,25.0,12.0,0.0,23.0,47.0,158.0,63.0,13.0,43.0,26.0,95.0,9.0,106.0,101.0,57.0,21.0,89.0,62.0
2411,17.0,5.0,1.0,2.0,97.0,13.0,18.0,125.0,14.0,33.0,25.0,44.0,631.0,96.0,0.0,10.0,15.0,202.0,560.0,20.0,51.0,4.0,224.0,26.0,64.0,79.0,130.0,3.0,141.0,277.0
2460,2.0,3.0,0.0,36.0,7.0,13.0,33.0,4.0,79.0,23.0,8.0,35.0,5.0,164.0,9.0,168.0,104.0,105.0,75.0,39.0,16.0,17.0,65.0,93.0,32.0,19.0,248.0,18.0,20.0,440.0
2509,18.0,137.0,0.0,1.0,70.0,84.0,50.0,21.0,29.0,9.0,16.0,155.0,5.0,213.0,10.0,96.0,131.0,33.0,62.0,24.0,55.0,35.0,32.0,302.0,44.0,66.0,224.0,3.0,12.0,128.0
2558,9.0,1.0,10.0,8.0,5.0,57.0,32.0,43.0,4.0,7.0,2.0,40.0,25.0,3.0,0.0,26.0,38.0,174.0,30.0,6.0,89.0,72.0,126.0,69.0,65.0,102.0,134.0,20.0,63.0,329.0
2607,29.0,22.0,4.0,83.0,47.0,3.0,92.0,57.0,49.0,133.0,10.0,17.0,27.0,0.0,1.0,2.0,39.0,109.0,88.0,20.0,33.0,14.0,12.0,177.0,41.0,114.0,62.0,26.0,19.0,100.0
