,hsa-miR-142-5p,hsa-miR-130a,hsa-miR-210,hsa-miR-507,hsa-miR-223,hsa-miR-22,hsa-miR-151-3p,hsa-miR-663,hsa-miR-449c,hsa-miR-224,hsa-miR-193a-5p,hsa-miR-545,hsa-miR-744,hsa-miR-605,hsa-miR-96,hsa-miR-574-5p,hsa-miR-1978,hsa-miR-92a,hsa-miR-99a,hsa-miR-149,hsa-let-7e,hcmv-miR-UL148D,ebv-miR-BART2-5p,hsa-miR-1302,hsa-miR-378,hsa-miR-21,hsa-miR-455-5p,hsa-miR-483-3p,hsa-miR-150,hsa-miR-216a
2321,0.0,1.0,22.0,7.0,14.0,13.0,2.0,42.0,151.0,472.0,3.0,23.0,12.0,52.0,68.0,4.0,453.0,5.0,86.0,41.0,6.0,154.0,77.0,264.0,24.0,44.0,334.0,17.0,15.0,21.0
2370,2.0,3.0,0.0,37.0,12.0,6.0,8.0,170.0,60.0,521.0,1.0,286.0,38.0,91.0,140.0,17.0,196.0,14.0,352.0,70.0,27.0,10.0,5.0,30.0,171.0,36.0,21.0,18.0,22.0,142.0
2419,1.0,3.0,0.0,17.0,5.0,42.0,4.0,23.0,36.0,9.0,2.0,12.0,54.0,13.0,29.0,155.0,350.0,49.0,51.0,241.0,6.0,442.0,67.0,26.0,366.0,444.0,250.0,46.0,66.0,24.0
2468,5.0,22.0,0.0,1.0,6.0,14.0,58.0,3.0,57.0,4.0,30.0,78.0,7.0,15.0,62.0,232.0,9.0,86.0,27.0,55.0,41.0,77.0,105.0,2.0,313.0,11.0,175.0,28.0,48.0,413.0
2517,1.0,3.0,0.0,11.0,10.0,7.0,15.0,235.0,95.0,2.0,13.0,49.0,9.0,101.0,5.0,14.0,4.0,25.0,16.0,32.0,61.0,555.0,83.0,125.0,113.0,197.0,98.0,253.0,41.0,71.0
2566,3.0,1.0,7.0,4.0,2.0,37.0,14.0,86.0,51.0,211.0,19.0,20.0,0.0,59.0,25.0,6.0,23.0,62.0,43.0,15.0,300.0,229.0,24.0,485.0,28.0,36.0,378.0,440.0,350.0,42.0
2615,8.0,17.0,3.0,0.0,7.0,4.0,5.0,55.0,1.0,27.0,23.0,16.0,2.0,12.0,156.0,30.0,11.0,15.0,100.0,336.0,10.0,369.0,36.0,33.0,214.0,18.0,9.0,70.0,14.0,24.0
2664,5.0,8.0,3.0,2.0,4.0,30.0,14.0,51.0,39.0,29.0,7.0,27.0,0.0,18.0,443.0,47.0,15.0,1.0,345.0,231.0,87.0,12.0,32.0,20.0,43.0,157.0,584.0,73.0,449.0,238.0
2713,1.0,18.0,4.0,8.0,3.0,76.0,140.0,157.0,22.0,9.0,10.0,71.0,0.0,5.0,13.0,85.0,102.0,329.0,95.0,42.0,288.0,36.0,11.0,63.0,569.0,87.0,40.0,21.0,32.0,172.0
2762,11.0,5.0,2.0,4.0,8.0,62.0,16.0,1.0,215.0,39.0,17.0,24.0,0.0,26.0,184.0,3.0,14.0,6.0,222.0,103.0,252.0,207.0,30.0,76.0,38.0,371.0,521.0,159.0,13.0,35.0
2811,2.0,77.0,14.0,1.0,3.0,4.0,10.0,48.0,12.0,21.0,7.0,123.0,0.0,101.0,5.0,11.0,26.0,70.0,168.0,165.0,23.0,219.0,15.0,22.0,177.0,126.0,28.0,8.0,49.0,58.0
2860,1.0,4.0,10.0,6.0,8.0,2.0,12.0,22.0,61.0,39.0,98.0,17.0,0.0,28.0,5.0,27.0,13.0,152.0,18.0,90.0,3.0,9.0,16.0,106.0,198.0,35.0,58.0,19.0,179.0,345.0
2909,0.0,29.0,4.0,1.0,3.0,41.0,24.0,10.0,25.0,28.0,96.0,5.0,13.0,6.0,16.0,39.0,2.0,62.0,69.0,127.0,73.0,460.0,186.0,27.0,199.0,30.0,45.0,67.0,11.0,474.0
2958,0.0,5.0,10.0,22.0,1.0,30.0,67.0,2.0,16.0,32.0,51.0,49.0,43.0,11.0,35.0,18.0,3.0,353.0,42.0,150.0,199.0,589.0,424.0,193.0,339.0,13.0,4.0,97.0,61.0,45.0
3007,1.0,0.0,31.0,10.0,2.0,11.0,15.0,8.0,362.0,16.0,3.0,24.0,9.0,7.0,112.0,18.0,6.0,62.0,64.0,52.0,365.0,13.0,30.0,124.0,27.0,21.0,17.0,50.0,5.0,129.0
3056,1.0,26.0,5.0,17.0,42.0,11.0,15.0,6.0,14.0,7.0,68.0,0.0,2.0,4.0,10.0,24.0,13.0,102.0,27.0,119.0,3.0,153.0,59.0,53.0,16.0,31.0,130.0,9.0,87.0,112.0
3105,1.0,14.0,5.0,95.0,0.0,12.0,15.0,4.0,3.0,6.0,23.0,11.0,9.0,225.0,13.0,21.0,7.0,218.0,33.0,144.0,66.0,206.0,54.0,32.0,47.0,91.0,94.0,294.0,24.0,48.0
3154,13.0,1.0,0.0,38.0,16.0,27.0,10.0,3.0,7.0,41.0,206.0,47.0,33.0,36.0,22.0,160.0,6.0,259.0,133.0,304.0,63.0,44.0,127.0,86.0,2.0,165.0,14.0,55.0,257.0,69.0
3203,3.0,7.0,2.0,11.0,0.0,31.0,24.0,5.0,58.0,205.0,399.0,6.0,140.0,19.0,4.0,61.0,8.0,115.0,289.0,15.0,441.0,36.0,276.0,233.0,618.0,454.0,26.0,10.0,237.0,39.0
3252,28.0,0.0,3.0,8.0,11.0,174.0,22.0,1.0,31.0,6.0,42.0,38.0,79.0,122.0,10.0,5.0,4.0,70.0,266.0,80.0,219.0,29.0,82.0,18.0,218.0,13.0,36.0,14.0,45.0,325.0
3301,9.0,144.0,11.0,17.0,4.0,7.0,19.0,2.0,18.0,16.0,10.0,193.0,5.0,36.0,35.0,240.0,0.0,160.0,353.0,15.0,121.0,25.0,578.0,1.0,13.0,71.0,285.0,82.0,22.0,65.0
3350,0.0,1.0,9.0,166.0,10.0,283.0,65.0,7.0,8.0,315.0,12.0,145.0,4.0,20.0,15.0,25.0,5.0,137.0,3.0,115.0,51.0,6.0,102.0,110.0,33.0,94.0,18.0,91.0,445.0,31.0
3399,7.0,0.0,3.0,71.0,11.0,139.0,90.0,28.0,1.0,16.0,39.0,8.0,4.0,42.0,72.0,50.0,19.0,347.0,15.0,43.0,24.0,35.0,263.0,13.0,107.0,75.0,2.0,26.0,69.0,17.0
3448,0.0,79.0,5.0,8.0,7.0,50.0,4.0,9.0,20.0,25.0,14.0,26.0,39.0,12.0,10.0,33.0,1.0,156.0,47.0,53.0,118.0,106.0,3.0,96.0,71.0,59.0,56.0,317.0,2.0,305.0
3497,6.0,2.0,0.0,5.0,16.0,17.0,4.0,10.0,49.0,3.0,326.0,1.0,91.0,20.0,22.0,65.0,13.0,28.0,263.0,41.0,142.0,125.0,38.0,124.0,102.0,103.0,134.0,25.0,42.0,46.0
3546,7.0,17.0,0.0,10.0,1.0,12.0,9.0,8.0,5.0,15.0,100.0,51.0,2.0,18.0,6.0,42.0,68.0,254.0,61.0,292.0,134.0,110.0,31.0,135.0,25.0,20.0,548.0,24.0,11.0,155.0
3595,0.0,3.0,10.0,2.0,1.0,18.0,9.0,7.0,84.0,14.0,36.0,15.0,109.0,4.0,69.0,5.0,48.0,52.0,321.0,102.0,23.0,24.0,25.0,341.0,17.0,46.0,344.0,80.0,123.0,125.0
3644,8.0,0.0,27.0,14.0,6.0,9.0,12.0,10.0,325.0,2.0,255.0,39.0,262.0,4.0,124.0,16.0,15.0,24.0,199.0,241.0,89.0,74.0,55.0,129.0,265.0,7.0,216.0,134.0,220.0,210.0
3693,2.0,3.0,6.0,5.0,32.0,1.0,0.0,7.0,90.0,61.0,25.0,86.0,88.0,4.0,74.0,69.0,12.0,11.0,8.0,281.0,18.0,50.0,35.0,211.0,161.0,40.0,58.0,54.0,99.0,188.0
3742,3.0,1.0,2.0,87.0,31.0,20.0,30.0,13.0,40.0,12.0,499.0,8.0,38.0,5.0,23.0,119.0,0.0,273.0,35.0,19.0,86.0,62.0,94.0,95.0,83.0,14.0,149.0,6.0,183.0,178.0
3791,2.0,1.0,0.0,6.0,7.0,47.0,15.0,21.0,245.0,4.0,120.0,44.0,318.0,5.0,164.0,9.0,45.0,17.0,142.0,50.0,34.0,234.0,10.0,24.0,22.0,33.0,35.0,54.0,67.0,415.0
3840,19.0,7.0,62.0,6.0,12.0,307.0,16.0,33.0,145.0,14.0,111.0,20.0,30.0,0.0,11.0,48.0,22.0,103.0,26.0,85.0,283.0,43.0,132.0,98.0,1.0,244.0,126.0,8.0,2.0,189.0
3889,4.0,0.0,8.0,3.0,19.0,11.0,6.0,17.0,34.0,1.0,57.0,2.0,557.0,7.0,5.0,25.0,15.0,357.0,20.0,543.0,212.0,288.0,36.0,505.0,23.0,33.0,22.0,47.0,59.0,155.0
3938,6.0,222.0,0.0,4.0,3.0,17.0,1.0,128.0,7.0,14.0,289.0,21.0,9.0,55.0,41.0,47.0,35.0,11.0,54.0,19.0,23.0,347.0,321.0,72.0,24.0,12.0,50.0,285.0,297.0,44.0
3987,1.0,2.0,14.0,7.0,0.0,3.0,18.0,182.0,103.0,169.0,19.0,39.0,8.0,10.0,235.0,9.0,231.0,114.0,5.0,6.0,101.0,172.0,467.0,524.0,404.0,327.0,13.0,72.0,174.0,350.0
4036,1.0,133.0,8.0,17.0,0.0,5.0,11.0,221.0,15.0,21.0,3.0,19.0,6.0,145.0,55.0,40.0,25.0,32.0,67.0,48.0,2.0,181.0,20.0,56.0,62.0,391.0,28.0,376.0,332.0,10.0
4085,2.0,4.0,0.0,21.0,3.0,10.0,17.0,137.0,13.0,82.0,43.0,216.0,24.0,1.0,29.0,169.0,51.0,314.0,41.0,5.0,399.0,232.0,40.0,132.0,56.0,6.0,25.0,350.0,331.0,19.0
4134,3.0,4.0,1.0,2.0,0.0,7.0,6.0,239.0,12.0,31.0,16.0,130.0,22.0,33.0,30.0,21.0,9.0,19.0,206.0,20.0,38.0,18.0,181.0,226.0,28.0,37.0,8.0,145.0,98.0,102.0
4183,7.0,4.0,0.0,9.0,2.0,12.0,5.0,3.0,1.0,28.0,6.0,68.0,190.0,36.0,65.0,25.0,326.0,43.0,18.0,8.0,14.0,75.0,250.0,23.0,17.0,39.0,182.0,152.0,230.0,31.0
4232,3.0,7.0,0.0,34.0,10.0,1.0,122.0,4.0,81.0,16.0,115.0,130.0,60.0,21.0,12.0,113.0,2.0,32.0,75.0,43.0,67.0,505.0,100.0,131.0,103.0,185.0,23.0,411.0,191.0,6.0
4281,2.0,4.0,3.0,13.0,1.0,15.0,14.0,10.0,46.0,41.0,111.0,22.0,25.0,21.0,75.0,47.0,6.0,34.0,159.0,8.0,63.0,497.0,16.0,167.0,105.0,134.0,194.0,197.0,233.0,38.0
4330,4.0,0.0,1.0,2.0,10.0,20.0,3.0,81.0,14.0,354.0,16.0,98.0,7.0,26.0,405.0,17.0,170.0,130.0,88.0,5.0,37.0,62.0,191.0,46.0,24.0,251.0,15.0,400.0,201.0,102.0
4379,3.0,4.0,34.0,29.0,1.0,12.0,60.0,167.0,10.0,19.0,23.0,14.0,37.0,108.0,50.0,11.0,59.0,2.0,223.0,6.0,16.0,40.0,15.0,13.0,66.0,89.0,21.0,205.0,43.0,379.0
4428,6.0,7.0,5.0,0.0,86.0,225.0,20.0,163.0,1.0,39.0,2.0,496.0,3.0,152.0,157.0,74.0,198.0,9.0,60.0,318.0,15.0,11.0,458.0,8.0,275.0,45.0,418.0,301.0,58.0,357.0
4477,9.0,65.0,0.0,1.0,11.0,455.0,49.0,3.0,8.0,23.0,313.0,410.0,6.0,27.0,138.0,323.0,74.0,22.0,10.0,289.0,30.0,56.0,136.0,38.0,61.0,226.0,282.0,145.0,40.0,31.0
4526,3.0,5.0,35.0,10.0,4.0,420.0,12.0,6.0,9.0,15.0,0.0,241.0,21.0,122.0,130.0,13.0,44.0,131.0,301.0,33.0,559.0,34.0,40.0,1.0,22.0,188.0,176.0,325.0,407.0,49.0
4575,9.0,11.0,0.0,1.0,4.0,230.0,24.0,7.0,15.0,149.0,33.0,121.0,16.0,21.0,12.0,84.0,339.0,2.0,159.0,81.0,271.0,41.0,48.0,3.0,95.0,30.0,62.0,203.0,112.0,222.0
4624,53.0,0.0,142.0,2.0,43.0,59.0,8.0,7.0,1.0,3.0,39.0,50.0,114.0,21.0,15.0,192.0,10.0,289.0,45.0,30.0,64.0,6.0,202.0,42.0,31.0,74.0,195.0,121.0,90.0,99.0
4673,120.0,17.0,36.0,5.0,23.0,336.0,22.0,65.0,0.0,2.0,6.0,549.0,52.0,76.0,11.0,77.0,176.0,82.0,39.0,9.0,133.0,7.0,498.0,188.0,354.0,305.0,543.0,84.0,144.0,63.0
4722,0.0,10.0,8.0,9.0,22.0,247.0,19.0,6.0,4.0,5.0,2.0,28.0,32.0,31.0,11.0,62.0,117.0,16.0,365.0,30.0,70.0,53.0,82.0,65.0,21.0,17.0,91.0,207.0,56.0,261.0
4771,5.0,2.0,27.0,0.0,10.0,13.0,20.0,122.0,4.0,6.0,1.0,227.0,34.0,39.0,3.0,31.0,327.0,21.0,17.0,28.0,212.0,12.0,314.0,44.0,473.0,444.0,228.0,144.0,37.0,32.0
4820,31.0,4.0,15.0,5.0,18.0,104.0,9.0,2.0,0.0,12.0,168.0,27.0,89.0,129.0,38.0,30.0,24.0,20.0,108.0,78.0,45.0,43.0,212.0,8.0,53.0,371.0,164.0,47.0,220.0,59.0
4869,21.0,2.0,6.0,0.0,101.0,38.0,107.0,1.0,3.0,10.0,7.0,55.0,424.0,286.0,75.0,15.0,34.0,70.0,382.0,46.0,229.0,13.0,83.0,4.0,81.0,308.0,78.0,438.0,109.0,120.0
