,1-methylnicotinamide,cytidine,C16:0 LPE,uracil,pantothenate,adenosine,2-deoxycytidine,guanosine,3-phosphoglycerate,cystathionine,uridine,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,palmitoylcarnitine,valerylcarnitine,C22:6 CE,alpha-glycerophosphate,sarcosine,PEP,2-deoxyadenosine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,C34:4 PC,pyroglutamic acid,DHAP/glyceraldehyde 3P,beta-alanine,creatine,C34:2 DAG,serotonin,creatinine
1691,4.0,2.0,5.0,7.0,0.0,23.0,13.0,12.0,44.0,3.0,35.0,19.0,8.0,22.0,16.0,11.0,43.0,1.0,9.0,48.0,30.0,10.0,21.0,25.0,53.0,20.0,33.0,37.0,18.0,15.0
1740,1.0,0.0,3.0,8.0,9.0,5.0,2.0,4.0,35.0,16.0,27.0,44.0,13.0,31.0,19.0,20.0,22.0,14.0,21.0,17.0,49.0,25.0,18.0,51.0,42.0,11.0,40.0,63.0,43.0,60.0
1789,0.0,1.0,3.0,2.0,9.0,22.0,4.0,38.0,20.0,11.0,40.0,45.0,7.0,51.0,5.0,21.0,17.0,12.0,14.0,6.0,44.0,36.0,47.0,8.0,23.0,24.0,42.0,66.0,35.0,10.0
1838,0.0,1.0,21.0,14.0,7.0,2.0,3.0,8.0,42.0,13.0,39.0,22.0,24.0,32.0,12.0,4.0,15.0,9.0,5.0,11.0,17.0,23.0,37.0,10.0,36.0,6.0,30.0,64.0,25.0,16.0
1887,0.0,4.0,1.0,2.0,5.0,8.0,3.0,22.0,10.0,12.0,31.0,6.0,16.0,52.0,11.0,13.0,54.0,7.0,9.0,42.0,35.0,40.0,24.0,57.0,49.0,15.0,39.0,45.0,20.0,14.0
1936,3.0,7.0,0.0,2.0,4.0,26.0,1.0,9.0,11.0,13.0,20.0,32.0,12.0,6.0,5.0,30.0,22.0,62.0,10.0,25.0,18.0,27.0,34.0,19.0,33.0,41.0,46.0,51.0,16.0,8.0
1985,0.0,4.0,2.0,47.0,1.0,14.0,9.0,23.0,45.0,5.0,52.0,7.0,3.0,29.0,6.0,19.0,42.0,58.0,20.0,13.0,16.0,60.0,39.0,33.0,38.0,26.0,25.0,30.0,27.0,32.0
2034,0.0,1.0,11.0,3.0,5.0,9.0,12.0,39.0,7.0,18.0,8.0,16.0,4.0,6.0,2.0,15.0,14.0,24.0,35.0,64.0,49.0,59.0,10.0,27.0,52.0,41.0,60.0,25.0,17.0,22.0
2083,0.0,4.0,7.0,2.0,3.0,1.0,10.0,28.0,18.0,21.0,11.0,9.0,12.0,37.0,5.0,26.0,8.0,24.0,14.0,19.0,17.0,45.0,36.0,35.0,23.0,25.0,57.0,56.0,6.0,29.0
2132,0.0,2.0,6.0,8.0,1.0,3.0,7.0,11.0,33.0,38.0,30.0,22.0,5.0,9.0,10.0,17.0,62.0,24.0,45.0,15.0,26.0,37.0,50.0,47.0,12.0,43.0,65.0,35.0,14.0,52.0
2181,1.0,0.0,9.0,7.0,6.0,3.0,5.0,17.0,25.0,14.0,27.0,11.0,2.0,13.0,18.0,4.0,31.0,21.0,47.0,32.0,30.0,36.0,20.0,10.0,19.0,22.0,61.0,60.0,16.0,8.0
2230,0.0,2.0,1.0,42.0,4.0,7.0,19.0,6.0,5.0,48.0,21.0,36.0,9.0,8.0,3.0,41.0,26.0,23.0,31.0,27.0,10.0,15.0,45.0,59.0,43.0,39.0,65.0,12.0,20.0,54.0
2279,0.0,8.0,7.0,1.0,3.0,9.0,15.0,12.0,10.0,60.0,28.0,4.0,2.0,13.0,25.0,39.0,43.0,16.0,22.0,19.0,6.0,33.0,5.0,14.0,31.0,50.0,32.0,21.0,51.0,35.0
2328,0.0,1.0,7.0,3.0,2.0,8.0,16.0,40.0,28.0,37.0,4.0,12.0,24.0,20.0,10.0,5.0,18.0,19.0,35.0,14.0,45.0,9.0,47.0,61.0,31.0,15.0,27.0,58.0,52.0,29.0
