,OR51A2_DEL,OR51A4_DEL,NRXN1_DEL,HLA-DRB1_AMP,ACACB_MUT,HLA-DRB6_AMP,ZBTB20_AMP,USP32P2_DEL,TNK2_MUT,DST_MUT,CTNNA2_MUT,SPEN_MUT,HERC2P2_AMP,SIRPB1_AMP,CREBBP_MUT,APOBEC3A_B_DEL,ZNF705G_AMP,KIAA0125_AMP,EP300_MUT,BTNL3_DEL,BTNL8_DEL,JAK2_AMP,LRP1B_DEL,ADAM6_AMP,ACOT1_DEL,MUSK_MUT,HEATR4_DEL,MIR548AI_AMP,FHIT_DEL,FLNA_MUT
1254,1.0,0.0,6.0,35.0,5.0,81.0,13.0,23.0,18.0,38.0,10.0,9.0,2.0,3.0,16.0,94.0,15.0,203.0,14.0,495.0,242.0,129.0,28.0,215.0,26.0,21.0,34.0,547.0,17.0,11.0
1303,0.0,1.0,6.0,43.0,2.0,45.0,9.0,70.0,13.0,19.0,14.0,10.0,3.0,97.0,7.0,47.0,37.0,46.0,4.0,220.0,185.0,60.0,17.0,34.0,71.0,348.0,59.0,53.0,206.0,12.0
1352,2.0,0.0,1.0,10.0,4.0,38.0,3.0,27.0,25.0,40.0,13.0,6.0,5.0,9.0,16.0,37.0,7.0,12.0,30.0,14.0,17.0,15.0,293.0,8.0,106.0,44.0,91.0,105.0,29.0,28.0
1401,1.0,0.0,2.0,13.0,4.0,22.0,19.0,25.0,53.0,15.0,23.0,9.0,3.0,12.0,5.0,61.0,14.0,38.0,7.0,37.0,39.0,64.0,27.0,21.0,65.0,30.0,114.0,109.0,10.0,11.0
1450,0.0,1.0,8.0,44.0,12.0,81.0,9.0,14.0,10.0,26.0,72.0,18.0,38.0,2.0,73.0,52.0,3.0,32.0,7.0,62.0,67.0,19.0,174.0,28.0,6.0,20.0,5.0,27.0,1728.0,36.0
1499,0.0,2.0,3.0,8.0,4.0,10.0,188.0,25.0,17.0,18.0,21.0,9.0,45.0,40.0,22.0,6.0,1.0,12.0,5.0,53.0,39.0,81.0,14.0,11.0,16.0,46.0,15.0,19.0,131.0,33.0
1548,0.0,1.0,3.0,10.0,4.0,19.0,5.0,47.0,15.0,28.0,13.0,9.0,22.0,2.0,18.0,80.0,16.0,66.0,12.0,11.0,8.0,27.0,21.0,100.0,7.0,25.0,6.0,20.0,405.0,43.0
1597,0.0,2.0,1.0,18.0,5.0,7.0,29.0,24.0,15.0,20.0,8.0,6.0,19.0,3.0,25.0,17.0,4.0,12.0,13.0,10.0,14.0,96.0,16.0,9.0,71.0,59.0,62.0,51.0,28.0,49.0
1646,0.0,3.0,5.0,1.0,4.0,2.0,8.0,32.0,14.0,19.0,18.0,35.0,9.0,12.0,69.0,23.0,7.0,15.0,46.0,22.0,6.0,44.0,27.0,16.0,13.0,56.0,17.0,10.0,58.0,34.0
1695,1.0,23.0,3.0,21.0,12.0,27.0,11.0,17.0,10.0,40.0,18.0,22.0,0.0,2.0,74.0,13.0,16.0,229.0,20.0,5.0,4.0,33.0,14.0,205.0,30.0,24.0,25.0,8.0,341.0,84.0
1744,0.0,1.0,30.0,16.0,4.0,43.0,6.0,8.0,20.0,22.0,10.0,2.0,19.0,14.0,28.0,15.0,17.0,1286.0,12.0,7.0,3.0,221.0,9.0,391.0,44.0,35.0,63.0,392.0,5.0,23.0
1793,0.0,5.0,4.0,11.0,15.0,16.0,8.0,19.0,51.0,12.0,14.0,20.0,6.0,201.0,24.0,7.0,1.0,13.0,17.0,3.0,2.0,34.0,10.0,9.0,30.0,44.0,38.0,21.0,143.0,115.0
1842,0.0,1.0,2.0,3.0,4.0,7.0,13.0,17.0,20.0,8.0,12.0,26.0,9.0,14.0,44.0,18.0,5.0,100.0,16.0,59.0,82.0,40.0,25.0,85.0,10.0,31.0,11.0,33.0,148.0,52.0
1891,1.0,2.0,6.0,15.0,3.0,25.0,12.0,4.0,16.0,113.0,18.0,10.0,0.0,21.0,17.0,51.0,5.0,353.0,13.0,8.0,9.0,55.0,7.0,150.0,259.0,31.0,273.0,59.0,11.0,20.0
1940,0.0,18.0,20.0,23.0,12.0,31.0,10.0,14.0,15.0,17.0,9.0,3.0,4.0,19.0,59.0,7.0,25.0,8.0,11.0,5.0,1.0,35.0,13.0,6.0,361.0,136.0,343.0,21.0,394.0,55.0
1989,7.0,3.0,1.0,22.0,12.0,8.0,11.0,6.0,31.0,19.0,18.0,29.0,0.0,20.0,16.0,25.0,10.0,125.0,49.0,104.0,88.0,17.0,60.0,116.0,74.0,5.0,78.0,9.0,4.0,122.0
2038,8.0,3.0,31.0,4.0,51.0,6.0,0.0,17.0,12.0,38.0,156.0,238.0,16.0,1.0,32.0,55.0,11.0,351.0,45.0,215.0,84.0,14.0,119.0,603.0,18.0,9.0,23.0,25.0,15.0,423.0
2087,13.0,6.0,7.0,2.0,9.0,1.0,3.0,10.0,11.0,15.0,22.0,20.0,17.0,558.0,16.0,53.0,21.0,144.0,12.0,99.0,87.0,175.0,26.0,125.0,216.0,5.0,296.0,131.0,0.0,45.0
2136,1.0,0.0,5.0,16.0,31.0,15.0,3.0,9.0,13.0,28.0,6.0,45.0,4.0,10.0,20.0,261.0,21.0,53.0,35.0,18.0,8.0,27.0,14.0,37.0,465.0,11.0,745.0,22.0,7.0,61.0
2185,2.0,0.0,1.0,8.0,30.0,10.0,12.0,13.0,20.0,62.0,6.0,28.0,11.0,31.0,18.0,53.0,3.0,39.0,138.0,9.0,7.0,33.0,80.0,32.0,178.0,17.0,177.0,21.0,5.0,23.0
2234,3.0,0.0,2.0,6.0,32.0,7.0,1.0,15.0,11.0,55.0,50.0,19.0,12.0,73.0,26.0,25.0,4.0,203.0,29.0,219.0,204.0,14.0,640.0,217.0,39.0,10.0,23.0,22.0,5.0,45.0
2283,3.0,0.0,28.0,24.0,20.0,21.0,2.0,7.0,12.0,43.0,14.0,84.0,1.0,23.0,19.0,134.0,13.0,11.0,38.0,6.0,9.0,17.0,58.0,5.0,71.0,389.0,73.0,10.0,146.0,47.0
