,FAM21A_DEL,MRGPRX1_DEL,PTCH1_AMP,LOC100506776_DEL,PCCB_DEL,ZNF705G_AMP,HLA-DRB6_AMP,EP300_MUT,RBFOX1_DEL,LPA_AMP,FMN2_AMP,ADAM5_DEL,ADAM3A_DEL,SIRPB1_AMP,HLA-DRB1_AMP,HLA-DRB5_AMP,HLA-H_DEL,CDCA7L_DEL,GSTTP1_AMP,FBXL7_DEL,USP32P1_AMP,TPTE_DEL,KIAA1217_DEL,MST1P9_AMP,BTNL3_DEL,EPHA3_MUT,BTNL8_DEL,XKR6_AMP,SORD_AMP,OCM2_AMP
667,1.0,26.0,0.0,7.0,9.0,5.0,4.0,16.0,6.0,11.0,3.0,14.0,15.0,41.0,8.0,2.0,22.0,28.0,200.0,115.0,305.0,38.0,18.0,12.0,197.0,25.0,126.0,39.0,10.0,203.0
716,6.0,3.0,1.0,4.0,8.0,0.0,9.0,16.0,59.0,2.0,19.0,5.0,7.0,48.0,12.0,10.0,20.0,15.0,43.0,622.0,583.0,13.0,14.0,26.0,384.0,45.0,210.0,32.0,124.0,42.0
765,19.0,4.0,6.0,7.0,8.0,5.0,11.0,15.0,23.0,3.0,2.0,21.0,20.0,1.0,10.0,40.0,0.0,24.0,70.0,928.0,30.0,44.0,146.0,81.0,293.0,79.0,397.0,28.0,45.0,47.0
814,17.0,5.0,1.0,10.0,4.0,2.0,3.0,16.0,14.0,0.0,11.0,9.0,8.0,52.0,6.0,7.0,55.0,27.0,18.0,2096.0,15.0,20.0,147.0,203.0,266.0,56.0,191.0,70.0,4879.0,51.0
863,2.0,14.0,4.0,6.0,5.0,11.0,3.0,30.0,31.0,17.0,12.0,0.0,1.0,18.0,7.0,8.0,9.0,21.0,134.0,50.0,34.0,19.0,13.0,16.0,135.0,33.0,54.0,63.0,23.0,29.0
912,8.0,0.0,2.0,6.0,7.0,1.0,4.0,42.0,5.0,9.0,3.0,12.0,10.0,75.0,16.0,11.0,29.0,13.0,27.0,22.0,77.0,80.0,33.0,21.0,205.0,17.0,35.0,25.0,55.0,32.0
961,1.0,7.0,0.0,11.0,8.0,4.0,19.0,15.0,5.0,13.0,6.0,2.0,3.0,2552.0,29.0,12.0,9.0,54.0,20.0,43.0,47.0,14.0,139.0,26.0,91.0,17.0,84.0,33.0,77.0,22.0
1010,12.0,0.0,8.0,1.0,9.0,31.0,15.0,37.0,14.0,11.0,7.0,4.0,5.0,2.0,30.0,54.0,311.0,18.0,6.0,22.0,26.0,25.0,28.0,13.0,20.0,34.0,89.0,58.0,38.0,49.0
1059,7.0,2.0,26.0,8.0,18.0,10.0,46.0,35.0,6.0,0.0,24.0,34.0,33.0,1.0,111.0,184.0,3.0,9.0,42.0,21.0,14.0,12.0,4.0,30.0,23.0,37.0,48.0,431.0,22.0,60.0
1108,5.0,0.0,24.0,3.0,6.0,10.0,135.0,14.0,1.0,4.0,2.0,9.0,11.0,12.0,67.0,11697.0,43.0,26.0,42.0,16.0,181.0,95.0,7.0,33.0,28.0,22.0,50.0,29.0,558.0,25.0
1157,5.0,0.0,47.0,1.0,2.0,7.0,26.0,23.0,3.0,4.0,30.0,16.0,19.0,9.0,41.0,42.0,6.0,24.0,10.0,13.0,109.0,45.0,85.0,28.0,8.0,25.0,11.0,40.0,39.0,34.0
1206,1.0,0.0,9.0,2.0,3.0,46.0,25.0,47.0,7.0,8.0,38.0,15.0,16.0,4.0,58.0,112.0,14.0,12.0,18.0,6.0,218.0,5.0,35.0,818.0,39.0,24.0,20.0,33.0,22.0,42.0
1255,14.0,2.0,6.0,3.0,4.0,19.0,15.0,51.0,1.0,0.0,29.0,7.0,8.0,10.0,21.0,38.0,5.0,11.0,13.0,25.0,49.0,16.0,23.0,24.0,26.0,22.0,39.0,67.0,18.0,43.0
1304,4.0,0.0,3.0,12.0,10.0,21.0,26.0,18.0,2.0,1.0,28.0,9.0,11.0,8.0,50.0,327.0,6.0,13.0,22.0,17.0,82.0,23.0,65.0,33.0,52.0,43.0,105.0,104.0,7.0,29.0
1353,1.0,0.0,12.0,3.0,7.0,9.0,26.0,61.0,4.0,2.0,13.0,99.0,114.0,10.0,40.0,95.0,5.0,17.0,23.0,59.0,35.0,16.0,11.0,97.0,31.0,239.0,46.0,68.0,27.0,25.0
1402,6.0,4.0,11.0,10.0,51.0,2.0,12.0,5.0,1.0,0.0,25.0,7.0,9.0,61.0,17.0,100.0,332.0,53.0,43.0,14.0,139.0,13.0,35.0,83.0,3.0,24.0,8.0,90.0,151.0,33.0
1451,0.0,2.0,10.0,11.0,4.0,13.0,5.0,16.0,1.0,3.0,54.0,7.0,6.0,8.0,9.0,17.0,60.0,18.0,19.0,173.0,1045.0,26.0,37.0,33.0,21.0,45.0,31.0,39.0,23.0,89.0
1500,7.0,2.0,1.0,0.0,5.0,20.0,4.0,8.0,10.0,166.0,192.0,120.0,142.0,604.0,16.0,6.0,13.0,54.0,3.0,87.0,746.0,9.0,83.0,665.0,719.0,29.0,480.0,30.0,40.0,27.0
1549,0.0,5.0,11.0,4.0,8.0,12.0,7.0,19.0,14.0,46.0,108.0,2.0,1.0,43.0,6.0,15.0,40.0,25.0,30.0,23.0,36.0,26.0,3.0,41.0,1632.0,18.0,185.0,16.0,126.0,49.0
1598,0.0,13.0,1.0,3.0,4.0,19.0,2.0,12.0,21.0,132.0,577.0,36.0,48.0,29.0,6.0,5.0,24.0,8.0,7.0,39.0,1904.0,28.0,10.0,9.0,698.0,16.0,66.0,15.0,64.0,42.0
1647,0.0,1.0,3.0,5.0,7.0,19.0,2.0,22.0,16.0,105.0,137.0,18.0,20.0,193.0,10.0,6.0,55.0,11.0,4.0,59.0,134.0,13.0,9.0,23.0,41.0,72.0,8.0,12.0,386.0,28.0
1696,0.0,25.0,2.0,8.0,15.0,12.0,1.0,10.0,20.0,1957.0,31.0,16.0,21.0,70.0,7.0,4.0,3.0,11.0,13.0,9.0,866.0,1379.0,66.0,55.0,99.0,52.0,27.0,19.0,5.0,43.0
1745,0.0,17.0,1.0,22.0,5.0,518.0,3.0,20.0,88.0,7135.0,7.0,9.0,10.0,16.0,12.0,11.0,70.0,107.0,4.0,8.0,61.0,6.0,2.0,48.0,121.0,31.0,27.0,34.0,21.0,28.0
1794,1.0,16.0,3.0,2.0,7.0,21.0,0.0,9.0,52.0,110.0,289.0,32.0,45.0,36.0,4.0,6.0,13.0,11.0,5.0,37.0,1126.0,8.0,38.0,508.0,418.0,14.0,102.0,39.0,18.0,15.0
1843,1.0,6.0,0.0,3.0,5.0,14.0,4.0,10.0,12.0,636.0,47.0,8.0,9.0,1634.0,16.0,18.0,43.0,7.0,2.0,22.0,261.0,28.0,13.0,44.0,77.0,21.0,26.0,34.0,17.0,27.0
1892,0.0,2.0,9.0,1.0,6.0,151.0,5.0,17.0,41.0,2072.0,7.0,53.0,58.0,254.0,13.0,4.0,68.0,16.0,3.0,11.0,2841.0,14.0,8.0,21.0,809.0,35.0,306.0,20.0,30.0,48.0
1941,0.0,18.0,2.0,11.0,6.0,13.0,1.0,5.0,125.0,19.0,17.0,9.0,10.0,4339.0,3.0,4.0,53.0,14.0,15.0,84.0,2218.0,8.0,7.0,28.0,56.0,27.0,21.0,29.0,141.0,40.0
1990,5.0,0.0,2.0,10.0,24.0,4.0,16.0,6.0,26.0,9.0,11.0,15.0,19.0,27.0,12.0,17.0,61.0,22.0,54.0,1.0,3.0,275.0,20.0,65.0,339.0,52.0,521.0,107.0,128.0,21.0
2039,32.0,0.0,22.0,7.0,69.0,3.0,8.0,11.0,24.0,1.0,18.0,10.0,9.0,2.0,4.0,15.0,72.0,13.0,93.0,107.0,6.0,254.0,33.0,25.0,312.0,71.0,504.0,234.0,66.0,44.0
2088,5.0,13.0,9.0,4.0,35.0,0.0,12.0,3.0,32.0,73.0,55.0,19.0,21.0,2.0,10.0,26.0,18.0,14.0,189.0,15.0,1.0,374.0,31.0,24.0,48.0,45.0,36.0,206.0,30.0,29.0
2137,9.0,4.0,11.0,5.0,37.0,18.0,46.0,6.0,29.0,2.0,265.0,0.0,1.0,8.0,42.0,202.0,45.0,10.0,321.0,22.0,14.0,243.0,3.0,23.0,489.0,31.0,453.0,90.0,52.0,26.0
2186,15.0,2.0,48.0,1.0,39.0,0.0,21.0,5.0,16.0,64.0,78.0,24.0,31.0,27.0,19.0,10.0,7.0,32.0,386.0,9.0,4.0,13299.0,33.0,20.0,3.0,49.0,8.0,127.0,6.0,12.0
2235,6.0,5.0,7.0,54.0,22.0,13.0,20.0,58.0,68.0,11.0,24.0,3.0,4.0,41.0,30.0,44.0,64.0,81.0,288.0,8.0,0.0,510.0,15.0,19.0,45.0,86.0,105.0,65.0,57.0,43.0
2284,0.0,13.0,22.0,9.0,32.0,12.0,5.0,19.0,25.0,30.0,201.0,16.0,20.0,49.0,2.0,1.0,844.0,18.0,358.0,4.0,6.0,607.0,3.0,21.0,630.0,39.0,1230.0,47.0,37.0,38.0
2333,2.0,11.0,18.0,19.0,57.0,1.0,8.0,14.0,30.0,10.0,163.0,3.0,7.0,23.0,6.0,29.0,39.0,26.0,56.0,20.0,0.0,82.0,9.0,27.0,58.0,52.0,81.0,96.0,28.0,21.0
2382,2.0,11.0,22.0,17.0,67.0,12.0,8.0,13.0,26.0,6.0,174.0,1.0,4.0,0.0,5.0,16.0,213.0,41.0,100.0,23.0,7.0,62.0,3.0,69.0,168.0,30.0,1936.0,103.0,9.0,24.0
2431,5.0,2.0,12.0,3.0,29.0,4.0,49.0,31.0,59.0,11.0,37.0,33.0,32.0,150.0,62.0,90.0,6.0,26.0,35.0,24.0,7.0,80.0,1.0,179.0,119.0,36.0,39.0,168.0,379.0,19.0
2480,2.0,14.0,0.0,1.0,57.0,7.0,12.0,13.0,5.0,15.0,4.0,9.0,8.0,120.0,29.0,17.0,294.0,40.0,31.0,11.0,45.0,3.0,6.0,30.0,36.0,18.0,27.0,50.0,46.0,22.0
2529,12.0,9.0,3.0,32.0,16.0,11.0,5.0,37.0,14.0,4.0,7.0,21.0,20.0,29.0,8.0,6.0,25.0,15.0,26.0,160.0,0.0,27.0,10.0,138.0,41.0,183.0,34.0,117.0,44.0,42.0
2578,6.0,3.0,5.0,2.0,8.0,13.0,1.0,12.0,15.0,9.0,14.0,19.0,22.0,26.0,4.0,0.0,25.0,11.0,10.0,100.0,112.0,33.0,7.0,171.0,20.0,39.0,23.0,115.0,111.0,42.0
2627,2.0,8.0,1.0,0.0,3.0,5.0,9.0,7.0,10.0,35.0,17.0,25.0,22.0,30.0,14.0,4.0,12.0,11.0,24.0,57.0,27.0,88.0,40.0,52.0,28.0,23.0,47.0,46.0,6.0,71.0
2676,3.0,4.0,5.0,0.0,6.0,13.0,1.0,8.0,14.0,16.0,2.0,10.0,12.0,22.0,17.0,9.0,51.0,15.0,7.0,35.0,29.0,11.0,23.0,99.0,21.0,37.0,18.0,34.0,36.0,33.0
2725,0.0,5.0,1.0,6.0,3.0,12.0,2.0,11.0,15.0,10.0,8.0,29.0,24.0,16.0,4.0,7.0,88.0,18.0,14.0,20.0,13.0,17.0,59.0,165.0,36.0,22.0,23.0,45.0,375.0,62.0
2774,4.0,3.0,1.0,0.0,5.0,23.0,13.0,7.0,11.0,49.0,2.0,20.0,21.0,18.0,19.0,12.0,56.0,10.0,9.0,88.0,46.0,14.0,93.0,136.0,131.0,32.0,24.0,77.0,272.0,31.0
2823,2.0,0.0,5.0,1.0,13.0,4.0,94.0,8.0,19.0,6.0,30.0,36.0,35.0,97.0,103.0,37.0,42.0,16.0,21.0,158.0,59.0,14.0,17.0,38.0,15.0,66.0,11.0,123.0,409.0,43.0
2872,7.0,4.0,0.0,1.0,23.0,5.0,20.0,8.0,3.0,12.0,96.0,10.0,9.0,45.0,59.0,18.0,120.0,13.0,2.0,29.0,16.0,22.0,6.0,252.0,14.0,19.0,26.0,70.0,94.0,24.0
2921,12.0,0.0,4.0,1.0,7.0,16.0,20.0,9.0,10.0,5.0,8.0,2.0,3.0,62.0,14.0,36.0,21.0,6.0,24.0,57.0,49.0,48.0,13.0,32.0,402.0,25.0,247.0,45.0,1635.0,27.0
2970,3.0,28.0,2.0,4.0,67.0,0.0,6.0,11.0,1.0,40.0,33.0,8.0,9.0,17.0,25.0,32.0,10.0,26.0,23.0,16.0,36.0,49.0,62.0,13.0,15.0,14.0,18.0,57.0,7.0,31.0
3019,5.0,65.0,1.0,3.0,15.0,2.0,12.0,8.0,7.0,46.0,36.0,62.0,82.0,13.0,22.0,23.0,6.0,19.0,16.0,75.0,25.0,94.0,2812.0,10.0,0.0,34.0,4.0,33.0,29.0,39.0
